LTTS IN Equity,price,volume,mc,pe,bm,div
2020-01-31,1679.25,2367428.0,175219.7208,21.6789,6.373,21.0
2020-02-29,1620.85,2200312.0,169365.1094,20.9249,6.1514,21.0
2020-03-31,1161.25,2697506.0,121364.0467,14.7551,4.3836,21.0
2020-04-30,1235.25,3215281.0,129097.902,15.6954,4.6629,21.0
2020-05-31,1171.3,2577861.0,122440.1916,14.8828,4.4215,21.0
2020-06-30,1283.05,2769357.0,134121.8201,18.2455,4.5393,21.0
2020-07-31,1511.35,4879382.0,157998.6721,21.492,5.3471,21.0
2020-08-31,1565.15,2215732.0,163623.0004,22.257,5.5374,21.0
2020-09-30,1618.05,3782300.0,169153.2414,24.3897,5.486,21.0
2020-10-31,1667.35,6855799.0,174879.4512,25.1328,5.6531,21.0
2020-11-30,1723.2,2233647.0,180737.2599,25.9746,5.8425,21.0
2020-12-31,2339.6,11025511.0,245655.6276,36.2607,7.548,21.0
2021-01-31,2433.9,8089749.0,255557.032,37.7222,7.8523,21.0
2021-02-28,2567.7,3403947.0,269718.8931,39.796,8.2839,21.0
2021-03-31,2653.9,7701090.0,278773.5991,41.9125,8.0269,21.0
2021-04-30,2728.9,8017939.0,286659.5491,43.097,8.2537,21.0
2021-05-31,2710.85,7007994.0,284763.9057,42.8119,8.1991,21.0
2021-06-30,2903.1,5596429.0,304990.3932,40.0207,8.2354,21.0
2021-07-31,3706.2,14738777.0,389367.0789,51.0918,10.5136,22.0
2021-08-31,3919.55,7782041.0,411781.2676,54.0329,11.1188,22.0
2021-09-30,4697.55,10438976.0,494082.6813,59.7501,12.9365,22.0
2021-10-31,4725.0,10723807.0,496969.8395,60.0992,13.0121,32.0
2021-11-30,5279.4,6246612.0,556648.7278,67.1509,14.5388,32.0
2021-12-31,5598.95,6009030.0,590607.7435,66.2754,14.7536,24.5
2022-01-31,4693.1,8523634.0,495175.725,55.5528,12.3666,34.5
2022-02-28,4532.05,6504353.0,478183.1081,53.6464,11.9422,34.5
2022-03-31,5105.3,6408300.0,538773.3722,56.2444,12.8839,34.5
2022-04-30,4091.65,7357207.0,431800.6911,45.0771,10.3258,34.5
2022-05-31,3502.35,8433057.0,369629.0075,38.5849,8.8386,34.5
2022-06-30,3030.8,6882407.0,319911.4326,31.4333,7.2581,34.5
2022-07-31,3511.05,10265547.0,370622.1791,36.4141,8.4082,35.0
2022-08-31,3714.0,7444912.0,392045.3349,38.519,8.8942,35.0
2022-09-30,3591.6,7653413.0,379193.6826,34.9038,8.5105,35.0
2022-10-31,3538.9,4880469.0,373630.7521,34.3916,8.3856,30.0
2022-11-30,3814.85,4909746.0,402765.0611,37.0733,9.0395,30.0
2022-12-31,3683.55,8938665.0,388966.3114,34.2983,8.4465,30.0
2023-01-31,3335.9,8072668.0,352256.0351,31.0613,7.6493,30.0
2023-02-28,3684.75,4395797.0,389115.3924,34.3095,8.4492,30.0
2023-03-31,3378.55,4895750.0,356780.1911,30.196,8.0395,30.0
2023-04-30,3775.25,7570937.0,398697.1381,33.7415,8.9835,30.0
2023-05-31,3903.0,5431479.0,412253.1729,34.8833,9.2875,30.0
2023-06-30,3936.1,5161627.0,415918.941,34.1535,8.6351,30.0
2023-07-31,4036.25,6769418.0,426501.569,35.0225,8.8548,45.0
2023-08-31,4404.25,4913044.0,465455.7093,38.2156,9.6622,45.0
2023-09-30,4575.95,3440224.0,483722.0363,39.2067,10.1007,45.0
2023-10-31,4186.7,4080770.0,442643.0107,35.8716,9.2415,47.0
2023-11-30,4768.95,2578071.0,504201.9695,40.8603,10.5267,47.0
2023-12-31,5254.95,4885959.0,555672.2966,43.6725,11.1943,47.0
2024-01-31,5583.95,5291613.0,590506.2974,46.4067,11.8951,47.0
2024-02-29,5302.55,2574145.0,560748.0667,44.0681,11.2957,47.0
2024-03-31,5482.65,3226212.0,579811.3018,44.4817,10.8692,47.0
2024-04-30,4640.15,5059703.0,490713.69,37.6463,9.199,47.0
2024-05-31,4490.8,4650691.0,474940.4604,36.4346,8.9029,47.0
2024-06-30,4909.05,4569463.0,519521.3644,39.7634,9.7656,50.0
2024-07-31,5215.95,4588492.0,552000.3791,42.2493,10.3761,50.0
2024-08-31,5716.1,3810336.0,604977.9224,46.3006,11.3711,50.0
2024-09-30,5344.25,2670449.0,565622.2357,43.1786,10.0806,50.0
2024-10-31,4945.85,4277774.0,523475.9009,39.9597,9.3291,50.0
2024-11-30,5285.2,2068165.0,559393.1945,42.7015,9.9692,50.0
2024-12-31,4737.4,2192369.0,501563.4276,38.666,8.7681,50.0
2025-01-31,5449.35,5103223.0,576964.3339,44.4769,10.0858,50.0
2025-02-28,4533.2,3170272.0,479964.5312,36.9994,8.3901,50.0
2025-03-31,4501.7,3062902.0,476638.614,37.6236,7.8301,50.0
2025-04-30,4257.1,3336799.0,450740.4411,35.5793,7.4047,50.0
2025-05-31,4367.6,2544870.0,462443.4228,36.5028,7.5969,50.0
2025-06-30,4402.1,2464543.0,466509.9855,36.7421,7.8263,55.0
2025-07-31,4308.2,2107475.0,456578.3745,35.9583,7.6594,55.0
2025-08-31,4223.5,914929.0,447601.9602,35.2514,7.5088,55.0
2025-09-30,4113.9,1866121.0,435986.6708,34.0893,7.0459,55.0
2025-10-31,4118.8,1155319.0,436538.9179,34.1299,7.0543,56.0
2025-11-30,4440.4,2837272.0,470624.3107,36.7948,7.6051,56.0
2025-12-31,4462.2,2542756.0,472945.5348,37.5701,7.5064,56.0
2026-01-31,3722.8,1945984.0,394602.3481,31.3446,6.2626,56.0
2026-02-28,3512.4,3295642.0,372300.7649,29.5731,5.9086,56.0
2026-03-31,3309.2,278405.0,350762.3485,27.8623,5.5668,56.0
