NIACL IN Equity,price,volume,mc,pe,bm,div
2021-01-31,127.0,18402728.0,209296.0,14.5143,0.7324,0.0
2021-02-28,153.65,58007359.0,253215.2,17.56,0.8861,0.0
2021-03-31,154.35,38494926.0,254368.8,15.5126,1.2902,0.0
2021-04-30,145.85,16639822.0,240360.8,14.6583,1.2191,0.0
2021-05-31,163.3,25857148.0,269118.4,16.4121,1.365,0.0
2021-06-30,169.6,35369346.0,279500.8,17.0452,1.4176,0.0
2021-07-31,161.75,14671869.0,266564.0,16.2563,1.352,0.0
2021-08-31,161.8,35741503.0,266646.4,16.2613,1.3525,0.0
2021-09-30,163.2,21749665.0,268953.6,16.402,1.3642,0.0
2021-10-31,152.35,9303726.0,251072.8,15.3116,1.2735,0.0
2021-11-30,144.75,6172508.0,238548.0,14.5477,1.2099,0.0
2021-12-31,140.25,6667503.0,231132.0,14.0955,1.1723,0.0
2022-01-31,143.95,8416075.0,237229.6,14.4673,1.2032,0.0
2022-02-28,118.85,5403749.0,195864.8,11.9447,0.9934,0.0
2022-03-31,111.65,14141362.0,183999.2,94.6186,0.9305,0.0
2022-04-30,118.15,10151515.0,194711.2,100.1271,0.9847,0.0
2022-05-31,101.35,6675004.0,167024.8,85.8898,0.8447,0.0
2022-06-30,79.8,7650361.0,131510.4,67.6271,0.6651,0.0
2022-07-31,82.15,8919644.0,135383.2,69.6186,0.6847,0.0
2022-08-31,97.2,29327014.0,160185.6,82.3729,0.8101,0.3
2022-09-30,85.85,11030410.0,141480.8,72.7542,0.7155,0.3
2022-10-31,88.85,3300742.0,146424.8,75.2966,0.7405,0.3
2022-11-30,109.25,42508094.0,180044.0,92.5847,0.9105,0.3
2022-12-31,125.75,129388610.0,207236.0,106.5678,1.048,0.3
2023-01-31,118.8,58030743.0,195782.4,100.678,0.9901,0.3
2023-02-28,101.45,24827656.0,167189.6,85.9746,0.8455,0.3
2023-03-31,97.3,11495757.0,160350.4,15.2987,0.7594,0.3
2023-04-30,105.8,6968216.0,174358.4,16.6352,0.8258,0.3
2023-05-31,118.9,56106299.0,195947.2,18.695,0.928,0.3
2023-06-30,116.95,17114940.0,192733.6,18.3884,0.9128,0.3
2023-07-31,124.3,19678236.0,204846.4,19.544,0.9701,0.3
2023-08-31,129.15,33859902.0,212839.2,20.3066,1.008,0.3
2023-09-30,140.5,47800915.0,231544.0,22.0912,1.0966,1.93
2023-10-31,138.85,31132823.0,228824.8,21.8318,1.0837,1.93
2023-11-30,255.2,160150685.0,420569.6,40.1258,1.9918,1.93
2023-12-31,210.35,54874051.0,346656.8,33.0739,1.6418,1.93
2024-01-31,243.25,51298891.0,400876.0,38.2469,1.8985,1.93
2024-02-29,258.1,163450104.0,425348.8,40.5818,2.0144,1.93
2024-03-31,227.1,49019124.0,374260.8,33.5451,1.7133,1.93
2024-04-30,247.15,32538119.0,407303.2,36.5066,1.8646,1.93
2024-05-31,228.75,37442116.0,376980.0,33.7888,1.7258,1.93
2024-06-30,236.94,51470740.0,390477.12,34.9985,1.7875,1.93
2024-07-31,292.88,161751585.0,482666.24,43.2614,2.2096,1.93
2024-08-31,264.85,60667856.0,436472.8,39.1211,1.9981,1.93
2024-09-30,230.45,28995853.0,379781.6,34.0399,1.7386,2.06
2024-10-31,195.94,24586526.0,322909.12,28.9424,1.4782,2.06
2024-11-30,194.41,22454454.0,320387.68,28.7164,1.4667,2.06
2024-12-31,202.52,49768654.0,333752.96,29.9143,1.5279,2.06
2025-01-31,181.85,22197456.0,299688.8,26.8612,1.3719,2.06
2025-02-28,142.11,12485149.0,234197.28,20.9911,1.0721,2.06
2025-03-31,154.52,22827613.0,254648.96,24.4909,1.119,2.06
2025-04-30,172.07,21480345.0,283571.36,27.2725,1.2461,2.06
2025-05-31,186.46,19240311.0,307286.08,29.5533,1.3503,2.06
2025-06-30,192.48,20917783.0,317207.04,30.5074,1.3939,2.06
2025-07-31,199.78,149722529.0,329237.44,31.6644,1.4468,2.06
2025-08-31,188.26,88923108.0,310252.48,29.8386,1.3634,2.06
2025-09-30,189.1,22003683.0,311636.8,29.9717,1.3695,1.8
2025-10-31,187.07,8424594.0,308291.36,29.65,1.3548,1.8
2025-11-30,170.68,8268854.0,281280.64,27.0522,1.2361,1.8
2025-12-31,155.82,18437167.0,256791.36,24.6969,1.1285,1.8
2026-01-31,148.91,8127681.0,245403.68,23.6017,1.0784,1.8
2026-02-28,147.3,10975817.0,242750.4,23.3465,1.0667,1.8
2026-03-31,139.5,1398374.0,229896.0,22.1103,1.0103,1.8
