CIFC IN Equity,price,volume,mc,pe,bm,div
2002-12-31,6.36,129887.0,693.283,4.9882,0.4478,0.7743
2003-01-31,6.43,201766.0,700.0303,5.0368,0.4522,0.7743
2003-02-28,7.41,287077.0,807.1434,5.8074,0.5214,0.7743
2003-03-31,6.31,756595.0,687.4353,2.8974,0.3764,0.7743
2003-04-30,6.29,1821311.0,684.6893,2.8858,0.3749,0.7743
2003-05-31,7.0,665707.0,762.4949,3.2137,0.4175,0.7743
2003-06-30,7.9,2672746.0,1189.0154,3.6265,0.4711,0.7743
2003-07-31,8.51,699901.0,1281.3539,3.9081,0.5077,0.7743
2003-08-31,8.52,931397.0,1282.6188,3.912,0.5082,0.7743
2003-09-30,8.46,965062.0,1273.7644,3.885,0.5047,0.7743
2003-10-31,10.63,925727.0,1600.1112,4.8804,0.634,0.7743
2003-11-30,11.8,550325.0,1775.9337,5.4166,0.7036,0.7743
2003-12-31,13.22,1435889.0,1989.7035,6.0686,0.7883,0.7743
2004-01-31,12.08,2619863.0,1818.9406,5.5478,0.7206,0.7743
2004-02-29,11.79,465080.0,1774.6688,5.4128,0.7031,0.7743
2004-03-31,11.37,824005.0,1731.0741,3.613,0.7449,0.8403
2004-04-30,10.99,1230973.0,1674.1125,3.4941,0.7204,0.8403
2004-05-31,9.51,781184.0,1319.3168,3.0243,0.6236,0.8403
2004-06-30,9.74,2971469.0,2026.3164,3.0968,0.6385,0.8403
2004-07-31,9.84,601275.0,2047.1867,3.1287,0.6451,0.8403
2004-08-31,10.68,1072240.0,2221.7382,3.3955,0.7001,0.8403
2004-09-30,11.29,1829381.0,2348.8573,3.5898,0.7402,0.8403
2004-10-31,10.9,1010987.0,2267.2734,3.4651,0.7145,0.8403
2004-11-30,11.37,1959692.0,2365.933,3.6159,0.7455,0.8403
2004-12-31,13.48,10849360.0,2804.2093,4.2857,0.8837,0.8403
2005-01-31,12.14,5819518.0,2525.3062,3.8594,0.7958,0.8403
2005-02-28,13.06,12618344.0,2716.9335,4.1523,0.8561,0.8403
2005-03-31,14.45,40988732.0,3005.3231,9.7299,1.0418,0.8403
2005-04-30,17.17,33007571.0,3570.7185,11.5604,1.2378,0.0
2005-05-31,23.08,39591888.0,4800.1689,15.5407,1.664,0.0
2005-06-30,25.29,90120822.0,5261.2128,17.0334,1.8239,0.0
2005-07-31,25.05,20055179.0,5209.9857,16.8675,1.8061,0.9121
2005-08-31,25.43,9159970.0,5289.7419,17.1255,1.8337,0.9121
2005-09-30,25.52,17932006.0,5308.7152,17.187,1.8403,0.9121
2005-10-31,25.08,14363236.0,5217.6436,16.8921,1.8087,0.9121
2005-11-30,29.12,8123652.0,6056.2612,19.6071,2.0995,0.9121
2005-12-31,34.12,12180281.0,7097.8926,22.9794,2.4606,0.9121
