AISG IN Equity,price,volume,mc,pe,bm,div
2013-06-30,38.38,735127.0,6660.9838,54.0952,7.4003,0.0
2013-07-31,35.55,575097.0,8641.8477,54.0952,6.8553,0.0
2013-08-31,31.95,4477617.0,7766.7239,54.0952,6.1611,0.0
2013-09-30,37.7,1200950.0,9164.4906,54.0952,7.2699,0.0
2013-10-31,43.6,450851.0,10598.7212,54.0952,8.4077,0.0
2013-11-30,42.85,253362.0,10416.4037,54.0952,8.263,0.0
2013-12-31,45.2,592738.0,10987.6651,54.0952,8.7162,0.0
2014-01-31,42.25,1004259.0,10270.5498,54.0952,8.1473,0.0
2014-02-28,48.15,9385816.0,11704.7804,54.0952,9.2851,0.0
2014-03-31,59.5,4260018.0,14463.8512,54.0952,5.9924,0.0
2014-04-30,54.1,873803.0,13151.1655,54.0952,5.4486,0.0
2014-05-31,66.35,2144523.0,16129.0172,54.0952,6.6823,0.0
2014-06-30,72.4,2041989.0,17599.7113,54.0952,7.2916,0.0
2014-07-31,89.45,3785606.0,21744.3947,54.0952,9.0087,0.0
2014-08-31,91.95,1703092.0,22352.1196,54.0952,9.2605,0.0
2014-09-30,111.05,4460319.0,26995.1373,54.0952,11.1841,0.0
2014-10-31,117.1,2742157.0,28465.8314,54.0952,11.7934,0.0
2014-11-30,126.95,2269789.0,30860.2673,54.0952,12.7855,0.0
2014-12-31,122.0,1283582.0,29656.9721,54.0952,12.2869,0.0
2015-01-31,132.75,2326475.0,32270.1889,54.0952,13.3696,0.0
2015-02-28,137.2,3080543.0,33351.9475,54.0952,13.8178,0.0
2015-03-31,144.95,1672240.0,35235.8861,85.0082,12.5283,0.0
2015-04-30,131.9,1109063.0,32063.5625,77.3548,11.4004,0.0
2015-05-31,167.95,2349545.0,40826.9546,98.4969,14.5163,0.0
2015-06-30,148.1,1177583.0,36001.6194,86.8555,12.8006,0.0
2015-07-31,170.05,3056704.0,41337.4435,99.7285,14.6978,0.0
2015-08-31,150.6,2106319.0,36609.3443,88.3217,13.0167,0.0
2015-09-30,143.05,676497.0,34774.0152,83.8939,12.3641,0.0
2015-10-31,162.6,1086738.0,39526.4235,95.3593,14.0538,0.0
2015-11-30,154.05,1354799.0,37448.0045,90.345,13.3148,0.0
2015-12-31,162.8,1744933.0,39575.0415,95.4766,14.0711,0.0
2016-01-31,152.05,760099.0,36961.8247,89.1721,13.142,0.0
2016-02-29,151.4,988031.0,36803.8162,88.7909,13.0858,0.0
2016-03-31,151.3,2953707.0,36779.5072,42.2626,10.3882,0.0
2016-04-30,163.7,590584.0,39793.8224,45.7263,11.2396,0.0
2016-05-31,149.25,771641.0,36281.1728,41.6899,10.2475,0.0
2016-06-30,154.4,1180052.0,37533.086,43.1285,10.6011,0.0
2016-07-31,177.85,2880658.0,43233.545,49.6788,12.2111,0.0
2016-08-31,196.2,2454731.0,47694.2453,54.8045,13.471,0.6
2016-09-30,187.2,1157149.0,45506.4359,52.2905,12.8531,0.6
2016-10-31,194.7,912702.0,47329.6104,54.3855,13.3681,0.6
2016-11-30,173.85,2413899.0,42261.1853,48.5615,11.9365,0.6
2016-12-31,177.95,6508135.0,43257.854,49.7067,12.218,0.6
2017-01-31,198.05,1077021.0,48143.9617,55.3212,13.5981,0.6
2017-02-28,210.7,912156.0,51219.0494,58.8547,14.4666,0.6
2017-03-31,217.5,1840652.0,52872.0609,35.3659,5.7053,0.6
2017-04-30,215.85,3116578.0,52470.9625,35.0976,5.662,0.6
2017-05-31,259.55,3140979.0,63093.9927,42.2033,6.8083,0.6
2017-06-30,244.9,897670.0,59532.7252,39.8211,6.424,0.6
2017-07-31,293.2,1100758.0,71273.969,47.6748,7.691,0.6
2017-08-31,372.65,3373239.0,90587.4644,60.5935,9.7751,1.0
2017-09-30,381.65,4195906.0,92775.2738,62.0569,10.0111,1.0
2017-10-31,391.55,1030510.0,95181.8642,63.6667,10.2708,1.0
2017-11-30,373.8,1103519.0,90867.0199,60.7805,9.8052,1.0
2017-12-31,368.55,817667.0,89590.7978,59.9268,9.6675,1.0
2018-01-31,344.45,4179485.0,83732.3302,56.0081,9.0353,1.0
2018-02-28,353.3,4172823.0,85883.6726,57.4472,9.2675,1.0
2018-03-31,332.0,1263626.0,80705.8571,45.4795,7.5035,1.0
2018-04-30,363.3,755132.0,88314.5719,49.7671,8.211,1.0
2018-05-31,346.65,956407.0,84267.1246,47.4863,7.8346,1.0
2018-06-30,333.15,471977.0,80985.4105,45.637,7.5295,1.0
2018-07-31,340.0,470559.0,82650.5765,46.5753,7.6844,1.5
2018-08-31,341.05,859653.0,82905.821,46.7192,7.7081,1.5
2018-09-30,317.4,775744.0,77156.7441,43.4795,7.1736,1.5
2018-10-31,279.8,600208.0,68016.5627,38.3288,6.3238,1.5
2018-11-30,263.6,460307.0,64078.5058,36.1096,5.9576,1.5
2018-12-31,255.5,523429.0,62109.4774,35.0,5.7746,1.5
2019-01-31,255.1,665187.0,62012.2414,34.9452,5.7655,1.5
2019-02-28,256.5,536763.0,62352.5673,35.137,5.7972,1.5
2019-03-31,259.25,246344.0,63021.0646,33.1522,5.1839,1.5
2019-04-30,237.35,413881.0,57697.3951,30.3517,4.746,1.5
2019-05-31,240.75,1284069.0,58523.9009,30.7864,4.814,1.5
2019-06-30,218.35,461691.0,53078.6864,27.922,4.3661,1.5
2019-07-31,197.25,508669.0,47949.4889,25.2238,3.9442,1.0
2019-08-31,181.2,271821.0,44047.8955,23.1714,3.6233,1.0
2019-09-30,182.05,540408.0,44254.5219,23.2801,3.6403,1.0
2019-10-31,208.7,2065631.0,50732.8686,26.688,4.1731,1.0
2019-11-30,205.5,723839.0,49954.9808,26.2788,4.1092,1.0
2019-12-31,199.55,1019257.0,48508.5957,25.5179,3.9902,1.0
2020-01-31,241.2,1496086.0,58633.2914,30.844,4.823,1.0
2020-02-29,249.2,1536933.0,60578.0108,31.867,4.983,1.0
2020-03-31,156.15,2245579.0,37958.4927,24.7073,2.9149,1.0
2020-04-30,170.0,199089.0,41325.2883,26.8987,3.1734,1.0
2020-05-31,160.4,239852.0,38991.6249,25.3797,2.9942,1.0
2020-06-30,176.65,1050957.0,42941.8363,27.9509,3.2975,1.0
2020-07-31,171.85,645355.0,41775.0046,27.1915,3.2079,1.0
2020-08-31,207.85,2775490.0,50526.2422,32.8877,3.8799,1.0
2020-09-30,208.75,1250574.0,50745.0231,33.0301,3.8967,1.0
2020-10-31,224.25,992401.0,54512.9193,35.4826,4.1861,1.0
2020-11-30,254.8,1639640.0,61939.317,40.3165,4.7564,1.0
2020-12-31,276.7,6036465.0,67262.9867,43.7816,5.1652,1.0
2021-01-31,264.4,1296484.0,64272.9804,41.8354,4.9356,1.0
2021-02-28,295.0,2038725.0,71711.5326,46.6772,5.5068,1.0
2021-03-31,309.75,2902073.0,75297.1092,56.6271,5.2298,1.0
2021-04-30,293.8,1214085.0,71419.8247,53.7112,4.9605,1.0
2021-05-31,314.6,1782150.0,76476.0954,57.5137,5.3117,0.0
2021-06-30,336.35,5437555.0,81763.3017,61.4899,5.6789,0.0
2021-07-31,383.0,6937490.0,93103.4436,70.0183,6.4665,0.0
2021-08-31,357.95,2895148.0,87014.0408,65.4388,6.0436,0.0
2021-09-30,362.7,2698735.0,88168.718,66.3071,6.1238,1.0
2021-10-31,429.2,8966693.0,104334.1984,78.4644,7.2466,1.0
2021-11-30,481.75,12299001.0,117108.5743,88.0713,8.1338,1.0
2021-12-31,482.25,5535792.0,117230.1192,88.1627,8.1423,1.0
2022-01-31,556.45,9315504.0,135267.3921,101.7276,9.3951,1.0
2022-02-28,469.95,5748046.0,114240.1131,85.9141,7.9346,1.0
2022-03-31,431.0,6624391.0,104771.7603,30.3949,5.9446,1.0
2022-04-30,460.85,3865852.0,112027.9947,32.5,6.3563,1.0
2022-05-31,446.5,4545068.0,108539.6542,31.488,6.1584,1.0
2022-06-30,539.6,12218699.0,131171.3268,38.0536,7.4425,1.0
2022-07-31,593.8,8379939.0,144346.8004,41.8759,8.19,1.0
2022-08-31,639.8,12003042.0,155528.9379,45.1199,8.8245,1.0
2022-09-30,635.15,17242498.0,154398.5697,44.792,8.7604,2.0
2022-10-31,615.85,3207371.0,149706.934,43.4309,8.4942,2.0
2022-11-30,616.55,3322930.0,149877.097,43.4803,8.5038,2.0
2022-12-31,523.0,2129831.0,127136.0339,36.8829,7.2135,2.0
2023-01-31,508.0,1912313.0,123489.6849,35.8251,7.0066,2.0
2023-02-28,481.85,1544294.0,117132.8833,33.981,6.646,2.0
2023-03-31,452.15,1467685.0,109913.1123,30.1233,5.2982,2.0
2023-04-30,478.2,2189280.0,116245.605,31.8588,5.6035,2.0
2023-05-31,451.6,2355746.0,109779.4128,30.0866,5.2918,2.0
2023-06-30,487.4,3208117.0,118482.0324,32.4717,5.7113,2.0
2023-07-31,573.75,5803048.0,139472.8479,38.2245,6.7231,2.0
2023-08-31,593.65,5953745.0,144310.3375,39.5503,6.9563,2.0
2023-09-30,628.1,7637054.0,152684.7857,41.8454,7.36,2.0
2023-10-31,559.1,1694846.0,135911.5804,37.2485,6.5514,2.0
2023-11-30,568.85,1484774.0,138281.7072,37.8981,6.6657,2.0
2023-12-31,576.6,2622051.0,140165.6542,38.4144,6.7565,2.0
2024-01-31,524.95,8135186.0,127610.0593,34.9734,6.1513,2.0
2024-02-29,535.4,3157275.0,130150.3491,35.6696,6.2737,2.0
2024-03-31,536.35,2421040.0,130381.2845,39.7591,5.54,2.0
2024-04-30,601.65,6584110.0,146255.057,44.5997,6.2145,2.0
2024-05-31,588.1,5519551.0,142961.1884,43.5953,6.0745,2.0
2024-06-30,671.0,6557292.0,163113.3437,49.7405,6.9308,2.0
2024-07-31,666.4,5671578.0,161995.13,49.3996,6.8833,2.0
2024-08-31,634.3,1929426.0,154191.9432,47.02,6.5517,2.0
2024-09-30,789.45,15804721.0,191907.346,58.5211,8.1543,2.0
2024-10-31,750.3,4703433.0,182390.3752,55.619,7.7499,2.0
2024-11-30,684.6,1682789.0,166419.3668,50.7487,7.0713,2.0
2024-12-31,762.7,3948289.0,185404.6904,56.5382,7.878,2.0
2025-01-31,676.4,3084987.0,164426.0293,50.1408,6.9866,2.0
2025-02-28,615.7,3142659.0,149670.4705,45.6412,6.3596,2.0
2025-03-31,602.05,1897171.0,146352.293,39.427,5.4834,2.0
2025-04-30,733.9,7653294.0,178403.7004,48.0616,6.6843,2.0
2025-05-31,748.25,3578984.0,181892.0409,49.0013,6.815,2.0
2025-06-30,759.15,14096801.0,184541.7211,49.7151,6.9143,2.0
2025-07-31,840.05,25622971.0,204207.6965,55.0131,7.6511,2.0
2025-08-31,836.3,4023775.0,203296.1093,54.7675,7.6169,2.0
2025-09-30,855.7,7198762.0,218141.1982,56.038,7.7936,2.0
2025-10-31,922.9,4274154.0,235272.3055,60.4388,8.4057,2.0
2025-11-30,1020.7,8355319.0,260204.1849,66.8435,9.2964,2.0
2025-12-31,1015.0,4969380.0,258751.0999,66.4702,9.2445,2.0
2026-01-31,1001.8,2140139.0,255386.0609,65.6058,9.1243,2.0
2026-02-28,900.7,1369453.0,229612.9218,58.9849,8.2035,2.0
2026-03-31,846.0,473219.0,215668.4044,55.4028,7.7053,2.0
