ONGC IN Equity,price,volume,mc,pe,bm,div
2009-03-31,130.03,281855196.0,1668748.751,8.43,1.8095,5.3333
2009-04-30,144.13,249512616.0,1849590.467,9.3436,2.0056,5.3333
2009-05-31,194.88,391666860.0,2500877.31,12.6337,2.7118,5.3333
2009-06-30,177.88,328060434.0,2282819.337,11.5321,2.4753,5.3333
2009-07-31,194.01,385631454.0,2489755.304,12.5775,2.6997,5.3333
2009-08-31,197.58,246792294.0,2535633.997,12.8093,2.7494,5.3333
2009-09-30,195.33,204549624.0,2506759.211,12.6634,2.7181,5.3333
2009-10-31,188.63,141545616.0,2420776.648,12.2291,2.6249,5.3333
2009-11-30,199.96,134110986.0,2566112.938,12.9633,2.7825,5.3333
2009-12-31,196.33,92681208.0,2519592.449,12.7283,2.732,5.3333
2010-01-31,182.73,123540060.0,2345060.409,11.8466,2.5428,5.3333
2010-02-28,186.27,90040626.0,2390404.517,12.0756,2.592,5.3333
2010-03-31,183.12,135015480.0,2349979.683,12.1109,2.3174,5.3333
2010-04-30,175.8,104280282.0,2256083.424,11.627,2.2248,5.3333
2010-05-31,194.62,198238488.0,2497561.923,12.8715,2.4629,5.3333
2010-06-30,220.13,236964030.0,2825023.654,14.5591,2.7858,5.3333
2010-07-31,206.78,149884224.0,2653699.656,13.6761,2.6169,5.3333
2010-08-31,222.93,130320294.0,2860956.588,14.7443,2.8213,5.3333
2010-09-30,234.02,158394276.0,3003191.645,15.4773,2.9615,5.5
2010-10-31,217.34,133844826.0,2789197.531,14.3744,2.7505,5.5
2010-11-30,207.55,102919446.0,2663538.739,13.7269,2.6266,5.5
2010-12-31,214.7,151053948.0,2755296.125,14.1997,2.7171,7.8333
2011-01-31,196.3,158931744.0,2519164.808,12.9828,2.4842,7.8333
2011-02-28,180.23,162753335.0,2312976.785,11.9202,2.2809,7.8333
2011-03-31,194.2,119236200.0,2492214.305,11.0971,2.161,7.8333
2011-04-30,205.2,118391469.0,2633379.894,11.7257,2.2834,7.8333
2011-05-31,187.37,203835927.0,2404520.53,10.7067,2.085,7.8333
2011-06-30,182.83,165151949.0,2346343.197,10.4476,2.0345,7.8333
2011-07-31,179.5,118316357.0,2303565.746,10.2571,1.9974,7.8333
2011-08-31,175.53,133796726.0,2252660.579,10.0305,1.9533,5.8333
2011-09-30,177.4,202107473.0,2276615.951,10.1371,1.974,5.8333
2011-10-31,185.1,89183279.0,2375431.864,10.5771,2.0597,5.8333
2011-11-30,177.83,89079356.0,2282177.02,10.1619,1.9789,5.8333
2011-12-31,171.07,72530172.0,2195338.794,9.7752,1.9036,5.8333
2012-01-31,184.03,83151771.0,2361743.079,10.5162,2.0479,4.6667
2012-02-29,195.47,175954170.0,2508469.737,11.1695,2.1751,4.6667
