CHOLAHLD IN Equity,price,volume,mc,pe,bm,div
2004-11-30,30.17,5187215.0,8037.4718,6.0769,1.2655,1.0
2004-12-31,33.99,4595870.0,9055.3176,6.8465,1.4258,1.0
2005-01-31,36.37,4397095.0,9688.9312,7.3255,1.5255,1.0
2005-02-28,38.37,8079715.0,10222.7922,7.7292,1.6096,1.0
2005-03-31,40.48,954175.0,10784.3623,6.7612,1.5813,1.0
2005-04-30,37.58,1635055.0,10010.3562,6.276,1.4678,1.0
2005-05-31,43.19,4032945.0,11506.6449,7.2141,1.6872,1.0
2005-06-30,44.49,11940040.0,11852.0844,7.4306,1.7378,1.0
2005-07-31,48.05,3331280.0,12803.4066,8.0248,1.8768,1.4
2005-08-31,55.4,6479720.0,14763.9225,9.2536,2.1642,1.4
2005-09-30,55.19,2078255.0,14706.6407,9.2177,2.1558,1.4
2005-10-31,56.71,2161065.0,15113.1567,9.4725,2.2154,1.4
2005-11-30,64.01,1118955.0,17057.0424,10.6908,2.5003,1.4
2005-12-31,81.27,3407225.0,21658.0646,13.5746,3.1748,1.4
2006-01-31,82.36,2220270.0,21948.1692,13.7564,3.2173,1.4
2006-02-28,76.3,1340420.0,20333.1919,12.7442,2.9806,1.4
2006-03-31,81.48,6112370.0,21713.4986,8.047,2.6752,7.0
2006-04-30,79.53,1655155.0,20536.4499,7.8546,2.6112,7.0
2006-05-31,82.31,4463509.0,21933.3859,8.1285,2.7023,7.0
2006-06-30,57.31,4289882.0,15272.0669,5.6598,1.8816,7.0
2006-07-31,50.79,2604215.0,13535.1349,5.0161,1.6676,4.7
2006-08-31,54.4,1594511.0,14495.9909,5.3722,1.786,4.7
2006-09-30,58.83,2297591.0,15678.5829,5.8105,1.9317,4.7
2006-10-31,57.45,8424545.0,15309.0229,5.6735,1.8861,4.7
2006-11-30,51.28,6475904.0,13664.4809,5.0641,1.6835,4.7
2006-12-31,48.78,2078976.0,12999.2729,4.8175,1.6016,4.7
2007-01-31,45.14,4128263.0,12029.1779,4.458,1.482,4.7
2007-02-28,40.6,3766310.0,10818.8689,4.0095,1.3329,4.7
2007-03-31,37.41,4839413.0,9968.8809,4.1059,1.0002,4.7
2007-04-30,48.09,3005500.0,12814.4929,5.278,1.2857,4.7
2007-05-31,54.29,3290242.0,14468.2739,5.9591,1.4517,1.2
2007-06-30,48.61,2540322.0,12953.0779,5.3351,1.2996,1.2
2007-07-31,43.61,2113526.0,11622.6619,4.7871,1.1662,1.5
2007-08-31,40.36,3111425.0,10754.1959,4.4294,1.079,1.5
2007-09-30,41.6,3080355.0,11086.7999,4.5664,1.1124,1.5
2007-10-31,42.68,5871320.0,11373.2089,4.6844,1.1411,1.5
2007-11-30,47.39,4315244.0,12629.7129,5.2019,1.2672,1.5
2007-12-31,61.19,5846849.0,16306.8349,6.7164,1.6361,1.5
2008-01-31,46.91,7042761.0,12500.3669,5.1486,1.2542,1.5
2008-02-29,42.75,12134893.0,11391.6869,4.692,1.143,1.5
2008-03-31,39.84,4632081.0,10615.6109,10.884,0.9633,1.5
2008-04-30,38.76,648800.0,10329.2019,10.5904,0.9373,1.5
2008-05-31,32.38,1099296.0,8629.2259,8.8474,0.7831,1.5
2008-06-30,30.82,9208380.0,8213.4709,8.4211,0.7453,1.5
2008-07-31,30.61,599132.0,8158.0369,8.3643,0.7403,1.0
2008-08-31,32.83,904375.0,8749.3329,8.9705,0.794,1.0
2008-09-30,26.87,589436.0,7160.225,7.3413,0.6498,1.0
2008-10-31,16.71,545170.0,4453.198,4.5658,0.4041,1.0
2008-11-30,24.96,922726.0,6652.08,6.8203,0.6036,1.0
2008-12-31,24.75,256604.0,6596.646,6.7634,0.5986,1.0
2009-01-31,22.4,252595.0,5968.394,6.1193,0.5416,1.0
2009-02-28,18.1,628545.0,4822.758,4.9447,0.4376,1.0
2009-03-31,17.82,1679111.0,4748.846,6.2527,0.473,1.0
2009-04-30,21.11,574402.0,5626.551,7.4084,0.5605,1.0
2009-05-31,30.75,1665940.0,8194.9929,10.7902,0.8163,1.0
2009-06-30,34.57,3218537.0,9211.2829,12.1283,0.9175,1.0
2009-07-31,40.6,2534367.0,10818.8689,14.245,1.0777,1.0
2009-08-31,40.04,1695365.0,10671.0449,14.0504,1.0629,1.0
2009-09-30,48.64,20221163.0,12962.3169,17.0672,1.2912,1.0
2009-10-31,40.94,3104229.0,10911.2589,14.3666,1.0869,1.0
2009-11-30,40.25,2501343.0,10726.4789,14.1233,1.0684,1.0
2009-12-31,47.6,16807790.0,12685.1469,16.7023,1.2635,1.0
2010-01-31,51.48,32965204.0,13719.9149,18.0647,1.3666,1.0
2010-02-28,53.08,6177819.0,14144.9089,18.6243,1.409,1.0
2010-03-31,52.49,3115217.0,13987.8459,8.6332,1.2041,1.0
2010-04-30,66.91,12694637.0,17831.3671,11.0053,1.5349,1.0
2010-05-31,74.16,19566842.0,19765.2155,12.1971,1.7011,1.0
2010-06-30,85.91,8743764.0,22897.711,14.1302,1.9707,1.0
