OLECTRA IN Equity,price,volume,mc,pe,bm,div
2014-01-31,9.25,93321.0,333.7468,16.6376,0.4507,0.0
2014-02-28,7.1,345463.0,256.1732,12.7705,0.346,0.0
2014-03-31,7.35,197516.0,265.1934,12.4576,0.3482,0.0
2014-04-30,10.05,553211.0,362.6114,17.0339,0.4761,0.0
2014-05-31,10.75,952247.0,387.8679,18.2203,0.5092,0.0
2014-06-30,11.2,397284.0,404.1043,18.9831,0.5305,0.0
2014-07-31,11.15,242715.0,402.3002,18.8983,0.5282,0.0
2014-08-31,10.2,147270.0,368.0235,17.2881,0.4832,0.0
2014-09-30,11.5,392461.0,414.9285,19.4915,0.5448,0.0
2014-10-31,11.05,192272.0,398.6922,18.7288,0.5234,0.0
2014-11-30,12.8,947836.0,461.8334,21.6949,0.6063,0.0
2014-12-31,14.0,576774.0,505.1303,23.7288,0.6632,0.0
2015-01-31,15.3,717981.0,552.0353,25.9322,0.7248,0.0
2015-02-28,18.2,1273034.0,656.6742,30.8475,0.8621,0.0
2015-03-31,16.05,781407.0,579.0958,11.8015,0.7202,0.0
2015-04-30,14.15,115927.0,510.5424,10.4044,0.6349,0.0
2015-05-31,15.0,119840.0,541.2111,11.0294,0.6731,0.0
2015-06-30,15.25,174557.0,550.2313,11.2132,0.6843,0.0
2015-07-31,15.0,1179648.0,541.2111,11.0294,0.6731,0.0
2015-08-31,13.35,329709.0,481.6779,9.8162,0.599,0.0
2015-09-30,16.1,1480820.0,580.8999,11.8382,0.7224,0.0
2015-10-31,15.65,5955684.0,564.6636,11.5074,0.7022,0.0
2015-11-30,15.55,308115.0,561.0555,11.4338,0.6977,0.0
2015-12-31,19.25,1440478.0,694.5542,14.1544,0.8638,0.0
2016-01-31,19.75,1919530.0,712.5946,14.5221,0.8862,0.0
2016-02-29,16.65,654196.0,600.7443,12.2426,0.7471,0.0
2016-03-31,16.65,239592.0,600.7443,10.3416,0.6969,0.0
2016-04-30,18.0,268390.0,649.4533,11.1801,0.7534,0.0
2016-05-31,17.55,250371.0,633.217,10.9006,0.7346,0.0
2016-06-30,18.0,397639.0,649.4533,11.1801,0.7534,0.0
2016-07-31,22.75,1196453.0,820.8368,14.1304,0.9523,0.0
2016-08-31,21.55,491527.0,777.5399,13.3851,0.902,0.0
2016-09-30,22.3,523924.0,804.6005,13.8509,0.9334,0.0
2016-10-31,23.25,318505.0,838.8772,14.441,0.9732,0.0
2016-11-30,26.5,2805363.0,956.1396,16.4596,1.1092,0.0
2016-12-31,26.7,1076115.0,963.3557,16.5839,1.1176,0.0
2017-01-31,30.75,1881378.0,1109.4827,19.0994,1.2871,0.0
2017-02-28,50.25,10480906.0,1813.0571,31.2112,2.1033,0.0
2017-03-31,75.3,7809348.0,2716.8796,32.3176,4.1019,0.0
2017-04-30,84.85,3234637.0,3061.4506,36.4163,4.6221,0.0
2017-05-31,71.15,1813248.0,2567.1445,30.5365,3.8758,0.0
2017-06-30,57.15,8111192.0,2062.0142,24.5279,3.1132,0.0
2017-07-31,71.55,3496601.0,2581.5768,30.7082,3.8976,0.0
2017-08-31,165.7,8416368.0,5978.5783,71.1159,9.0264,0.0
2017-09-30,176.25,3639206.0,6359.2301,75.6438,9.6011,0.0
2017-10-31,178.25,3133235.0,6431.3916,76.5021,9.71,0.0
2017-11-30,198.6,3394160.0,7165.6344,85.2361,10.8186,0.0
2017-12-31,197.45,2919484.0,7124.1415,84.7425,10.756,0.0
2018-01-31,223.0,4827020.0,8046.0044,95.7082,12.1478,0.0
2018-02-28,216.85,4368692.0,10534.7328,93.0687,11.8128,0.0
2018-03-31,182.35,2805119.0,8858.6974,88.0918,4.6133,0.0
2018-04-30,179.1,2413168.0,8700.81,86.5217,4.5311,0.0
2018-05-31,158.35,1674296.0,7692.7597,76.4976,4.0061,0.0
2018-06-30,163.15,2015330.0,7925.9472,78.8164,4.1276,0.0
2018-07-31,157.75,1105782.0,7663.6113,76.2077,3.9909,0.0
2018-08-31,233.7,2232722.0,11353.3182,112.8986,5.9124,0.0
2018-09-30,203.1,956873.0,9866.7477,98.1159,5.1383,0.0
2018-10-31,205.6,1012264.0,10317.1595,99.3237,5.2015,0.0
2018-11-30,212.8,870940.0,16317.6608,102.8019,5.3837,0.0
2018-12-31,234.1,3025570.0,17950.9605,113.0918,5.9225,0.0
2019-01-31,225.65,2892661.0,17303.0083,109.0097,5.7088,0.0
2019-02-28,227.85,1542624.0,17471.7059,110.0725,5.7644,0.0
2019-03-31,244.25,2455420.0,18729.27,122.4396,2.6643,0.0
2019-04-30,209.9,694670.0,16095.2867,122.4396,2.2896,0.0
2019-05-31,210.2,1143489.0,16118.2909,122.4396,2.2929,0.0
2019-06-30,200.45,1948503.0,15370.6537,122.4396,2.1865,0.0
2019-07-31,190.7,1664868.0,14623.0165,122.4396,2.0802,0.0
2019-08-31,166.25,718721.0,12748.1725,122.4396,1.8135,0.0
2019-09-30,194.6,2095889.0,14922.0714,122.4396,2.1227,0.0
