TTCH IN Equity,price,volume,mc,pe,bm,div
2015-01-31,201.34,12047000.0,116334.4513,8.027,0.9216,10.0
2015-02-28,200.01,12734825.0,115570.0579,8.027,0.9155,10.0
2015-03-31,195.56,9139044.0,112997.1442,8.3537,0.8974,10.0
2015-04-30,188.24,6270052.0,108768.1901,8.041,0.8638,10.0
2015-05-31,190.58,11745903.0,110118.3983,8.1409,0.8745,10.0
2015-06-30,185.57,9335453.0,107226.9146,7.9271,0.8516,10.0
2015-07-31,216.04,21037191.0,124830.573,9.2285,0.9914,12.5
2015-08-31,176.27,19983317.0,101851.5573,7.5297,0.8089,12.5
2015-09-30,168.31,10518893.0,97253.2066,7.1898,0.7724,12.5
2015-10-31,180.08,10765041.0,104055.199,7.6926,0.8264,12.5
2015-11-30,184.67,7892156.0,106704.6643,7.8885,0.8474,12.5
2015-12-31,177.0,12674902.0,102271.9051,7.5608,0.8122,12.5
2016-01-31,155.79,14186776.0,90018.1285,6.6549,0.7149,12.5
2016-02-29,139.35,14103481.0,80515.7196,5.9524,0.6394,12.5
2016-03-31,164.76,8644715.0,95202.4186,6.0276,0.6124,12.5
2016-04-30,178.83,8737763.0,103329.1437,6.5421,0.6647,12.5
2016-05-31,190.34,11014323.0,109978.2823,6.9631,0.7074,12.5
2016-06-30,189.76,9656821.0,109647.0992,6.9422,0.7053,12.5
2016-07-31,209.23,9763663.0,120894.5886,7.6543,0.7776,10.0
2016-08-31,245.2,34056552.0,141682.7003,8.9704,0.9114,10.0
2016-09-30,231.29,18397352.0,133645.14,8.4616,0.8597,10.0
2016-10-31,238.97,25466098.0,138077.8991,8.7422,0.8882,10.0
2016-11-30,211.37,16230978.0,122130.1565,7.7325,0.7856,10.0
2016-12-31,221.77,13929491.0,128142.4045,8.1132,0.8243,10.0
2017-01-31,240.09,15268321.0,138727.5276,8.7833,0.8924,10.0
2017-02-28,247.1,13010991.0,142778.1523,9.0398,0.9184,10.0
2017-03-31,263.99,14197854.0,152535.3175,7.6454,0.8504,10.0
2017-04-30,289.58,10470036.0,167323.919,8.3867,0.9329,10.0
2017-05-31,277.02,11392143.0,160063.3653,8.0228,0.8924,10.0
2017-06-30,267.6,10294627.0,154624.3189,7.7501,0.8621,10.0
