VEDL IN Equity,price,volume,mc,pe,bm,div
2021-07-31,301.85,198016618.0,1122035.806,7.5994,1.5919,9.5
2021-08-31,302.8,521947753.0,1125567.142,7.6234,1.5919,9.5
2021-09-30,287.65,281311674.0,1069251.613,5.7638,1.6564,28.0
2021-10-31,304.0,373177117.0,1130027.778,6.0915,1.7505,18.5
2021-11-30,338.85,846016374.0,1259572.081,6.7898,1.9512,18.5
2021-12-31,341.2,254660814.0,1268307.493,6.5315,1.9192,27.0
2022-01-31,321.75,299094748.0,1196008.019,6.1591,1.9192,27.0
2022-02-28,380.3,244546515.0,1413649.882,7.2799,1.9192,27.0
2022-03-31,403.35,326684075.0,1499331.264,7.9825,2.2949,26.5
2022-04-30,408.35,153234907.0,1517917.248,8.0814,2.3233,26.5
2022-05-31,320.9,352900904.0,1192849.172,6.3508,1.8258,44.5
2022-06-30,223.0,373808164.0,828935.3857,4.3671,1.3203,44.5
2022-07-31,254.3,425938028.0,945283.1053,4.98,1.3203,51.0
2022-08-31,270.25,217605417.0,1004572.392,5.2924,1.3203,51.0
2022-09-30,270.05,388762265.0,1003828.952,6.2026,1.8521,51.0
2022-10-31,280.8,196541898.0,1043788.816,6.4495,1.9259,51.0
2022-11-30,304.35,376960152.0,1131328.797,6.9905,2.0874,95.0
2022-12-31,308.4,204478566.0,1146383.444,7.9142,2.1063,81.5
2023-01-31,332.4,200037660.0,1235596.163,8.5301,2.1063,81.5
2023-02-28,268.35,200262873.0,997509.7181,6.8864,2.1063,50.0
2023-03-31,274.45,350290530.0,1020184.618,9.644,2.5897,50.0
2023-04-30,279.35,148567944.0,1038398.881,9.8162,2.636,66.0
2023-05-31,278.3,216520387.0,1034495.825,9.7793,2.6261,68.6667
2023-06-30,277.95,106417983.0,1033194.806,11.7359,2.6416,68.6667
2023-07-31,276.0,151578161.0,1025946.935,11.6536,2.6416,68.6667
2023-08-31,232.3,484097860.0,863505.3368,9.8085,2.6416,68.6667
2023-09-30,222.55,243100924.0,827262.6461,15.8923,2.6213,68.6667
2023-10-31,216.6,197502752.0,805145.3118,15.4674,2.5512,68.6667
2023-11-30,233.35,170588043.0,867408.3958,16.6635,2.7485,68.6667
2023-12-31,258.55,264905339.0,961081.8115,20.213,3.0335,62.5
2024-01-31,273.85,247252537.0,1017954.957,21.4091,3.0335,62.5
2024-02-29,268.05,395671949.0,996395.2024,20.9557,3.0335,62.5
2024-03-31,271.65,196464753.0,1009777.119,23.8054,3.2893,62.5
2024-04-30,397.85,551767914.0,1478887.638,34.8646,4.8174,50.0
2024-05-31,450.0,372532547.0,1672739.568,39.4346,5.4489,22.0
2024-06-30,454.0,567064321.0,1687608.364,32.3793,5.3677,22.0
2024-07-31,450.75,407254919.0,1762607.417,32.1475,5.3677,22.0
2024-08-31,468.45,269995516.0,1831821.285,33.4099,5.3677,26.0
2024-09-30,512.65,388545839.0,2004660.437,17.0422,5.3475,46.0
2024-10-31,464.05,224945517.0,1814615.578,15.4265,4.8405,46.0
2024-11-30,453.5,165180743.0,1773360.984,15.0758,4.7305,46.0
2024-12-31,444.45,256036877.0,1737971.972,16.8229,4.586,43.5
2025-01-31,441.4,158646955.0,1726045.288,16.7074,4.586,43.5
2025-02-28,394.75,204330987.0,1543625.686,14.9417,4.586,43.5
2025-03-31,463.4,162449813.0,1812073.826,14.6417,4.3965,43.5
2025-04-30,419.2,244252414.0,1639234.674,13.2451,3.9772,43.5
2025-05-31,435.55,181760193.0,1703169.518,13.7617,4.1323,32.5
2025-06-30,460.85,208814517.0,1802102.336,15.3211,4.3998,39.5
2025-07-31,425.65,181713041.0,1664456.677,14.1509,4.3998,39.5
2025-08-31,420.65,155605841.0,1644904.736,13.9847,4.3998,51.5
2025-09-30,465.8,244332609.0,1821458.757,19.881,4.5369,31.5
2025-10-31,493.55,251132889.0,1929972.026,21.0654,4.8071,31.5
2025-11-30,526.0,167292934.0,2056864.118,22.4505,5.1232,31.5
2025-12-31,604.4,344565352.0,2363438.542,23.5101,5.898,23.0
2026-01-31,681.55,425302478.0,2665124.98,26.5111,5.898,23.0
2026-02-28,718.4,342492779.0,2809222.78,27.9445,5.898,23.0
2026-03-31,711.15,53092698.0,2780872.562,27.6625,5.898,23.0
