DLFU IN Equity,price,volume,mc,pe,bm,div
2018-08-31,220.8,163017008.0,393980.0704,8.8249,1.1156,1.2
2018-09-30,162.55,161012725.0,290042.8462,6.4968,0.8213,2.0
2018-10-31,164.75,225619515.0,293968.3723,6.5847,0.8324,2.0
2018-11-30,178.1,112636268.0,317789.1782,7.1183,0.8999,2.0
2018-12-31,177.55,140876890.0,316834.1474,7.0963,0.8971,2.0
2019-01-31,164.85,155324389.0,294171.2712,6.5887,0.8329,2.0
2019-02-28,164.7,158895469.0,293903.5994,6.5827,0.8321,2.0
2019-03-31,202.45,203720143.0,361267.6606,27.4322,1.3355,0.8
2019-04-30,172.75,466465395.0,381298.1668,23.4079,1.1396,0.8
2019-05-31,191.2,251476191.0,422021.4732,25.9079,1.2613,0.8
2019-06-30,188.55,192651494.0,440683.8262,25.5488,1.2438,0.8
2019-07-31,178.15,187635812.0,440976.8328,24.1396,1.1752,2.0
2019-08-31,168.15,319854804.0,416223.7128,22.7846,1.1092,2.0
2019-09-30,155.6,264800552.0,385158.5035,21.084,1.0264,2.0
2019-10-31,183.3,246476023.0,453725.2461,24.8374,1.2092,2.0
2019-11-30,219.7,366178112.0,543826.7134,29.7696,1.4493,2.0
2019-12-31,230.9,174662099.0,571550.2418,31.2873,1.5232,2.0
2020-01-31,260.45,165583838.0,644695.8011,35.2913,1.7181,2.0
2020-02-29,201.7,229308185.0,499271.0428,27.3306,1.3305,3.2
2020-03-31,137.45,247656584.0,340232.0517,17.7168,0.9877,3.2
2020-04-30,146.85,217556921.0,363500.013,17.7168,1.0553,3.2
2020-05-31,150.65,159138287.0,372906.2102,17.7168,1.0826,3.2
2020-06-30,148.05,280334920.0,366470.3911,17.7168,1.0639,3.2
2020-07-31,141.15,250550312.0,349390.7173,17.7168,1.0143,1.2
2020-08-31,158.35,377791153.0,391966.136,17.7168,1.1379,1.2
2020-09-30,152.65,292533275.0,377856.8402,17.7168,1.0969,2.0
2020-10-31,158.3,260105623.0,391841.8451,17.7168,1.1375,2.0
2020-11-30,187.2,300649131.0,463378.3538,17.7168,1.3452,2.0
2020-12-31,232.85,406853685.0,576376.3338,17.7168,1.6732,2.0
2021-01-31,255.45,461875745.0,632318.3786,17.7168,1.8356,2.0
2021-02-28,302.5,450254449.0,748781.795,17.7168,2.1737,0.8
2021-03-31,287.05,222529416.0,710538.2289,64.9434,2.0104,0.8
2021-04-30,247.3,191671926.0,612144.5881,55.9502,1.732,0.8
2021-05-31,288.45,191456393.0,714003.6653,65.2602,2.0202,0.8
2021-06-30,281.1,202181033.0,695810.1242,63.5973,1.9687,0.8
2021-07-31,337.65,286547294.0,835790.1219,76.3914,2.3647,0.8
2021-08-31,320.55,186575292.0,793462.2348,72.5226,2.245,2.8
2021-09-30,417.2,372699979.0,1032701.433,94.3891,2.9219,2.0
2021-10-31,398.6,201177027.0,986660.5733,90.181,2.7916,2.0
2021-11-30,374.8,149527530.0,927748.0755,84.7964,2.6249,2.0
2021-12-31,390.45,124660417.0,966486.7558,88.3371,2.7345,2.0
2022-01-31,390.9,124390094.0,967600.6476,88.4389,2.7377,2.0
2022-02-28,350.75,177013884.0,868216.7489,79.3552,2.4565,2.0
2022-03-31,380.45,171993065.0,941733.6054,62.7805,2.5899,2.0
2022-04-30,371.85,100582167.0,920445.8961,61.3614,2.5313,2.0
2022-05-31,345.55,167281445.0,855345.1107,57.0215,2.3523,2.0
2022-06-30,312.7,123359483.0,774031.0118,51.6007,2.1287,2.0
2022-07-31,385.95,101469115.0,955346.5529,63.6881,2.6273,2.0
2022-08-31,390.0,93719819.0,965371.5653,64.3564,2.6549,3.0
2022-09-30,356.7,135676224.0,882943.6855,58.8614,2.4282,3.0
2022-10-31,385.5,84916283.0,954232.6627,63.6139,2.6242,3.0
2022-11-30,402.65,83102965.0,996684.2584,66.4439,2.741,3.0
2022-12-31,375.0,89617095.0,928241.8898,61.8812,2.5528,3.0
2023-01-31,356.05,66426237.0,881334.7329,58.7541,2.4238,3.0
2023-02-28,351.65,67768929.0,870443.3614,58.0281,2.3938,3.0
2023-03-31,356.7,74905543.0,882943.6855,43.3703,2.3428,3.0
2023-04-30,426.2,113000311.0,1054977.849,51.8206,2.7993,3.0
2023-05-31,474.9,156572146.0,1175525.529,57.742,3.1191,3.0
2023-06-30,490.55,92730853.0,1214264.157,59.6448,3.2219,3.0
2023-07-31,518.75,92268900.0,1284067.948,63.0736,3.4071,4.0
2023-08-31,504.1,118050951.0,1247804.631,61.2923,3.3109,4.0
2023-09-30,530.9,68240516.0,1314142.985,64.5509,3.4869,4.0
2023-10-31,563.5,92598637.0,1394838.146,68.5146,3.7011,4.0
2023-11-30,625.85,102603893.0,1549173.831,76.0956,4.1106,4.0
2023-12-31,726.4,77633210.0,1798066.423,88.3213,4.771,4.0
2024-01-31,802.6,149822091.0,1986685.175,97.5862,5.2715,4.0
2024-02-29,901.2,106608212.0,2230750.909,109.5748,5.9191,4.0
2024-03-31,897.0,77543651.0,2220354.6,81.3975,5.631,4.0
2024-04-30,891.85,83834431.0,2207606.745,80.9301,5.5987,4.0
2024-05-31,815.65,100823048.0,2018987.993,74.0154,5.1203,4.0
2024-06-30,824.75,96040203.0,2041513.33,74.8412,5.1775,4.0
2024-07-31,889.15,86804873.0,2200923.403,80.6851,5.5817,5.0
2024-08-31,845.1,66945211.0,2091885.923,76.6878,5.3052,5.0
2024-09-30,895.15,66584955.0,2215775.274,81.2296,5.6194,5.0
2024-10-31,819.85,88230823.0,2029384.302,74.3966,5.1467,5.0
2024-11-30,822.95,60346654.0,2037057.769,74.6779,5.1662,5.0
2024-12-31,824.9,62514223.0,2041884.626,74.8548,5.1784,5.0
2025-01-31,745.05,99638884.0,1844230.987,67.6089,4.6771,5.0
2025-02-28,635.55,73505455.0,1573184.355,57.6724,3.9897,5.0
2025-03-31,680.5,71810248.0,1684449.616,38.5771,3.9587,5.0
2025-04-30,674.3,68559349.0,1669102.683,38.2256,3.9227,5.0
2025-05-31,797.85,115199966.0,1974927.445,45.2296,4.6414,5.0
2025-06-30,837.8,86107313.0,2073816.147,47.4943,4.8738,5.0
2025-07-31,784.25,56476308.0,1941263.205,44.4586,4.5623,6.0
2025-08-31,739.05,49095696.0,1829379.116,41.8963,4.2993,6.0
2025-09-30,713.0,53576166.0,1764897.246,40.4195,4.1478,6.0
2025-10-31,756.25,48842437.0,1871954.478,42.8713,4.3994,6.0
2025-11-30,723.6,43241478.0,1791135.551,41.0204,4.2095,6.0
2025-12-31,687.4,44281190.0,1701529.267,38.9683,3.9989,6.0
2026-01-31,635.75,108719663.0,1573679.417,36.0402,3.6984,6.0
2026-02-28,603.85,61407474.0,1494716.974,34.2319,3.5128,6.0
2026-03-31,586.05,28260116.0,1450656.395,33.2228,3.4093,6.0
