SJVN IN Equity,price,volume,mc,pe,bm,div
2013-02-28,20.7,10181369.0,85628.1678,8.0233,1.0947,0.94
2013-03-31,18.9,6918526.0,78182.2402,7.4409,0.9296,0.94
2013-04-30,20.0,3508353.0,82732.5293,7.874,0.9837,0.94
2013-05-31,20.45,7166035.0,84594.0112,8.0512,1.0059,0.94
2013-06-30,20.0,13126406.0,82732.5293,7.874,0.9837,0.94
2013-07-31,19.1,4963265.0,79009.5655,7.5197,0.9395,0.94
2013-08-31,19.3,6986826.0,79836.8908,7.5984,0.9493,0.94
2013-09-30,19.0,19238263.0,78595.9028,7.4803,0.9346,0.96
2013-10-31,19.25,3227313.0,79630.0594,7.5787,0.9468,0.96
2013-11-30,21.0,17199659.0,86869.1558,8.2677,1.0329,0.96
2013-12-31,21.4,11551155.0,88523.8063,8.4252,1.0526,0.96
2014-01-31,21.0,5549199.0,86869.1558,8.2677,1.0329,0.96
2014-02-28,20.5,14566802.0,84800.8425,8.0709,1.0083,0.96
2014-03-31,21.05,5155784.0,87075.9871,7.8253,0.9621,0.96
2014-04-30,22.7,8833583.0,93901.4208,8.4387,1.0376,0.96
2014-05-31,24.7,46014619.0,102174.6737,9.1822,1.129,0.96
2014-06-30,24.85,62710478.0,102795.1677,9.2379,1.1358,0.96
2014-07-31,24.5,26335008.0,101347.3484,9.1078,1.1198,0.96
2014-08-31,24.05,16827900.0,99485.8665,8.9405,1.0993,0.96
2014-09-30,22.8,20303520.0,94315.0834,8.4758,1.0421,0.98
2014-10-31,24.0,17760890.0,99279.0352,8.9219,1.097,0.98
2014-11-30,23.8,42659222.0,98451.7099,8.8476,1.0878,0.98
2014-12-31,24.55,31468945.0,101554.1797,9.1264,1.1221,0.98
2015-01-31,25.15,17465403.0,104036.1556,9.3494,1.1495,0.98
2015-02-28,25.05,24046280.0,103622.4807,9.3123,1.145,1.61
2015-03-31,24.45,14327685.0,101140.5171,6.037,0.9913,1.61
2015-04-30,24.05,7822658.0,99485.8665,5.9383,0.9751,1.61
2015-05-31,24.55,23386567.0,101554.1797,6.0617,0.9954,1.61
2015-06-30,23.8,31109457.0,98451.7099,5.8765,0.9649,1.61
2015-07-31,25.45,18894728.0,105277.1435,6.284,1.0318,1.61
2015-08-31,24.05,16112633.0,99485.8665,5.9383,0.9751,1.61
2015-09-30,25.05,18581108.0,103622.4929,6.1852,1.0156,1.05
2015-10-31,28.55,22524468.0,118100.6856,7.0494,1.1575,1.05
2015-11-30,28.45,16720314.0,117687.0229,7.0247,1.1535,1.05
2015-12-31,31.8,28916785.0,131544.7216,7.8519,1.2893,1.05
2016-01-31,28.8,35157603.0,119134.8422,7.1111,1.1677,1.05
2016-02-29,28.4,14188804.0,117480.1916,7.0123,1.1515,1.05
2016-03-31,28.65,9171828.0,118514.3482,8.4018,1.0486,1.05
2016-04-30,28.45,6949968.0,117687.0229,8.3431,1.0413,1.05
2016-05-31,27.7,8498085.0,114584.5531,8.1232,1.0138,1.05
2016-06-30,28.55,8074769.0,118100.6856,8.3724,1.0449,1.05
2016-07-31,27.85,19750796.0,115205.047,8.1672,1.0193,1.05
2016-08-31,28.05,12467817.0,116032.3723,8.2258,1.0266,1.05
2016-09-30,29.0,12242120.0,119962.1675,8.5044,1.0614,0.94
2016-10-31,33.25,29780885.0,137542.83,9.7507,1.2169,0.94
2016-11-30,31.7,16088390.0,131131.0589,9.2962,1.1602,0.94
2016-12-31,30.0,14734667.0,124098.7939,8.7977,1.098,0.94
2017-01-31,32.65,21799751.0,135060.8541,9.5748,1.195,0.94
2017-02-28,32.95,41022561.0,136301.842,9.6628,1.2059,2.72
2017-03-31,33.65,17494973.0,139197.4805,8.9973,1.2115,2.72
2017-04-30,34.95,13926052.0,144575.0949,9.3449,1.2583,2.72
2017-05-31,32.1,17615732.0,132785.7095,8.5829,1.1557,2.72
2017-06-30,31.95,13820670.0,132165.2156,8.5428,1.1503,2.72
2017-07-31,33.3,23561986.0,137749.6613,8.9037,1.1989,2.72
2017-08-31,32.25,12865317.0,133406.2035,8.623,1.1611,2.72
2017-09-30,32.35,18947979.0,133819.8661,8.6497,1.1647,2.75
2017-10-31,35.45,30297091.0,146643.4082,9.4786,1.2763,2.75
2017-11-30,33.25,20862735.0,137542.8332,8.8904,1.1971,2.75
2017-12-31,33.9,18891862.0,140231.6405,9.0642,1.2205,2.75
2018-01-31,34.35,70243733.0,142093.1224,9.1845,1.2367,2.75
2018-02-28,34.6,20649611.0,143127.2769,9.2513,1.2457,2.4
2018-03-31,33.1,17622244.0,130076.2203,11.1448,1.2156,2.4
2018-04-30,33.3,14922609.0,130862.1793,11.2121,1.223,2.4
2018-05-31,30.85,9418403.0,121234.1811,10.3872,1.133,2.4
2018-06-30,29.15,7002804.0,114553.5294,9.8148,1.0706,2.4
2018-07-31,26.95,30751333.0,105907.98,9.0741,0.9898,2.4
2018-08-31,28.45,20569079.0,111802.6727,9.5791,1.0449,2.4
2018-09-30,27.4,11736849.0,107676.3878,9.2256,1.0063,2.1
2018-10-31,28.05,26313161.0,110230.7547,9.4444,1.0302,2.1
2018-11-30,27.0,8230948.0,106104.4697,9.0909,0.9916,2.1
2018-12-31,25.55,45999094.0,100406.2667,8.6027,0.9384,2.1
2019-01-31,24.2,22232243.0,95101.0432,8.1481,0.8888,2.1
2019-02-28,22.5,26389259.0,88420.3914,7.5758,0.8263,1.7
2019-03-31,24.2,53199308.0,95101.0432,6.9795,0.8456,1.7
2019-04-30,24.05,24947365.0,94511.574,6.9362,0.8404,1.7
2019-05-31,25.4,26231365.0,99816.7974,7.3256,0.8876,1.7
2019-06-30,24.9,19485116.0,97851.8999,7.1814,0.8701,1.7
2019-07-31,24.6,50990248.0,96672.9613,7.0948,0.8596,1.7
2019-08-31,24.6,45375977.0,96672.9613,7.0948,0.8596,1.7
2019-09-30,24.25,31417134.0,95297.533,6.9939,0.8474,2.15
2019-10-31,24.5,26319002.0,96279.9818,7.066,0.8561,2.15
2019-11-30,24.7,42316179.0,97065.9408,7.1237,0.8631,2.15
2019-12-31,25.45,21637427.0,100013.2872,7.34,0.8893,2.15
2020-01-31,25.35,41927827.0,99620.3077,7.3112,0.8858,2.15
2020-02-29,23.15,62150655.0,90974.7583,6.6767,0.8089,2.35
2020-03-31,20.75,66540413.0,81543.2499,5.2046,0.6766,2.35
2020-04-30,21.15,22208611.0,83115.168,5.3049,0.6897,2.35
2020-05-31,21.05,15827075.0,82722.1884,5.2798,0.6864,2.35
2020-06-30,21.8,62573414.0,85669.5348,5.4679,0.7109,2.35
2020-07-31,22.05,32084205.0,86651.9836,5.5306,0.719,2.35
2020-08-31,23.35,44528590.0,91760.7173,5.8567,0.7614,2.35
2020-09-30,21.95,28498869.0,86259.0041,5.5056,0.7158,2.2
2020-10-31,21.9,24553343.0,86062.5173,5.493,0.7141,2.2
2020-11-30,24.2,30167482.0,95101.0466,6.0699,0.7891,2.2
2020-12-31,24.85,78128115.0,97655.4135,6.233,0.8103,2.2
2021-01-31,24.9,59240877.0,97851.9033,6.2455,0.812,2.2
2021-02-28,25.5,84008591.0,100209.7805,6.396,0.8315,2.3
2021-03-31,26.05,84885424.0,102371.1643,6.2172,0.8003,2.3
2021-04-30,25.2,41018980.0,99030.8384,6.0143,0.7742,2.3
2021-05-31,27.95,60585175.0,109837.7751,6.6706,0.8587,2.3
2021-06-30,27.9,104547594.0,109641.2854,6.6587,0.8572,2.3
2021-07-31,27.25,53851420.0,107086.9223,6.5036,0.8372,2.3
2021-08-31,26.3,31769472.0,103353.6167,6.2768,0.808,2.3
2021-09-30,28.15,80514840.0,110623.738,6.7184,0.8648,2.2
2021-10-31,28.35,151250930.0,111409.6971,6.7661,0.871,2.2
2021-11-30,27.85,61148463.0,109444.7994,6.6468,0.8556,2.2
2021-12-31,30.65,60638663.0,120448.2263,7.315,0.9416,2.2
2022-01-31,30.65,116401066.0,120448.2263,7.315,0.9416,2.2
2022-02-28,28.65,55981092.0,112588.6357,6.8377,0.8802,1.55
2022-03-31,27.45,64145782.0,107872.8813,10.8929,0.8191,1.55
2022-04-30,28.5,129340955.0,111999.1664,11.3095,0.8504,1.55
2022-05-31,27.55,75080016.0,108265.8608,10.9325,0.822,1.55
2022-06-30,26.9,33466971.0,105711.4939,10.6746,0.8026,1.55
2022-07-31,28.35,24369057.0,111409.6932,11.25,0.8459,1.55
2022-08-31,30.8,64110616.0,121037.6914,12.2222,0.919,1.55
2022-09-30,31.05,112143268.0,122020.1402,12.3214,0.9265,1.7
2022-10-31,35.05,121103875.0,137739.3209,13.9087,1.0458,1.7
2022-11-30,39.85,194136006.0,156602.3377,15.8135,1.1891,1.7
2022-12-31,34.25,219294405.0,134595.4847,13.5913,1.022,1.7
2023-01-31,34.0,76864214.0,133613.036,13.4921,1.0145,1.7
2023-02-28,31.2,51269351.0,122609.6095,12.381,0.931,1.7
2023-03-31,33.25,160156817.0,130665.6896,9.6098,0.9428,1.7
2023-04-30,35.55,67564268.0,139704.2185,10.2746,1.008,1.7
2023-05-31,35.8,143191480.0,140686.6673,10.3468,1.0151,1.7
2023-06-30,40.9,322315027.0,160728.6227,11.8208,1.1597,1.7
2023-07-31,57.35,704027872.0,225373.7533,16.5751,1.6261,1.7
2023-08-31,62.65,432038478.0,246201.6677,18.1069,1.7764,1.7
2023-09-30,73.15,1570221099.0,287464.5171,21.1416,2.0741,1.77
2023-10-31,71.05,702661619.0,279211.9472,20.5347,2.0146,1.77
2023-11-30,84.95,702330121.0,333836.1001,24.552,2.4087,1.77
2023-12-31,90.95,663403800.0,357414.8712,26.2861,2.5788,1.77
2024-01-31,131.8,1242983625.0,517947.0041,38.0925,3.7371,1.77
2024-02-29,121.15,1801577735.0,476094.6855,35.0145,3.4351,1.77
2024-03-31,121.4,726273584.0,477077.1342,52.3276,3.3905,1.77
2024-04-30,134.4,599062908.0,528164.4715,57.931,3.7536,1.77
2024-05-31,139.7,521690797.0,548992.3859,60.2155,3.9016,1.77
2024-06-30,131.63,394928741.0,517278.9389,56.7371,3.6762,1.77
2024-07-31,148.47,812447143.0,583456.6896,63.9957,4.1466,1.77
2024-08-31,133.35,333470915.0,524038.1866,57.4784,3.7243,1.77
2024-09-30,132.51,231613139.0,520737.1586,57.1164,3.7008,1.8
2024-10-31,113.33,162636573.0,445363.6872,48.8491,3.1652,1.8
2024-11-30,114.89,146157189.0,451494.1677,49.5216,3.2087,1.8
2024-12-31,104.41,141084124.0,410309.9142,45.0043,2.916,1.8
2025-01-31,97.51,282200083.0,383194.3275,42.0302,2.7233,1.8
2025-02-28,84.11,179526274.0,330535.0722,36.2543,2.3491,1.8
2025-03-31,91.59,165007365.0,359929.9401,44.0337,2.5385,1.8
2025-04-30,94.03,150868903.0,369518.6403,45.2067,2.6062,1.8
2025-05-31,96.3,184828066.0,378439.2754,46.2981,2.6691,1.8
2025-06-30,100.53,177392520.0,395062.3089,48.3317,2.7863,1.8
2025-07-31,93.62,103597717.0,367907.4243,45.0096,2.5948,1.8
2025-08-31,93.66,164688390.0,368064.6161,45.0288,2.5959,1.8
2025-09-30,90.32,73968760.0,354939.1002,43.4231,2.5033,1.46
2025-10-31,88.03,52761085.0,345939.8693,42.3221,2.4399,1.46
2025-11-30,77.86,52613644.0,305973.8523,37.4327,2.158,1.46
2025-12-31,74.76,76255161.0,293791.4873,35.9423,2.0721,1.46
2026-01-31,72.5,328491376.0,284910.1502,34.8558,2.0094,1.46
2026-02-28,73.03,172837058.0,286992.9416,35.1106,2.0241,1.46
2026-03-31,72.52,19371783.0,284988.7329,34.8654,2.01,1.46
