SOIL IN Equity,price,volume,mc,pe,bm,div
2012-11-30,194.78,1423615.0,17625.6418,16.6707,4.3563,2.0
2012-12-31,191.69,1832070.0,17346.0277,16.4062,4.2872,2.0
2013-01-31,212.03,1949440.0,19186.5942,18.147,4.7421,2.0
2013-02-28,198.17,1925605.0,17932.4029,16.9608,4.4321,2.0
2013-03-31,205.97,1380695.0,18638.2249,15.7301,3.2544,2.0
2013-04-30,203.49,1286265.0,18413.8097,15.5407,3.2152,2.0
2013-05-31,181.32,1877835.0,16407.6464,13.8476,2.8649,2.0
2013-06-30,185.67,1442735.0,16801.2868,14.1798,2.9337,2.0
2013-07-31,165.61,1540120.0,14986.0564,12.6478,2.6167,2.0
2013-08-31,165.54,1186435.0,14979.7221,12.6424,2.6156,2.2
2013-09-30,186.1,1376575.0,16840.1975,14.2126,2.9405,2.2
2013-10-31,197.78,1853530.0,17897.1212,15.1046,3.125,2.2
2013-11-30,181.18,1541285.0,16394.9865,13.8369,2.8627,2.2
2013-12-31,180.43,2147470.0,16327.1189,13.7796,2.8509,2.2
2014-01-31,178.04,1375260.0,16110.8477,13.5971,2.8131,2.2
2014-02-28,179.58,1114745.0,16250.2024,13.7147,2.8375,2.2
2014-03-31,176.56,1646785.0,15976.9224,13.4902,2.415,2.2
2014-04-30,219.62,1243000.0,19873.4238,16.7803,3.004,2.2
2014-05-31,292.64,2789220.0,26481.0058,22.3594,4.0027,2.2
2014-06-30,410.57,1970505.0,37152.5003,31.37,5.6158,2.2
2014-07-31,411.93,420290.0,37275.5622,31.4739,5.6344,2.2
2014-08-31,415.97,584440.0,37641.1465,31.7826,5.6896,2.4
2014-09-30,479.56,578720.0,43395.4074,36.6412,6.5594,2.4
2014-10-31,502.25,309525.0,45448.6254,38.3748,6.8698,2.4
2014-11-30,533.89,471610.0,48311.7293,40.7923,7.3025,3.0
2014-12-31,539.28,301315.0,48799.4695,41.2042,7.3763,3.0
2015-01-31,620.11,348970.0,56113.7833,47.38,8.4819,3.0
2015-02-28,657.32,554910.0,59480.8877,50.2231,8.9908,3.0
2015-03-31,680.51,1871525.0,61579.382,41.7747,7.9366,3.0
2015-04-30,677.43,477275.0,61300.6693,41.5856,7.9007,3.0
2015-05-31,692.84,1072305.0,62695.122,42.5316,8.0804,3.0
2015-06-30,742.55,895350.0,67193.3833,45.5832,8.6602,3.0
2015-07-31,780.64,505025.0,70640.148,47.9214,9.1044,3.0
2015-08-31,687.3,1116650.0,62193.8083,42.1915,8.0158,3.4
2015-09-30,699.99,248430.0,63342.1259,42.9705,8.1638,3.4
2015-10-31,674.36,4537895.0,61022.8682,41.3972,7.8649,3.4
2015-11-30,657.07,411880.0,59458.2965,40.3358,7.6632,3.6
2015-12-31,704.69,962335.0,63767.4291,43.2591,8.2186,3.6
2016-01-31,616.35,1011450.0,55773.5396,37.8361,7.1883,3.6
2016-02-29,604.75,689400.0,54723.855,37.124,7.053,3.6
2016-03-31,691.6,195685.0,62582.9155,38.2438,7.7708,4.5
2016-04-30,678.65,214170.0,61411.0694,37.5277,7.6253,4.5
2016-05-31,629.96,555040.0,57005.1102,34.8353,7.0782,4.5
2016-06-30,629.81,877625.0,56991.5367,34.827,7.0765,4.5
2016-07-31,658.75,950860.0,59610.3213,36.4273,7.4017,4.5
2016-08-31,658.6,1176754.0,59596.7478,36.419,7.4,4.5
2016-09-30,650.2,1113638.0,58836.6313,35.9545,7.3056,4.5
2016-10-31,674.0,658104.0,60990.2946,37.2706,7.573,4.5
2016-11-30,664.15,401914.0,60098.9676,36.7259,7.4624,4.5
2016-12-31,674.9,192755.0,61071.7356,37.3203,7.5831,4.5
2017-01-31,695.2,607640.0,62908.6836,38.4429,7.8112,2.7
2017-02-28,714.95,324561.0,64695.8676,39.535,8.0331,2.0
2017-03-31,788.2,745130.0,71324.2644,38.2354,7.6818,2.0
2017-04-30,801.6,516605.0,72536.8312,38.8854,7.8124,2.0
2017-05-31,831.1,1036085.0,75206.288,40.3164,8.0999,2.0
2017-06-30,824.65,895448.0,74622.6271,40.0036,8.037,2.0
2017-07-31,897.85,1057321.0,81246.4994,43.5545,8.7504,2.0
2017-08-31,883.95,694655.0,79988.6876,42.8802,8.6149,5.0
2017-09-30,905.3,1526527.0,81920.6503,43.9159,8.823,5.0
2017-10-31,1027.3,806237.0,92960.4375,49.834,10.012,5.0
2017-11-30,1158.4,593026.0,104823.682,56.1937,11.2897,5.0
2017-12-31,1180.15,966785.0,106791.8408,57.2488,11.5017,5.0
2018-01-31,1069.15,1781919.0,96747.4444,51.8642,10.4199,5.0
2018-02-28,1026.95,505434.0,92928.762,49.8171,10.0086,3.0
2018-03-31,1068.55,326602.0,96693.1483,43.8418,8.9222,3.0
2018-04-30,1063.7,449646.0,96254.2715,43.6428,8.8817,3.0
2018-05-31,1170.65,1309619.0,105932.1829,48.0309,9.7747,3.0
2018-06-30,1128.1,496592.0,102081.831,46.2851,9.4194,3.0
2018-07-31,1194.05,631079.0,108049.6502,48.991,9.9701,6.0
2018-08-31,1168.4,343918.0,105728.5803,47.9386,9.7559,6.0
2018-09-30,1060.1,292659.0,95928.5073,43.4951,8.8516,6.0
2018-10-31,1002.65,342492.0,90729.8536,41.138,8.3719,6.0
2018-11-30,1028.3,193283.0,93050.9236,42.1904,8.5861,6.0
2018-12-31,1088.5,211907.0,98498.4249,44.6604,9.0887,6.0
2019-01-31,1008.25,207711.0,91236.598,41.3678,8.4187,6.0
2019-02-28,941.9,139509.0,85232.5828,38.6455,7.8647,6.0
2019-03-31,1084.6,377263.0,98145.5137,37.5164,7.9265,6.0
2019-04-30,1075.3,78759.0,97303.9561,37.1947,7.8585,6.0
2019-05-31,1176.2,529171.0,106434.4027,40.6849,8.5959,6.0
2019-06-30,1262.55,280448.0,114248.2189,43.6717,9.227,6.0
2019-07-31,1117.75,1487417.0,101145.259,38.6631,8.1688,7.0
2019-08-31,1110.6,397320.0,100498.2551,38.4158,8.1165,7.0
2019-09-30,1112.1,331971.0,100633.9902,38.4677,8.1275,7.0
2019-10-31,1064.3,353893.0,96308.5655,36.8143,7.7781,7.0
2019-11-30,1057.95,394760.0,95733.9537,36.5946,7.7317,7.0
2019-12-31,1060.35,392261.0,95951.1298,36.6776,7.7493,7.0
2020-01-31,1267.2,806086.0,114668.9977,43.8326,9.261,7.0
