MRF IN Equity,price,volume,mc,pe,bm,div
2010-06-30,7748.0,522418.0,32859.2694,13.1033,2.4239,25.0
2010-07-31,7329.55,293304.0,31084.622,12.3957,2.293,25.0
2010-08-31,7593.95,470008.0,32205.9441,12.8428,2.3757,25.0
2010-09-30,8759.45,924291.0,37148.8298,10.3917,2.2003,25.0
2010-10-31,9304.55,665539.0,39460.5974,11.0383,2.3372,25.0
2010-11-30,7853.5,379764.0,33306.6949,9.3169,1.9727,25.0
2010-12-31,7202.5,278476.0,30545.8038,8.5446,1.8092,25.0
2011-01-31,6059.2,281245.0,25697.0691,7.1883,1.522,25.0
2011-02-28,5663.5,262333.0,24018.9045,6.7188,1.4226,25.0
2011-03-31,6271.1,424030.0,26595.7367,7.4396,1.5752,25.0
2011-04-30,7123.3,557264.0,30209.9158,8.4506,1.7893,25.0
2011-05-31,6787.25,269160.0,28784.7284,8.052,1.7049,25.0
2011-06-30,6697.5,310740.0,28404.0987,7.9455,1.6823,25.0
2011-07-31,7208.85,534911.0,30572.7346,8.5521,1.8108,25.0
2011-08-31,6619.15,319615.0,28071.8158,7.8525,1.6627,25.0
2011-09-30,6617.7,262873.0,28065.6677,4.5359,1.2234,25.0
2011-10-31,6823.1,121088.0,28936.7688,4.6767,1.2614,25.0
2011-11-30,6961.65,181803.0,29524.3583,4.7716,1.287,25.0
2011-12-31,6979.2,288744.0,29598.7892,4.7836,1.2902,25.0
2012-01-31,7904.8,280849.0,33524.2574,5.4181,1.4613,25.0
2012-02-29,9859.15,747427.0,41812.6585,6.7576,1.8226,25.0
2012-03-31,9932.65,495942.0,42114.4353,6.808,1.8362,25.0
2012-04-30,11477.1,641373.0,48662.8998,7.8666,2.1218,25.0
2012-05-31,10915.4,373269.0,46293.3027,7.4816,2.0179,25.0
2012-06-30,10032.65,237775.0,42549.4718,6.8765,1.8547,25.0
2012-07-31,9592.25,307634.0,40681.6899,6.5747,1.7733,25.0
2012-08-31,10048.65,456758.0,42617.3294,6.8875,1.8577,25.0
2012-09-30,10272.75,227038.0,43567.7583,7.5195,1.5228,25.0
2012-10-31,10163.9,238401.0,43106.1162,7.4399,1.5067,25.0
2012-11-30,10943.7,230645.0,46413.3251,8.0107,1.6222,25.0
2012-12-31,12818.95,413952.0,54366.4475,9.3833,1.9002,25.0
2013-01-31,13138.85,279374.0,55723.173,9.6175,1.9476,25.0
2013-02-28,11427.75,227207.0,48466.2286,8.365,1.694,25.0
2013-03-31,11971.8,211890.0,50773.5982,8.7632,1.7746,25.0
2013-04-30,13379.35,386056.0,56743.1575,9.7935,1.9833,25.0
2013-05-31,14895.1,376495.0,63171.6046,10.9031,2.208,25.0
2013-06-30,12926.15,246911.0,54821.6551,9.4618,1.9161,25.0
2013-07-31,13217.45,496950.0,56057.0993,9.675,1.9593,25.0
2013-08-31,12893.95,276370.0,54685.0895,9.4382,1.9113,25.0
2013-09-30,13385.05,306967.0,56767.9134,7.0205,1.553,25.0
2013-10-31,15751.1,358164.0,66802.6695,8.2614,1.8275,25.0
2013-11-30,17348.9,282971.0,73579.1713,9.0995,2.0129,25.0
2013-12-31,19364.4,504965.0,82127.1955,10.1566,2.2467,25.0
2014-01-31,19433.95,239761.0,82422.1622,10.1931,2.2548,30.0
2014-02-28,19086.75,197804.0,80949.6405,10.011,2.2145,30.0
2014-03-31,21788.75,307662.0,92409.2095,11.4282,2.528,30.0
2014-04-30,20528.55,407194.0,87064.5242,10.7672,2.3818,30.0
2014-05-31,22733.3,166365.0,96415.1848,11.9236,2.6376,30.0
2014-06-30,23611.6,128438.0,100140.1758,12.3843,2.7395,30.0
2014-07-31,23337.2,214499.0,98976.4045,12.2403,2.7076,30.0
2014-08-31,24030.95,92837.0,101918.6976,12.6042,2.7881,30.0
2014-09-30,32681.95,615231.0,138608.8277,15.2599,3.0534,30.0
2014-10-31,31315.65,204850.0,132814.1585,14.6219,2.9257,30.0
2014-11-30,33543.7,259954.0,142263.6329,15.6623,3.1339,30.0
2014-12-31,37918.55,577560.0,160818.0049,17.705,3.5426,30.0
2015-01-31,40036.9,325956.0,169802.2206,18.6941,3.7405,30.0
2015-02-28,41200.35,329303.0,174730.6982,19.2373,3.8492,50.0
2015-03-31,38750.65,217921.0,164347.0501,18.0935,3.6203,50.0
2015-04-30,36664.15,278336.0,155497.9048,17.1193,3.4254,50.0
2015-05-31,35874.3,205132.0,152148.0479,16.7505,3.3516,50.0
2015-06-30,34230.85,224196.0,145177.9442,15.9831,3.1981,50.0
2015-07-31,40839.25,329934.0,173205.1085,19.0687,3.8155,50.0
2015-08-31,40392.2,482691.0,171309.1023,18.86,3.7737,50.0
2015-09-30,41935.95,265103.0,177856.3671,19.5808,3.9179,50.0
2015-10-31,39751.4,224597.0,168591.3742,18.5608,3.7138,50.0
2015-11-30,38866.1,165330.0,164836.7034,18.1474,3.6311,50.0
2015-12-31,39877.5,91429.0,169126.189,18.6196,3.7256,50.0
2016-01-31,35626.25,143327.0,151096.0289,16.6346,3.3284,50.0
2016-02-29,32547.05,148073.0,138036.7041,15.1969,3.0408,50.0
2016-03-31,38296.75,153741.0,162422.0019,6.4725,2.3691,50.0
2016-04-30,33787.75,141956.0,143298.6871,5.7104,2.0902,6.0
2016-05-31,33774.45,196972.0,143242.2767,5.7082,2.0894,6.0
2016-06-30,33077.65,150251.0,140287.0446,5.5904,2.0463,6.0
2016-07-31,33844.15,149393.0,143537.8809,5.7199,2.0937,6.0
2016-08-31,37431.8,250404.0,158753.6285,6.3263,2.3156,100.0
2016-09-30,50872.55,564163.0,215757.7743,8.5979,3.1471,100.0
2016-10-31,47958.95,480175.0,203400.7728,8.1055,2.9669,97.0
2016-11-30,49900.1,408294.0,211633.4777,8.4335,3.0869,100.0
2016-12-31,48905.65,264287.0,207415.8596,8.2655,3.0254,100.0
2017-01-31,51659.5,306394.0,219095.3385,8.7309,3.1958,97.0
2017-02-28,51835.05,272958.0,219839.8747,8.7605,3.2066,100.0
2017-03-31,60954.45,530699.0,258516.5496,17.3942,2.9918,100.0
2017-04-30,67909.2,381738.0,288012.6569,19.3789,3.3332,100.0
2017-05-31,65559.1,382732.0,278045.5329,18.7082,3.2178,100.0
2017-06-30,68325.9,383719.0,289779.928,19.4978,3.3536,100.0
2017-07-31,69198.75,215196.0,293481.8099,19.7469,3.3965,60.0
2017-08-31,64089.6,331850.0,271813.1729,18.2889,3.1457,60.0
2017-09-30,63005.3,262116.0,267214.5013,17.9795,3.0925,60.0
2017-10-31,66422.45,170570.0,281707.1239,18.9546,3.2602,60.0
2017-11-30,68583.5,233693.0,290872.4309,19.5713,3.3663,60.0
2017-12-31,72357.05,215522.0,306876.5961,20.6481,3.5515,60.0
2018-01-31,68113.35,168375.0,288878.4576,19.4371,3.3432,60.0
2018-02-28,73391.6,215407.0,311264.2706,20.9434,3.6023,60.0
2018-03-31,72513.25,119036.0,307539.0626,27.1771,3.1581,60.0
2018-04-30,79933.45,188188.0,339009.1919,29.9581,3.4812,60.0
2018-05-31,75734.05,177298.0,321198.936,28.3842,3.2983,60.0
2018-06-30,74974.45,106655.0,317977.3638,28.0996,3.2653,60.0
2018-07-31,79490.35,132891.0,337129.9415,29.7921,3.4619,60.0
2018-08-31,74026.75,180399.0,313958.0326,27.7444,3.224,60.0
2018-09-30,63598.55,156039.0,269730.5451,23.836,2.7698,60.0
2018-10-31,64498.55,178379.0,273547.5738,24.1733,2.809,60.0
2018-11-30,67332.05,127718.0,285564.8525,25.2353,2.9324,60.0
2018-12-31,66984.7,135592.0,284091.6915,25.1051,2.9173,60.0
2019-01-31,61289.2,118737.0,259936.2616,22.9705,2.6692,60.0
2019-02-28,56839.55,206093.0,241064.6596,21.3028,2.4755,60.0
2019-03-31,57987.15,141666.0,245931.7953,21.7521,2.2693,60.0
2019-04-30,52905.0,135881.0,224377.6704,19.8457,2.0704,60.0
2019-05-31,55265.1,185289.0,234387.192,20.731,2.1628,60.0
2019-06-30,56609.6,123535.0,240089.4088,21.2353,2.2154,60.0
2019-07-31,53548.75,117883.0,227107.9062,20.0872,2.0956,60.0
2019-08-31,58590.05,117692.0,248488.7804,21.9782,2.2929,60.0
2019-09-30,63291.55,147648.0,268428.5142,23.7419,2.4769,60.0
2019-10-31,65673.75,114359.0,278531.7651,24.6355,2.5701,60.0
2019-11-30,63397.05,100562.0,268875.9548,23.7814,2.481,60.0
2019-12-31,66330.3,112801.0,281316.2875,24.8818,2.5958,60.0
2020-01-31,69674.75,195033.0,295500.5782,26.1363,2.7267,60.0
2020-02-29,66393.2,176361.0,281583.0554,24.9054,2.5983,60.0
2020-03-31,58164.45,328594.0,246683.75,17.3408,2.0196,60.0
2020-04-30,60510.65,279200.0,256634.3197,18.0403,2.101,60.0
2020-05-31,59113.1,159730.0,250707.1103,17.6236,2.0525,60.0
2020-06-30,67274.5,268630.0,285320.7748,20.0568,2.3359,60.0
