ABFRL IN Equity,price,volume,mc,pe,bm,div
2019-01-31,75.25,30926756.0,161685.4283,25.531,4.9872,0.0
2019-02-28,80.92,22729162.0,173879.3651,27.4565,4.9872,0.0
2019-03-31,79.14,17152526.0,170059.1127,19.3473,4.3463,0.0
2019-04-30,77.49,11571374.0,166878.625,18.9434,4.2556,0.0
2019-05-31,75.77,17826014.0,163170.2882,18.5219,4.1609,0.0
2019-06-30,77.35,8700559.0,166573.6979,17.9975,4.2004,0.0
2019-07-31,67.61,10807934.0,145611.7884,15.7327,4.2004,0.0
2019-08-31,68.08,14273164.0,146617.6826,15.8413,4.2004,0.0
2019-09-30,75.91,8038261.0,163480.0698,20.2662,4.4669,0.0
2019-10-31,76.22,6938296.0,164163.673,20.3477,4.4849,0.0
2019-11-30,80.9,12452255.0,174261.1292,21.5991,4.7607,0.0
2019-12-31,83.22,14518558.0,179256.2861,35.1779,4.7966,0.0
2020-01-31,83.92,9319592.0,180764.9169,35.4739,4.7966,0.0
2020-02-29,90.3,24227364.0,194567.2701,38.1688,4.7966,0.0
2020-03-31,54.92,24725654.0,118336.6472,24.1857,4.0378,0.0
2020-04-30,41.52,30919021.0,89468.3873,24.1857,3.0528,0.0
2020-05-31,43.06,50239775.0,92796.3636,24.1857,3.1664,0.0
2020-06-30,45.66,65138614.0,96978.1163,24.1857,3.3644,0.0
2020-07-31,45.44,45530237.0,96513.7359,24.1857,3.3644,0.0
2020-08-31,50.98,56716969.0,108451.7292,24.1857,3.3644,0.0
2020-09-30,48.68,41022821.0,103572.0045,24.1857,4.0646,0.0
2020-10-31,55.86,129032038.0,118843.0073,24.1857,4.664,0.0
2020-11-30,59.27,40648684.0,126125.6593,24.1857,4.9485,0.0
2020-12-31,60.34,43471479.0,128439.7121,24.1857,5.0291,0.0
2021-01-31,54.69,58467755.0,127519.5371,24.1857,5.0291,0.0
2021-02-28,66.9,80875061.0,155939.7264,24.1857,5.0291,0.0
2021-03-31,73.33,73636148.0,170944.7116,24.1857,2.601,0.0
2021-04-30,63.77,49389724.0,148656.5295,24.1857,2.2618,0.0
2021-05-31,71.11,46311834.0,165759.1587,24.1857,2.5222,0.0
2021-06-30,78.61,78703470.0,183633.9135,24.1857,2.7606,0.0
2021-07-31,81.71,93586776.0,190839.3369,24.1857,2.7606,0.0
2021-08-31,75.83,50805791.0,185710.5881,24.1857,2.7606,0.0
2021-09-30,89.77,91011239.0,219845.2829,24.1857,3.2935,0.0
2021-10-31,95.83,112942430.0,222930.7123,24.1857,3.516,0.0
2021-11-30,92.95,109796556.0,239128.8653,24.1857,3.4104,0.0
2021-12-31,99.2,87374695.0,255275.2032,24.1857,3.494,0.0
2022-01-31,106.96,86079992.0,275367.6201,24.1857,3.494,0.0
2022-02-28,97.8,63773117.0,251788.4046,24.1857,3.494,0.0
2022-03-31,110.08,52190250.0,283436.3115,24.1857,3.7252,0.0
2022-04-30,104.03,52012902.0,267863.4922,24.1857,3.5205,0.0
2022-05-31,98.86,54798505.0,254544.4751,24.1857,3.3454,0.0
2022-06-30,86.38,44408395.0,222423.1066,23.9934,2.9724,0.0
2022-07-31,97.89,34492878.0,252076.2672,27.1919,2.9724,0.0
2022-08-31,111.48,72109186.0,287075.4024,30.9672,2.9724,0.0
2022-09-30,127.21,61321663.0,331160.8206,32.2855,3.3546,0.0
2022-10-31,128.95,33461289.0,335718.5676,32.7295,3.4007,0.0
2022-11-30,114.52,55137335.0,298159.1288,29.0672,3.0202,0.0
2022-12-31,104.76,42789101.0,272748.7873,50.6083,2.7679,0.0
2023-01-31,93.52,38120583.0,243482.1698,45.1778,2.7679,0.0
2023-02-28,83.7,60401758.0,217920.8028,40.4339,2.7679,0.0
2023-03-31,78.1,41552068.0,203366.2473,37.1685,2.2165,0.0
2023-04-30,81.13,45063716.0,211242.5593,37.1685,2.3024,0.0
2023-05-31,73.4,135399101.0,191131.8672,37.1685,2.0831,0.0
2023-06-30,77.59,72968318.0,202046.6474,37.1685,2.2072,0.0
2023-07-31,81.31,73662992.0,211731.9849,37.1685,2.2072,0.0
2023-08-31,80.0,88013711.0,208345.7516,37.1685,2.2072,0.0
2023-09-30,78.07,66002253.0,203329.7593,37.1685,2.521,0.0
2023-10-31,78.25,65213469.0,203827.1632,37.1685,2.5269,0.0
2023-11-30,84.45,52916493.0,219962.4916,37.1685,2.7269,0.0
2023-12-31,81.51,54340049.0,212324.177,37.1685,2.5881,0.0
2024-01-31,88.89,142077348.0,231544.4031,37.1685,2.5881,0.0
2024-02-29,82.06,132993654.0,213747.8974,37.1685,2.5881,0.0
2024-03-31,74.9,81528963.0,208627.1269,37.1685,1.89,0.0
2024-04-30,95.83,246008112.0,266937.7099,37.1685,2.4182,0.0
2024-05-31,104.81,178392375.0,291961.7697,37.1685,2.6449,0.0
2024-06-30,113.74,145502840.0,316829.6401,37.1685,2.9281,0.0
2024-07-31,125.24,142321622.0,348852.6263,37.1685,2.9281,0.0
2024-08-31,113.58,99653800.0,316376.9282,37.1685,2.9281,0.0
2024-09-30,127.24,137402572.0,373925.4856,37.1685,3.3227,0.0
2024-10-31,112.28,70185737.0,330078.2788,37.1685,2.9321,0.0
2024-11-30,114.32,83827381.0,336080.0757,37.1685,2.9854,0.0
2024-12-31,102.01,53405642.0,299881.2331,37.1685,2.6443,0.0
2025-01-31,99.79,78481563.0,312136.099,37.1685,2.6443,0.0
2025-02-28,88.23,47824190.0,295483.5235,37.1685,2.6443,0.0
2025-03-31,93.38,47689176.0,312713.4526,37.1685,1.6727,0.0
2025-04-30,96.03,41307139.0,321599.7723,37.1685,1.7202,0.0
2025-05-31,85.85,202908778.0,104762.3063,37.1685,1.5378,0.0
2025-06-30,75.0,469033246.0,91522.108,37.1685,1.3381,0.0
2025-07-31,72.87,192257662.0,88922.8801,37.1685,1.3381,0.0
2025-08-31,77.35,282451525.0,94389.8007,37.1685,1.3381,0.0
2025-09-30,84.49,308308093.0,103102.7054,37.1685,1.6489,0.0
2025-10-31,81.64,73968229.0,99643.2979,37.1685,1.5933,0.0
2025-11-30,78.15,83623727.0,96165.1811,37.1685,1.5252,0.0
2025-12-31,76.78,98302364.0,94479.368,37.1685,1.4836,0.0
2026-01-31,66.41,246321843.0,81718.8699,37.1685,1.4836,0.0
2026-02-28,66.93,107771561.0,82359.1087,37.1685,1.4836,0.0
2026-03-31,64.24,11454915.0,79048.991,37.1685,1.4836,0.0
