UPLL IN Equity,price,volume,mc,pe,bm,div
2007-02-28,101.79,18699405.0,59489.0768,27.2327,4.6639,0.3197
2007-03-31,103.81,22678333.0,60666.3383,21.5568,4.0712,0.3837
2007-04-30,105.69,17812336.0,61768.853,21.9486,4.1452,0.3837
2007-05-31,90.33,34732113.0,52789.8986,18.758,3.5426,0.3837
2007-06-30,99.57,33483928.0,58195.6452,20.677,3.905,0.3837
2007-07-31,98.51,36352312.0,57578.9283,20.4579,3.8637,0.3837
2007-08-31,106.14,20806729.0,62036.1092,22.0415,4.1627,0.3837
2007-09-30,127.04,44892081.0,74249.0143,26.3808,4.9822,0.3837
2007-10-31,114.65,45663676.0,75671.9786,23.8078,4.4963,0.3837
2007-11-30,109.66,38217117.0,72665.2733,22.7719,4.3007,0.3837
2007-12-31,111.58,23124147.0,74292.8532,23.1703,4.3759,0.3837
2008-01-31,110.74,52426453.0,73739.3028,22.9977,4.3433,0.3837
2008-02-29,107.12,27094640.0,71322.8423,22.244,4.201,0.3837
2008-03-31,83.82,26724752.0,55812.7854,40.5664,2.5729,0.3837
2008-04-30,103.12,21161887.0,68661.5422,49.9052,3.1652,0.3837
2008-05-31,109.19,32115137.0,72706.7184,52.8454,3.3517,0.0
2008-06-30,90.26,14470780.0,61821.0465,43.6845,2.7706,0.0
2008-07-31,108.71,20969954.0,74456.8042,52.6133,3.3369,0.0
2008-08-31,107.4,32727867.0,73558.9427,51.9788,3.2967,0.0
2008-09-30,98.98,38170652.0,67830.6397,47.9013,3.0381,0.6395
2008-10-31,67.91,51618488.0,46542.5746,32.8678,2.0846,0.6395
2008-11-30,51.99,11756258.0,35683.2518,25.1615,1.5958,0.6395
2008-12-31,69.1,21346073.0,47424.0511,33.4404,2.1209,0.6395
2009-01-31,60.08,12761393.0,41235.4056,29.0766,1.8442,0.6395
2009-02-28,56.56,13632107.0,38821.4117,27.3744,1.7362,0.6395
2009-03-31,62.83,21617922.0,43122.71,9.4712,1.6157,0.6395
2009-04-30,73.51,30604661.0,50452.4734,11.081,1.8903,0.6395
2009-05-31,104.81,72352759.0,71937.0195,15.7997,2.6953,0.6395
2009-06-30,91.29,74185885.0,62654.1155,13.7609,2.3475,0.6395
2009-07-31,109.61,50125401.0,75228.8294,16.5227,2.8186,0.6395
2009-08-31,108.14,57604768.0,74219.341,16.301,2.7808,0.6395
2009-09-30,106.06,52002713.0,72792.8901,15.9877,2.7274,0.9592
2009-10-31,91.99,69403159.0,63136.9143,13.8669,2.3656,0.9592
2009-11-30,95.51,47450187.0,65550.9082,14.3971,2.456,0.9592
2009-12-31,111.08,47758250.0,76238.3178,16.7444,2.8565,0.9592
2010-01-31,99.38,33354175.0,68206.3016,14.9803,2.5555,0.9592
2010-02-28,96.82,26262545.0,66450.6696,14.5947,2.4897,0.9592
2010-03-31,95.41,30231142.0,65485.072,12.8202,2.1921,0.9592
2010-04-30,108.84,66248261.0,74702.1398,14.6246,2.5006,0.9592
2010-05-31,116.48,71611181.0,79947.0903,15.6514,2.6762,0.9592
2010-06-30,117.7,102908645.0,80781.0155,15.8147,2.7041,0.9592
2010-07-31,117.8,65897941.0,81072.4416,15.8276,2.7063,0.9592
2010-08-31,117.89,51986340.0,81138.4615,15.8405,2.7085,1.279
2010-09-30,114.73,31633419.0,78990.3051,15.4151,2.6358,1.279
2010-10-31,127.45,99231375.0,87752.3289,17.1251,2.9282,1.279
2010-11-30,120.54,61074238.0,84753.5014,16.1971,2.7695,1.279
2010-12-31,110.6,76539578.0,79755.7384,14.8609,2.541,1.279
2011-01-31,87.04,49955742.0,62762.3937,11.6945,1.9996,1.279
2011-02-28,87.0,49935919.0,62739.3363,11.6902,1.9989,1.279
2011-03-31,95.57,49315484.0,68918.7343,11.707,1.8523,1.279
2011-04-30,96.76,36692856.0,69771.8602,11.852,1.8752,1.279
2011-05-31,103.73,47570962.0,74798.3855,12.7058,2.0103,1.279
2011-06-30,97.65,27963144.0,70417.4689,11.9616,1.8926,1.279
2011-07-31,106.32,42933858.0,76666.0394,13.023,2.0605,1.279
2011-08-31,93.05,45944545.0,67097.1953,11.3976,1.8033,1.279
2011-09-30,88.06,35504287.0,63500.2323,10.7866,1.7066,1.279
2011-10-31,93.69,39154799.0,67558.3445,11.4759,1.8157,1.279
2011-11-30,87.9,33628630.0,63384.945,10.767,1.7035,1.279
2011-12-31,81.15,38086814.0,58519.8219,9.9406,1.5728,1.279
2012-01-31,94.39,35773648.0,68065.6085,11.5621,1.8293,1.279
2012-02-29,99.67,49101354.0,71870.0886,12.2084,1.9316,1.279
2012-03-31,83.2,84853496.0,59995.4991,10.467,1.4397,1.279
2012-04-30,74.37,75580405.0,53631.6414,9.3568,1.287,1.279
2012-05-31,70.82,65966001.0,51072.2638,8.9102,1.2256,1.279
2012-06-30,80.51,42575873.0,58058.6728,10.1291,1.3932,1.279
2012-07-31,76.68,31872470.0,55291.7782,9.6464,1.3268,1.5987
2012-08-31,76.48,28167528.0,55153.4334,9.6223,1.3235,1.5987
2012-09-30,84.19,24519019.0,60710.2802,10.5917,1.4569,1.5987
2012-10-31,72.97,39534007.0,52617.1133,9.1798,1.2627,1.5987
2012-11-30,75.33,93326102.0,54323.365,9.4774,1.3036,1.5987
2012-12-31,83.26,78337719.0,60041.614,10.4751,1.4408,1.5987
2013-01-31,85.12,88299736.0,58910.6335,10.7084,1.4729,1.5987
2013-02-28,74.05,46580191.0,51253.579,9.3165,1.2815,1.5987
2013-03-31,75.08,57199618.0,51961.7459,6.7252,1.1186,1.5987
2013-04-30,90.26,49890439.0,62473.5982,8.0858,1.3449,0.3197
2013-05-31,99.12,88647049.0,68603.6679,8.8792,1.4769,0.3197
2013-06-30,86.81,66854746.0,60083.535,7.7764,1.2934,0.3197
2013-07-31,81.44,72033242.0,56365.6588,7.2952,1.2134,1.5987
2013-08-31,85.31,132364864.0,59043.4148,7.6418,1.2711,1.5987
2013-09-30,92.63,62706270.0,64111.2342,8.2977,1.3802,1.5987
2013-10-31,105.2,64407318.0,72808.4088,9.4234,1.5674,1.5987
2013-11-30,106.86,45894518.0,73959.18,9.5723,1.5922,1.5987
2013-12-31,126.59,76459043.0,87613.523,11.3395,1.8861,1.5987
2014-01-31,120.93,80152566.0,83696.4748,10.8326,1.8018,1.5987
2014-02-28,116.9,41476486.0,78348.8677,10.4717,1.7417,1.5987
2014-03-31,117.95,51767540.0,79056.0648,8.5433,1.5066,1.5987
2014-04-30,171.45,169648420.0,114908.8153,12.4178,2.1898,1.5987
2014-05-31,193.0,144174656.0,129352.7805,13.9787,2.4651,1.5987
2014-06-30,218.36,70052993.0,146346.9413,15.8152,2.7889,1.5987
2014-07-31,210.3,77655671.0,140946.527,15.2316,2.686,1.5987
2014-08-31,202.14,52843790.0,135481.8221,14.641,2.5819,2.558
2014-09-30,217.46,62402627.0,145746.8953,15.7503,2.7775,2.558
2014-10-31,222.9,39084321.0,149390.0319,16.144,2.8469,2.558
2014-11-30,221.14,53202061.0,148211.3701,16.0167,2.8245,2.558
2014-12-31,221.62,64680703.0,148532.8233,16.0514,2.8306,2.558
2015-01-31,235.56,61808942.0,157876.3973,17.0611,3.0086,2.558
2015-02-28,265.9,80340347.0,178213.5448,19.2589,3.3962,2.558
2015-03-31,282.75,52056775.0,189507.3953,16.4583,3.2337,2.558
2015-04-30,313.77,80050462.0,210294.7043,18.2636,3.5884,2.558
2015-05-31,353.42,142103636.0,236868.1714,20.5715,4.0419,2.558
2015-06-30,342.51,78176126.0,229560.4679,19.9368,3.9172,2.558
2015-07-31,342.58,64888728.0,229603.3284,19.9405,3.9179,3.1975
2015-08-31,321.38,57027272.0,215395.0955,18.7066,3.6755,3.1975
2015-09-30,293.08,69467465.0,196429.3549,17.0595,3.3518,3.1975
2015-10-31,293.98,57010724.0,197029.4009,17.1116,3.3621,3.1975
2015-11-30,265.87,44202823.0,178192.2415,15.4756,3.0407,3.1975
2015-12-31,280.16,42507553.0,187771.5478,16.3075,3.2041,3.1975
2016-01-31,279.56,36498010.0,187364.3737,16.2722,3.1972,3.1975
2016-02-29,244.06,32172870.0,163576.8346,14.2063,2.7913,3.1975
2016-03-31,305.49,37053620.0,204744.2784,25.7659,3.4767,3.1975
2016-04-30,343.98,41484282.0,230546.2579,29.0129,3.9149,3.1975
2016-05-31,380.82,92236392.0,255233.8661,32.1197,4.3341,3.1975
2016-06-30,351.79,62103149.0,235775.2304,29.671,4.0037,3.1975
2016-07-31,399.59,67597336.0,267813.4025,33.7028,4.5477,3.1975
2016-08-31,408.61,58193038.0,273856.7233,34.4633,4.6503,3.1975
2016-09-30,430.92,58461265.0,341586.4676,36.3457,4.9043,3.1975
2016-10-31,445.22,45338615.0,352916.0774,37.5512,5.067,3.1975
2016-11-30,405.41,54310901.0,321360.4528,34.1936,4.6139,3.1975
2016-12-31,413.75,42395180.0,327997.2108,34.8975,4.7089,3.1975
2017-01-31,463.47,56548064.0,367412.6406,39.0912,5.2748,3.1975
2017-02-28,459.35,41353830.0,364142.8076,38.7433,5.2278,3.1975
2017-03-31,464.85,54802719.0,368550.767,21.3417,5.0383,3.1975
2017-04-30,515.53,64417285.0,409503.5837,23.6685,5.5876,3.1975
2017-05-31,550.8,54918790.0,437518.3733,25.2877,5.9698,3.1975
2017-06-30,537.43,32721294.0,426925.38,24.6741,5.825,4.4765
2017-07-31,560.93,40612426.0,445594.4753,25.7531,6.0797,4.4765
2017-08-31,529.53,37782362.0,420651.548,24.3115,5.7394,4.4765
2017-09-30,497.85,47574133.0,395507.2698,22.8567,5.3959,4.4765
2017-10-31,511.15,48127682.0,406074.4518,23.4674,5.5401,4.4765
2017-11-30,467.69,56990940.0,371786.7003,21.4724,5.0691,4.4765
2017-12-31,487.74,55585464.0,387723.6841,22.3928,5.2864,4.4765
2018-01-31,480.93,79707479.0,382318.2409,22.0802,5.2126,4.4765
2018-02-28,466.03,55123669.0,370419.3706,21.3961,5.0511,4.4765
2018-03-31,466.99,44266432.0,371884.3517,18.3526,4.0565,4.4765
2018-04-30,466.74,39805901.0,371680.6492,18.3425,4.0543,4.4765
2018-05-31,452.51,45856935.0,360356.4836,17.7834,3.9307,4.4765
2018-06-30,395.72,55698098.0,315133.773,15.5516,3.4374,4.4765
2018-07-31,411.87,146464304.0,327992.7383,16.1862,3.5777,4.4765
2018-08-31,457.43,85643471.0,364277.9376,17.9769,3.9735,5.116
2018-09-30,424.82,84096051.0,338305.3739,16.6951,3.6902,5.116
2018-10-31,431.24,74343654.0,343423.4968,16.9477,3.746,5.116
2018-11-30,484.61,75984342.0,385921.7407,19.045,4.2095,5.116
2018-12-31,484.9,60530564.0,386150.9104,19.0563,4.212,5.116
2019-01-31,502.96,59031583.0,400537.6736,19.7663,4.369,5.116
2019-02-28,561.22,68010954.0,446931.8021,22.0558,4.875,5.116
2019-03-31,613.18,66564612.0,488309.661,32.7588,3.3189,5.116
2019-04-30,619.77,47459016.0,493555.1003,33.1107,3.3546,5.116
2019-05-31,638.82,70682804.0,508731.2257,34.1288,3.4577,5.116
2019-06-30,599.49,112735855.0,477411.3695,32.0277,3.2449,5.116
2019-07-31,570.99,124257661.0,454712.1417,30.5048,3.0906,5.116
2019-08-31,540.25,110818137.0,430229.1108,28.8623,2.9242,5.116
2019-09-30,579.33,61865916.0,461358.0814,30.9506,3.1358,5.116
2019-10-31,572.14,46939690.0,455628.823,30.5663,3.0968,5.116
2019-11-30,549.89,79049249.0,437911.4482,29.3773,2.9764,5.116
2019-12-31,560.68,49464665.0,446505.4365,29.9539,3.0348,5.116
2020-01-31,505.09,78502386.0,402236.8479,26.9841,2.7339,5.116
2020-02-29,498.52,81995865.0,397015.7571,26.6331,2.6983,5.116
2020-03-31,313.19,116165007.0,249423.9844,14.0491,1.2937,5.116
2020-04-30,402.93,125934189.0,320889.8764,18.0744,1.6644,5.116
2020-05-31,389.31,207380194.0,310042.0339,17.4634,1.6082,5.116
2020-06-30,407.87,137698532.0,324824.1292,18.296,1.6848,5.116
2020-07-31,458.66,138910161.0,365274.3588,20.5744,1.8947,0.0
2020-08-31,485.33,129749076.0,386511.6843,21.7707,2.0048,5.7555
2020-09-30,482.4,111152595.0,384181.69,21.6394,1.9927,5.7555
2020-10-31,434.78,128997037.0,346303.6043,19.503,1.796,5.7555
2020-11-30,400.68,161926780.0,319141.7882,17.9733,1.6551,5.7555
2020-12-31,447.34,363156368.0,356312.5998,20.0667,1.8479,5.7555
2021-01-31,537.8,242911848.0,428362.0866,24.1244,2.2216,5.7555
2021-02-28,538.66,195848332.0,429049.7275,24.1631,2.2251,5.7555
2021-03-31,615.69,199548291.0,490402.5779,17.0812,2.3479,5.7555
2021-04-30,582.16,109500156.0,463699.1891,16.1511,2.22,5.7555
2021-05-31,781.88,270471791.0,622773.4536,21.6919,2.9816,5.7555
2021-06-30,760.54,112996780.0,605773.4422,21.0997,2.9002,5.7555
2021-07-31,775.6,73229894.0,617677.6803,21.5176,2.9577,9.5924
2021-08-31,711.04,61029516.0,566265.0183,19.7265,2.7115,9.5924
2021-09-30,678.86,53961292.0,540635.0805,18.8337,2.5888,9.5924
2021-10-31,710.03,65398872.0,565462.8891,19.6986,2.7076,9.5924
2021-11-30,653.92,64263051.0,520772.8337,18.1418,2.4937,9.5924
2021-12-31,716.65,50752192.0,570734.0238,19.8822,2.7329,9.5924
2022-01-31,744.85,62793132.0,593193.6414,20.6646,2.8404,9.5924
2022-02-28,638.33,49037315.0,508358.9294,17.7093,2.4342,9.5924
2022-03-31,738.23,89476152.0,588009.3829,16.2165,2.3844,9.5924
2022-04-30,789.36,59765961.0,628733.0057,17.3396,2.5495,9.5924
2022-05-31,747.83,67156308.0,585173.7169,16.4272,2.4154,9.5924
2022-06-30,606.63,49185361.0,474684.2722,13.3255,1.9593,9.5924
2022-07-31,710.89,49363833.0,556275.3227,15.6159,2.2961,9.5924
2022-08-31,737.9,57835678.0,577404.9278,16.2091,2.3833,9.5924
2022-09-30,644.66,52833728.0,504445.8651,14.161,2.0821,9.5924
2022-10-31,700.44,45055992.0,548093.6995,15.3863,2.2623,9.5924
2022-11-30,757.51,51715692.0,592754.8541,16.64,2.4466,9.5924
2022-12-31,686.96,41900704.0,537547.6621,15.0902,2.2188,9.5924
2023-01-31,726.34,39448135.0,568360.1058,15.9552,2.346,9.5924
2023-02-28,665.91,54055385.0,521071.8244,14.6277,2.1508,9.5924
2023-03-31,688.4,30278182.0,538673.5736,15.6726,1.805,9.5924
2023-04-30,710.13,29512572.0,555674.8366,16.1673,1.8619,9.5924
2023-05-31,657.18,65636935.0,514241.2948,14.9618,1.7231,9.5924
2023-06-30,659.53,44325923.0,516080.2836,15.0153,1.7293,9.5924
2023-07-31,599.24,58247863.0,468904.5933,13.6427,1.5712,9.5924
2023-08-31,567.06,70512304.0,443721.707,12.91,1.4868,9.5924
2023-09-30,591.13,65747692.0,462561.9588,13.4582,1.5499,9.5924
2023-10-31,518.47,55615339.0,405703.43,11.8039,1.3594,9.5924
2023-11-30,547.39,38859894.0,428334.2503,12.4623,1.4352,9.5924
2023-12-31,563.32,59870740.0,440794.3372,12.8249,1.477,9.5924
2024-01-31,515.78,62438126.0,403601.7286,11.7427,1.3524,9.5924
2024-02-29,450.56,107959637.0,352560.409,10.2577,1.1813,9.5924
2024-03-31,437.41,101893109.0,342277.0843,9.9476,1.2315,9.5924
2024-04-30,486.48,91446466.0,380670.6651,9.9476,1.3697,9.5924
2024-05-31,488.06,118167090.0,381909.1677,9.9476,1.3741,9.5924
2024-06-30,547.58,81915681.0,428484.3719,9.9476,1.5417,9.5924
2024-07-31,548.73,51917979.0,429385.101,9.9476,1.5449,9.5924
2024-08-31,573.96,68628045.0,449126.082,9.9476,1.616,0.9592
2024-09-30,588.16,53024765.0,460235.0751,9.9476,1.6559,0.9592
2024-10-31,531.08,40136365.0,415573.9204,9.9476,1.4952,0.9592
2024-11-30,545.0,70689599.0,409081.1643,9.9476,1.5344,0.9592
2024-12-31,501.0,43374406.0,376225.9371,9.9476,1.4105,0.9592
2025-01-31,603.75,51617957.0,453455.761,9.9476,1.6998,0.9592
2025-02-28,632.95,67324050.0,475373.5042,9.9476,1.782,0.9592
2025-03-31,636.25,42796108.0,477891.8498,53.2413,1.8391,0.9592
2025-04-30,669.9,43588114.0,503159.8016,56.0571,1.9364,0.9592
2025-05-31,627.9,59520154.0,471612.3015,52.5425,1.815,0.9592
2025-06-30,661.25,36573056.0,496655.8486,55.3333,1.9114,0.9592
2025-07-31,703.8,62572950.0,528638.3434,58.8938,2.0344,6.0
2025-08-31,715.75,58450605.0,602531.5185,59.8938,2.069,6.0
2025-09-30,655.8,53652732.0,553044.7723,54.8772,1.8957,6.0
2025-10-31,720.1,38482428.0,607269.8087,60.2578,2.0815,6.0
2025-11-30,758.65,58316040.0,639782.3465,63.4837,2.193,6.0
2025-12-31,795.15,63215270.0,670564.9049,66.538,2.2985,6.0
2026-01-31,703.95,68590607.0,594179.4751,58.9064,2.0348,6.0
2026-02-28,637.4,85948704.0,538070.5199,53.3375,1.8425,6.0
2026-03-31,630.0,8922080.0,531823.7018,52.7183,1.8211,6.0
