JKCE IN Equity,price,volume,mc,pe,bm,div
2011-07-31,106.65,580881.0,7455.8799,11.9029,0.5346,5.5
2011-08-31,107.7,815236.0,7529.2852,12.0201,0.5399,5.5
2011-09-30,114.4,620364.0,7997.6809,12.7679,0.5735,2.0
2011-10-31,108.65,499112.0,7595.6995,12.1261,0.5447,2.0
2011-11-30,103.6,342311.0,7242.655,11.5625,0.5194,2.0
2011-12-31,101.0,1145328.0,7060.8896,11.2723,0.5063,2.0
2012-01-31,113.3,1289802.0,7920.7801,12.6451,0.568,2.0
2012-02-29,138.75,3764256.0,9699.9844,15.4855,0.6956,2.0
2012-03-31,161.25,911933.0,11272.9389,6.4577,0.7408,2.0
2012-04-30,137.35,1445149.0,9602.0971,5.5006,0.631,2.0
2012-05-31,146.15,1589145.0,10217.3024,5.853,0.6714,2.0
2012-06-30,160.75,1221408.0,11237.984,6.4377,0.7385,2.0
2012-07-31,213.05,6851455.0,14894.2613,8.5322,0.9788,5.0
2012-08-31,202.35,4119686.0,14146.2275,8.1037,0.9296,5.0
2012-09-30,252.05,2867474.0,17620.7395,10.0941,1.158,5.0
2012-10-31,252.05,2512150.0,17620.7395,10.0941,1.158,5.0
2012-11-30,298.05,3003983.0,20836.5856,11.9363,1.3693,5.0
2012-12-31,360.35,2918548.0,25191.9598,14.4313,1.6555,5.0
2013-01-31,320.25,1625113.0,22388.5809,12.8254,1.4713,5.0
2013-02-28,318.05,557147.0,22234.7796,12.7373,1.4612,5.0
2013-03-31,265.5,567871.0,18561.0249,8.0455,1.0982,5.0
2013-04-30,262.9,667127.0,18379.2597,7.9667,1.0875,5.0
2013-05-31,235.8,822156.0,16484.7069,7.1455,0.9754,5.0
2013-06-30,228.4,376444.0,15967.3856,6.9212,0.9447,5.0
2013-07-31,181.45,1526442.0,12685.1231,5.4985,0.7505,6.5
2013-08-31,177.75,803502.0,12426.457,5.3864,0.7352,6.5
2013-09-30,187.55,529521.0,13111.5725,5.6833,0.7758,6.5
2013-10-31,193.35,657515.0,13517.0491,5.8591,0.7998,6.5
2013-11-30,193.0,328876.0,13492.5806,5.8485,0.7983,6.5
2013-12-31,193.2,893402.0,13506.5626,5.8545,0.7991,6.5
