KKC IN Equity,price,volume,mc,pe,bm,div
2008-08-31,227.36,5794312.0,63023.4,19.397,5.107,3.2857
2008-09-30,217.68,5778681.0,60340.5,18.5713,4.8896,3.2857
2008-10-31,145.82,3000477.0,40421.7,12.4408,3.2755,3.2857
2008-11-30,150.07,2867572.0,41599.8,12.8034,3.371,3.2857
2008-12-31,158.36,8501486.0,43896.6,13.5103,3.5571,5.0
2009-01-31,120.0,7223521.0,33264.0,10.2378,2.6955,5.0
2009-02-28,111.5,8062352.0,30907.8,9.5126,2.5046,5.7143
2009-03-31,132.14,5451429.0,36630.0,7.9127,2.4663,5.7143
2009-04-30,144.46,5031951.0,40045.5,8.6506,2.6962,5.7143
2009-05-31,197.54,10713504.0,54756.9,11.8285,3.6868,5.7143
2009-06-30,198.68,8972174.0,55073.7,11.8969,3.7081,5.7143
2009-07-31,196.5,8011048.0,54469.8,11.7665,3.6674,4.7143
2009-08-31,242.11,14372054.0,67112.1,14.4974,4.5186,4.7143
2009-09-30,249.68,9103633.0,69210.9,14.9508,4.6599,4.7143
2009-10-31,267.71,5820220.0,74210.4,16.0308,4.9966,4.7143
2009-11-30,279.18,4683664.0,77388.3,16.7173,5.2105,4.7143
2009-12-31,307.64,5284261.0,85278.6,18.4217,5.7418,6.1429
2010-01-31,321.64,6128566.0,89159.4,19.2601,6.0031,6.1429
2010-02-28,325.89,3838345.0,90337.5,19.5145,6.0824,6.1429
2010-03-31,366.64,7337539.0,101633.4,22.8947,6.5108,6.1429
2010-04-30,409.04,7074777.0,113384.7,25.5419,7.2636,6.1429
2010-05-31,401.57,5091951.0,111315.6,25.0758,7.1311,6.1429
2010-06-30,426.61,10521263.0,118255.5,26.6392,7.5756,6.1429
2010-07-31,454.57,5668187.0,126007.2,28.3854,8.0722,6.1429
2010-08-31,526.79,8978626.0,146025.0,32.8947,9.3546,8.5714
2010-09-30,525.57,6447605.0,145688.4,32.8189,9.333,8.5714
2010-10-31,567.61,6319977.0,157340.7,35.4438,10.0795,8.5714
2010-11-30,568.04,3893950.0,157459.5,35.4706,10.0871,8.5714
2010-12-31,561.39,3958905.0,155618.1,35.0558,9.9692,8.5714
2011-01-31,523.32,3462073.0,145064.7,32.6784,9.2931,8.5714
2011-02-28,464.71,10325686.0,128818.8,29.0187,8.2523,9.2857
2011-03-31,498.5,6262474.0,138184.2,32.7345,7.6503,9.2857
2011-04-30,505.25,5425041.0,140055.3,33.1778,7.7538,9.2857
2011-05-31,491.21,4597704.0,136164.6,32.2561,7.5384,9.2857
2011-06-30,484.25,4504422.0,134234.1,31.7988,7.4316,9.2857
2011-07-31,457.89,3985352.0,126927.9,30.068,7.0271,10.7143
2011-08-31,422.86,10689398.0,117216.0,27.7674,6.4894,10.7143
2011-09-30,414.3,4775269.0,114843.9651,27.2054,6.3581,10.7143
2011-10-31,397.95,3845188.0,110311.7449,26.1318,6.1072,10.7143
2011-11-30,356.9,10675165.0,98932.6844,23.4362,5.4772,10.7143
2011-12-31,350.25,5433183.0,97089.3043,22.9995,5.3751,10.7143
2012-01-31,419.85,7325610.0,116382.4251,27.5699,6.4432,10.7143
2012-02-29,465.95,9004032.0,129161.3457,30.5971,7.1507,10.7143
2012-03-31,495.4,5233605.0,137324.886,23.2255,6.7212,10.7143
2012-04-30,482.45,4182414.0,133735.1459,22.6184,6.5455,10.7143
2012-05-31,428.35,9245006.0,118738.6252,20.082,5.8115,10.7143
2012-06-30,449.45,3635736.0,124587.5455,21.0713,6.0978,10.7143
2012-07-31,427.4,5373510.0,118475.2852,20.0375,5.7987,11.0
2012-08-31,460.0,8583311.0,127512.0056,21.5659,6.241,11.0
2012-09-30,505.25,8249045.0,140055.3062,23.6873,6.8549,11.0
2012-10-31,488.8,5475668.0,135495.366,22.9161,6.6317,11.0
2012-11-30,485.35,3945648.0,134539.0259,22.7543,6.5849,11.0
2012-12-31,519.4,3624233.0,143977.6863,24.3507,7.0468,11.0
2013-01-31,489.8,5669134.0,135772.566,22.963,6.6453,11.0
2013-02-28,476.95,8874109.0,132210.5458,22.3605,6.4709,11.0
2013-03-31,499.0,4882395.0,138322.8061,18.0994,5.7955,11.0
2013-04-30,511.15,3084360.0,141690.7862,18.5401,5.9366,11.0
2013-05-31,453.4,6137699.0,125682.4855,16.4454,5.2659,11.0
2013-06-30,455.8,3377299.0,126347.7656,16.5325,5.2938,11.0
2013-07-31,428.0,4944147.0,118641.6052,15.5241,4.9709,13.0
2013-08-31,393.4,11231382.0,109050.4848,14.2691,4.569,13.0
2013-09-30,408.25,7827770.0,113166.905,14.8078,4.7415,13.0
2013-10-31,395.0,3696084.0,109494.0048,14.3272,4.5876,13.0
2013-11-30,431.2,6389374.0,119528.6453,15.6402,5.0081,13.0
2013-12-31,479.15,7385357.0,132820.3858,17.3794,5.565,13.0
2014-01-31,436.25,3581744.0,120928.5053,15.8234,5.0667,13.0
2014-02-28,505.5,5190780.0,140124.6062,18.3351,5.871,13.0
2014-03-31,596.8,7783774.0,165432.9673,27.5658,6.4493,13.0
2014-04-30,548.05,6154985.0,151919.4667,25.3141,5.9224,13.0
2014-05-31,635.95,7319675.0,176285.3478,29.3741,6.8723,13.0
2014-06-30,647.6,5175068.0,179514.7279,29.9122,6.9982,13.0
2014-07-31,626.65,4418774.0,173707.3876,28.9446,6.7718,13.0
2014-08-31,690.8,8245951.0,191489.7684,31.9076,7.4651,13.0
2014-09-30,671.05,5134309.0,186015.0682,30.9954,7.2516,13.0
2014-10-31,731.3,3022000.0,202716.3689,33.7783,7.9027,13.0
2014-11-30,861.85,6100164.0,238904.8305,39.8083,9.3135,13.0
2014-12-31,874.2,3688234.0,242328.2507,40.3788,9.4469,13.0
2015-01-31,891.7,4081905.0,247179.2509,41.1871,9.6361,13.0
2015-02-28,896.55,6329468.0,248523.6709,41.4111,9.6885,13.0
2015-03-31,880.65,6790897.0,244116.1908,31.0635,8.4571,13.0
2015-04-30,862.1,4364884.0,238974.1305,30.4092,8.279,13.0
2015-05-31,918.35,4207750.0,254566.6312,32.3933,8.8192,13.0
2015-06-30,896.55,4458512.0,248523.6709,31.6243,8.6098,13.0
2015-07-31,998.15,4096051.0,276687.1922,35.2081,9.5855,14.0
2015-08-31,1099.0,8598615.0,304642.8134,38.7654,10.554,14.0
2015-09-30,1095.4,4265287.0,303644.8934,38.6384,10.5194,14.0
2015-10-31,1073.7,4502809.0,297629.6358,37.873,10.311,14.0
2015-11-30,991.45,2879334.0,274829.9521,34.9718,9.5212,9.0
2015-12-31,1030.3,2823027.0,285599.1899,36.3422,9.8942,9.0
2016-01-31,923.6,3985052.0,256021.9313,32.5785,8.8696,9.0
2016-02-29,809.25,4481389.0,224324.1099,28.545,7.7714,14.0
2016-03-31,841.8,5859741.0,233346.9703,32.352,6.4659,14.0
2016-04-30,885.15,4521449.0,245363.5908,34.0181,6.7988,14.0
2016-05-31,800.0,11609385.0,221760.0098,30.7456,6.1448,14.0
2016-06-30,848.9,7547515.0,235315.0904,32.6249,6.5204,14.0
2016-07-31,870.6,5956725.0,241330.3306,33.4589,6.6871,14.0
2016-08-31,920.4,9157172.0,255134.8912,35.3728,7.0696,14.0
2016-09-30,905.5,5784763.0,251004.6111,34.8002,6.9552,14.0
2016-10-31,855.65,4895982.0,237186.1904,32.8843,6.5723,14.0
2016-11-30,788.85,4687679.0,218669.2296,30.3171,6.0592,14.0
2016-12-31,818.75,3542736.0,226957.51,31.4662,6.2888,14.0
2017-01-31,838.95,3548363.0,232556.9502,32.2425,6.444,14.0
2017-02-28,887.9,6873199.0,246125.8908,34.1238,6.82,14.0
2017-03-31,949.45,7115953.0,263187.5516,35.7474,6.7988,14.0
2017-04-30,997.0,4571026.0,276368.4122,37.5377,7.1393,14.0
2017-05-31,941.4,13457228.0,260956.0915,35.4443,6.7411,14.0
2017-06-30,919.75,6003767.0,254954.7112,34.6291,6.5861,14.0
2017-07-31,987.75,6953865.0,273804.3121,37.1894,7.073,14.0
2017-08-31,912.6,8072032.0,252972.7311,34.3599,6.5349,14.0
2017-09-30,924.35,5781621.0,256229.8313,34.8023,6.619,14.0
2017-10-31,905.15,7012050.0,250907.591,34.0794,6.4816,14.0
2017-11-30,867.65,8093600.0,240512.58,32.6675,6.213,14.0
2017-12-31,901.9,7245531.0,250006.68,33.9571,6.4583,14.0
2018-01-31,903.9,8910189.0,250561.08,34.0324,6.4726,14.0
2018-02-28,795.95,6655957.0,220637.34,29.968,5.6996,14.0
2018-03-31,700.25,11098755.0,194109.3,27.2683,4.713,14.0
2018-04-30,769.5,10662285.0,213305.4,29.965,5.1791,14.0
2018-05-31,701.35,10960992.0,194414.22,27.3111,4.7204,14.0
2018-06-30,647.65,7688766.0,179528.58,25.22,4.359,14.0
2018-07-31,673.5,4474025.0,186694.2,26.2266,4.533,14.0
2018-08-31,768.15,17209446.0,212931.18,29.9124,5.17,15.0
2018-09-30,673.1,9889880.0,186583.32,26.2111,4.5303,15.0
2018-10-31,746.85,11648562.0,207026.82,29.0829,5.0266,15.0
2018-11-30,807.0,13880439.0,223700.4,31.4252,5.4315,15.0
2018-12-31,849.7,14051183.0,235536.84,33.088,5.7189,15.0
2019-01-31,788.2,12387645.0,218489.04,30.6931,5.3049,15.0
2019-02-28,699.8,18028301.0,193984.56,27.2508,4.71,17.0
2019-03-31,746.0,9178217.0,206791.2,27.8462,4.8282,17.0
2019-04-30,726.65,7823207.0,201427.38,27.1239,4.703,17.0
2019-05-31,790.05,10272344.0,219001.86,29.4905,5.1133,17.0
2019-06-30,764.05,6775935.0,211794.66,28.52,4.945,17.0
2019-07-31,709.0,7978217.0,196534.8,26.4651,4.5887,17.0
2019-08-31,574.75,13324984.0,159320.7,21.4539,3.7199,17.0
2019-09-30,572.8,9846833.0,158780.16,21.3811,3.7072,17.0
2019-10-31,543.95,15882814.0,150782.94,20.3042,3.5205,17.0
2019-11-30,542.25,11516021.0,150311.7,20.2408,3.5095,17.0
2019-12-31,550.85,9570073.0,152695.62,20.5618,3.5652,17.0
2020-01-31,574.55,37369190.0,159265.26,21.4464,3.7186,17.0
2020-02-29,510.95,10020430.0,141635.34,19.0724,3.3069,17.0
2020-03-31,326.7,20746232.0,90561.24,12.8369,2.0573,17.0
2020-04-30,377.5,38636467.0,104643.0,14.833,2.3771,17.0
2020-05-31,376.35,41716289.0,104324.22,14.7878,2.3699,17.0
2020-06-30,392.35,33058810.0,108759.42,15.4165,2.4707,17.0
2020-07-31,401.65,34355242.0,111337.38,15.7819,2.5292,17.0
2020-08-31,462.25,32499302.0,128135.7,18.1631,2.9108,14.0
2020-09-30,445.2,32696544.0,123409.44,17.4931,2.8035,14.0
2020-10-31,434.1,20790680.0,120332.52,17.057,2.7336,14.0
2020-11-30,586.0,29759805.0,162439.2,23.0255,3.6901,14.0
2020-12-31,574.55,38901368.0,159265.26,22.5756,3.618,14.0
2021-01-31,666.35,40194321.0,184712.22,26.1827,4.1961,14.0
2021-02-28,787.75,38500384.0,218364.3,30.9528,4.9605,14.0
2021-03-31,919.65,37757020.0,254926.98,40.1419,5.4807,14.0
2021-04-30,837.6,16234778.0,232182.72,36.5605,4.9917,14.0
2021-05-31,786.9,34797999.0,218128.68,34.3474,4.6896,14.0
2021-06-30,899.5,36358770.0,249341.4,39.2623,5.3606,14.0
2021-07-31,852.4,16332356.0,236285.28,37.2065,5.0799,14.0
2021-08-31,999.15,40527199.0,276964.38,43.612,5.9545,15.0
2021-09-30,991.95,14823346.0,274968.54,43.2977,5.9116,15.0
2021-10-31,895.7,40787231.0,248288.04,39.0965,5.338,15.0
2021-11-30,878.5,13883365.0,243520.2,38.3457,5.2355,15.0
2021-12-31,941.8,14072414.0,261066.96,41.1087,5.6127,15.0
2022-01-31,942.0,13161622.0,261122.4,41.1174,5.6139,15.0
2022-02-28,957.25,15271884.0,265349.7,41.7831,5.7048,16.0
2022-03-31,1121.3,20459162.0,310824.36,33.2928,6.0413,16.0
2022-04-30,1030.45,12361855.0,285640.74,30.5953,5.5518,16.0
2022-05-31,1025.95,9986727.0,284393.34,30.4617,5.5276,16.0
2022-06-30,1024.2,7233215.0,283908.24,30.4097,5.5182,16.0
2022-07-31,1226.85,14271335.0,340082.82,36.4267,6.61,16.0
2022-08-31,1192.6,17243342.0,330588.72,35.4097,6.4255,18.5
2022-09-30,1195.85,15030381.0,331489.62,35.5062,6.443,18.5
2022-10-31,1347.9,10552444.0,373637.88,40.0208,7.2622,18.5
2022-11-30,1413.5,16702865.0,391822.2,41.9685,7.6156,18.5
2022-12-31,1380.4,14689666.0,382646.88,40.9857,7.4373,18.5
2023-01-31,1435.8,9999348.0,398003.76,42.6306,7.7358,18.5
2023-02-28,1570.1,16972600.0,435231.72,46.6182,8.4594,22.5
2023-03-31,1629.6,14091576.0,451725.12,36.7773,7.8448,22.5
2023-04-30,1575.65,11773672.0,436770.18,35.5597,7.5851,22.5
2023-05-31,1759.9,18460090.0,487844.28,39.7179,8.4721,22.5
2023-06-30,1943.1,13639178.0,538627.32,43.8524,9.354,22.5
2023-07-31,1968.15,11968661.0,545571.18,44.4177,9.4746,25.0
2023-08-31,1707.75,44227503.0,473388.3,38.541,8.2211,25.0
2023-09-30,1696.3,14576192.0,470214.36,38.2826,8.1659,25.0
2023-10-31,1676.55,9527366.0,464739.66,37.8368,8.0709,25.0
2023-11-30,1909.1,11193212.0,529202.52,43.0851,9.1904,25.0
2023-12-31,1963.95,11491580.0,544406.94,44.323,9.4544,25.0
2024-01-31,2293.85,11047224.0,635855.22,51.7682,11.0425,25.0
2024-02-29,2738.65,19837561.0,759153.78,61.8066,13.1838,31.0
2024-03-31,3006.25,11185423.0,833332.5,48.4332,12.6027,31.0
2024-04-30,3275.45,10253408.0,907954.74,52.7703,13.7313,31.0
2024-05-31,3551.3,21060728.0,984420.36,57.2144,14.8877,31.0
2024-06-30,3966.85,21822800.0,1099610.82,63.9093,16.6297,31.0
2024-07-31,3852.35,15773235.0,1067871.42,62.0646,16.1497,38.0
2024-08-31,3744.7,20807955.0,1038030.84,60.3303,15.6984,38.0
2024-09-30,3806.05,9804309.0,1055037.06,61.3187,15.9556,38.0
2024-10-31,3500.6,11167920.0,970366.32,56.3976,14.6751,38.0
2024-11-30,3483.7,13214065.0,965681.64,56.1253,14.6043,38.0
2024-12-31,3274.0,13198041.0,907552.8,52.7469,13.7252,38.0
2025-01-31,2914.05,12103479.0,807774.66,46.9478,12.2162,38.0
2025-02-28,2717.95,17192856.0,753415.74,43.7885,11.3941,38.0
2025-03-31,3051.85,9463727.0,845972.82,42.2987,11.188,38.0
2025-04-30,2895.4,7875973.0,802604.88,40.1303,10.6145,38.0
2025-05-31,3268.1,19556131.0,905917.32,45.2959,11.9808,38.0
2025-06-30,3399.4,11627778.0,942313.68,47.1157,12.4622,38.0
2025-07-31,3555.5,11600131.0,985584.6,49.2793,13.0344,51.5
2025-08-31,3826.2,13787724.0,1060622.64,53.0312,14.0268,51.5
2025-09-30,3926.5,8869063.0,1088425.8,54.4213,14.3945,51.5
2025-10-31,4344.1,8393635.0,1204184.52,60.2093,15.9254,51.5
2025-11-30,4479.3,12625855.0,1241661.96,62.0832,16.4211,51.5
2025-12-31,4434.4,10983592.0,1229215.68,61.4608,16.2565,51.5
2026-01-31,4112.5,13276377.0,1139985.0,56.9993,15.0764,51.5
2026-02-28,4898.3,14626616.0,1357808.76,67.8905,17.9571,53.5
2026-03-31,4792.5,2457468.0,1328481.0,66.4241,17.5692,53.5
