NEST IN Equity,price,volume,mc,pe,bm,div
2017-08-31,356.06,27061840.0,686600.4324,68.5659,20.9181,3.45
2017-09-30,360.83,22327900.0,695784.0295,69.483,21.1979,3.45
2017-10-31,361.95,16822300.0,697953.3832,69.6996,21.264,3.45
2017-11-30,383.18,27465620.0,738881.8472,73.7868,22.5109,3.45
2017-12-31,393.54,16019780.0,758878.4669,61.9414,22.1856,4.3
2018-01-31,373.46,16664440.0,720143.4526,58.7798,21.0532,4.3
2018-02-28,388.08,37539860.0,748345.0421,61.0817,21.8777,4.3
2018-03-31,410.18,33574060.0,790951.147,64.5593,23.1232,4.3
2018-04-30,469.83,29038040.0,905975.0962,73.9478,26.4859,4.3
2018-05-31,482.7,29748280.0,930797.3223,75.9739,27.2116,4.55
2018-06-30,490.51,26997940.0,945847.8155,77.2023,27.6516,4.55
2018-07-31,526.52,18474880.0,1015296.056,82.8709,29.6819,4.55
2018-08-31,579.11,34491440.0,1116710.927,91.1486,32.6467,4.8
2018-09-30,484.98,30417420.0,935198.6997,76.3331,27.3403,4.8
2018-10-31,507.39,41278280.0,978412.2236,79.8603,28.6036,4.8
2018-11-30,538.24,32501820.0,1037900.72,84.7159,30.3427,4.8
2018-12-31,554.24,28353840.0,1068753.75,66.5078,29.0917,5.65
2019-01-31,574.89,39705460.0,1108573.44,68.9857,30.1756,5.65
2019-02-28,531.99,39215120.0,1025839.114,63.8372,27.9236,5.65
2019-03-31,548.05,42169040.0,1056807.842,65.7644,28.7665,5.65
2019-04-30,545.27,23833960.0,1051442.308,65.4305,28.6205,5.9
2019-05-31,574.91,33548660.0,1108597.544,68.9872,30.1763,5.9
2019-06-30,595.63,27679040.0,1148561.858,71.4742,31.2641,5.9
2019-07-31,583.79,21859800.0,1125740.258,70.054,30.6429,5.9
2019-08-31,643.76,39222380.0,1241371.627,77.2497,33.7904,15.05
2019-09-30,694.48,52401060.0,1339180.55,83.3362,36.4528,15.05
2019-10-31,747.35,33389420.0,1441125.707,89.6802,39.2278,15.05
2019-11-30,722.7,30053160.0,1393587.938,86.722,37.9338,15.05
2019-12-31,739.27,38417760.0,1425540.107,72.4204,74.2906,15.3
2020-01-31,767.97,28061220.0,1480892.369,75.2324,77.1752,15.3
2020-02-29,788.94,44602440.0,1521329.12,77.2867,79.2826,15.3
2020-03-31,815.03,76179340.0,1571634.02,79.8423,81.9041,15.3
2020-04-30,896.23,60786060.0,1728217.964,87.7971,90.0644,15.3
2020-05-31,877.04,80901960.0,1691208.791,85.9169,88.1357,15.3
2020-06-30,858.72,72218120.0,1655886.894,84.1225,86.2949,17.1
2020-07-31,826.11,79278860.0,1592999.743,80.9277,83.0176,15.95
2020-08-31,797.48,44824520.0,1537787.283,78.1228,80.1403,6.95
2020-09-30,795.93,55016260.0,1534808.038,77.9714,79.985,6.95
2020-10-31,858.08,61233020.0,1654647.969,84.0596,86.2303,12.55
2020-11-30,894.45,79853820.0,1724775.941,87.6222,89.885,12.55
2020-12-31,919.51,66828140.0,1773109.14,85.1479,87.8064,12.55
2021-01-31,853.0,38905400.0,1644852.132,78.9888,81.4549,12.55
2021-02-28,805.08,66784360.0,1552447.309,74.5513,76.8789,9.8
2021-03-31,858.26,47286380.0,1654995.065,79.4759,81.9572,9.8
2021-04-30,815.46,39502880.0,1572468.033,75.5128,77.8704,11.25
2021-05-31,884.78,27040680.0,1706129.141,81.9314,84.4894,11.25
2021-06-30,881.65,30846860.0,1700098.338,81.6418,84.1908,11.25
2021-07-31,885.13,25857520.0,1706813.675,81.9643,84.5233,11.25
2021-08-31,973.39,30949700.0,1876997.055,90.1368,92.951,11.25
2021-09-30,972.28,30932520.0,1874856.626,90.034,92.845,11.25
2021-10-31,950.01,27829980.0,1831913.066,87.9718,90.7184,10.0
2021-11-30,957.63,20214320.0,1846606.822,88.6774,91.4461,10.0
2021-12-31,985.29,22299560.0,1899939.175,89.6855,97.614,10.0
2022-01-31,926.08,17549600.0,1785768.505,84.2961,91.7482,10.0
2022-02-28,881.96,27041460.0,1700691.277,80.2801,87.3771,10.0
2022-03-31,869.03,30593080.0,1675758.173,79.1032,86.0961,10.0
2022-04-30,916.52,25266040.0,1767328.999,83.4257,90.8008,4.5
2022-05-31,884.58,40123420.0,1705738.64,80.5184,87.6365,4.5
2022-06-30,873.5,29777320.0,1684382.559,79.5103,86.5392,4.5
2022-07-31,967.96,26486740.0,1866521.488,88.108,95.8971,4.5
2022-08-31,996.29,23008740.0,1921165.095,90.6875,98.7045,4.5
2022-09-30,957.24,30534380.0,1845859.6,87.1327,94.8355,4.5
2022-10-31,1018.17,24561620.0,1963351.791,92.6789,100.872,18.0
2022-11-30,1009.19,26018400.0,1946040.349,91.8617,99.9825,18.0
2022-12-31,980.3,25833220.0,1890326.528,79.0756,76.8685,18.0
2023-01-31,950.89,17953220.0,1833609.983,76.703,74.5621,18.0
2023-02-28,933.5,25614160.0,1800081.418,75.3005,73.1987,18.0
2023-03-31,985.23,25667320.0,1899823.476,79.4729,77.2547,18.0
2023-04-30,1088.07,30069220.0,2098140.962,87.7688,85.3191,11.1
2023-05-31,1083.66,36465860.0,2089627.454,87.4127,84.9729,11.1
2023-06-30,1144.71,28379060.0,2207370.327,92.3381,89.7608,11.1
2023-07-31,1127.67,23042100.0,2174492.568,90.9627,88.4238,11.1
2023-08-31,1099.32,27038180.0,2119834.498,88.6763,86.2012,11.1
2023-09-30,1125.35,22117820.0,2170018.878,90.7756,88.2419,11.1
2023-10-31,1211.74,39122840.0,2336615.594,97.7446,95.0164,11.1
2023-11-30,1211.81,24836380.0,2336745.755,97.7501,95.0217,12.1
2023-12-31,1329.02,41834680.0,2562758.656,107.2046,104.2123,12.1
2024-01-31,1253.0,43965008.0,2416177.843,101.0728,98.2518,12.1
2024-02-29,1298.1,34160280.0,2503144.819,104.7108,101.7882,14.25
2024-03-31,1311.18,39784542.0,2528357.529,105.7655,102.8135,14.25
2024-04-30,1253.7,51682072.0,2417527.663,101.1293,98.3067,14.25
2024-05-31,1177.45,38053776.0,2270493.696,94.9786,92.3276,14.25
2024-06-30,1275.83,34614938.0,2460191.617,102.914,100.0415,10.5
2024-07-31,1228.18,43399336.0,2368307.44,99.0703,96.3052,9.125
2024-08-31,1250.38,35093924.0,2411116.018,100.8611,98.0459,9.125
2024-09-30,1344.98,49041380.0,2593534.553,108.492,105.4638,9.125
2024-10-31,1131.47,55011530.0,2181839.445,91.2701,88.7226,9.125
2024-11-30,1117.33,36082032.0,2154553.798,90.1287,87.613,9.125
2024-12-31,1085.03,39230866.0,2092269.245,87.5232,85.0803,9.125
2025-01-31,1156.6,38937416.0,2230288.343,93.2968,90.6927,9.125
2025-02-28,1094.83,35265244.0,2111166.725,88.3137,85.8488,12.75
2025-03-31,1125.38,24223962.0,2170076.728,67.651,54.1138,12.75
2025-04-30,1194.1,37870140.0,2302600.13,71.7824,57.4184,12.75
2025-05-31,1198.1,36187178.0,2310313.387,72.0228,57.6108,12.75
2025-06-30,1232.65,56081098.0,2376936.647,74.0998,59.2721,12.75
2025-07-31,1123.85,33078496.0,2167136.049,67.5594,54.0405,16.375
2025-08-31,1156.2,27335564.0,2229517.017,69.5041,55.596,16.375
2025-09-30,1152.9,31536174.0,2223153.58,69.3057,55.4373,12.125
2025-10-31,1271.6,32481072.0,2452044.489,76.4412,61.145,12.125
2025-11-30,1261.1,17589919.0,2431797.189,75.81,60.6401,12.125
2025-12-31,1288.0,19776680.0,2483668.844,77.4271,61.9336,12.125
2026-01-31,1332.4,26463298.0,2569286.0,80.0962,64.0686,12.125
2026-02-28,1291.7,18143558.0,2490803.607,77.6495,62.1116,14.0
2026-03-31,1251.5,3249007.0,2413285.372,75.2329,60.1785,14.0
