NLL IN Equity,price,volume,mc,pe,bm,div
2015-11-30,705.55,708015.0,6267.5799,37.7906,3.8838,1.5
2015-12-31,798.5,1016054.0,7093.2784,42.7691,4.3954,1.5
2016-01-31,691.4,516891.0,6141.8819,37.0327,3.8059,1.5
2016-02-29,523.55,663411.0,4650.8277,28.0423,2.8819,1.5
2016-03-31,703.55,473386.0,6249.8134,22.8722,3.3487,1.5
2016-04-30,750.9,149449.0,6670.4355,24.4116,3.5741,1.5
2016-05-31,801.0,1036137.0,7115.4865,26.0403,3.8125,1.5
2016-06-30,864.45,847208.0,7679.129,28.1031,4.1145,1.5
2016-07-31,915.5,1075237.0,8132.6191,29.7627,4.3575,1.5
2016-08-31,983.65,955840.0,8738.0128,31.9782,4.6819,2.0
2016-09-30,973.9,434820.0,8651.4011,31.6612,4.6355,2.0
2016-10-31,981.7,282606.0,8720.6905,31.9148,4.6726,2.0
2016-11-30,1017.35,656177.0,9037.3785,33.0738,4.8423,2.0
2016-12-31,1032.3,245671.0,9171.2164,33.5598,4.9134,2.0
2017-01-31,899.9,187687.0,7994.9406,29.2555,4.2832,2.0
2017-02-28,913.3,243437.0,8113.9896,29.6912,4.347,2.0
2017-03-31,1495.0,3352886.0,13281.9604,35.5868,2.4626,2.0
2017-04-30,1398.7,1655929.0,12426.4062,33.2945,2.304,2.0
2017-05-31,1369.4,739472.0,12166.0981,32.597,2.2557,2.0
2017-06-30,1416.8,353515.0,12587.2117,33.7253,2.3338,2.0
2017-07-31,1438.7,506602.0,12781.7769,34.2466,2.3699,2.0
2017-08-31,1270.35,310721.0,11286.1126,30.2392,2.0926,2.0
2017-09-30,981.8,737734.0,8722.561,23.3706,1.6172,2.0
2017-10-31,1102.6,810327.0,9795.779,26.2461,1.8162,0.0
2017-11-30,969.15,954780.0,8610.1748,23.0695,1.5964,0.0
2017-12-31,892.85,668335.0,7932.3062,21.2533,1.4707,0.0
2018-01-31,837.4,925587.0,7439.6743,19.9333,1.3794,0.0
2018-02-28,719.9,480946.0,6395.7745,17.1364,1.1858,0.0
2018-03-31,710.7,348649.0,6314.0393,65.7447,1.1446,0.0
2018-04-30,710.3,345082.0,6310.4856,65.7077,1.144,0.0
2018-05-31,707.9,619838.0,9082.2784,65.4857,1.1401,0.0
2018-06-30,640.4,196304.0,8216.2609,59.2414,1.0314,0.0
2018-07-31,691.3,200080.0,8869.3023,63.95,1.1134,0.0
2018-08-31,779.75,667031.0,10004.1059,72.1323,1.2558,0.0
2018-09-30,686.3,186047.0,8805.1528,63.4875,1.1053,0.0
2018-10-31,569.6,184606.0,7307.9048,52.692,0.9174,0.0
2018-11-30,479.25,595875.0,6148.7243,44.334,0.7719,0.0
2018-12-31,458.35,190993.0,5880.5796,42.4006,0.7382,0.0
2019-01-31,532.5,202676.0,6831.9159,49.2599,0.8576,0.0
2019-02-28,762.75,2271756.0,9785.9978,70.5597,1.2284,0.0
2019-03-31,676.8,695718.0,8683.2689,51.8224,1.2517,0.0
2019-04-30,706.7,686372.0,9066.8826,54.1118,1.307,0.0
2019-05-31,598.55,461736.0,7679.3301,45.8308,1.107,0.0
2019-06-30,527.6,193038.0,6769.0494,40.3982,0.9758,1.2
2019-07-31,495.75,431370.0,6360.4175,37.9594,0.9169,1.2
2019-08-31,460.6,456566.0,5909.4469,35.268,0.8518,1.2
2019-09-30,503.05,647526.0,6454.0757,38.5184,0.9304,1.2
2019-10-31,492.2,212805.0,6314.8714,37.6876,0.9103,1.2
2019-11-30,454.05,573592.0,5825.4111,34.7665,0.8397,1.2
2019-12-31,418.15,699439.0,5364.8181,32.0176,0.7733,1.2
2020-01-31,426.15,748168.0,5467.4572,32.6302,0.7881,1.2
2020-02-29,412.85,641741.0,5296.8197,31.6118,0.7635,3.2
2020-03-31,282.95,553968.0,3630.2171,22.403,0.5154,3.2
2020-04-30,445.0,1062544.0,5709.3006,35.2336,0.8106,3.2
2020-05-31,390.25,723655.0,5006.8642,30.8987,0.7109,3.2
2020-06-30,576.45,4153138.0,7395.7895,45.6413,1.0501,2.0
2020-07-31,781.05,4467144.0,10020.7848,61.8409,1.4228,2.0
2020-08-31,899.1,7805932.0,11535.3532,71.1876,1.6379,2.0
2020-09-30,1147.7,3703161.0,14724.8636,90.8709,2.0907,2.0
2020-10-31,1197.2,2431090.0,15359.9431,94.7902,2.1809,2.0
2020-11-30,1031.3,2832963.0,13231.4645,81.6548,1.8787,4.0
2020-12-31,1095.3,2464654.0,14052.5774,86.7221,1.9953,4.0
2021-01-31,1289.25,3401629.0,16540.9344,102.0784,2.3486,4.0
2021-02-28,2026.0,3921286.0,25993.3551,160.4117,3.6907,2.0
2021-03-31,2089.2,1078717.0,26804.2041,33.2411,3.4357,2.0
2021-04-30,2521.2,1678863.0,32346.7161,40.1146,4.1461,2.0
2021-05-31,2120.8,2765380.0,27209.6286,33.7438,3.4876,2.0
2021-06-30,2161.45,994469.0,27731.1636,34.3906,3.5545,5.0
2021-07-31,1988.2,461549.0,25508.3853,31.634,3.2696,5.0
2021-08-31,1632.5,1130914.0,20944.7938,25.9745,2.6846,5.0
2021-09-30,1555.75,521465.0,19960.0998,24.7534,2.5584,5.0
2021-10-31,1669.9,825127.0,21424.6316,26.5696,2.7461,5.0
2021-11-30,1746.75,672705.0,22410.6086,27.7924,2.8725,3.0
2021-12-31,1545.05,716350.0,19822.82,24.5831,2.5408,3.0
2022-01-31,1477.35,586598.0,18954.2365,23.506,2.4295,3.0
2022-02-28,1062.75,1435994.0,13634.9645,16.9093,1.7477,3.0
2022-03-31,1029.15,1438903.0,13203.8803,20.6906,1.5836,3.0
2022-04-30,1325.5,1260777.0,17006.0179,26.6486,2.0396,3.0
2022-05-31,1073.9,1073285.0,13778.0178,21.5903,1.6525,3.0
2022-06-30,1179.6,488300.0,15134.1371,23.7153,1.8151,3.0
2022-07-31,1301.25,914100.0,16694.8931,26.161,2.0023,5.0
2022-08-31,1270.25,993931.0,16297.1665,25.5378,1.9546,5.0
2022-09-30,1363.35,1800420.0,17491.6292,27.4095,2.0978,5.0
2022-10-31,1487.8,1180452.0,19088.3089,29.9115,2.2893,5.0
2022-11-30,1746.05,2021032.0,22401.6277,35.1035,2.6867,5.0
2022-12-31,1666.95,822172.0,21386.7835,33.5133,2.565,5.0
2023-01-31,1481.15,784205.0,19002.9901,29.7778,2.2791,5.0
2023-02-28,1613.6,1236854.0,20702.3089,32.4407,2.4829,5.0
2023-03-31,1804.05,825886.0,23145.7613,14.155,2.3283,5.0
2023-04-30,2139.15,1150674.0,27445.0571,16.7842,2.7608,5.0
2023-05-31,2746.65,4497654.0,35239.2146,21.5508,3.5448,5.0
2023-06-30,2830.75,923573.0,36318.2083,22.2107,3.6534,5.0
2023-07-31,3473.7,1137445.0,44567.1854,27.2554,4.4832,10.0
2023-08-31,3879.45,1507728.0,49772.9129,30.439,5.0068,10.0
2023-09-30,3688.3,645586.0,47320.4796,28.9392,4.7601,10.0
2023-10-31,3870.6,599285.0,49659.3684,30.3696,4.9954,10.0
2023-11-30,5466.95,1419238.0,70140.3617,42.8949,7.0557,10.0
2023-12-31,5291.4,1604880.0,67888.0747,41.5175,6.8291,10.0
2024-01-31,6413.65,1066462.0,82286.4176,50.3229,8.2775,10.0
2024-02-29,7161.95,1010345.0,91887.0235,56.1942,9.2433,10.0
2024-03-31,6322.15,1004445.0,81112.4827,27.0304,6.3236,10.0
2024-04-30,7593.45,843198.0,97423.1206,32.4659,7.5951,10.0
2024-05-31,6042.5,826163.0,77524.6043,25.8348,6.0438,10.0
2024-06-30,7484.9,947528.0,96030.4362,32.0018,7.4866,10.0
2024-07-31,8758.35,755181.0,112368.6583,37.4464,8.7603,14.0
2024-08-31,12502.2,1705112.0,160401.8383,53.4533,12.505,14.0
2024-09-30,12386.4,708223.0,158916.1371,52.9582,12.3891,14.0
2024-10-31,14606.6,1032509.0,187401.0567,62.4507,14.6098,14.0
2024-11-30,16709.3,1079506.0,214378.4643,71.4408,16.713,14.0
2024-12-31,13723.8,1994151.0,176074.8307,58.6763,13.7268,14.0
2025-01-31,14123.35,855965.0,181201.0128,60.3846,14.1265,14.0
2025-02-28,10611.0,1017012.0,136137.9522,45.3675,10.6134,14.0
2025-03-31,12071.55,932066.0,154876.6466,59.8709,10.1571,14.0
2025-04-30,11992.0,1023822.0,153856.0289,59.4763,10.0902,14.0
2025-05-31,11503.0,1087730.0,147582.2132,57.0511,9.6788,14.0
2025-06-30,12000.0,1725023.0,153958.668,59.516,10.0969,14.0
2025-07-31,13281.0,3685614.0,170393.7558,65.8694,11.1748,12.0
2025-08-31,13455.0,1286608.0,172626.1565,66.7323,11.3212,12.0
2025-09-30,14605.0,1378314.0,187380.5288,72.436,12.2888,12.0
2025-10-31,16473.0,841956.0,211346.7615,81.7006,13.8606,12.0
2025-11-30,17288.0,1580804.0,221803.121,85.7428,14.5463,12.0
2025-12-31,15175.0,1635830.0,194693.5656,75.263,12.7684,12.0
2026-01-31,13251.0,819968.0,170008.8591,65.7206,11.1495,12.0
2026-02-28,12825.0,1276849.0,164543.3264,63.6078,10.7911,12.0
2026-03-31,12915.0,95599.0,165698.0164,64.0541,10.8668,12.0
