TITAGARH IN Equity,price,volume,mc,pe,bm,div
2016-08-31,120.9,29382503.0,13949.9711,9.2602,2.9289,0.8
2016-09-30,113.25,17809914.0,13067.2806,9.2602,2.7435,0.8
2016-10-31,116.2,9030032.0,13407.6646,9.2602,2.815,0.8
2016-11-30,113.65,13627470.0,13113.4344,9.2602,2.7532,0.8
2016-12-31,123.25,36889861.0,14224.5124,9.2602,2.9858,0.8
2017-01-31,116.15,33764956.0,13405.0881,9.2602,2.8138,0.8
2017-02-28,102.0,25184122.0,11772.0103,9.2602,2.471,0.8
2017-03-31,116.25,17396477.0,13416.6293,49.8669,1.3866,0.8
2017-04-30,127.65,22631087.0,14732.3246,54.757,1.5226,0.8
2017-05-31,110.7,24398593.0,12776.0935,47.4861,1.3204,0.0
2017-06-30,116.7,12873387.0,13472.5036,50.0599,1.392,0.0
2017-07-31,122.15,13101381.0,14101.6822,52.3977,1.457,0.8
2017-08-31,110.8,9562910.0,12791.3744,47.529,1.3216,0.8
2017-09-30,120.5,22754240.0,13911.1969,51.6899,1.4373,0.8
2017-10-31,143.6,28039709.0,16577.9907,61.599,1.7129,0.8
2017-11-30,183.5,70053969.0,21185.373,78.7146,2.1888,0.8
2017-12-31,166.5,33032529.0,19222.6954,71.4222,1.986,0.8
2018-01-31,156.2,32062416.0,18033.5437,67.0039,1.8632,0.8
2018-02-28,126.95,23552587.0,14656.5832,54.4567,1.5143,0.8
2018-03-31,109.7,15731668.0,12665.0427,47.7649,1.4825,0.8
2018-04-30,116.75,11625734.0,13484.6682,47.7649,1.5778,0.8
2018-05-31,103.1,6801512.0,11908.0881,47.7649,1.3933,0.8
2018-06-30,94.4,7356533.0,10903.2349,47.7649,1.2757,0.8
2018-07-31,91.5,13480351.0,10569.7433,47.7649,1.2365,0.8
2018-08-31,88.5,9871595.0,10223.1943,47.7649,1.196,0.8
2018-09-30,70.7,8364603.0,8167.7815,47.7649,0.9554,0.3
2018-10-31,67.35,8957473.0,7780.765,47.7649,0.9102,0.3
2018-11-30,68.8,7151532.0,7948.2796,47.7649,0.9298,0.3
2018-12-31,81.45,15515931.0,9409.7002,47.7649,1.1007,0.3
2019-01-31,68.55,8601495.0,7919.4389,47.7649,0.9264,0.3
2019-02-28,63.85,12476010.0,7376.4577,47.7649,0.8629,0.3
2019-03-31,69.95,10439895.0,8081.178,17.5754,0.9901,0.3
2019-04-30,62.2,4915047.0,7185.8366,15.6281,0.8804,0.3
2019-05-31,69.5,7188566.0,8031.6229,17.4623,0.9838,0.3
2019-06-30,63.35,3948280.0,7320.911,15.9171,0.8967,0.3
2019-07-31,35.3,7878648.0,4080.8978,8.8693,0.4997,0.3
2019-08-31,37.55,8835809.0,4341.0117,9.4347,0.5315,0.3
2019-09-30,50.55,23648605.0,5843.8919,12.701,0.7155,0.3
2019-10-31,41.85,14593475.0,4838.1182,10.5151,0.5924,0.3
2019-11-30,46.4,22968639.0,5364.1263,11.6583,0.6568,0.3
2019-12-31,49.1,14334879.0,5676.2629,12.3367,0.695,0.3
2020-01-31,51.75,38620139.0,5982.6193,13.0025,0.7325,0.3
2020-02-29,40.55,23043653.0,4687.8302,10.1884,0.574,0.3
2020-03-31,24.9,13902109.0,2878.5936,4.8069,0.3752,0.3
2020-04-30,35.05,6438095.0,4051.9963,6.7664,0.5282,0.3
2020-05-31,29.85,3390720.0,3450.8442,5.7625,0.4498,0.3
2020-06-30,34.15,5140042.0,3947.9507,6.5927,0.5146,0.3
2020-07-31,39.05,9148256.0,4514.4209,7.5386,0.5885,0.3
2020-08-31,44.15,19394607.0,5104.0124,8.5232,0.6653,0.3
2020-09-30,47.55,6634948.0,5497.0734,9.1795,0.7166,0.3
2020-10-31,40.8,4221961.0,4716.7315,7.8764,0.6149,0.0
2020-11-30,46.3,7024984.0,5524.8234,8.9382,0.6977,0.0
2020-12-31,58.2,31557640.0,6944.8102,11.2355,0.8771,0.0
2021-01-31,55.85,20183582.0,6667.7966,10.7819,0.8417,0.0
2021-02-28,50.35,17875766.0,6011.1649,9.7201,0.7588,0.0
2021-03-31,44.55,17232425.0,5318.7169,8.6293,0.6328,0.0
2021-04-30,47.1,8116173.0,5623.1552,8.6293,0.669,0.0
2021-05-31,56.1,20390666.0,6697.6435,8.6293,0.7968,0.0
2021-06-30,70.05,65511279.0,8363.1003,8.6293,0.9949,0.0
2021-07-31,79.55,34852915.0,9497.2827,8.6293,1.1299,0.0
2021-08-31,93.15,57156453.0,11133.0168,8.6293,1.323,0.0
2021-09-30,97.4,19745473.0,11640.9645,8.6293,1.3834,0.0
2021-10-31,94.25,29357712.0,11264.4856,8.6293,1.3387,0.0
2021-11-30,86.25,12341396.0,10313.0064,8.6293,1.225,0.0
2021-12-31,92.85,11508326.0,11102.1756,8.6293,1.3188,0.0
2022-01-31,111.8,43276849.0,13368.0478,8.6293,1.5879,0.0
2022-02-28,86.0,19077951.0,10283.1137,8.6293,1.2215,0.0
2022-03-31,101.35,13418862.0,12118.5299,15.4969,1.439,0.0
2022-04-30,104.1,27645966.0,12447.3504,15.9174,1.4781,0.0
2022-05-31,100.45,17532319.0,12010.9159,15.3593,1.4263,0.0
2022-06-30,102.0,14676274.0,12196.2511,15.5963,1.4483,0.0
2022-07-31,126.15,32594332.0,15083.8929,19.289,1.7912,0.0
2022-08-31,171.55,33890565.0,20512.4203,26.2309,2.4358,0.0
2022-09-30,149.2,17809565.0,17840.0065,22.8135,2.1184,0.0
2022-10-31,159.3,4172085.0,19047.6745,24.3578,2.2618,0.0
2022-11-30,181.4,9687763.0,21690.1955,27.737,2.5756,0.0
2022-12-31,223.6,21915953.0,26736.0955,34.1896,3.1748,0.0
2023-01-31,228.45,14983538.0,27316.0153,34.9312,3.2437,0.0
2023-02-28,208.1,11034302.0,24882.7436,31.8196,2.9547,0.0
2023-03-31,262.4,28853543.0,31375.4538,22.5527,3.2562,0.0
2023-04-30,332.25,32186425.0,39727.4943,28.5561,4.123,0.0
2023-05-31,352.7,16225698.0,42172.7231,30.3138,4.3768,0.0
2023-06-30,503.8,27284104.0,60239.9146,43.3005,6.2519,0.0
2023-07-31,652.3,28067432.0,82953.7014,56.0637,8.0947,0.0
2023-08-31,813.35,39749022.0,103434.6052,69.9056,10.0932,0.0
2023-09-30,779.6,31836190.0,99142.581,67.0049,9.6744,0.5
2023-10-31,761.65,36809657.0,96859.8599,65.4621,9.4516,0.5
2023-11-30,972.05,54040778.0,123616.6571,83.5455,12.0626,0.5
2023-12-31,1043.5,36164845.0,140532.0769,89.6865,12.9492,0.5
2024-01-31,1092.85,35142433.0,147178.2274,93.928,13.5616,0.5
2024-02-29,937.35,23577259.0,126236.4564,80.5631,11.632,0.5
2024-03-31,919.0,23374196.0,123765.1928,40.5956,5.5792,0.5
2024-04-30,1057.85,18739273.0,142464.6455,46.7291,6.4222,0.5
2024-05-31,1415.7,68083548.0,190657.6534,62.5367,8.5947,0.5
2024-06-30,1859.85,101605678.0,250473.0074,82.1564,11.2911,0.5
2024-07-31,1629.85,33221890.0,219498.0408,71.9964,9.8947,0.5
2024-08-31,1423.8,31360995.0,191748.5109,62.8945,8.6438,0.8
2024-09-30,1221.85,15854919.0,164551.1434,53.9736,7.4178,0.8
2024-10-31,1221.65,64954391.0,164524.2087,53.9648,7.4166,0.8
2024-11-30,1205.5,20620846.0,162349.2273,53.2514,7.3185,0.8
2024-12-31,1104.8,43563591.0,148787.5789,48.8031,6.7072,0.8
2025-01-31,1018.95,38645459.0,137225.8359,45.0108,6.186,0.8
2025-02-28,697.0,48850687.0,93867.6163,30.789,4.2315,0.8
2025-03-31,796.25,52599774.0,107233.9878,38.8157,4.3188,0.8
2025-04-30,747.1,33018050.0,100614.7721,36.4197,4.0522,0.8
2025-05-31,891.6,99166632.0,120075.1315,43.4638,4.8359,0.8
2025-06-30,942.85,76177251.0,126977.1622,45.9622,5.1139,0.8
2025-07-31,860.15,31483258.0,115839.6415,41.9307,4.6653,0.8
2025-08-31,825.5,42287554.0,111173.1955,40.2416,4.4774,0.8
2025-09-30,872.85,29261730.0,117549.9984,42.5498,4.7342,1.0
2025-10-31,884.55,17425227.0,119125.6815,43.1202,4.7977,1.0
2025-11-30,826.7,18542992.0,111334.804,40.3001,4.4839,1.0
2025-12-31,891.95,36377708.0,120122.2674,43.4809,4.8378,1.0
2026-01-31,821.0,17220004.0,110567.1635,40.0222,4.453,1.0
2026-02-28,700.95,11267038.0,94399.5777,34.17,3.8019,1.0
2026-03-31,654.75,2520259.0,88177.6496,31.9178,3.5513,1.0
