EXID IN Equity,price,volume,mc,pe,bm,div
2006-08-31,33.8,60845238.0,26317.5,37.2719,4.8656,0.289
2006-09-30,38.44,85974231.0,29925.0,42.381,5.5325,0.289
2006-10-31,40.07,25163520.0,31200.0,44.1867,5.7682,0.289
2006-11-30,38.24,15862759.0,29775.0,42.1686,5.5048,0.289
2006-12-31,35.64,4148938.0,27750.0,39.3007,5.1304,0.289
2007-01-31,43.49,34671857.0,33862.5,47.9574,6.2605,0.289
2007-02-28,44.84,42101522.0,34912.5,49.4445,6.4546,0.289
2007-03-31,40.94,14601884.0,31875.0,46.5051,5.5833,0.289
2007-04-30,41.95,13924115.0,32662.5,47.654,5.7212,0.289
2007-05-31,44.46,10333936.0,34612.5,50.499,6.0628,0.289
2007-06-30,46.53,10649539.0,36225.0,52.8516,6.3452,0.289
2007-07-31,53.56,50239346.0,41700.0,60.8396,7.3043,0.3372
2007-08-31,60.98,28051857.0,47475.0,69.2652,8.3158,0.3372
2007-09-30,60.78,11375476.0,47325.0,69.0463,8.2895,0.3372
2007-10-31,72.82,24495160.0,56700.0,82.7243,9.9317,0.3372
2007-11-30,68.78,14550227.0,53550.0,78.1285,9.3799,0.3372
2007-12-31,75.2,16093991.0,60160.0,85.4224,10.2556,0.3372
2008-01-31,83.35,61584879.0,66680.0,94.6803,11.3671,0.3372
2008-02-29,75.3,17446342.0,60240.0,85.536,10.2692,0.3372
2008-03-31,67.65,23589639.0,54120.0,31.2279,6.3924,0.3372
2008-04-30,73.3,15979640.0,58640.0,33.836,6.9263,0.3372
2008-05-31,74.7,10866625.0,59760.0,34.4823,7.0586,0.3372
2008-06-30,64.8,8949578.0,51840.0,29.9123,6.1231,0.3372
2008-07-31,68.45,10279711.0,54760.0,31.5972,6.468,0.4
2008-08-31,69.95,6853512.0,55960.0,32.2896,6.6097,0.4
2008-09-30,60.0,12392815.0,48000.0,27.6966,5.6695,0.4
2008-10-31,49.35,10095815.0,39480.0,22.7805,4.6632,0.4
2008-11-30,39.35,6816760.0,31480.0,18.1644,3.7183,0.4
2008-12-31,48.05,12446813.0,38440.0,22.1804,4.5403,0.4
2009-01-31,40.45,7200709.0,32360.0,18.6721,3.8222,0.8
2009-02-28,40.4,12807092.0,32320.0,18.6491,3.8175,0.8
2009-03-31,41.35,6295418.0,33080.0,17.3013,3.3317,0.8
2009-04-30,51.95,14697023.0,41560.0,21.7364,4.1858,0.8
2009-05-31,70.85,18440825.0,56680.0,29.6444,5.7086,0.8
2009-06-30,69.5,41506569.0,55600.0,29.0795,5.5998,0.8
2009-07-31,85.85,45881839.0,68680.0,35.9205,6.9172,0.6
2009-08-31,95.65,32045909.0,76520.0,40.0209,7.7068,0.6
2009-09-30,91.95,19337115.0,73560.0,38.4728,7.4087,0.6
2009-10-31,98.5,43404278.0,78800.0,41.2134,7.9364,0.8
2009-11-30,108.35,39477814.0,86680.0,45.3347,8.7301,0.8
2009-12-31,115.3,20741859.0,92240.0,48.2427,9.2901,0.8
2010-01-31,111.6,43068243.0,89280.0,46.6946,8.9919,0.8
2010-02-28,107.25,16295737.0,85800.0,44.8745,8.6414,0.8
2010-03-31,123.2,41717825.0,104720.0,20.0325,5.4641,0.8
2010-04-30,122.75,26071027.0,104337.5,19.9593,5.4442,0.8
2010-05-31,119.25,13897773.0,101362.5,19.3902,5.2889,0.8
2010-06-30,131.75,39988822.0,111987.5,21.4228,5.8433,0.8
2010-07-31,145.3,36061167.0,123505.0,23.626,6.4443,1.0
2010-08-31,147.6,23400168.0,125460.0,24.0,6.5463,1.0
2010-09-30,163.65,36551506.0,139102.5,26.6098,7.2582,1.0
2010-10-31,154.9,35019618.0,131665.0,25.187,6.8701,1.3
2010-11-30,161.35,26711409.0,137147.5,26.2358,7.1561,1.3
