INFO IN Equity,price,volume,mc,pe,bm,div
2005-04-30,117.93,477839664.0,510481.8358,31.5723,9.3138,2.1094
2005-05-31,140.65,481232768.0,608905.5779,37.6573,11.1089,0.5469
2005-06-30,147.39,407203280.0,638073.0872,31.1191,11.4752,0.7188
2005-07-31,141.78,422778864.0,615709.3061,29.9341,11.4752,0.7188
2005-08-31,148.51,318502368.0,646250.979,31.3546,11.4752,0.7188
2005-09-30,157.21,298730624.0,685036.6739,30.8907,448.8354,0.7188
2005-10-31,157.62,483803312.0,687633.5879,30.9724,450.022,0.8125
2005-11-30,167.78,328937216.0,731940.7541,32.9681,479.0189,0.8125
2005-12-31,187.3,399523712.0,820367.9323,34.7532,533.0868,0.8125
2006-01-31,180.02,450966864.0,790714.9566,33.4016,533.0868,0.8125
2006-02-28,176.81,361866512.0,776618.0872,32.8061,533.0868,0.8125
2006-03-31,186.34,435475760.0,818469.4551,33.1193,533.0868,0.8125
2006-04-30,198.58,516968352.0,865146.2338,35.296,533.0868,0.8125
2006-05-31,181.87,368618368.0,801823.6964,32.3245,533.0868,2.8125
2006-06-30,192.43,448180416.0,851805.4036,30.9941,533.0868,2.8125
2006-07-31,206.94,377508680.0,916655.3192,33.331,533.0868,2.8125
2006-08-31,225.8,224353504.0,1000178.894,36.368,533.0868,2.8125
2006-09-30,231.21,179553176.0,1026684.674,33.4563,11.955,2.8125
2006-10-31,261.94,290773488.0,1164647.411,37.9032,13.544,3.0313
2006-11-30,272.46,258559432.0,1211444.506,39.4262,14.0882,3.0313
2006-12-31,280.23,229406248.0,1245958.753,36.6951,12.8727,3.0313
2007-01-31,280.91,261855856.0,1253652.685,36.7851,12.9043,3.0313
2007-02-28,259.69,203514816.0,1158957.921,34.0066,11.9296,3.0313
2007-03-31,252.33,315410824.0,1140399.996,29.1849,10.245,3.0313
2007-04-30,256.36,308655480.0,1171465.573,29.6504,10.4084,3.0313
2007-05-31,240.44,319166352.0,1098722.008,27.8092,9.7621,1.1563
2007-06-30,241.13,263426512.0,1101892.222,26.2161,8.9302,1.4375
2007-07-31,246.98,381321416.0,1128596.279,26.8514,9.1466,1.4375
2007-08-31,231.82,313460712.0,1059337.094,25.2036,8.5853,1.4375
2007-09-30,236.59,274742664.0,1081157.769,26.0367,8.8691,1.4375
2007-10-31,229.68,395230848.0,1049569.855,26.0367,8.8691,1.5625
2007-11-30,200.31,379240408.0,915364.0603,26.0367,8.8691,1.5625
