ABB IN Equity,price,volume,mc,pe,bm,div
2000-05-31,34.21,2113190.0,7867.349,19.0459,1.9221,1.0
2000-06-30,37.1,5004185.0,8532.1078,20.6552,2.0845,1.0
2000-07-31,36.56,4670975.0,8407.8539,20.3544,2.0541,1.0
2000-08-31,44.26,2334960.0,10178.4733,24.6409,2.4867,1.0
2000-09-30,38.11,1719665.0,8764.0486,21.2167,2.1411,1.0
2000-10-31,39.0,1203070.0,8969.0677,21.713,2.1912,1.0
2000-11-30,46.82,3718345.0,10768.6798,26.0697,2.6309,1.0
2000-12-31,47.35,3481430.0,10890.8629,18.1566,2.4704,1.0
2001-01-31,47.78,3423060.0,10988.1952,18.3189,2.4924,1.0
2001-02-28,56.89,19000350.0,13083.946,21.8128,2.9678,1.0
2001-03-31,42.79,4877555.0,9840.9166,16.4062,2.2322,1.0
2001-04-30,44.34,2833120.0,10197.1114,17.0,2.313,1.0
2001-05-31,50.19,3678695.0,11543.1964,19.2441,2.6183,1.0
2001-06-30,44.98,3143440.0,10346.3163,17.2486,2.3468,1.0
2001-07-31,45.38,1357610.0,10437.4368,17.4005,2.3675,1.0
2001-08-31,41.16,239085.0,9466.1753,15.7813,2.1472,1.0
2001-09-30,35.58,426680.0,8182.2049,13.6408,1.8559,1.0
2001-10-31,34.5,437900.0,7935.7654,13.2299,1.8,1.0
2001-11-30,36.89,7859925.0,8484.5592,14.1448,1.9245,1.0
2001-12-31,36.74,2050055.0,8449.3536,11.7814,1.8879,1.0
2002-01-31,40.07,1263885.0,9215.594,12.8498,1.8879,1.0
2002-02-28,46.25,4545505.0,10638.316,14.8335,1.8879,1.0
2002-03-31,47.82,1597155.0,10998.6561,15.336,1.8879,1.0
2002-04-30,47.96,1223190.0,11286.2463,15.3793,1.8879,1.0
2002-05-31,44.29,518295.0,10423.7788,14.204,1.8879,1.0
2002-06-30,48.4,1381455.0,11390.0815,15.5208,1.8879,1.0
2002-07-31,49.79,1568955.0,11718.5397,15.9683,1.8879,1.0
2002-08-31,50.87,1330520.0,11972.8299,16.3149,1.8879,1.0
2002-09-30,50.61,757510.0,11911.3764,16.2311,1.8879,1.0
2002-10-31,43.19,6333140.0,10165.2504,13.8517,1.8879,1.0
2002-11-30,43.18,3288470.0,10163.1313,13.8489,1.8879,1.0
2002-12-31,44.78,1231215.0,10538.2094,11.6643,1.8526,1.0
2003-01-31,50.29,1108240.0,11835.0893,13.0997,2.0806,1.0
2003-02-28,57.71,4214920.0,13581.2153,15.0324,2.3876,1.0
2003-03-31,51.85,593615.0,12201.691,13.5055,2.1451,1.2
2003-04-30,55.49,958675.0,13059.9204,14.4554,2.296,1.2
