AEGISLOG IN Equity,price,volume,mc,pe,bm,div
2023-12-31,351.9,12330914.0,123516.9,24.0369,3.381,3.75
2024-01-31,377.65,16458603.0,132555.15,25.7958,3.381,3.75
2024-02-29,439.85,37050085.0,154387.35,30.0444,3.381,4.0
2024-03-31,446.65,22759838.0,156774.15,27.537,4.0257,4.0
2024-04-30,687.2,65842705.0,241207.2,42.3674,6.1938,7.0
2024-05-31,706.85,34800520.0,248104.35,43.5789,6.3709,7.0
2024-06-30,872.85,26039737.0,306370.35,52.3605,7.698,7.75
2024-07-31,829.6,11318056.0,291189.6,49.766,7.698,7.75
2024-08-31,752.6,10469525.0,264162.6,45.147,7.698,5.25
2024-09-30,763.95,6580263.0,268146.45,45.9105,6.5058,5.25
2024-10-31,800.6,8405463.0,281010.6,48.113,6.8179,5.25
2024-11-30,907.95,8034992.0,318690.45,54.5643,7.7321,5.25
2024-12-31,820.0,23338333.0,287820.0,46.9249,6.9256,5.25
2025-01-31,700.45,149054016.0,245857.95,40.0836,6.9256,5.25
2025-02-28,760.2,76991008.0,266830.2,43.5028,6.9256,3.25
2025-03-31,805.45,22658795.0,282712.95,40.4653,6.105,3.25
2025-04-30,785.4,32961298.0,275675.4,39.458,5.9531,2.0
2025-05-31,796.9,29825562.0,279711.9,40.0357,6.0402,2.0
2025-06-30,775.8,16327151.0,272305.8,38.9953,5.9208,2.0
2025-07-31,719.7,9212928.0,252614.7,36.1754,5.9208,8.0
2025-08-31,672.15,6504793.0,235924.65,33.7853,5.9208,8.0
2025-09-30,765.75,26270356.0,268778.25,35.7414,4.5239,8.0
2025-10-31,750.15,22281808.0,263302.65,35.0133,4.4317,8.0
2025-11-30,763.65,10561293.0,268041.15,35.6434,4.5115,8.0
2025-12-31,717.6,5057069.0,251877.6,32.7372,4.1573,8.0
2026-01-31,730.5,10784037.0,256405.5,33.3257,4.1573,8.0
2026-02-28,688.45,23201806.0,241645.95,31.4074,4.1573,8.0
2026-03-31,665.0,861862.0,233415.0,30.3376,4.1573,8.0
