POONAWAL IN Equity,price,volume,mc,pe,bm,div
2005-04-30,15.32,231905.0,871.325,7.4767,1.0423,0.2
2005-05-31,19.5,342855.0,1109.0625,9.5167,1.3266,0.2
2005-06-30,27.39,820790.0,1557.8062,13.3672,1.8634,0.2
2005-07-31,33.8,1213505.0,1922.375,16.4955,2.2995,0.3
2005-08-31,37.5,11248220.0,2132.8125,18.3013,2.5512,0.3
2005-09-30,26.67,7296160.0,1516.8563,13.0159,1.8144,0.3
2005-10-31,17.46,1410410.0,1256.4216,8.5211,1.1878,0.3
2005-11-30,20.19,362955.0,1452.8724,9.8534,1.3736,0.3
2005-12-31,19.8,497190.0,1424.808,9.6631,1.347,0.3
2006-01-31,23.75,1841775.0,1709.05,11.5908,1.6158,0.3
2006-02-28,27.51,3651975.0,1979.6196,13.4258,1.8716,0.3
2006-03-31,28.77,4007590.0,2070.2892,10.7099,1.6528,0.3
2006-04-30,32.72,1127580.0,2242.2736,12.1803,1.8797,0.3
2006-05-31,28.6,3126175.0,2058.056,10.6466,1.643,0.3
2006-06-30,30.79,2210120.0,2215.6484,11.4619,1.7689,0.3
2006-07-31,28.87,2409595.0,2077.4852,10.7471,1.6586,0.36
2006-08-31,31.41,7818305.0,2260.2636,11.6927,1.8045,0.36
2006-09-30,34.0,2027315.0,2446.64,12.6568,1.9533,0.36
2006-10-31,33.89,426460.0,2438.7244,12.6159,1.947,0.36
2006-11-30,38.9,3488615.0,3292.8461,14.4809,2.2348,0.36
2006-12-31,39.0,453410.0,3301.311,14.5181,2.2405,0.36
2007-01-31,37.61,912780.0,3183.6489,14.0007,2.1607,0.36
2007-02-28,37.62,506425.0,3184.4954,14.0044,2.1612,0.36
2007-03-31,36.11,2585470.0,3056.6754,13.4834,1.4157,0.36
2007-04-30,50.51,496390.0,4275.621,18.8603,1.9803,0.36
2007-05-31,42.59,338470.0,3605.2009,15.903,1.6698,0.36
2007-06-30,46.0,1240840.0,4637.444,17.1763,1.8035,0.36
2007-07-31,44.6,684945.0,4496.3044,16.6535,1.7486,0.36
2007-08-31,42.93,748600.0,4327.945,16.0299,1.6831,0.4
2007-09-30,53.49,644905.0,5392.5944,19.973,2.0971,0.4
2007-10-31,55.0,689830.0,5544.825,20.5369,2.1563,0.4
2007-11-30,71.66,591925.0,7224.4029,26.7577,2.8095,0.4
2007-12-31,73.78,314125.0,7438.1307,27.5493,2.8926,0.4
2008-01-31,74.92,625070.0,7553.0598,27.9749,2.9373,0.4
2008-02-29,77.6,297415.0,7823.244,28.9756,3.0424,0.4
2008-03-31,67.02,12129050.0,6756.6213,17.0015,2.6213,0.4
2008-04-30,78.78,210985.0,8577.9995,19.9848,3.0812,0.4
2008-05-31,77.59,152415.0,8448.3873,19.6829,3.0347,0.4
2008-06-30,63.04,106875.0,6864.1105,15.9919,2.4656,0.4
2008-07-31,63.7,60020.0,6935.9746,16.1593,2.4914,0.4
2008-08-31,55.76,72925.0,6071.4277,14.1451,2.1809,0.4
2008-09-30,53.05,47435.0,5776.3494,13.4576,2.0749,0.4
2008-10-31,50.67,229170.0,5517.2031,12.8539,1.9818,0.4
2008-11-30,36.21,39995.0,3942.7259,9.1857,1.4162,0.4
2008-12-31,39.6,146760.0,4311.8461,10.0457,1.5488,0.4
2009-01-31,37.12,165050.0,4041.8113,9.4165,1.4518,0.4
2009-02-28,36.6,93365.0,3985.1911,9.2846,1.4315,0.4
2009-03-31,32.88,451945.0,3580.1389,10.6546,1.1999,0.4
2009-04-30,27.9,45655.0,3037.8916,9.0408,1.0181,0.4
2009-05-31,33.74,133995.0,3673.78,10.9332,1.2312,0.4
2009-06-30,36.04,398260.0,3924.2155,11.6785,1.3152,0.4
2009-07-31,35.96,415415.0,3915.5047,11.6526,1.3123,0.4
2009-08-31,29.95,583145.0,3261.1058,9.7051,1.0929,0.2
2009-09-30,37.43,3211460.0,4075.5656,12.129,1.3659,0.2
2009-10-31,31.26,4567430.0,3403.7452,10.1296,1.1407,0.2
2009-11-30,30.96,1224255.0,3371.0797,10.0324,1.1298,0.2
2009-12-31,31.76,20824390.0,3458.1877,10.2916,1.159,0.2
2010-01-31,39.8,96309445.0,4333.6231,12.897,1.4524,0.2
2010-02-28,48.81,48382255.0,5314.677,15.8166,1.7812,0.2
2010-03-31,56.4,37045210.0,6141.1141,9.5859,1.7433,0.2
2010-04-30,58.39,43208915.0,6357.7953,9.9241,1.8048,0.2
2010-05-31,59.5,24227580.0,7688.7091,10.1128,1.8391,0.2
2010-06-30,58.33,7003370.0,7544.8689,9.914,1.803,0.2
2010-07-31,74.93,50758645.0,9692.0458,12.7353,2.3161,0.4
2010-08-31,79.8,38157051.0,10321.9783,13.5631,2.4666,0.4
2010-09-30,77.5,21923119.0,10024.4777,13.1721,2.3955,0.4
2010-10-31,75.55,22357268.0,9772.2489,12.8407,2.3353,0.4
2010-11-30,76.7,12960313.0,9920.9992,13.0362,2.3708,0.4
2010-12-31,72.6,6625936.0,9421.556,12.3393,2.2441,0.4
2011-01-31,60.05,9330467.0,7792.8986,10.2063,1.8561,0.4
2011-02-28,58.15,6125244.0,7546.3289,9.8834,1.7974,0.4
2011-03-31,60.35,5518128.0,7831.8306,6.9455,1.3394,0.4
2011-04-30,65.95,17924038.0,8558.5622,7.59,1.4636,0.4
2011-05-31,73.9,19785657.0,9590.2615,8.5049,1.6401,0.4
2011-06-30,72.95,2927106.0,9466.9767,8.3956,1.619,0.6
2011-07-31,73.2,3409242.0,13148.7622,8.4244,1.6245,0.6
2011-08-31,75.7,8299580.0,13600.5349,8.7121,1.68,0.6
2011-09-30,69.6,721289.0,12504.5869,8.0101,1.5446,0.6
2011-10-31,63.0,1555413.0,11318.8071,7.2505,1.3982,0.6
2011-11-30,56.65,2551376.0,10744.4432,6.5197,1.2572,0.6
2011-12-31,54.0,4493291.0,10245.5384,6.2147,1.1984,0.6
2012-01-31,57.25,3531010.0,10862.168,6.5887,1.2706,0.6
2012-02-29,70.0,1082346.0,13281.2535,8.0561,1.5535,0.6
2012-03-31,75.1,2986931.0,14248.8877,20.3186,1.2935,0.6
2012-04-30,70.15,188829.0,13309.7133,18.9793,1.2083,0.6
2012-05-31,58.15,370348.0,11032.927,15.7327,1.0016,0.6
2012-06-30,59.0,84887.0,11194.1994,15.9627,1.0162,0.6
2012-07-31,67.2,489744.0,12750.0034,18.1812,1.1575,0.6
2012-08-31,62.55,183765.0,11867.7487,16.9231,1.0774,0.6
2012-09-30,63.0,466394.0,11963.1959,17.0449,1.0851,0.6
2012-10-31,62.8,1366085.0,11925.2175,16.9908,1.0817,0.6
2012-11-30,72.05,1803484.0,13681.7185,19.4934,1.241,0.6
2012-12-31,79.95,1150090.0,15187.0463,21.6308,1.3771,0.6
2013-01-31,90.6,5222594.0,17210.0863,24.5122,1.5605,0.6
2013-02-28,81.9,8638531.0,15557.4621,22.1583,1.4107,0.6
2013-03-31,82.75,7850082.0,15718.9254,12.6143,1.1249,0.6
2013-04-30,89.75,1033138.0,17048.623,13.6814,1.22,0.6
2013-05-31,94.25,3777902.0,17903.4286,14.3674,1.2812,0.6
2013-06-30,89.2,6873531.0,16944.144,13.5976,1.2125,0.6
2013-07-31,78.85,2892771.0,14978.0915,12.0198,1.0719,0.8
2013-08-31,70.05,1374937.0,13315.5648,10.6784,0.9522,0.8
2013-09-30,63.8,211770.0,12127.5237,9.7256,0.8673,0.8
2013-10-31,74.9,439659.0,14237.4847,11.4177,1.0182,0.8
2013-11-30,65.25,4846014.0,12403.1492,9.9466,0.887,0.8
2013-12-31,68.35,1760764.0,12994.6996,10.4192,0.9291,0.8
2014-01-31,67.2,686500.0,12776.0616,10.2439,0.9135,0.8
2014-02-28,67.7,3478389.0,12871.1216,10.3201,0.9203,0.8
2014-03-31,70.2,1577656.0,13346.4215,9.5902,0.8875,0.8
2014-04-30,77.6,1842186.0,14753.3093,10.6011,0.9811,0.8
2014-05-31,92.05,3914276.0,17500.5427,12.5751,1.1638,0.8
2014-06-30,101.05,10196126.0,19211.6224,13.8046,1.2776,0.8
2014-07-31,98.85,5890359.0,18793.3585,13.5041,1.2497,0.8
2014-08-31,114.6,5094438.0,21811.9389,15.6557,1.4489,0.8
2014-09-30,118.85,7465307.0,22620.8458,16.2363,1.5026,0.8
2014-10-31,119.9,1622002.0,22820.6935,16.3798,1.5159,0.8
2014-11-30,107.55,2484111.0,20475.6239,14.6926,1.3597,0.8
2014-12-31,103.6,2115643.0,19723.6135,14.153,1.3098,0.8
2015-01-31,104.35,3848660.0,19866.4003,14.2555,1.3193,0.8
2015-02-28,94.6,2217968.0,18014.2991,12.9235,1.196,0.8
2015-03-31,94.9,12402602.0,18071.4153,10.6869,1.092,0.8
2015-04-30,91.45,2344999.0,17414.4461,10.2984,1.0523,0.8
2015-05-31,100.45,10257397.0,23781.7551,11.3119,1.1558,0.8
2015-06-30,90.35,2900218.0,21390.5583,10.1745,1.0396,0.8
2015-07-31,90.75,2790110.0,21485.2591,10.2196,1.0442,0.8
2015-08-31,86.85,5640856.0,20564.4449,9.7804,0.9994,0.8
2015-09-30,86.1,1686018.0,20386.8591,9.6959,0.9907,0.8
2015-10-31,89.8,2255056.0,21262.9494,10.1126,1.0333,0.8
2015-11-30,95.55,2200102.0,22624.4411,10.7601,1.0995,0.8
2015-12-31,91.65,3855886.0,21700.9946,10.3209,1.0546,0.8
2016-01-31,74.35,1293081.0,17604.6803,8.3727,0.8555,0.8
2016-02-29,85.4,1782276.0,20225.1675,9.6171,0.9827,0.8
2016-03-31,74.8,4474479.0,17714.7837,8.4139,0.8234,0.8
2016-04-30,91.1,2080465.0,21575.0908,10.2475,1.0029,0.8
2016-05-31,90.55,4730747.0,21446.1947,10.1856,0.9968,0.8
2016-06-30,108.95,16448756.0,25804.1183,12.2553,1.1994,0.8
2016-07-31,106.55,10994602.0,25235.6934,11.9854,1.173,0.8
2016-08-31,100.3,9924293.0,23755.4205,11.2823,1.1042,0.8
2016-09-30,102.55,13889072.0,24288.3187,11.5354,1.1289,0.8
2016-10-31,118.9,18832870.0,28160.7128,13.3746,1.3089,0.8
2016-11-30,102.5,12704484.0,24276.4766,11.5298,1.1284,0.8
2016-12-31,100.9,3279222.0,23906.6073,11.3498,1.1108,0.8
2017-01-31,98.25,4085937.0,23278.7331,11.0517,1.0816,0.8
2017-02-28,98.6,3669664.0,23364.2236,11.0911,1.0855,0.8
2017-03-31,106.05,33974562.0,25129.5731,123.314,1.1569,0.8
2017-04-30,116.5,12061326.0,27605.8017,135.4651,1.2709,0.8
2017-05-31,127.85,12227041.0,30297.0848,148.6628,1.3947,0.8
2017-06-30,162.3,10657246.0,38460.828,188.7209,1.7705,0.8
2017-07-31,168.95,7656308.0,40036.703,196.4535,1.8431,0.8
2017-08-31,173.8,6027751.0,41186.0253,202.093,1.896,0.8
2017-09-30,170.3,14332899.0,40356.6175,198.0233,1.8578,0.8
2017-10-31,175.7,4197936.0,41636.2753,204.3023,1.9167,0.8
2017-11-30,173.2,3595229.0,41043.8417,201.3953,1.8895,0.8
2017-12-31,160.55,1742248.0,38046.1246,186.686,1.7515,0.8
2018-01-31,158.5,4206413.0,37560.3286,184.3023,1.7291,0.8
2018-02-28,160.35,2573417.0,38007.5476,186.4535,1.7493,0.8
2018-03-31,151.5,2837952.0,35909.8438,15.15,1.821,0.8
2018-04-30,172.4,50113620.0,46425.0333,17.24,2.0722,0.8
2018-05-31,176.35,26940172.0,47488.7159,17.635,2.1197,0.8
2018-06-30,162.75,6855871.0,43826.4163,16.275,1.9562,0.8
2018-07-31,149.8,10462577.0,40339.1531,14.98,1.8005,0.8
2018-08-31,153.05,11279213.0,41214.3349,15.305,1.8396,0.8
2018-09-30,115.05,10427151.0,30981.439,11.505,1.3829,0.8
2018-10-31,106.5,3759618.0,28679.0374,10.65,1.2801,0.8
2018-11-30,112.35,2181603.0,30256.05,11.235,1.3504,0.8
2018-12-31,110.0,2483732.0,29623.191,11.0,1.3222,0.8
2019-01-31,97.95,1419576.0,26378.105,9.795,1.1773,0.8
2019-02-28,102.4,3523605.0,27578.8018,10.24,1.2308,0.8
2019-03-31,117.8,11343841.0,31726.395,10.3972,1.1563,0.8
2019-04-30,124.7,11352260.0,33584.7322,11.0062,1.224,0.8
2019-05-31,131.1,15475394.0,35308.4073,11.5711,1.2868,0.8
2019-06-30,129.95,14614984.0,35001.0236,11.4695,1.2755,0.8
2019-07-31,79.5,8940892.0,21412.7078,7.0168,0.7803,0.8
2019-08-31,65.2,2558133.0,17562.2874,5.7546,0.64,0.8
2019-09-30,51.7,3373563.0,13925.9242,4.5631,0.5075,0.8
2019-10-31,53.55,1376867.0,14424.2406,4.7264,0.5256,0.8
2019-11-30,52.25,11228605.0,14077.8657,4.6117,0.5129,0.8
2019-12-31,53.85,7545769.0,14508.9582,4.7529,0.5286,0.8
2020-01-31,58.0,6279008.0,15627.1045,5.1192,0.5693,0.8
2020-02-29,43.5,2893033.0,11723.9161,3.8394,0.427,0.8
2020-03-31,17.0,6478951.0,4581.7603,17.0,0.1667,0.8
2020-04-30,18.75,13865510.0,5053.4121,18.75,0.1839,0.8
2020-05-31,13.35,25782885.0,3598.0294,13.35,0.1309,0.8
2020-06-30,27.1,75355460.0,7303.865,27.1,0.2658,0.8
2020-07-31,25.75,41890948.0,6940.1429,25.75,0.2525,0.8
2020-08-31,37.4,43671611.0,10080.0522,37.4,0.3668,0.8
2020-09-30,32.6,13088553.0,8786.5121,32.6,0.3197,0.0
2020-10-31,36.75,38790548.0,9905.0401,36.75,0.3604,0.0
2020-11-30,46.8,21307878.0,12613.7654,46.8,0.459,0.0
2020-12-31,40.1,18836331.0,10810.6193,40.1,0.3933,0.0
2021-01-31,45.15,22353794.0,12172.0564,45.15,0.4428,0.0
2021-02-28,117.9,75828648.0,31787.8118,117.9,1.1563,0.0
2021-03-31,110.1,47730507.0,29684.8013,104.9,1.3528,0.0
2021-04-30,118.2,18510098.0,31868.6968,104.9,1.4523,0.0
2021-05-31,136.15,122580986.0,103927.5165,104.9,1.6729,0.0
2021-06-30,147.0,36749139.0,112358.0719,104.9,1.8062,0.0
2021-07-31,173.5,19325082.0,132613.1023,104.9,2.1318,0.0
2021-08-31,172.95,47885207.0,132192.7149,104.9,2.1251,0.0
2021-09-30,162.9,30882319.0,124541.5174,104.9,2.0016,0.0
2021-10-31,165.8,26046679.0,126758.6469,104.9,2.0372,0.0
2021-11-30,181.3,249138623.0,138609.9823,104.9,2.2277,0.0
2021-12-31,219.25,129292446.0,167645.4961,104.9,2.694,0.0
2022-01-31,283.75,153986641.0,216964.2395,104.9,3.4865,0.0
2022-02-28,237.2,71351911.0,181439.8635,104.9,2.9145,0.0
2022-03-31,271.85,68809827.0,207944.4641,65.3486,3.4337,0.0
2022-04-30,306.45,148274600.0,234410.8185,73.6659,3.8708,0.0
2022-05-31,259.45,127935355.0,198469.6592,62.3678,3.2771,0.0
2022-06-30,227.7,80195501.0,174182.0828,54.7356,2.8761,0.0
2022-07-31,266.8,89337370.0,204092.1375,64.1346,3.3699,0.4
2022-08-31,306.85,100258920.0,234776.0247,73.762,3.8758,0.4
2022-09-30,305.8,121008600.0,233972.6523,73.5096,3.8625,0.4
2022-10-31,314.4,84156657.0,240552.655,75.5769,3.9712,0.4
2022-11-30,311.05,50753373.0,237990.2609,74.7716,3.9289,0.4
2022-12-31,308.3,102043084.0,235886.1837,74.1106,3.8941,0.4
2023-01-31,297.4,53491759.0,227546.3867,71.4904,3.7564,0.4
2023-02-28,289.1,46515062.0,221284.6471,69.4952,3.6516,0.4
2023-03-31,292.5,30523814.0,224620.6853,39.3674,3.2737,0.4
2023-04-30,323.15,59324360.0,248162.2644,43.4926,3.6168,0.4
2023-05-31,345.75,55490191.0,265557.0147,46.5343,3.8697,0.4
2023-06-30,340.9,36314463.0,261858.5108,45.8816,3.8155,0.4
2023-07-31,391.8,57409042.0,300956.7748,52.7322,4.3851,2.0
2023-08-31,416.85,58687337.0,320272.1778,56.1036,4.6655,2.0
2023-09-30,380.3,43816129.0,292233.1273,51.1844,4.2564,2.0
2023-10-31,352.8,36704205.0,271101.3603,47.4832,3.9486,2.0
2023-11-30,409.3,84080185.0,314625.1318,55.0875,4.581,2.0
2023-12-31,435.55,70263473.0,334803.2644,58.6205,4.8748,2.0
2024-01-31,478.3,64349525.0,367742.3626,64.3742,5.3533,4.0
2024-02-29,467.0,29193336.0,360300.5905,62.8533,5.2268,4.0
2024-03-31,465.6,50262405.0,360630.7882,21.676,4.4157,4.0
2024-04-30,490.65,50271526.0,380033.2823,22.8422,4.6532,4.0
2024-05-31,449.1,22982525.0,347865.4103,20.9078,4.2592,4.0
2024-06-30,409.1,60893448.0,317050.081,19.0456,3.8798,4.0
2024-07-31,369.05,93436887.0,286651.7349,17.1811,3.5,2.0
2024-08-31,387.3,66260334.0,301015.3451,18.0307,3.6731,2.0
2024-09-30,394.45,39523751.0,306780.0716,18.3636,3.7409,2.0
2024-10-31,374.5,111650095.0,291264.1318,17.4348,3.5517,2.0
2024-11-30,354.45,33984250.0,275737.79,16.5014,3.3615,2.0
2024-12-31,314.35,43320882.0,244561.5777,14.6345,2.9812,2.0
2025-01-31,310.4,58272048.0,241488.5119,14.4507,2.9438,2.0
2025-02-28,281.3,39692977.0,218854.002,13.0959,2.6678,2.0
2025-03-31,350.45,54782076.0,272653.6921,15.7635,3.3354,0.0
2025-04-30,375.25,45886092.0,291949.9036,15.7635,3.5714,0.0
2025-05-31,403.75,28351786.0,314199.1483,15.7635,3.8426,0.0
2025-06-30,466.05,44547804.0,362738.6226,15.7635,4.4356,0.0
2025-07-31,422.25,49331596.0,328898.6482,15.7635,4.0187,0.0
2025-08-31,431.55,23661078.0,336229.7996,15.7635,4.1072,0.0
2025-09-30,497.6,113259826.0,387734.1974,15.7635,4.7359,0.0
2025-10-31,481.85,65924792.0,391476.4874,15.7635,4.586,0.0
2025-11-30,480.3,24094166.0,390285.4472,15.7635,4.5712,0.0
2025-12-31,482.95,21968583.0,392459.2282,15.7635,4.5964,0.0
2026-01-31,399.0,30174182.0,324239.0145,15.7635,3.7974,0.0
2026-02-28,454.8,45897761.0,369656.3499,15.7635,4.3285,0.0
2026-03-31,434.45,4669471.0,353116.1076,15.7635,4.1348,0.0
