MOFS IN Equity,price,volume,mc,pe,bm,div
2021-03-31,156.2,21601464.0,91608.4097,7.2931,2.0534,1.25
2021-04-30,159.43,13791840.0,93499.8125,7.4437,2.0957,1.25
2021-05-31,202.78,58586120.0,118987.3796,9.4677,2.6656,1.25
2021-06-30,195.98,37353160.0,115022.3306,9.1502,2.5762,1.25
2021-07-31,235.78,157473052.0,138381.8873,11.0085,3.0994,1.25
2021-08-31,203.63,72308680.0,119512.2969,9.5074,2.6768,2.5
2021-09-30,214.69,43750556.0,126228.7136,10.0239,2.8222,2.5
2021-10-31,228.96,42129412.0,134621.9125,10.6904,3.0099,2.5
2021-11-30,236.5,25780712.0,139149.1966,11.0424,3.1089,2.5
2021-12-31,228.91,21997384.0,134761.7722,10.6881,3.0092,2.5
2022-01-31,220.6,16866736.0,129868.1677,10.3,2.8999,2.5
2022-02-28,219.54,15344720.0,129251.7143,10.2504,2.886,3.0
2022-03-31,217.49,14917624.0,128051.8327,9.7595,2.2853,3.0
2022-04-30,225.96,14663536.0,133041.7253,10.1398,2.3744,3.0
2022-05-31,198.23,13097856.0,118191.9885,8.8951,2.0829,3.0
2022-06-30,191.63,5184116.0,114256.7274,8.5989,2.0136,3.0
2022-07-31,190.18,5706840.0,113392.1625,8.5338,1.9983,2.5
2022-08-31,192.48,5663868.0,114763.5413,8.637,2.0225,2.5
2022-09-30,181.5,9462296.0,107186.1492,8.1446,1.9072,2.5
2022-10-31,171.26,10352460.0,101140.3189,7.6852,1.7996,2.5
2022-11-30,165.68,9290292.0,97984.9108,7.4344,1.7409,2.5
2022-12-31,171.59,17425172.0,101494.0859,7.6998,1.803,2.5
2023-01-31,170.35,10621852.0,100762.104,7.6442,1.79,2.5
2023-02-28,150.03,5596348.0,88739.8571,6.7322,1.5764,2.5
2023-03-31,152.57,12843052.0,90292.131,9.7035,1.4442,2.5
2023-04-30,154.64,4900140.0,91512.6948,9.8347,1.4637,2.5
2023-05-31,159.39,13731820.0,94323.6902,10.1368,1.5086,2.5
2023-06-30,182.0,13507236.0,107708.4197,11.5749,1.7227,2.5
2023-07-31,209.61,23499640.0,124049.6216,13.331,1.984,2.5
2023-08-31,229.99,19363620.0,136346.037,14.6269,2.1769,2.5
2023-09-30,219.71,12093900.0,130278.5137,13.9734,2.0796,2.5
2023-10-31,259.51,26943228.0,153877.9213,16.5046,2.4563,2.5
2023-11-30,300.27,47948800.0,178048.0432,19.097,2.8422,2.5
2023-12-31,310.21,24976320.0,184304.2149,19.729,2.9362,2.5
2024-01-31,447.1,49924060.0,265632.1537,28.4349,4.2319,2.5
2024-02-29,403.76,15349036.0,240505.3581,25.6787,3.8217,4.25
2024-03-31,416.69,12541032.0,248357.9023,10.1236,2.8443,4.25
2024-04-30,594.23,34447836.0,354175.43,14.437,4.0562,4.25
2024-05-31,554.92,21982776.0,331314.4264,13.4821,3.7879,4.25
2024-06-30,614.55,24772505.0,366913.1518,14.9308,4.1949,4.25
2024-07-31,658.45,25503198.0,393123.3663,15.9973,4.4946,3.5
2024-08-31,720.1,32168458.0,430907.2106,17.4951,4.9154,3.5
2024-09-30,762.1,32140212.0,456173.4557,18.5155,5.2021,3.5
2024-10-31,937.3,93393115.0,561043.6689,22.7721,6.398,3.5
2024-11-30,919.25,47994864.0,550886.8604,22.3336,6.2748,3.5
2024-12-31,953.8,45561562.0,571591.9363,23.173,6.5106,3.5
2025-01-31,637.15,67363350.0,381830.3651,15.4798,4.3492,5.0
2025-02-28,588.5,78440214.0,352675.4608,14.2979,4.0171,5.0
2025-03-31,615.35,38920473.0,368787.7641,14.7107,3.3286,5.0
2025-04-30,652.75,53179512.0,391202.1012,15.6048,3.5309,5.0
2025-05-31,809.9,58988535.0,485384.2693,19.3617,4.381,5.0
2025-06-30,870.05,50960566.0,521432.9961,20.7997,4.7064,5.0
2025-07-31,911.0,45160231.0,546154.2313,21.7786,4.9279,5.0
2025-08-31,857.3,17558051.0,514731.3618,20.4949,4.6374,5.0
2025-09-30,893.6,18228388.0,536615.0497,21.3627,4.8337,5.0
2025-10-31,978.0,35985980.0,587298.0289,23.3803,5.2903,5.0
2025-11-30,959.45,22584460.0,576158.5826,22.9369,5.1899,5.0
2025-12-31,855.75,24300635.0,514418.0193,20.4578,4.629,5.0
2026-01-31,753.55,31031725.0,452982.4112,18.0146,4.0762,6.0
2026-02-28,725.15,19019698.0,436283.8289,17.3356,3.9226,6.0
2026-03-31,727.55,2365985.0,437727.7728,17.393,3.9355,6.0
