KJC IN Equity,price,volume,mc,pe,bm,div
2017-01-31,579.3,4166501.0,92072.7855,39.792,9.4735,2.5
2017-02-28,584.35,5706071.0,92875.4224,40.1389,9.5561,2.5
2017-03-31,583.5,10081370.0,92740.3251,36.6707,7.892,2.5
2017-04-30,663.75,7846463.0,105495.0998,41.7141,8.9774,2.5
2017-05-31,701.0,7888492.0,111415.5405,44.0551,9.4812,2.5
2017-06-30,665.35,4123574.0,105749.4007,41.8146,8.999,2.5
2017-07-31,676.65,3938227.0,107545.4001,42.5248,9.1519,2.5
2017-08-31,701.85,11945934.0,111550.6378,44.1085,9.4927,3.0
2017-09-30,708.8,14434334.0,112655.2569,44.5453,9.5867,3.0
2017-10-31,680.2,5166486.0,108109.63,42.7479,9.1999,3.0
2017-11-30,724.05,16711026.0,115079.0589,45.5037,9.793,3.0
2017-12-31,729.3,5028647.0,115913.4834,45.8336,9.864,3.0
2018-01-31,631.65,6560992.0,100393.1877,39.6967,8.5432,3.0
2018-02-28,574.7,11144290.0,91348.7374,36.1176,7.773,3.0
2018-03-31,572.55,7139117.0,91006.9943,38.7382,6.7362,3.0
2018-04-30,546.1,5321876.0,86802.7616,36.9486,6.425,3.0
2018-05-31,549.15,15119384.0,87287.5572,37.1549,6.4609,3.0
2018-06-30,483.55,8671829.0,76860.4176,32.7165,5.6891,3.0
2018-07-31,443.9,12307365.0,70558.0382,30.0338,5.2226,3.0
2018-08-31,468.85,28678534.0,74523.8482,31.7219,5.5161,3.0
2018-09-30,367.4,14795858.0,58398.3402,24.8579,4.3225,3.0
2018-10-31,394.2,20376420.0,62658.2083,26.6712,4.6378,3.0
2018-11-30,439.65,12308146.0,69882.4994,29.7463,5.1726,3.0
2018-12-31,493.1,11969346.0,78378.3929,33.3627,5.8014,3.0
2019-01-31,538.05,15598960.0,85523.2089,36.4039,6.3303,3.0
2019-02-28,541.95,11612676.0,86143.1151,36.6678,6.3762,3.0
2019-03-31,589.85,8809758.0,93756.8345,41.393,5.9532,3.0
2019-04-30,595.05,7370838.0,94583.376,41.7579,6.0057,3.0
2019-05-31,636.1,18572112.0,101108.2858,44.6386,6.42,3.0
2019-06-30,581.85,7688049.0,92485.2321,40.8316,5.8725,3.0
2019-07-31,474.0,20811932.0,75342.4422,33.2632,4.784,3.0
2019-08-31,474.1,8126584.0,75358.3372,33.2702,4.785,3.0
2019-09-30,549.15,13544894.0,87287.5572,38.5368,5.5424,3.0
2019-10-31,558.3,5282687.0,88741.9525,39.1789,5.6348,3.0
2019-11-30,536.05,6255601.0,85205.3083,37.6175,5.4102,3.0
2019-12-31,525.2,3506441.0,83480.6976,36.8561,5.3007,3.0
2020-01-31,580.45,5123623.0,92262.7016,40.7333,5.8583,3.0
2020-02-29,524.45,3781527.0,83365.1035,36.8035,5.2931,3.0
2020-03-31,375.85,5004845.0,59744.0636,23.4029,3.4851,3.0
2020-04-30,374.65,8059102.0,59553.315,23.3281,3.474,3.0
2020-05-31,342.0,10129439.0,54363.3624,21.2951,3.1712,3.0
2020-06-30,392.4,11671878.0,62374.8053,24.4334,3.6386,3.0
2020-07-31,405.4,9504551.0,64441.2489,25.2428,3.7591,3.0
2020-08-31,436.15,9319770.0,69329.1828,27.1575,4.0442,3.0
2020-09-30,553.5,10173991.0,87982.8102,34.4645,5.1324,3.0
2020-10-31,569.4,11839443.0,90510.2302,35.4545,5.2798,3.0
2020-11-30,647.9,8385675.0,102988.3705,40.3425,6.0077,3.0
2020-12-31,703.6,9488858.0,111929.3958,43.8107,6.5242,3.0
2021-01-31,824.7,12729905.0,131194.1056,51.3512,7.6471,3.0
2021-02-28,947.05,11403732.0,150657.6667,58.9695,8.7816,10.0
2021-03-31,926.9,6796785.0,147452.1845,47.8523,7.89,10.0
2021-04-30,912.95,4915129.0,145233.0044,47.1322,7.7712,10.0
2021-05-31,965.75,4293838.0,153632.4815,49.858,8.2207,10.0
2021-06-30,979.95,6035495.0,155891.4318,50.5911,8.3415,10.0
2021-07-31,994.25,3549961.0,158166.2843,51.3294,8.4632,10.0
2021-08-31,1175.2,10268961.0,186951.9912,60.6711,10.0035,10.0
2021-09-30,1197.0,8257429.0,190419.957,61.7966,10.1891,10.0
2021-10-31,1221.25,10076050.0,194277.6712,63.0485,10.3955,10.0
2021-11-30,1141.1,5312270.0,181625.8631,58.9107,9.7133,18.0
2021-12-31,1289.95,4562990.0,205317.9231,66.5953,10.9803,18.0
2022-01-31,1337.55,6135977.0,212894.289,69.0527,11.3855,18.0
2022-02-28,1081.25,3168456.0,172139.3791,55.8209,9.2038,8.0
2022-03-31,1019.3,9369031.0,162276.6882,43.0266,7.646,8.0
2022-04-30,1033.5,2751599.0,164537.3857,43.626,7.7525,8.0
2022-05-31,1032.85,4739200.0,164433.903,43.5986,7.7476,8.0
2022-06-30,947.7,3484797.0,150877.6782,40.0042,7.1089,8.0
2022-07-31,1176.05,6275096.0,187231.923,49.6433,8.8218,8.0
2022-08-31,1164.95,3724330.0,185497.9591,49.1748,8.7385,8.0
2022-09-30,1200.4,4941722.0,191142.753,50.6712,9.0044,6.0
2022-10-31,1081.25,3045679.0,172170.1947,45.6416,8.1107,6.0
2022-11-30,1151.3,4936801.0,183324.4348,48.5986,8.6361,6.0
2022-12-31,1160.2,2569865.0,184741.6045,48.9743,8.7029,6.0
2023-01-31,1054.5,3184523.0,167910.724,44.5125,7.91,3.0
2023-02-28,1074.65,2628070.0,171119.2599,45.363,8.0612,9.0
2023-03-31,1054.3,3859522.0,167878.8775,48.72,7.2151,9.0
2023-04-30,1094.8,3394341.0,174327.7957,50.5915,7.4922,9.0
2023-05-31,1277.7,6715680.0,203475.386,59.0434,8.7439,9.0
2023-06-30,1257.6,3773743.0,200274.4349,58.1146,8.6064,9.0
2023-07-31,1437.6,7467715.0,228939.6689,66.4325,9.8382,9.0
2023-08-31,1470.75,5456871.0,234229.1447,67.9644,10.065,9.0
2023-09-30,1322.1,3239702.0,210555.3984,61.0952,9.0478,9.0
2023-10-31,1261.35,3593244.0,200880.4567,58.2879,8.632,9.0
2023-11-30,1338.0,2800086.0,213087.6054,61.8299,9.1566,15.0
2023-12-31,1301.7,3975034.0,207306.5291,60.1525,8.9081,15.0
2024-01-31,1384.0,6400624.0,220413.4872,63.9556,9.4714,15.0
2024-02-29,1276.35,5326806.0,203269.3312,58.9811,8.7347,9.0
2024-03-31,1154.85,4074044.0,183919.4478,43.5628,7.0291,9.0
2024-04-30,1204.45,6552690.0,191818.6594,45.4338,7.331,9.0
2024-05-31,1205.3,10208828.0,191954.029,45.4659,7.3362,9.0
2024-06-30,1408.15,7700919.0,224259.5751,53.1177,8.5709,9.0
2024-07-31,1481.8,6451489.0,235988.9489,55.8959,9.0192,9.0
2024-08-31,1350.85,2417071.0,215134.0746,50.9562,8.2221,15.0
2024-09-30,1465.9,6529537.0,233456.742,55.2961,8.9224,12.0
2024-10-31,1200.65,3960145.0,191213.4779,45.2905,7.3079,12.0
2024-11-30,1206.9,1710999.0,192225.7268,45.5262,7.3459,10.0
2024-12-31,1158.95,4638342.0,184588.6205,43.7175,7.0541,10.0
2025-01-31,991.4,4754216.0,157902.5483,37.3972,6.0343,10.0
2025-02-28,852.3,5322862.0,135747.7728,32.1501,5.1876,10.0
2025-03-31,858.9,3697066.0,136798.9699,39.9303,4.9848,10.0
2025-04-30,804.5,14336359.0,128134.5573,37.4012,4.669,10.0
2025-05-31,1039.75,19084125.0,165603.3635,48.338,6.0344,10.0
2025-06-30,1081.0,7129416.0,172173.3455,50.2557,6.2738,10.0
2025-07-31,1177.0,27971175.0,187463.4853,54.7187,6.8309,10.0
2025-08-31,1209.6,9193922.0,192655.762,56.2343,7.0201,10.0
2025-09-30,1166.8,3526237.0,185838.908,54.2445,6.7717,9.0
2025-10-31,1207.6,4611696.0,192337.2174,56.1413,7.0085,12.0
2025-11-30,1067.2,3658684.0,169975.3879,49.6141,6.1937,12.0
2025-12-31,968.5,7097030.0,154255.2129,45.0256,5.6208,12.0
2026-01-31,902.4,5301773.0,143727.3145,41.9526,5.2372,12.0
2026-02-28,957.1,7703071.0,152439.5088,44.4956,5.5547,12.0
2026-03-31,944.35,1474232.0,150408.7832,43.9028,5.4807,12.0
