LIIL IN Equity,price,volume,mc,pe,bm,div
2023-12-31,5640.2,1123728.0,481020.0746,101.8931,15.319,12.0
2024-01-31,5592.3,998956.0,476934.9603,101.0277,15.1889,12.0
2024-02-29,5383.65,695443.0,459140.4072,97.2584,14.6222,12.0
2024-03-31,6408.85,4283551.0,546573.7926,125.9106,15.7585,12.0
2024-04-30,8255.8,2619616.0,704089.4882,162.1965,20.2999,12.0
2024-05-31,8709.55,3816611.0,742787.2044,171.111,21.4156,12.0
2024-06-30,8299.2,3582302.0,707790.8235,163.0491,20.4067,12.0
2024-07-31,8162.05,2469003.0,696094.0923,160.3546,20.0694,12.0
2024-08-31,7225.3,1481548.0,616204.0964,141.9509,17.7661,12.0
2024-09-30,8485.1,2623248.0,723645.1606,166.7014,20.8638,12.0
2024-10-31,7654.65,1010852.0,652820.8776,150.3861,18.8218,12.0
2024-11-30,6920.75,1009330.0,590230.7863,135.9676,17.0172,12.0
2024-12-31,5996.05,917029.0,511368.4653,117.8006,14.7435,12.0
2025-01-31,6267.85,2324142.0,534548.7171,123.1405,15.4118,12.0
2025-02-28,5927.05,1610384.0,505483.8539,116.445,14.5738,12.0
2025-03-31,6257.4,997533.0,533657.497,117.3336,13.9703,12.0
2025-04-30,6336.0,658467.0,540360.8369,118.8074,14.1458,12.0
2025-05-31,7505.5,1609558.0,640100.7357,140.7369,16.7568,12.0
2025-06-30,6655.5,957088.0,567609.1462,124.7984,14.8591,12.0
2025-07-31,6573.5,626160.0,560615.8399,123.2608,14.676,12.0
2025-08-31,6378.5,418738.0,543985.4164,119.6044,14.2407,12.0
2025-09-30,6245.5,402036.0,532642.6147,117.1104,13.9437,12.0
2025-10-31,6013.5,354055.0,512856.675,112.7602,13.4258,12.0
2025-11-30,5966.0,1176987.0,508805.6744,111.8695,13.3197,12.0
2025-12-31,5955.5,798910.0,507910.1901,111.6726,13.2963,12.0
2026-01-31,6007.0,677086.0,512302.3276,112.6383,13.4113,12.0
2026-02-28,6730.0,1987927.0,573962.8208,126.1954,15.0254,12.0
2026-03-31,6724.0,119125.0,573451.1155,126.0829,15.012,12.0
