IGL IN Equity,price,volume,mc,pe,bm,div
2019-04-30,156.4,65331894.0,218960.2502,26.0017,5.0736,1.0
2019-05-31,168.38,78918094.0,235725.2694,27.9925,5.462,1.0
2019-06-30,157.32,73319540.0,220255.2517,26.1554,5.1036,1.0
2019-07-31,151.55,103036692.0,212170.2425,25.1953,4.9162,1.0
2019-08-31,167.83,74804646.0,234955.2685,27.9011,5.4442,1.0
2019-09-30,174.85,69995212.0,244790.2798,29.069,5.6721,1.2
2019-10-31,195.78,66685026.0,274085.3132,32.5478,6.3509,1.2
2019-11-30,206.73,109296962.0,289415.3308,34.3682,6.7061,1.2
2019-12-31,214.08,78651920.0,299705.3425,35.5902,6.9445,1.2
2020-01-31,253.75,127978408.0,355250.406,42.1862,8.2316,1.2
2020-02-29,221.2,145316226.0,309680.3539,36.7747,7.1757,1.2
2020-03-31,193.98,150890620.0,271565.3104,21.7461,5.0684,1.2
2020-04-30,238.33,121967798.0,333655.3813,26.718,6.2273,0.0
2020-05-31,236.05,162412704.0,330470.3777,26.463,6.1678,0.0
2020-06-30,221.15,205965010.0,309610.3538,24.7926,5.7785,0.0
2020-07-31,201.85,197928464.0,282590.323,22.6289,5.2742,0.0
2020-08-31,197.23,188035392.0,276115.3156,22.1104,5.1534,0.0
2020-09-30,193.4,159435192.0,270760.3094,21.6816,5.0534,1.4
2020-10-31,201.13,125427246.0,281575.3138,22.5476,5.2553,1.4
2020-11-30,248.2,167718880.0,347480.3872,27.8251,6.4853,1.4
2020-12-31,251.18,159985998.0,351645.3918,28.1586,6.563,1.4
2021-01-31,257.9,144487240.0,361060.4023,28.9126,6.7388,1.4
2021-02-28,245.98,155407944.0,344365.3837,27.5757,6.4272,1.4
2021-03-31,256.18,130347564.0,358645.3996,30.5881,5.6618,1.4
2021-04-30,254.48,71240302.0,356265.397,30.3851,5.6243,1.4
2021-05-31,264.43,91398348.0,370195.4125,31.5731,5.8442,1.4
2021-06-30,278.88,160102326.0,390425.435,33.2985,6.1635,1.4
2021-07-31,278.88,137816452.0,390425.4462,33.2985,6.1635,1.4
2021-08-31,272.93,84030196.0,382095.4367,32.5881,6.032,1.4
2021-09-30,266.55,109493280.0,373170.4265,31.8269,5.8911,1.8
2021-10-31,236.95,121092786.0,331730.3791,28.2925,5.2369,1.8
2021-11-30,242.13,91911862.0,338975.3874,28.9104,5.3513,1.8
2021-12-31,235.2,86775886.0,329280.3763,28.0836,5.1983,1.8
2022-01-31,196.4,131666398.0,274960.3142,23.4507,4.3407,1.8
2022-02-28,173.43,119190124.0,242795.2775,20.7075,3.8329,1.8
2022-03-31,186.58,202217886.0,261205.2985,17.3882,3.4432,1.8
2022-04-30,176.2,112035580.0,246680.2819,16.4212,3.2518,1.8
2022-05-31,189.1,137578038.0,264740.3026,17.6235,3.4898,1.8
2022-06-30,177.95,100893182.0,249130.2847,16.5843,3.2841,1.8
2022-07-31,173.18,56183002.0,242445.2771,16.1393,3.1959,1.8
2022-08-31,209.55,169995032.0,293370.3353,19.5294,3.8672,1.8
2022-09-30,198.4,122530424.0,277760.3174,18.4902,3.6615,2.75
2022-10-31,214.13,97311012.0,299775.3426,19.9557,3.9517,2.75
2022-11-30,221.3,111287230.0,309820.3541,20.6244,4.0841,2.75
2022-12-31,206.98,71647250.0,289765.3312,19.2894,3.8197,2.75
2023-01-31,212.73,49663578.0,297815.3404,19.8253,3.9258,2.75
2023-02-28,219.33,59964064.0,307055.3509,20.4404,4.0476,4.25
2023-03-31,214.35,72596646.0,300090.343,18.3049,3.7836,9.25
2023-04-30,247.65,107417258.0,346710.3962,21.1486,4.3715,9.25
2023-05-31,240.3,85743362.0,336420.3845,20.5209,4.2417,9.25
2023-06-30,236.68,55738130.0,331345.3787,20.2114,4.1777,9.25
2023-07-31,231.55,64661834.0,324170.3705,19.7737,4.0873,9.25
2023-08-31,233.85,63728564.0,327390.3742,19.9701,4.1279,9.25
2023-09-30,227.43,52493692.0,318395.3639,19.4214,4.0144,6.5
2023-10-31,191.18,132724648.0,267645.3059,16.3258,3.3746,6.5
2023-11-30,194.55,105794376.0,272370.3113,16.614,3.4341,8.5
2023-12-31,209.18,104343134.0,292845.3347,17.8629,3.6923,8.5
2024-01-31,215.2,127460528.0,301280.3443,18.3775,3.7987,8.5
2024-02-29,213.0,77919978.0,298200.3408,18.1896,3.7598,7.0
2024-03-31,215.4,99538524.0,301560.3446,15.1904,3.1304,2.0
2024-04-30,234.6,156071656.0,328440.3754,16.5444,3.4094,2.0
2024-05-31,220.98,231442256.0,309365.3536,15.5836,3.2114,2.0
2024-06-30,251.85,160510614.0,352590.403,17.7609,3.6601,2.0
2024-07-31,274.0,116881900.0,383600.4384,19.323,3.982,2.0
2024-08-31,276.4,61714326.0,386960.4422,19.4922,4.0169,2.0
2024-09-30,279.27,117904806.0,390985.4468,19.695,4.0587,4.5
2024-10-31,210.08,142435614.0,294105.3361,14.8149,3.053,4.5
2024-11-30,163.53,269019016.0,228935.2616,11.5321,2.3765,5.25
2024-12-31,207.83,288830394.0,290955.3325,14.6562,3.0203,5.25
2025-01-31,201.8,221257288.0,282520.3229,14.2313,2.9327,5.25
2025-02-28,189.48,81265773.0,265272.3032,13.3625,2.7537,5.25
2025-03-31,203.12,86271967.0,284368.325,16.5542,2.6787,5.25
2025-04-30,192.59,126690343.0,269626.3081,15.696,2.5399,5.25
2025-05-31,206.66,80492333.0,289324.3307,16.8427,2.7254,5.25
2025-06-30,217.87,131303974.0,305018.3486,17.7563,2.8733,5.25
2025-07-31,205.05,89530496.0,287070.3281,16.7115,2.7042,5.25
2025-08-31,206.74,40540412.0,289436.3308,16.8492,2.7265,5.25
2025-09-30,208.54,39737556.0,291956.3337,16.9959,2.7502,3.0
2025-10-31,211.94,67529670.0,296716.3391,17.273,2.7951,3.0
2025-11-30,199.38,66042489.0,279132.319,16.2494,2.6294,3.0
2025-12-31,194.57,75701455.0,272398.3113,15.8574,2.566,3.0
2026-01-31,177.89,29694946.0,249046.2846,14.498,2.346,1.5
2026-02-28,170.86,56331437.0,239204.2734,13.925,2.2533,4.75
2026-03-31,159.98,11640383.0,223972.25,13.0383,2.1098,4.75
