JINDALST IN Equity,price,volume,mc,pe,bm,div
2014-06-30,322.55,122231600.0,295096.4552,15.7112,1.3051,1.6
2014-07-31,274.8,61593024.0,251410.6523,13.3853,1.1119,1.5
2014-08-31,233.0,95692969.0,213172.5874,11.3492,0.9428,1.5
2014-09-30,172.8,180978296.0,158095.3781,8.417,0.6992,1.5
2014-10-31,161.8,167649951.0,148031.4362,7.8811,0.6547,1.5
2014-11-30,140.7,120763403.0,128726.9659,6.8534,0.5693,1.5
2014-12-31,151.85,151858082.0,138928.1433,7.3965,0.6144,1.5
2015-01-31,158.65,150289347.0,145149.4892,7.7277,0.6419,1.5
2015-02-28,195.75,305026896.0,179092.4564,9.5348,0.7921,1.5
2015-03-31,156.8,257373116.0,143456.9172,7.584,0.6818,1.5
2015-04-30,139.6,105872441.0,127720.5717,7.584,0.607,1.5
2015-05-31,119.65,111348627.0,109468.2407,7.584,0.5202,1.5
2015-06-30,85.7,164136815.0,78407.2564,7.584,0.3726,1.5
2015-07-31,79.0,197355649.0,72277.4009,7.584,0.3435,1.5
2015-08-31,67.55,290749544.0,61801.7523,7.584,0.2937,0.0
2015-09-30,60.65,180366743.0,55488.916,7.584,0.2637,0.0
2015-10-31,80.15,231092127.0,73329.5403,7.584,0.3485,0.0
2015-11-30,91.1,202866116.0,83347.737,7.584,0.3961,0.0
2015-12-31,96.25,168803403.0,88059.4916,7.584,0.4185,0.0
2016-01-31,64.2,236062593.0,58736.8245,7.584,0.2791,0.0
2016-02-29,53.4,274012901.0,48855.8634,7.584,0.2322,0.0
2016-03-31,60.25,306454616.0,55122.9545,7.584,0.1699,0.0
2016-04-30,69.8,328702439.0,63860.2858,7.584,0.1969,0.0
2016-05-31,63.25,209889405.0,57867.6659,7.584,0.1784,0.0
2016-06-30,67.85,175372280.0,62076.2234,7.584,0.1914,0.0
2016-07-31,83.5,387017717.0,76394.468,7.584,0.2355,0.0
2016-08-31,85.45,412541355.0,78178.5304,7.584,0.241,0.0
2016-09-30,75.95,231632906.0,69486.9443,7.584,0.2142,0.0
2016-10-31,75.3,196709884.0,68892.2568,7.584,0.2124,0.0
2016-11-30,70.6,191759028.0,64592.2089,7.584,0.1991,0.0
2016-12-31,69.2,163501626.0,63311.3436,7.584,0.1952,0.0
2017-01-31,80.0,254002517.0,73192.3047,7.584,0.2257,0.0
2017-02-28,125.45,589836348.0,114789.7898,7.584,0.3538,0.0
2017-03-31,121.0,374406856.0,110717.9319,7.584,0.3566,0.0
2017-04-30,114.0,258742364.0,104312.7623,7.584,0.3359,0.0
2017-05-31,121.75,294567300.0,111404.2001,7.584,0.3588,0.0
2017-06-30,123.2,157805927.0,112730.9853,7.584,0.3631,0.0
2017-07-31,153.4,221294608.0,140364.717,7.584,0.4521,0.0
2017-08-31,137.1,286017797.0,125449.8221,7.584,0.404,0.0
2017-09-30,134.65,168449389.0,123208.0127,7.584,0.3968,0.0
2017-10-31,163.1,196540101.0,149240.4521,7.584,0.4806,0.0
2017-11-30,171.95,163729462.0,157338.4145,7.584,0.5067,0.0
2017-12-31,205.05,148664665.0,187916.891,7.584,0.6043,0.0
2018-01-31,266.45,465152458.0,244186.5672,7.584,0.7852,0.0
2018-02-28,254.4,231618637.0,233143.4131,7.584,0.7497,0.0
2018-03-31,219.1,248909129.0,200792.9317,7.584,0.698,0.0
2018-04-30,252.1,185124256.0,244019.2821,7.584,0.8031,0.0
2018-05-31,229.55,189240436.0,222192.0913,7.584,0.7313,0.0
2018-06-30,223.05,138669801.0,215900.4398,7.584,0.7106,0.0
2018-07-31,205.45,277057082.0,198864.5836,7.584,0.6545,0.0
2018-08-31,220.75,217116761.0,213674.1632,7.584,0.7032,0.0
2018-09-30,196.35,263419834.0,190056.2715,7.584,0.6255,0.0
2018-10-31,171.35,259197688.0,165857.612,7.584,0.5459,0.0
2018-11-30,154.05,231042629.0,149112.1397,7.584,0.4907,0.0
2018-12-31,164.9,250403511.0,159614.3579,7.584,0.5253,0.0
2019-01-31,135.1,279890316.0,130769.5558,7.584,0.4304,0.0
2019-02-28,156.85,280005256.0,151822.3895,7.584,0.4997,0.0
2019-03-31,179.7,203617682.0,173939.9643,7.584,0.5421,0.0
2019-04-30,178.1,209167818.0,172391.2501,7.584,0.5373,0.0
2019-05-31,160.05,251769005.0,154919.818,7.584,0.4828,0.0
2019-06-30,142.05,227884427.0,137496.7831,7.584,0.4285,0.0
2019-07-31,135.1,320127113.0,137526.663,7.584,0.4076,0.0
2019-08-31,96.6,511849545.0,98335.1269,7.584,0.2914,0.0
2019-09-30,103.55,508281097.0,105409.9626,7.584,0.3124,0.0
2019-10-31,116.25,442136447.0,118575.9642,7.584,0.3507,0.0
2019-11-30,161.0,622012575.0,164222.5713,7.584,0.4857,0.0
2019-12-31,167.7,572517910.0,171056.6783,7.584,0.5059,0.0
2020-01-31,175.9,517057540.0,179420.8093,7.584,0.5307,0.0
2020-02-29,153.9,380135462.0,156980.4579,7.584,0.4643,0.0
2020-03-31,82.2,405480004.0,83845.3128,7.584,0.2609,0.0
2020-04-30,95.0,596614167.0,96901.5172,7.584,0.3015,0.0
2020-05-31,121.55,481148155.0,123982.9413,7.584,0.3858,0.0
2020-06-30,161.5,422042766.0,164732.5793,7.584,0.5126,0.0
2020-07-31,184.85,382394936.0,188549.9522,7.584,0.5867,0.0
2020-08-31,205.1,304743266.0,209205.2757,7.584,0.651,0.0
2020-09-30,186.85,309861730.0,190589.9842,7.584,0.5931,0.0
2020-10-31,191.5,259745171.0,195333.0671,7.584,0.6078,0.0
2020-11-30,244.0,216958199.0,248883.9079,7.584,0.7744,0.0
2020-12-31,266.45,243353990.0,271783.2675,7.584,0.8457,0.0
2021-01-31,261.75,250522479.0,266989.1922,7.584,0.8308,0.0
2021-02-28,335.9,246336278.0,342623.3798,7.584,1.0661,0.0
2021-03-31,343.6,184038254.0,350477.5031,5.6963,1.1016,0.0
2021-04-30,441.5,297827392.0,450337.0711,7.3193,1.4155,0.0
2021-05-31,407.2,359861264.0,415350.5217,6.7507,1.3055,0.0
2021-06-30,397.45,254326874.0,405405.3656,6.589,1.2743,0.0
2021-07-31,431.75,231926229.0,440391.8955,7.1577,1.3842,0.0
2021-08-31,376.95,220336597.0,384495.0203,6.2492,1.2085,0.0
2021-09-30,389.25,200793037.0,397069.2918,6.4531,1.248,0.0
2021-10-31,417.3,186241565.0,425682.7629,6.9181,1.3379,0.0
2021-11-30,343.55,143131531.0,350451.2657,5.6955,1.1015,0.0
2021-12-31,377.25,130060981.0,384828.2346,6.2541,1.2095,0.0
2022-01-31,386.0,127334518.0,393754.0054,6.3992,1.2376,0.0
2022-02-28,424.85,174823205.0,433384.428,7.0433,1.3621,0.0
2022-03-31,532.85,221330233.0,543553.9425,6.5841,1.5258,1.0
2022-04-30,540.05,135478553.0,550898.5768,6.6731,1.5464,1.0
2022-05-31,377.85,245825455.0,385440.2875,4.6688,1.0819,1.0
2022-06-30,329.25,145830538.0,335864.0059,4.0683,0.9428,1.0
2022-07-31,389.05,112563038.0,396865.2741,4.8072,1.114,1.0
2022-08-31,433.35,93773620.0,442055.1768,5.3546,1.2409,1.0
2022-09-30,428.6,81376546.0,437209.7584,5.2959,1.2273,3.0
2022-10-31,459.85,61041494.0,469087.5114,5.6821,1.3167,3.0
2022-11-30,535.75,81152094.0,546512.198,6.6199,1.5341,3.0
2022-12-31,580.6,92509549.0,592263.1491,7.1741,1.6625,3.0
2023-01-31,583.55,57500951.0,595272.409,7.2106,1.671,3.0
2023-02-28,549.2,54403140.0,560232.3829,6.7861,1.5726,3.0
2023-03-31,546.2,51946413.0,557172.1186,17.4449,1.4182,2.0
2023-04-30,582.85,32487188.0,594558.3473,18.6155,1.5134,2.0
2023-05-31,517.25,52586294.0,527640.5682,16.5203,1.3431,2.0
2023-06-30,581.05,76167925.0,592722.1888,18.558,1.5087,2.0
2023-07-31,668.75,71484112.0,682183.9149,21.359,1.7364,2.0
2023-08-31,684.5,50280363.0,698250.3024,21.862,1.7773,4.0
2023-09-30,701.35,38786198.0,715438.7868,22.4002,1.8211,2.0
2023-10-31,633.8,35200929.0,646531.8359,20.2427,1.6457,2.0
2023-11-30,670.8,50818677.0,684275.0955,21.4245,1.7418,2.0
2023-12-31,748.1,60749361.0,763127.9054,23.8933,1.9425,2.0
2024-01-31,757.15,38003619.0,772359.7026,24.1824,1.966,2.0
2024-02-29,776.25,53297359.0,791843.3853,24.7924,2.0156,2.0
2024-03-31,849.15,46558835.0,866207.8076,14.5865,1.9208,2.0
2024-04-30,929.65,55890858.0,948324.8994,15.9693,2.1029,2.0
2024-05-31,1028.15,46844775.0,1048803.577,17.6613,2.3257,2.0
2024-06-30,1044.4,49937654.0,1065380.009,17.9405,2.3624,2.0
2024-07-31,988.25,45928333.0,1008102.062,16.9759,2.2354,2.0
2024-08-31,970.4,37035178.0,989893.4893,16.6693,2.195,2.0
