HPCL IN Equity,price,volume,mc,pe,bm,div
2011-03-31,52.82,151151987.0,120737.4619,7.0871,0.9091,1.7778
2011-04-30,55.21,92318852.0,126206.2882,7.4081,0.9502,1.7778
2011-05-31,56.37,161645753.0,128847.5789,7.5631,0.9701,1.7778
2011-06-30,58.89,168868037.0,134604.2381,7.901,1.0135,1.7778
2011-07-31,56.85,116824525.0,129948.1167,7.6277,0.9784,1.7778
2011-08-31,55.33,143763775.0,126460.2584,7.423,0.9521,1.7778
2011-09-30,54.3,103850924.0,124123.732,7.2858,0.9345,2.0741
2011-10-31,49.36,110813488.0,112813.5898,6.6219,0.8494,2.0741
2011-11-30,40.96,143499047.0,93630.3694,5.4959,0.705,2.0741
2011-12-31,37.47,87214037.0,85655.7032,5.0278,0.6449,2.0741
2012-01-31,43.73,101005650.0,99945.7632,5.8666,0.7525,2.0741
2012-02-29,46.46,180338825.0,106193.4316,6.2334,0.7995,2.0741
2012-03-31,44.98,139155617.0,102807.2171,58.8372,0.8033,2.0741
2012-04-30,44.66,97365503.0,102079.1686,58.4205,0.7976,2.0741
2012-05-31,43.03,167077836.0,98354.2694,56.2888,0.7685,2.0741
2012-06-30,49.66,192765569.0,113507.8365,64.9612,0.8869,2.0741
2012-07-31,50.92,131516339.0,116386.1677,66.6085,0.9094,2.0741
2012-08-31,44.13,111158177.0,100860.1107,57.7229,0.7881,1.2593
2012-09-30,45.61,226229956.0,104263.314,59.6705,0.8147,1.2593
2012-10-31,44.25,104214020.0,101147.9438,57.8876,0.7904,1.2593
2012-11-30,42.51,76704496.0,97169.0743,55.6105,0.7593,1.2593
2012-12-31,43.1,94203088.0,98506.6517,56.376,0.7697,1.2593
2013-01-31,48.69,542675774.0,111289.8284,63.6919,0.8696,1.2593
2013-02-28,42.93,172001367.0,98117.2304,56.1531,0.7667,1.2593
2013-03-31,42.25,111051797.0,96576.4767,19.2703,0.7105,1.2593
2013-04-30,45.48,108999257.0,103958.5496,20.7432,0.7648,1.2593
2013-05-31,41.73,124675760.0,95391.2815,19.0338,0.7018,1.2593
2013-06-30,37.5,91338172.0,85706.5591,17.1014,0.6305,1.2593
2013-07-31,31.36,170008227.0,71670.4592,14.3007,0.5273,1.2593
2013-08-31,24.85,202742521.0,56804.7226,11.3345,0.4179,1.2593
2013-09-30,28.47,291413707.0,65067.2277,12.9831,0.4787,1.2593
2013-10-31,29.83,167509553.0,68182.5985,13.6047,0.5016,1.2593
2013-11-30,31.84,197861461.0,72787.9292,14.5236,0.5355,1.2593
2013-12-31,35.16,150727041.0,80356.2484,16.0338,0.5912,1.2593
2014-01-31,36.19,155361956.0,82709.7078,16.5034,0.6085,1.2593
2014-02-28,39.22,111940880.0,89651.5666,17.8885,0.6596,1.2593
2014-03-31,45.9,294212081.0,104906.7246,9.7116,0.7494,1.2593
2014-04-30,47.68,207367317.0,108987.1831,10.0893,0.7786,1.2593
2014-05-31,59.36,269775988.0,135671.011,12.5596,0.9692,1.2593
2014-06-30,61.66,344023875.0,140936.6649,13.047,1.0068,1.2593
2014-07-31,59.16,266591932.0,135213.8642,12.5172,0.9659,1.2593
2014-08-31,67.85,342210130.0,155091.2843,14.3574,1.1079,2.2963
2014-09-30,71.43,294132209.0,163269.1326,15.1144,1.1663,2.2963
2014-10-31,78.58,281173235.0,179607.8978,16.627,1.283,2.2963
2014-11-30,88.38,321655286.0,202008.0909,18.7006,1.443,2.2963
2014-12-31,81.1,281214194.0,185381.4926,17.1614,1.3243,2.2963
2015-01-31,97.47,276916894.0,222799.8046,20.6254,1.5916,2.2963
2015-02-28,91.93,290029889.0,210134.9936,19.453,1.5011,2.2963
2015-03-31,96.27,213162111.0,220039.9924,14.6847,1.5802,2.2963
2015-04-30,92.61,198863566.0,211692.8305,14.1277,1.5203,2.2963
2015-05-31,99.98,186622927.0,228522.6053,15.2508,1.6412,2.2963
2015-06-30,108.02,211383709.0,246910.0654,16.478,1.7732,2.2963
2015-07-31,136.54,324148487.0,312095.8126,20.8282,2.2414,2.2963
2015-08-31,124.96,345294090.0,285632.0924,19.0621,2.0513,2.2963
2015-09-30,114.66,189819443.0,262080.5666,17.4904,1.8822,3.6296
2015-10-31,113.84,190378539.0,260218.1166,17.3661,1.8688,3.6296
2015-11-30,124.46,149207373.0,284480.7597,18.9853,2.043,3.6296
2015-12-31,123.88,142029815.0,283160.1134,18.8972,2.0336,3.6296
2016-01-31,120.88,167218283.0,276302.9114,18.4395,1.9843,3.6296
2016-02-29,101.92,226655165.0,232958.6223,15.5469,1.673,1.7037
2016-03-31,116.7,180936362.0,266753.6227,17.1176,1.5975,6.3704
2016-04-30,123.52,107682183.0,282330.4766,18.1171,1.6908,6.3704
2016-05-31,134.29,180515419.0,306948.6783,19.6969,1.8382,6.3704
2016-06-30,147.59,155053157.0,337357.4061,21.6482,2.0203,6.3704
2016-07-31,186.92,243357419.0,427245.9906,27.4163,2.5586,8.7407
2016-08-31,180.55,318600122.0,412685.0185,26.482,2.4714,8.7407
2016-09-30,188.42,224169494.0,430683.0526,27.6369,2.5792,5.1111
2016-10-31,207.67,124886759.0,474670.7308,30.4596,2.8426,5.1111
