BOOT IN Equity,price,volume,mc,pe,bm,div
2018-12-31,7516.65,71745.0,159723.5659,39.8107,9.4357,55.0
2019-01-31,8070.1,93705.0,171483.9921,42.7419,10.1304,55.0
2019-02-28,7437.6,146835.0,158043.8086,39.392,9.3365,55.0
2019-03-31,7304.8,144012.0,155221.9012,34.468,7.7279,55.0
2019-04-30,7421.35,134899.0,157698.5074,35.0179,7.8512,55.0
2019-05-31,7777.55,129251.0,165267.5088,36.6987,8.2281,55.0
2019-06-30,8887.95,133383.0,188862.7337,41.9381,9.4028,55.0
2019-07-31,8363.6,101251.0,177720.6622,39.464,8.8481,50.0
2019-08-31,9148.6,369827.0,194401.3643,43.168,9.6785,65.0
2019-09-30,10596.55,279933.0,225169.2911,50.0002,11.2103,65.0
2019-10-31,11774.4,256818.0,250197.7815,55.558,12.4564,65.0
2019-11-30,12578.4,223264.0,267282.2203,59.3517,13.307,65.0
2019-12-31,13075.5,152940.0,277845.2483,61.6973,13.8329,65.0
2020-01-31,12498.8,178132.0,265590.7758,58.9761,13.2228,65.0
2020-02-29,15718.95,475105.0,334016.7157,74.1705,16.6295,65.0
2020-03-31,15451.1,557976.0,328325.0901,55.3723,13.5018,65.0
2020-04-30,17730.75,543194.0,376766.0614,63.542,15.4939,65.0
2020-05-31,16723.4,301366.0,355360.5771,59.9319,14.6136,65.0
2020-06-30,15736.5,440875.0,334389.6409,56.3951,13.7512,65.0
2020-07-31,15536.35,331231.0,330136.5931,55.6779,13.5763,65.0
2020-08-31,16377.1,396040.0,348001.9438,58.6909,14.311,250.0
2020-09-30,16486.95,229656.0,350336.1796,59.0845,14.407,250.0
2020-10-31,15298.15,171073.0,325075.0094,54.8242,13.3682,250.0
2020-11-30,15399.05,213010.0,327219.064,55.1858,13.4564,250.0
2020-12-31,15769.1,454529.0,335082.3682,56.512,13.7797,250.0
2021-01-31,14222.05,517863.0,302208.6355,50.9678,12.4278,250.0
2021-02-28,14389.45,488022.0,305765.7687,51.5677,12.5741,250.0
2021-03-31,14983.3,286128.0,318384.6667,46.0968,12.2354,250.0
2021-04-30,15151.75,254021.0,321964.1116,46.615,12.373,250.0
2021-05-31,16029.05,305678.0,340606.1242,49.3141,13.0894,250.0
2021-06-30,16808.9,471886.0,357177.3924,51.7133,13.7262,250.0
2021-07-31,19012.75,310335.0,404007.6666,58.4936,15.5259,418.0
2021-08-31,19272.1,392763.0,409518.6731,59.2915,15.7376,275.0
2021-09-30,20517.8,467063.0,435988.9286,63.1239,16.7549,275.0
2021-10-31,20049.4,707535.0,426035.7555,61.6829,16.3724,275.0
2021-11-30,19087.25,241686.0,405590.7396,58.7228,15.5867,275.0
2021-12-31,19485.65,276164.0,414056.4615,59.9485,15.912,275.0
2022-01-31,16079.75,508522.0,341683.4638,49.4701,13.1308,275.0
2022-02-28,17556.5,700405.0,373063.3706,54.0134,14.3367,275.0
2022-03-31,17702.85,468369.0,376173.2059,47.0996,13.3405,275.0
2022-04-30,17079.75,233778.0,362932.7658,45.4418,12.8709,275.0
2022-05-31,17725.3,347090.0,376650.2527,47.1593,13.3574,275.0
2022-06-30,18760.4,369812.0,398645.4052,49.9133,14.1374,275.0
2022-07-31,20015.1,262124.0,425306.9045,53.2515,15.0829,120.0
2022-08-31,18739.75,331042.0,398206.6072,49.8583,14.1219,275.0
2022-09-30,19139.15,591705.0,406693.5784,50.921,14.4228,275.0
2022-10-31,19246.95,271375.0,408984.2531,51.2078,14.5041,275.0
2022-11-30,20237.8,322937.0,430039.124,53.844,15.2508,275.0
2022-12-31,21367.2,404718.0,454038.0857,56.8488,16.1018,275.0
2023-01-31,20817.05,323643.0,442347.7822,55.3851,15.6873,275.0
2023-02-28,20210.55,248594.0,429460.0805,53.7715,15.2302,275.0
2023-03-31,22064.85,209564.0,468862.6612,49.3864,14.7046,275.0
2023-04-30,22297.25,245220.0,473800.999,49.9066,14.8595,275.0
2023-05-31,21737.9,279226.0,461915.2019,48.6546,14.4867,275.0
2023-06-30,23419.15,238674.0,497640.5909,52.4176,15.6072,275.0
2023-07-31,24068.6,213982.0,511440.9501,53.8713,16.04,455.0
2023-08-31,23109.55,295997.0,491061.807,51.7247,15.4008,325.0
2023-09-30,23179.45,295083.0,492547.1332,51.8811,15.4474,325.0
2023-10-31,22413.65,190819.0,476274.4178,50.1671,14.9371,325.0
2023-11-30,23805.15,267651.0,505842.8215,53.2816,15.8644,325.0
2023-12-31,22851.25,326779.0,485573.1123,51.1465,15.2287,325.0
2024-01-31,25906.95,596709.0,550504.6044,57.9859,17.2651,325.0
2024-02-29,28434.2,426739.0,604206.9029,63.6425,18.9493,325.0
2024-03-31,27120.8,276238.0,576298.0697,47.9776,15.5803,325.0
2024-04-30,26446.05,330841.0,561960.1032,46.784,15.1927,325.0
2024-05-31,25887.75,263911.0,550096.6179,45.7963,14.8719,325.0
2024-06-30,27624.1,363398.0,586992.8434,48.868,15.8694,325.0
2024-07-31,28385.1,311616.0,603163.5622,50.2142,16.3066,410.0
2024-08-31,30195.85,479807.0,641640.7358,53.4175,17.3468,410.0
2024-09-30,29165.5,262836.0,619746.5175,51.5948,16.7549,410.0
2024-10-31,28978.7,214252.0,615777.1479,51.2643,16.6476,410.0
2024-11-30,27723.4,198619.0,589102.8991,49.0437,15.9265,410.0
2024-12-31,29741.0,227074.0,631975.4908,52.6129,17.0855,410.0
2025-01-31,26173.3,248890.0,556164.356,46.3015,15.036,410.0
2025-02-28,30395.65,499141.0,645886.3463,53.771,17.4616,410.0
2025-03-31,30720.55,243345.0,652790.2446,46.1533,15.4209,410.0
2025-04-30,29985.0,144749.0,637160.3205,45.0482,15.0517,410.0
2025-05-31,30455.0,204531.0,647147.4924,45.7543,15.2876,410.0
2025-06-30,35670.0,287228.0,757962.6023,53.5891,17.9054,410.0
2025-07-31,34405.0,176222.0,731082.2353,51.6887,17.2704,475.0
2025-08-31,31480.0,148888.0,668928.027,47.2943,15.8021,475.0
2025-09-30,29290.0,232275.0,622392.0556,44.0041,14.7028,475.0
2025-10-31,28995.0,129260.0,616123.5115,43.5609,14.5547,475.0
2025-11-30,30075.0,195326.0,639072.7577,45.1834,15.0969,475.0
2025-12-31,29025.0,200715.0,616760.9906,43.606,14.5698,475.0
2026-01-31,27565.0,139643.0,585737.0096,41.4125,13.8369,475.0
2026-02-28,26530.0,155428.0,563743.9821,39.8576,13.3174,475.0
2026-03-31,27550.0,60756.0,585418.2701,41.39,13.8294,475.0
