HNDL IN Equity,price,volume,mc,pe,bm,div
2013-02-28,98.9,183860325.0,189352.2595,5.575,0.5935,1.55
2013-03-31,91.6,194054995.0,175375.8035,5.7938,0.4965,1.55
2013-04-30,97.25,129019494.0,186193.1975,6.1512,0.5272,1.55
2013-05-31,102.4,204837844.0,196053.3,6.4769,0.5551,1.55
2013-06-30,99.8,158192837.0,191075.3842,6.3125,0.541,1.55
2013-07-31,90.1,147058635.0,172503.929,5.6989,0.4884,1.55
2013-08-31,105.05,248397678.0,201126.945,6.6445,0.5694,1.4
2013-09-30,111.9,178259356.0,214241.8386,7.0778,0.6066,1.4
2013-10-31,115.05,236275074.0,237530.275,7.277,0.6236,1.4
2013-11-30,122.7,165832302.0,253324.3351,7.7609,0.6651,1.4
2013-12-31,122.6,130284592.0,253117.8768,7.7546,0.6646,1.4
2014-01-31,109.55,135470653.0,226175.0685,6.9292,0.5938,1.4
2014-02-28,105.35,191875995.0,217503.8199,6.6635,0.5711,1.4
2014-03-31,141.75,260539592.0,292655.3335,12.9927,0.7209,1.4
2014-04-30,134.3,139364878.0,277277.0063,12.3098,0.683,1.4
2014-05-31,148.0,252498462.0,305566.4512,13.5655,0.7527,1.4
2014-06-30,164.2,272022016.0,339013.7501,15.0504,0.8351,1.4
2014-07-31,191.7,274718114.0,395797.0836,17.571,0.975,1.4
2014-08-31,170.1,211399167.0,351222.9451,15.5912,0.8651,1.4
2014-09-30,156.75,230642746.0,323673.1362,14.3676,0.7972,1.0
2014-10-31,163.7,184966142.0,338024.1939,15.0046,0.8326,1.0
2014-11-30,174.05,188412323.0,359398.7175,15.9533,0.8852,1.0
2014-12-31,157.55,181820358.0,325335.0188,14.4409,0.8013,1.0
2015-01-31,139.7,169369980.0,288477.7715,12.8048,0.7105,1.0
2015-02-28,152.85,148186996.0,315632.19,14.0101,0.7774,1.0
2015-03-31,129.0,167772624.0,266382.4805,31.1594,0.6952,1.0
2015-04-30,128.6,138817763.0,265556.8964,31.0628,0.693,1.0
2015-05-31,129.25,122452322.0,266899.1358,31.2198,0.6965,1.0
2015-06-30,111.9,114280718.0,231071.9155,27.029,0.603,1.0
2015-07-31,105.2,121550501.0,217236.5104,25.4106,0.5669,1.0
2015-08-31,80.05,184803645.0,165302.1165,19.3357,0.4314,1.0
2015-09-30,70.8,191920057.0,146200.9975,17.1014,0.3815,1.0
2015-10-31,84.05,251436670.0,173562.0598,20.3019,0.4529,1.0
2015-11-30,77.05,219824739.0,159107.159,18.6111,0.4152,1.0
2015-12-31,84.75,202399098.0,175007.5499,20.471,0.4567,1.0
2016-01-31,70.5,170655973.0,145581.5017,17.029,0.3799,1.0
2016-02-29,68.75,255372572.0,141967.7765,16.6063,0.3705,1.0
2016-03-31,87.95,330744650.0,181615.5046,21.256,0.4474,1.0
2016-04-30,96.35,280147180.0,198961.3857,21.256,0.4901,1.0
2016-05-31,105.25,344793887.0,217339.7596,21.256,0.5354,1.0
2016-06-30,122.85,320885071.0,253683.5104,21.256,0.6249,1.0
2016-07-31,133.55,264286137.0,275778.8589,21.256,0.6793,1.0
2016-08-31,159.25,269143607.0,328848.995,21.256,0.8101,1.0
2016-09-30,152.7,223021375.0,315323.3377,21.256,0.7767,1.0
2016-10-31,149.75,177247480.0,309231.6295,21.256,0.7617,1.0
2016-11-30,175.75,378014486.0,362921.2614,21.256,0.894,1.0
2016-12-31,155.05,206222921.0,320355.8231,21.256,0.7887,1.0
2017-01-31,189.95,295896270.0,392464.2928,21.256,0.9662,1.0
2017-02-28,184.35,239086933.0,380939.4268,21.256,0.9377,1.0
2017-03-31,195.05,355582805.0,403049.8247,21.1596,0.9502,1.0
2017-04-30,199.35,246216125.0,447202.5948,21.626,0.9712,1.0
2017-05-31,200.7,350779027.0,450240.7566,21.7725,0.9777,1.0
2017-06-30,190.95,195033527.0,428375.8128,20.7148,0.9302,1.0
2017-07-31,219.65,219516408.0,492779.7342,23.8283,1.0701,1.0
2017-08-31,238.0,254718929.0,533955.9053,25.8189,1.1594,1.0
2017-09-30,240.6,197143852.0,539812.5331,26.101,1.1721,1.1
2017-10-31,267.4,177974775.0,599941.2774,29.0083,1.3027,1.1
2017-11-30,240.45,183406885.0,539754.9746,26.0847,1.1714,1.1
2017-12-31,273.55,180391842.0,614089.4029,29.6755,1.3326,1.1
2018-01-31,256.15,190429184.0,575042.3416,27.7879,1.2479,1.1
2018-02-28,245.4,184710913.0,550913.8962,26.6217,1.1955,1.1
2018-03-31,214.55,212322243.0,481656.7906,7.859,0.8783,1.1
2018-04-30,235.65,395856320.0,529035.867,8.6319,0.9647,1.1
2018-05-31,234.2,234025632.0,525788.8165,8.5788,0.9588,1.1
2018-06-30,230.5,169957072.0,517484.4611,8.4432,0.9436,1.1
2018-07-31,213.4,281430335.0,479141.9891,7.8168,0.8736,1.1
2018-08-31,237.95,254108648.0,534264.3465,8.7161,0.9741,1.1
2018-09-30,229.65,191248838.0,515644.4913,8.4121,0.9401,1.2
2018-10-31,220.4,239059523.0,494880.3542,8.0733,0.9023,1.2
2018-11-30,226.2,194788552.0,507906.8936,8.2857,0.926,1.2
2018-12-31,226.2,160263707.0,507934.9015,8.2857,0.926,1.2
2019-01-31,208.5,190085719.0,468191.4496,7.6374,0.8536,1.2
2019-02-28,195.75,170688970.0,439561.4663,7.1703,0.8014,1.2
2019-03-31,205.5,154796063.0,461456.4653,8.33,0.8027,1.2
2019-04-30,206.05,148765627.0,462699.4906,8.3522,0.8049,1.2
2019-05-31,197.0,182222686.0,442380.3949,7.9854,0.7695,1.2
2019-06-30,207.05,135762824.0,464948.5318,8.3928,0.8088,1.2
2019-07-31,190.55,143742899.0,427946.3204,7.724,0.7443,1.2
2019-08-31,184.45,170818637.0,414252.735,7.4767,0.7205,1.2
2019-09-30,191.35,131194963.0,429757.6037,7.7564,0.7474,1.2
2019-10-31,187.9,137883056.0,422023.3438,7.6165,0.734,1.2
2019-11-30,200.15,196295172.0,449545.0289,8.1131,0.7818,1.2
2019-12-31,216.15,178324395.0,485481.6787,8.7617,0.8443,1.2
2020-01-31,189.35,191327219.0,425287.7903,7.6753,0.7396,1.2
2020-02-29,155.9,167664288.0,350161.1874,6.3194,0.609,1.2
2020-03-31,95.7,285205249.0,214963.5111,5.6494,0.3687,1.2
2020-04-30,130.2,405429409.0,292458.1938,7.686,0.5016,1.2
2020-05-31,138.85,359451862.0,311896.6092,8.1966,0.5349,1.2
2020-06-30,146.2,376625388.0,328406.8006,8.6305,0.5633,1.2
2020-07-31,163.1,368626285.0,366369.0095,9.6281,0.6284,1.2
2020-08-31,185.25,414237214.0,416124.2121,10.9357,0.7137,1.2
2020-09-30,175.25,397118191.0,393661.3667,10.3453,0.6752,1.0
2020-10-31,170.65,324431752.0,383340.0608,10.0738,0.6575,1.0
2020-11-30,226.35,443495312.0,508490.3677,13.3619,0.8721,1.0
2020-12-31,240.55,383051515.0,540415.5426,14.2001,0.9268,1.0
2021-01-31,226.3,304971124.0,508401.7347,13.3589,0.8719,1.0
2021-02-28,340.25,487384068.0,764413.4254,20.0856,1.3109,1.0
2021-03-31,326.85,312886273.0,734328.7242,14.0279,1.104,1.0
2021-04-30,364.4,386563357.0,818691.7152,15.6395,1.2308,1.0
2021-05-31,394.25,510259839.0,885755.238,16.9206,1.3316,1.0
2021-06-30,372.05,273814705.0,835959.363,15.9678,1.2566,1.0
2021-07-31,444.8,259207870.0,999422.6168,19.0901,1.5024,1.0
2021-08-31,468.3,286096120.0,1052224.846,20.0987,1.5817,3.0
2021-09-30,487.95,244721793.0,1096479.635,20.9421,1.6481,3.0
2021-10-31,459.8,223184586.0,1033247.688,19.7339,1.553,3.0
2021-11-30,412.75,211024265.0,927518.4496,17.7146,1.3941,3.0
2021-12-31,475.55,185732292.0,1068641.617,20.4099,1.6062,3.0
2022-01-31,489.05,147608017.0,1098979.238,20.9893,1.6518,3.0
2022-02-28,573.75,217677680.0,1289315.35,24.6245,1.9379,3.0
2022-03-31,569.5,318910479.0,1279764.866,8.9193,1.6371,3.0
2022-04-30,482.65,235700457.0,1084597.915,7.5591,1.3875,3.0
2022-05-31,422.55,337279581.0,949542.8345,6.6179,1.2147,3.0
2022-06-30,338.65,306147095.0,761005.043,5.3038,0.9735,3.0
2022-07-31,415.05,284779849.0,932690.029,6.5004,1.1931,3.0
2022-08-31,439.0,232929607.0,986509.8729,6.8755,1.262,4.0
2022-09-30,390.55,247805125.0,877634.2388,6.1167,1.1227,4.0
2022-10-31,405.65,152010421.0,911566.583,6.3532,1.1661,4.0
2022-11-30,450.7,207291247.0,1012810.6,7.0587,1.2956,4.0
2022-12-31,473.35,161355436.0,1063709.557,7.4135,1.3607,4.0
2023-01-31,468.4,153698359.0,1052585.944,7.3359,1.3465,4.0
2023-02-28,399.2,134797548.0,897080.0783,6.2522,1.1476,4.0
2023-03-31,405.35,157384952.0,910900.325,8.9245,0.961,4.0
2023-04-30,436.1,85187925.0,980001.5585,9.6015,1.0339,4.0
2023-05-31,405.9,142295886.0,912136.2821,8.9366,0.9623,4.0
2023-06-30,420.95,114766585.0,945956.5606,9.2679,0.998,4.0
2023-07-31,462.6,119041736.0,1039552.215,10.1849,1.0968,4.0
2023-08-31,459.85,121313839.0,1033382.518,10.1244,1.0903,3.0
2023-09-30,492.65,142611551.0,1107091.22,10.8465,1.168,3.0
2023-10-31,459.5,112854879.0,1032595.992,10.1167,1.0894,3.0
2023-11-30,515.65,119089299.0,1158777.2,11.3529,1.2225,3.0
2023-12-31,614.85,124496366.0,1381701.079,13.537,1.4577,3.0
2024-01-31,579.35,113221085.0,1301924.893,12.7554,1.3736,3.0
2024-02-29,503.85,225323507.0,1132260.045,11.0931,1.1946,3.0
2024-03-31,560.25,124114021.0,1259003.057,12.2566,1.1864,3.0
2024-04-30,644.4,184391866.0,1448106.327,14.0976,1.3646,3.0
2024-05-31,689.35,227821983.0,1549118.71,15.0809,1.4598,3.0
2024-06-30,693.55,177691071.0,1558557.02,15.1728,1.4687,3.0
2024-07-31,669.6,125937910.0,1504736.184,14.6489,1.418,3.0
2024-08-31,701.35,155505519.0,1576085.308,15.3435,1.4852,3.5
2024-09-30,756.2,142720059.0,1699345.135,16.5434,1.6013,3.5
2024-10-31,686.05,112103200.0,1541702.896,15.0088,1.4528,3.5
2024-11-30,656.2,137064094.0,1474630.044,14.3557,1.3896,3.5
2024-12-31,602.45,92329759.0,1353841.619,13.1798,1.2758,3.5
2025-01-31,594.3,143257873.0,1335526.723,13.0015,1.2585,3.5
2025-02-28,634.35,124357917.0,1425528.145,13.8777,1.3433,3.5
2025-03-31,682.45,115228143.0,1533619.741,9.4719,1.24,3.5
2025-04-30,624.65,122497150.0,1403730.048,8.6697,1.135,3.5
2025-05-31,633.5,113952488.0,1423618.002,8.7925,1.1511,3.5
2025-06-30,692.85,110009628.0,1556990.897,9.6162,1.2589,3.5
2025-07-31,683.05,101393378.0,1534968.077,9.4802,1.2411,3.5
2025-08-31,703.95,102307048.0,1581935.111,9.7703,1.2791,5.0
2025-09-30,761.95,90084063.0,1712274.249,10.5753,1.3845,5.0
2025-10-31,847.85,120538442.0,1905311.008,11.7675,1.5405,5.0
2025-11-30,808.4,139217469.0,1816657.921,11.22,1.4688,5.0
2025-12-31,886.7,111909463.0,1992615.758,12.3067,1.6111,5.0
2026-01-31,962.6,149431708.0,2163180.251,13.3602,1.749,5.0
2026-02-28,924.7,127142651.0,2078010.366,12.8341,1.6802,5.0
2026-03-31,957.35,31118521.0,2151382.257,13.2873,1.7395,5.0
