IOCL IN Equity,price,volume,mc,pe,bm,div
2007-05-31,38.85,83768460.0,544527.2909,7.0658,1.491,1.0
2007-06-30,36.97,64405968.0,528937.2251,6.7232,1.4188,1.0
2007-07-31,33.58,76973724.0,480467.2111,6.1072,1.2888,1.0
2007-08-31,32.36,83952108.0,462998.9281,5.8851,1.2419,1.0
2007-09-30,39.2,119542848.0,560952.3593,7.1302,1.5046,1.5833
2007-10-31,40.15,151033908.0,574426.1858,7.3015,1.5408,1.5833
2007-11-30,45.27,284009064.0,647697.5695,8.2328,1.7373,1.5833
2007-12-31,66.25,404809020.0,947877.7299,12.0483,2.5425,1.5833
2008-01-31,39.74,334467096.0,568583.5531,7.2272,1.5251,1.5833
2008-02-29,46.67,235263756.0,667789.0718,8.4882,1.7912,1.0833
2008-03-31,37.13,125935836.0,531262.2461,6.7141,1.2179,1.0833
2008-04-30,38.42,117059484.0,549684.4248,6.947,1.2602,1.0833
2008-05-31,35.51,192286728.0,508070.5714,6.421,1.1648,1.0833
2008-06-30,27.69,178782276.0,396225.888,5.0075,0.9084,1.0833
2008-07-31,33.57,98341740.0,480407.494,6.0714,1.1014,1.0833
2008-08-31,33.45,81603180.0,478559.3143,6.0481,1.0971,1.0833
2008-09-30,33.88,143986380.0,484819.2779,6.1272,1.1115,0.4583
2008-10-31,28.19,113858880.0,403380.1321,5.098,0.9248,0.4583
2008-11-30,34.27,51721344.0,490363.8171,6.1973,1.1242,0.4583
2008-12-31,35.5,162697884.0,507951.334,6.4195,1.1645,0.4583
2009-01-31,37.18,107223384.0,531977.6706,6.7232,1.2196,0.4583
2009-02-28,36.48,65668896.0,521902.1101,6.5958,1.1965,0.4583
2009-03-31,32.32,85726200.0,462402.6463,18.1111,1.0162,0.4583
2009-04-30,36.9,63406824.0,527923.5989,20.6774,1.1602,0.4583
2009-05-31,50.75,194017320.0,739311.3549,28.4416,1.5958,0.4583
2009-06-30,44.32,247296000.0,645653.1102,24.8385,1.3936,0.4583
2009-07-31,45.62,167854956.0,664530.4362,25.5648,1.4344,0.4583
2009-08-31,48.17,203291064.0,701678.1003,26.9939,1.5146,0.4583
2009-09-30,56.71,229533336.0,826110.6354,31.7808,1.7831,0.625
2009-10-31,51.9,125710548.0,756064.223,29.0861,1.632,0.625
2009-11-30,48.2,119632944.0,702163.8319,27.0125,1.5156,0.625
2009-12-31,50.98,129318390.0,742710.6369,28.5724,1.6031,0.625
2010-01-31,50.23,92426166.0,731663.3064,28.1474,1.5793,0.625
2010-02-28,52.9,109493742.0,770631.9344,29.6465,1.6634,0.625
2010-03-31,49.29,88009338.0,718066.7757,6.7033,1.3687,0.625
2010-04-30,49.13,79001826.0,715638.8238,6.6806,1.3641,0.625
2010-05-31,58.86,160002570.0,857431.215,8.0043,1.6344,0.625
2010-06-30,67.18,449967132.0,978707.4126,9.1364,1.8655,0.625
2010-07-31,60.33,266797938.0,878918.5894,8.2049,1.6753,0.625
2010-08-31,68.52,195921414.0,998252.4255,9.3189,1.9028,0.625
2010-09-30,69.47,230205474.0,1011970.354,9.447,1.9289,2.1667
2010-10-31,69.68,139974114.0,1015005.294,9.4753,1.9347,2.1667
2010-11-30,57.78,115342920.0,841649.5276,7.857,1.6043,2.1667
2010-12-31,57.07,181288614.0,831330.732,7.7607,1.5846,2.1667
2011-01-31,56.16,143177712.0,818098.3942,7.6371,1.5594,2.1667
2011-02-28,49.83,92825076.0,725836.2218,6.7758,1.3835,2.1667
2011-03-31,55.48,100963164.0,808143.7913,10.3209,1.4036,2.1667
2011-04-30,56.64,53589534.0,825139.4547,10.538,1.4332,2.1667
2011-05-31,54.72,119850798.0,797096.6102,10.1798,1.3844,2.1667
2011-06-30,56.14,93922866.0,817855.599,10.445,1.4205,2.1667
2011-07-31,52.51,58865628.0,764926.2474,9.769,1.3286,2.1667
2011-08-31,51.02,96441216.0,743196.0779,9.4915,1.2908,2.1667
2011-09-30,51.91,60375192.0,756185.6206,9.6574,1.3134,1.5833
2011-10-31,48.5,75537276.0,706534.0042,9.0233,1.2271,1.5833
2011-11-30,43.66,81359424.0,636002.0013,8.1225,1.1046,1.5833
2011-12-31,42.29,62040174.0,616092.7957,7.8682,1.0701,1.5833
2012-01-31,48.13,39845652.0,701192.51,8.955,1.2179,1.5833
2012-02-29,47.3,92521530.0,689052.7504,8.8,1.1968,1.5833
2012-03-31,43.78,72138708.0,637823.0935,15.089,1.0565,1.5833
2012-04-30,44.26,48128256.0,644742.7578,15.2527,1.0679,1.5833
2012-05-31,42.6,73648272.0,620584.6315,14.6812,1.0279,1.5833
2012-06-30,42.63,84876696.0,620948.8244,14.6898,1.0285,1.5833
2012-07-31,44.98,52005414.0,655304.3508,15.5026,1.0854,1.5833
2012-08-31,40.43,48735564.0,588899.8528,13.9316,0.9754,1.5833
2012-09-30,41.75,61198434.0,608202.0743,14.3883,1.0074,0.8333
2012-10-31,43.42,54143448.0,632481.5983,14.9627,1.0476,0.8333
2012-11-30,43.96,43227900.0,640372.4435,15.1493,1.0607,0.8333
2012-12-31,44.98,47364888.0,655304.3508,15.5026,1.0854,0.8333
2013-01-31,54.55,295440408.0,794668.8181,18.7995,1.3163,0.8333
2013-02-28,48.78,131948832.0,710661.6653,16.8122,1.1771,0.8333
2013-03-31,46.93,75313776.0,683711.3938,15.3712,1.0846,0.8333
2013-04-30,49.9,59007948.0,726928.9463,16.3428,1.1532,0.8333
2013-05-31,47.64,82747278.0,694030.1914,15.6032,1.101,0.8333
2013-06-30,39.13,74009292.0,569961.8815,12.8139,0.9042,0.8333
2013-07-31,34.15,69215718.0,497487.4953,11.1845,0.7892,0.8333
2013-08-31,34.9,71574822.0,508413.2821,11.4301,0.8065,1.0333
2013-09-30,34.64,92017578.0,504649.9555,11.3455,0.8006,1.0333
2013-10-31,33.68,68641278.0,490567.8302,11.0289,0.7782,1.0333
2013-11-30,33.51,65857182.0,488139.8776,10.9743,0.7744,1.0333
2013-12-31,35.69,57868662.0,519946.0572,11.6894,0.8248,1.0333
2014-01-31,40.89,126216360.0,595698.1794,13.3925,0.945,1.0333
2014-02-28,41.39,65714058.0,602982.0373,13.5562,0.9565,1.0333
2014-03-31,46.94,133274100.0,683832.8601,9.6522,1.0069,1.0333
2014-04-30,43.91,116838552.0,639644.1221,9.0284,0.9419,1.0333
2014-05-31,60.02,209748108.0,874305.7445,12.3406,1.2874,1.0333
2014-06-30,57.43,201283404.0,836672.4786,11.8095,1.232,1.0333
2014-07-31,55.21,107439222.0,804259.3109,11.352,1.1842,1.0333
2014-08-31,59.9,135461610.0,872606.1776,12.3167,1.2849,1.45
2014-09-30,60.4,191338452.0,879890.0355,12.4195,1.2956,1.45
2014-10-31,60.69,162322260.0,884138.9527,12.4794,1.3019,1.45
2014-11-30,60.83,203038728.0,886081.3148,12.5069,1.3047,1.45
2014-12-31,55.38,155875116.0,806687.2635,11.3862,1.1878,1.45
2015-01-31,57.88,119672010.0,843227.9507,11.902,1.2416,1.45
2015-02-28,55.38,122037702.0,806808.7423,11.3879,1.188,1.45
2015-03-31,61.44,132265032.0,895064.7395,18.2229,1.3004,1.45
2015-04-30,60.2,115320816.0,876976.4924,17.8547,1.2741,1.45
2015-05-31,59.37,121186452.0,864836.7292,17.6075,1.2564,1.45
2015-06-30,64.23,169170006.0,935732.9462,19.0509,1.3594,1.45
2015-07-31,71.89,309668442.0,1047297.37,21.3223,1.5215,1.45
2015-08-31,69.08,564932490.0,1006264.97,20.4869,1.4619,1.45
2015-09-30,67.03,322380204.0,976522.5505,19.8814,1.4187,1.1
2015-10-31,66.63,156790626.0,970574.0665,19.7603,1.4101,1.1
2015-11-30,70.18,224972484.0,1022289.458,20.8131,1.4852,1.1
2015-12-31,71.43,193133604.0,1040499.103,21.1839,1.5116,1.1
2016-01-31,67.05,174828552.0,976765.3458,19.8863,1.4191,1.1
2016-02-29,61.28,159751584.0,892636.7869,18.1735,1.2968,1.8333
2016-03-31,65.6,168375192.0,955642.1578,15.5144,1.0621,1.8333
2016-04-30,72.21,121861974.0,1051910.48,17.0773,1.1691,1.8333
2016-05-31,69.35,193223304.0,1010271.092,16.4013,1.1228,1.8333
2016-06-30,73.5,204686088.0,1070727.113,17.3827,1.19,1.8333
2016-07-31,90.73,395707536.0,1321777.415,21.4584,1.469,1.8333
2016-08-31,95.9,469527144.0,1397043.947,22.6803,1.5526,1.8333
2016-09-30,97.08,313648746.0,1414282.411,22.9602,1.5718,2.3333
2016-10-31,107.88,335104221.0,1571613.742,25.5144,1.7466,2.3333
2016-11-30,102.23,239502657.0,1489306.147,24.1782,1.6552,2.3333
2016-12-31,108.35,275805366.0,1578412.009,25.6248,1.7542,2.3333
2017-01-31,122.13,363299046.0,1779203.692,28.8845,1.9773,2.3333
2017-02-28,128.35,279310998.0,1869766.326,30.3547,2.078,5.9167
2017-03-31,129.02,320087505.0,1879478.136,18.4838,1.8409,6.0
2017-04-30,146.68,283853301.0,2136841.116,21.0148,2.093,6.0
2017-05-31,143.15,489218439.0,2085368.52,20.5086,2.0426,6.0
2017-06-30,128.4,277507359.0,1870494.711,18.3954,1.8321,6.0
2017-07-31,122.55,258782025.0,1785273.574,17.5573,1.7486,6.0
2017-08-31,151.57,444127554.0,2207980.128,21.7144,2.1626,1.8333
2017-09-30,133.5,331432329.0,1944790.062,19.1261,1.9049,1.8333
2017-10-31,138.5,310051329.0,2017628.641,19.8424,1.9762,1.8333
2017-11-30,131.17,277361184.0,1910798.648,18.7918,1.8716,1.8333
2017-12-31,129.52,205451001.0,1886761.918,18.5554,1.848,1.8333
2018-01-31,139.2,368996496.0,2027825.961,19.9427,1.9862,1.8333
2018-02-28,126.43,291175086.0,1841844.753,18.1137,1.804,6.6667
2018-03-31,117.73,524013350.0,1715105.633,7.5438,1.5061,6.6667
2018-04-30,108.2,378560318.0,1576226.751,6.9329,1.3842,6.6667
2018-05-31,116.07,438148170.0,1690826.109,7.437,1.4848,6.6667
2018-06-30,104.0,310549148.0,1515042.349,6.6638,1.3305,6.6667
2018-07-31,109.57,293061068.0,1596135.962,7.0205,1.4017,6.6667
2018-08-31,103.7,205715213.0,1510672.034,6.6446,1.3266,7.6667
2018-09-30,102.23,214032969.0,1489306.053,6.5506,1.3079,7.6667
2018-10-31,92.3,535066289.0,1344600.085,5.9141,1.1808,7.6667
2018-11-30,89.73,468984543.0,1307209.616,5.7497,1.1479,7.6667
2018-12-31,91.37,676100573.0,1331003.551,5.8543,1.1688,5.8333
2019-01-31,91.23,342415379.0,1329061.189,5.8458,1.1671,5.8333
2019-02-28,96.4,416243028.0,1404327.716,6.1768,1.2332,5.8333
2019-03-31,108.57,624891935.0,1533095.78,8.8457,1.3631,5.5
2019-04-30,105.37,383556684.0,1487907.818,8.585,1.3229,5.5
2019-05-31,110.37,415032500.0,1558514.01,8.9924,1.3857,5.5
2019-06-30,103.93,233482044.0,1467667.376,8.4682,1.305,5.5
2019-07-31,92.87,683257788.0,1311392.338,7.5665,1.166,5.5
2019-08-31,81.63,388996905.0,1152763.76,6.6513,1.025,1.6667
2019-09-30,98.27,499796670.0,1387647.025,8.0065,1.2338,1.6667
2019-10-31,97.87,409899326.0,1381998.53,7.9739,1.2288,1.6667
2019-11-30,87.6,303125571.0,1237020.482,7.1374,1.0999,1.6667
2019-12-31,83.7,200057690.0,1181947.653,6.8197,1.0509,1.6667
2020-01-31,75.63,940521053.0,1068036.33,6.1624,0.9496,1.6667
2020-02-29,70.5,429706226.0,995547.306,5.7442,0.8852,1.6667
2020-03-31,54.43,674751645.0,768666.076,4.1716,0.8057,3.5
2020-04-30,56.13,386358632.0,792672.1812,4.1716,0.8309,3.5
2020-05-31,55.47,462721805.0,783258.0223,4.1716,0.821,3.5
2020-06-30,56.9,862968480.0,803498.464,4.1716,0.8423,3.5
2020-07-31,58.97,976825290.0,832682.3567,4.1716,0.8729,3.5
2020-08-31,57.2,744443726.0,807734.8355,4.1716,0.8467,3.5
2020-09-30,49.27,632671037.0,695706.3443,4.1716,0.7293,3.5
2020-10-31,53.03,647579912.0,748896.3162,4.1716,0.785,2.8333
2020-11-30,56.4,538671141.0,796437.8171,4.1716,0.8349,2.8333
2020-12-31,60.63,926568575.0,856217.7241,4.1716,0.8975,2.8333
2021-01-31,62.17,877618974.0,877870.2889,4.1716,0.9202,2.8333
2021-02-28,65.37,1157998325.0,923058.2501,4.1716,0.9676,7.8333
2021-03-31,61.23,900320213.0,864690.4669,3.8969,0.7732,7.0
2021-04-30,60.57,396090554.0,855276.3083,3.8545,0.7647,7.0
2021-05-31,72.83,1161742005.0,1028496.826,4.6351,0.9196,7.0
2021-06-30,71.93,502692776.0,1015787.712,4.5779,0.9083,7.0
2021-07-31,68.77,312763346.0,971070.4928,4.3763,0.8683,7.0
2021-08-31,73.9,392475740.0,1043559.517,4.703,0.9331,3.0
2021-09-30,83.53,424679079.0,1179594.113,5.3161,1.0547,3.0
2021-10-31,85.3,391305837.0,1204541.634,5.4285,1.077,3.0
2021-11-30,79.3,355033827.0,1119814.204,5.0467,1.0013,11.3333
2021-12-31,74.33,368207381.0,1049678.72,4.7306,0.9386,11.3333
2022-01-31,83.47,298653359.0,1178652.697,5.3118,1.0539,11.3333
2022-02-28,76.67,370772597.0,1082628.276,4.8791,0.968,9.0
2022-03-31,79.3,649379850.0,1119814.204,4.3508,0.8386,7.0
2022-04-30,84.0,375561722.0,1186184.024,4.6086,0.8883,7.0
2022-05-31,77.33,435559563.0,1092042.435,4.2429,0.8178,7.0
2022-06-30,74.25,427512419.0,1048501.95,4.0737,0.7852,7.0
2022-07-31,72.95,281386610.0,1030144.34,4.0024,0.7714,7.0
2022-08-31,71.5,416932087.0,1009668.544,3.9228,0.7561,8.4
2022-09-30,66.95,403441635.0,945416.9097,3.6732,0.708,8.4
2022-10-31,68.25,242171434.0,963774.5196,3.7445,0.7217,8.4
2022-11-30,76.65,314702990.0,1082392.922,4.2054,0.8106,5.0667
2022-12-31,76.5,333085333.0,1080274.736,4.1971,0.809,5.0667
2023-01-31,81.75,312857580.0,1154411.238,4.4852,0.8645,5.0667
2023-02-28,76.05,179799477.0,1073920.179,4.1725,0.8042,2.4
2023-03-31,77.9,220907016.0,1100044.47,10.9564,0.7873,2.4
2023-04-30,81.4,131137044.0,1149468.804,11.4487,0.8227,2.4
2023-05-31,90.0,309669605.0,1270911.455,12.6582,0.9096,2.4
2023-06-30,91.3,268381332.0,1289269.064,12.8411,0.9228,2.4
2023-07-31,93.75,444153956.0,1323866.098,13.1857,0.9475,5.4
2023-08-31,89.1,217421126.0,1258202.34,12.5316,0.9005,3.0
2023-09-30,90.95,343164634.0,1284326.631,12.7918,0.9192,3.0
2023-10-31,89.7,235673830.0,1266675.083,12.616,0.9066,3.0
2023-11-30,111.75,895034427.0,1578048.389,15.7173,1.1294,10.0
2023-12-31,129.85,632566875.0,1833642.804,18.263,1.3124,10.0
2024-01-31,146.95,674295921.0,2075115.98,20.6681,1.4852,10.0
2024-02-29,165.55,1232983909.0,2337771.014,23.2841,1.6732,10.0
2024-03-31,167.75,602643406.0,2368837.739,5.5363,1.2915,10.0
2024-04-30,168.85,523784427.0,2384371.101,5.5726,1.3,10.0
2024-05-31,162.4,551660210.0,2293289.113,5.3597,1.2503,10.0
2024-06-30,165.63,564601031.0,2338900.713,5.4663,1.2752,10.0
2024-07-31,181.67,783780355.0,2565405.377,5.9957,1.3987,12.0
2024-08-31,176.97,374442909.0,2499035.557,5.8406,1.3625,12.0
2024-09-30,180.15,448852392.0,2543941.095,5.9455,1.387,12.0
2024-10-31,142.62,422957175.0,2013971.018,4.7069,1.098,12.0
2024-11-30,138.63,332428052.0,1957627.277,4.5752,1.0673,12.0
2024-12-31,136.41,332303437.0,1926278.128,4.502,1.0502,12.0
2025-01-31,128.49,351047215.0,1814437.92,4.2406,0.9892,7.0
2025-02-28,113.49,261821193.0,1602619.344,3.7455,0.8738,7.0
2025-03-31,127.7,325253092.0,1803282.142,12.9382,0.967,7.0
2025-04-30,137.86,296192820.0,1946753.924,13.9676,1.0439,7.0
2025-05-31,141.97,339664599.0,2004792.213,14.384,1.075,7.0
2025-06-30,146.96,341083767.0,2075257.193,14.8896,1.1128,7.0
2025-07-31,145.62,252345333.0,2056334.733,14.7538,1.1027,7.0
2025-08-31,136.62,184722469.0,1929243.588,13.8419,1.0345,3.0
2025-09-30,149.79,195731954.0,2115220.297,15.1763,1.1342,3.0
2025-10-31,165.9,330168258.0,2342713.448,16.8085,1.2562,3.0
2025-11-30,161.75,270624465.0,2284110.309,16.388,1.2248,3.0
2025-12-31,166.46,293774889.0,2350621.341,16.8652,1.2605,8.0
2026-01-31,163.24,233770810.0,2305150.954,16.539,1.2361,8.0
2026-02-28,187.47,399227891.0,2647308.56,18.9939,1.4196,8.0
2026-03-31,171.8,98817514.0,2426028.797,17.4063,1.3009,8.0
