BSE IN Equity,price,volume,mc,pe,bm,div
2023-05-31,185.9,54984516.0,75547.6543,34.726,2.8371,4.5
2023-06-30,202.85,86645217.0,82435.9423,37.8923,3.0958,4.5
2023-07-31,269.75,198178644.0,109623.3445,50.3892,4.1168,4.5
2023-08-31,354.25,174241722.0,143963.1874,66.1737,5.4064,4.0
2023-09-30,432.65,177384102.0,175824.0594,80.8188,6.6029,4.0
2023-10-31,621.0,138562308.0,252367.3659,116.0025,9.4775,4.0
2023-11-30,825.65,143923389.0,335534.8079,154.231,12.6007,4.0
2023-12-31,740.4,56905014.0,300890.1735,138.3064,11.2997,4.0
2024-01-31,774.53,47688288.0,314761.5735,144.6824,11.8206,4.0
2024-02-29,788.95,49827285.0,320620.3436,147.3755,12.0406,4.0
2024-03-31,838.63,52250739.0,340811.0875,44.5706,10.4624,4.0
2024-04-30,930.05,114949023.0,377720.3481,49.4291,11.6029,4.0
2024-05-31,897.95,59572248.0,364683.6047,47.7231,11.2024,4.0
2024-06-30,860.85,43884039.0,349616.2159,45.7513,10.7396,5.0
2024-07-31,852.15,70402854.0,346082.893,45.2889,10.631,5.0
2024-08-31,944.22,69013566.0,383473.8433,50.182,11.7796,5.0
2024-09-30,1228.22,195678336.0,498814.5012,65.2756,15.3227,5.0
2024-10-31,1488.53,316546353.0,604536.6688,79.1106,18.5703,5.0
2024-11-30,1556.92,169606920.0,632309.1288,82.7449,19.4234,5.0
2024-12-31,1775.13,148854144.0,720933.2622,94.3424,22.1458,5.0
2025-01-31,1768.65,112688502.0,718300.192,93.9979,22.0649,5.0
2025-02-28,1544.57,153715512.0,627293.4347,82.0886,19.2693,5.0
2025-03-31,1826.6,348578574.0,741835.372,56.1619,17.011,5.0
2025-04-30,2119.67,197890608.0,860858.2669,65.1727,19.7403,5.0
2025-05-31,2674.0,235974244.0,1085989.152,82.2166,24.9028,7.6667
2025-06-30,2770.1,149760805.0,1125018.156,85.1714,25.7978,7.6667
2025-07-31,2427.4,116673773.0,985837.7215,74.6345,22.6062,7.6667
2025-08-31,2096.2,97315206.0,851327.7712,64.4512,19.5218,7.6667
2025-09-30,2040.2,96075544.0,830971.5769,62.7294,19.0002,7.6667
2025-10-31,2479.0,103400032.0,1009694.412,76.221,23.0868,7.6667
2025-11-30,2902.4,112864630.0,1182144.841,89.2392,27.0299,7.6667
2025-12-31,2632.2,88546055.0,1073632.468,80.9314,24.5135,7.6667
2026-01-31,2797.0,75275507.0,1140851.763,85.9985,26.0483,7.6667
2026-02-28,2707.1,128906737.0,1104182.985,83.2344,25.211,7.6667
2026-03-31,2763.1,16389005.0,1127024.533,84.9562,25.7326,7.6667
