MCX IN Equity,price,volume,mc,pe,bm,div
2014-10-31,166.15,55818240.0,42366.8936,27.4901,3.6972,2.0
2014-11-30,173.51,60622340.0,44243.6336,28.7078,3.861,2.0
2014-12-31,168.35,57491485.0,42927.8757,27.8541,3.7462,2.0
2015-01-31,176.17,74859215.0,44921.9118,29.1479,3.9202,0.6
2015-02-28,237.99,140080830.0,60685.0682,39.3762,5.2958,0.6
2015-03-31,224.49,100400570.0,57243.1142,45.2966,4.1128,0.6
2015-04-30,208.87,43228695.0,53260.1449,42.1449,3.8266,0.6
2015-05-31,219.3,40052335.0,55919.7098,44.2494,4.0177,0.6
2015-06-30,208.72,42547790.0,53221.8961,42.1146,3.8239,0.6
2015-07-31,227.1,46020170.0,57908.6461,45.8232,4.1606,0.6
2015-08-31,201.31,28652855.0,51332.4066,40.6195,3.6881,0.6
2015-09-30,187.43,23046975.0,47793.1199,37.8188,3.4339,2.0
2015-10-31,178.28,22919715.0,45459.9446,35.9726,3.2662,2.0
2015-11-30,173.21,15559030.0,44167.136,34.9496,3.1733,2.0
2015-12-31,185.16,39927010.0,47214.2885,37.3608,3.3923,2.0
2016-01-31,170.92,19821950.0,43583.2047,34.4875,3.1314,2.0
2016-02-29,162.74,20303855.0,41497.3715,32.837,2.9815,2.0
2016-03-31,167.33,21177620.0,42667.784,100.0778,3.0586,2.0
2016-04-30,175.91,27432045.0,44855.614,105.2093,3.2154,2.0
2016-05-31,191.66,36663875.0,48871.7354,114.6292,3.5033,2.0
2016-06-30,200.16,27601245.0,51039.166,119.7129,3.6586,2.0
2016-07-31,210.81,27086390.0,53754.8323,126.0825,3.8533,2.0
2016-08-31,197.7,18349065.0,50411.8861,118.2416,3.6137,2.0
2016-09-30,270.25,104849575.0,68911.5438,161.6328,4.9398,1.3
2016-10-31,258.99,48528505.0,66040.3326,154.8983,4.734,1.3
2016-11-30,243.19,46365620.0,62011.4615,145.4486,4.4452,1.3
2016-12-31,253.5,51878725.0,64640.4306,151.6148,4.6336,1.3
2017-01-31,234.65,51504200.0,59833.8344,140.3409,4.2891,1.3
2017-02-28,223.65,41271550.0,57028.9285,133.762,4.088,1.3
2017-03-31,241.01,29476205.0,61455.5903,48.3956,4.5109,1.3
2017-04-30,243.13,42003150.0,61996.1699,48.8213,4.5505,1.3
2017-05-31,200.82,46570365.0,51207.4644,40.3253,3.7586,1.3
2017-06-30,217.66,40767295.0,55501.5273,43.7068,4.0738,1.3
2017-07-31,224.17,32195550.0,57161.5243,45.0141,4.1957,1.3
2017-08-31,210.3,31371980.0,53624.7872,42.2289,3.9361,3.0
2017-09-30,207.83,25507190.0,52994.9574,41.7329,3.8899,3.0
2017-10-31,210.76,31953935.0,53742.0835,42.3213,3.9447,3.0
2017-11-30,191.56,35627615.0,48846.2388,38.4659,3.5853,3.0
2017-12-31,182.31,53749820.0,46487.5642,36.6084,3.4122,3.0
2018-01-31,155.14,82955370.0,39559.4356,31.1526,2.9037,3.0
2018-02-28,156.03,56242670.0,39786.3776,31.3313,2.9203,3.0
2018-03-31,133.47,60078945.0,34033.7616,31.3163,2.4654,3.0
2018-04-30,155.81,58313185.0,39730.2794,36.558,2.878,3.0
2018-05-31,171.26,91164480.0,43669.9034,40.183,3.1634,3.0
2018-06-30,146.21,43064560.0,37282.3577,34.3055,2.7007,3.0
2018-07-31,176.38,80343530.0,44975.4616,41.3843,3.258,3.0
2018-08-31,165.62,48273645.0,42231.7494,38.8597,3.0592,3.4
2018-09-30,137.69,66525035.0,35109.8271,32.3064,2.5433,3.4
2018-10-31,140.48,134291900.0,35821.2544,32.9611,2.5948,3.4
2018-11-30,146.82,42975605.0,37437.9027,34.4486,2.7119,3.4
2018-12-31,147.0,40776105.0,37483.8012,34.4908,2.7153,3.4
2019-01-31,140.76,47122635.0,35892.6521,33.0267,2.6,3.4
2019-02-28,130.8,28760705.0,33352.9333,30.6898,2.416,3.4
2019-03-31,161.32,55773020.0,41135.2844,28.0557,3.2885,3.4
2019-04-30,171.8,53504890.0,43807.599,29.8783,3.5021,3.4
2019-05-31,162.05,39233150.0,41321.4285,28.1826,3.3033,3.4
2019-06-30,166.37,24769790.0,42422.9933,28.9339,3.3914,3.4
2019-07-31,162.66,74385100.0,41476.9735,28.2887,3.3158,3.4
2019-08-31,195.5,58539950.0,49850.9057,34.0,3.9852,3.4
2019-09-30,192.18,245341685.0,49004.3328,33.4226,3.9175,4.0
2019-10-31,227.69,118726305.0,58059.0932,39.5983,4.6414,4.0
2019-11-30,235.28,48532260.0,59994.4813,40.9183,4.7961,4.0
2019-12-31,233.61,25579105.0,59568.6449,40.6278,4.7621,4.0
2020-01-31,249.29,81829265.0,63566.917,43.3548,5.0817,4.0
2020-02-29,255.55,37358890.0,65163.166,44.4435,5.2093,4.0
2020-03-31,224.85,47352190.0,57334.9163,24.1878,4.2177,4.0
2020-04-30,213.52,48328095.0,54445.8587,22.969,4.0052,4.0
2020-05-31,265.61,26192385.0,67728.384,28.5725,4.9823,4.0
2020-06-30,256.78,36325150.0,65476.806,27.6226,4.8167,4.0
2020-07-31,337.28,63671360.0,86003.6495,36.2823,6.3267,4.0
2020-08-31,319.68,45575730.0,81515.793,34.389,5.9965,6.0
2020-09-30,344.56,56511610.0,87859.9901,37.0654,6.4632,6.0
2020-10-31,340.2,29506025.0,86748.2274,36.5964,6.3815,6.0
2020-11-30,322.99,21293845.0,82359.8176,34.7451,6.0586,6.0
2020-12-31,346.14,36956575.0,88262.879,37.2354,6.4929,6.0
2021-01-31,328.69,18952470.0,83813.2712,35.3582,6.1656,6.0
2021-02-28,302.37,34537820.0,77101.8857,32.5269,5.6718,6.0
2021-03-31,302.59,31427820.0,77157.9839,34.191,5.4404,6.0
2021-04-30,295.25,23030665.0,75286.3437,33.3616,5.3085,6.0
2021-05-31,309.8,30630195.0,78996.4751,35.0056,5.5701,6.0
2021-06-30,304.31,21279875.0,77596.5699,34.3853,5.4714,6.0
2021-07-31,320.65,78879370.0,81763.1351,36.2316,5.7652,6.0
2021-08-31,303.51,48756240.0,77392.5749,34.2949,5.457,5.52
2021-09-30,331.73,98119910.0,84588.4447,37.4836,5.9644,5.52
2021-10-31,340.75,145224300.0,86888.4712,38.5028,6.1265,5.52
2021-11-30,319.81,60452695.0,81548.9419,36.1367,5.7501,5.52
2021-12-31,316.56,88847450.0,80720.2185,35.7695,5.6916,5.52
2022-01-31,307.52,46192700.0,78415.0922,34.748,5.5291,5.52
2022-02-28,254.45,72968585.0,64882.675,28.7514,4.5749,5.52
2022-03-31,283.09,100277715.0,72185.6414,50.2289,5.0903,5.52
2022-04-30,286.04,31644580.0,72937.8673,50.7523,5.1433,5.52
2022-05-31,274.33,54765690.0,69951.9128,48.6746,4.9328,5.52
2022-06-30,261.59,33864850.0,66703.3167,46.4141,4.7037,5.52
2022-07-31,279.38,27745715.0,71239.6217,49.5706,5.0236,5.52
2022-08-31,257.85,40805925.0,65749.6472,45.7505,4.6364,5.52
2022-09-30,243.75,47236960.0,62154.2622,43.2488,4.3829,3.48
2022-10-31,307.27,64388545.0,78351.3442,54.5192,5.5251,3.48
2022-11-30,312.47,32994660.0,79677.3018,55.4418,5.6186,3.48
2022-12-31,310.84,38387795.0,79261.6651,55.1526,5.5892,3.48
2023-01-31,302.92,46833540.0,77242.1297,53.7473,5.4468,3.48
2023-02-28,280.53,27495470.0,71532.8623,49.7747,5.0442,3.48
2023-03-31,303.3,23598565.0,77339.0266,51.8107,5.2281,3.48
2023-04-30,279.88,25017890.0,71367.1176,47.81,4.8244,3.48
2023-05-31,291.05,48192960.0,74215.3765,49.7181,5.0169,3.48
2023-06-30,300.08,69429055.0,76517.9528,51.2607,5.1726,3.48
2023-07-31,332.24,73024380.0,84718.4906,56.7544,5.7269,3.48
2023-08-31,337.65,28090815.0,86097.9965,57.6785,5.8202,3.48
2023-09-30,409.94,165143050.0,104531.3569,70.0273,7.0663,3.818
2023-10-31,466.18,208178840.0,118872.0983,79.6344,8.0357,3.818
2023-11-30,639.07,185921485.0,162957.6384,109.1681,11.0159,3.818
2023-12-31,639.97,80997300.0,163187.131,109.3218,11.0314,3.818
2024-01-31,682.81,60904475.0,174110.9817,116.6399,11.7698,3.818
2024-02-29,752.76,78396395.0,191947.6612,128.589,12.9756,3.818
2024-03-31,669.92,43779345.0,170824.1368,205.4969,12.3926,3.818
2024-04-30,821.8,149952970.0,209552.2982,252.0859,15.2021,3.818
2024-05-31,726.27,50389695.0,185192.9273,222.7822,13.435,3.818
2024-06-30,784.78,64619820.0,200112.5001,240.7301,14.5173,3.818
2024-07-31,857.94,80999985.0,218767.7035,263.1718,15.8707,3.818
2024-08-31,1036.56,63640555.0,264314.3469,317.9632,19.1749,3.818
2024-09-30,1132.06,57606320.0,288666.0681,347.2577,20.9415,1.528
2024-10-31,1303.18,61608455.0,332300.2726,399.7485,24.107,1.528
2024-11-30,1237.07,32936540.0,315442.7617,379.4693,22.884,1.528
2024-12-31,1246.82,35114170.0,317928.9322,382.4601,23.0644,1.528
2025-01-31,1146.59,56029085.0,292371.0996,351.7147,21.2103,1.528
2025-02-28,998.33,34118120.0,254566.0086,306.2362,18.4677,1.528
2025-03-31,1062.35,50573810.0,270890.5865,48.3678,14.3754,1.528
2025-04-30,1225.6,45762820.0,312518.0052,55.8004,16.5845,1.528
2025-05-31,1320.4,58938240.0,336691.2321,60.1166,17.8673,1.528
2025-06-30,1788.8,121746940.0,456129.4123,81.4424,24.2056,1.528
2025-07-31,1538.6,63710435.0,392330.4527,70.051,20.8199,1.528
2025-08-31,1478.0,52116110.0,376877.9469,67.2919,19.9999,6.0
2025-09-30,1559.2,54634675.0,397583.2847,70.9889,21.0987,6.0
2025-10-31,1848.7,70827425.0,471403.4239,84.1696,25.0161,6.0
2025-11-30,2014.7,57132280.0,513732.0701,91.7274,27.2624,6.0
2025-12-31,2227.2,51631635.0,567917.8372,101.4023,30.1379,6.0
2026-01-31,2528.0,80781834.0,644619.3842,115.0974,34.2082,6.0
2026-02-28,2443.3,110057574.0,623021.5749,111.2411,33.0621,6.0
2026-03-31,2563.4,13030014.0,653646.0706,116.7092,34.6872,6.0
