PAG IN Equity,price,volume,mc,pe,bm,div
2017-11-30,22349.4,537527.0,249285.2076,93.614,37.4421,111.0
2017-12-31,25541.55,486331.0,284890.4487,106.9848,42.7899,111.0
2018-01-31,21459.75,406177.0,239362.0515,89.8875,35.9517,111.0
2018-02-28,21887.7,434696.0,244135.4058,91.6801,36.6686,121.0
2018-03-31,22684.55,388856.0,253023.4707,72.9219,29.862,121.0
2018-04-30,24199.25,368684.0,269918.4345,77.7911,31.8559,121.0
2018-05-31,25221.75,370769.0,281323.3995,81.078,33.202,130.0
2018-06-30,27814.25,591069.0,310240.1445,89.4119,36.6147,130.0
2018-07-31,29053.3,393483.0,324060.5082,93.3949,38.2458,130.0
2018-08-31,34416.75,1412102.0,383880.093,110.6363,45.3063,146.0
2018-09-30,32885.1,631428.0,366796.2619,105.7127,43.29,146.0
2018-10-31,29453.6,682916.0,328521.7432,94.6818,38.7728,146.0
2018-11-30,27117.1,1096770.0,302460.7166,87.1708,35.697,262.0
2018-12-31,25238.85,784712.0,281510.9528,81.133,33.2245,262.0
2019-01-31,23370.0,1723678.0,260666.0354,75.1254,30.7643,262.0
2019-02-28,22287.35,1101874.0,248590.2937,71.6451,29.3391,338.0
2019-03-31,24972.25,736227.0,278540.4765,70.7049,35.9406,338.0
2019-04-30,23091.85,649952.0,257566.4949,65.3808,33.2343,338.0
2019-05-31,19757.3,1214670.0,220370.4348,55.9396,28.4352,344.0
2019-06-30,20581.7,649823.0,229565.6885,58.2737,29.6216,344.0
2019-07-31,18173.1,588663.0,202700.4676,51.4542,26.1551,344.0
2019-08-31,18660.95,521924.0,208141.885,52.8354,26.8573,354.0
2019-09-30,22517.85,724685.0,251161.2617,63.7556,32.4082,354.0
2019-10-31,25750.9,626368.0,287222.294,72.9095,37.0613,354.0
2019-11-30,22049.1,623098.0,245932.8832,62.4284,31.7336,255.0
2019-12-31,23393.1,472166.0,260923.6899,66.2338,33.6679,255.0
2020-01-31,24437.75,849168.0,272575.5843,69.1915,35.1714,255.0
2020-02-29,22146.15,945971.0,247015.3667,62.7032,31.8732,202.0
2020-03-31,16963.5,846073.0,189208.7416,55.1264,23.0776,202.0
2020-04-30,18194.35,797326.0,202937.4874,59.1263,24.7521,202.0
2020-05-31,18866.4,840599.0,210433.4484,61.3103,25.6664,202.0
2020-06-30,19914.6,1053646.0,222124.9392,64.7166,27.0924,202.0
2020-07-31,19818.25,696132.0,221050.2634,64.4035,26.9613,161.0
2020-08-31,18987.7,1041770.0,211786.4133,61.7045,25.8314,161.0
2020-09-30,21335.95,1873821.0,237978.498,69.3356,29.0261,161.0
2020-10-31,20071.9,898573.0,223879.4235,65.2278,27.3064,110.0
2020-11-30,22754.95,1178775.0,253805.8224,73.9469,30.9565,210.0
2020-12-31,27610.25,1533675.0,307961.222,89.7252,37.5618,210.0
2021-01-31,27176.15,864346.0,303119.3257,88.3145,36.9712,158.0
2021-02-28,28084.05,1224617.0,313245.927,91.2649,38.2064,308.0
2021-03-31,30317.45,919755.0,338156.987,99.2875,38.2148,308.0
2021-04-30,29660.6,606124.0,330830.5655,97.1364,37.3869,250.0
2021-05-31,30665.5,876387.0,342039.0925,100.4274,38.6536,250.0
2021-06-30,29522.0,538969.0,329284.6387,96.6825,37.2122,250.0
2021-07-31,31502.1,599468.0,351370.4541,103.1672,39.7081,250.0
2021-08-31,31499.1,454955.0,351336.9925,103.1574,39.7043,300.0
2021-09-30,31704.9,499828.0,353632.4598,103.8313,39.9637,300.0
2021-10-31,37636.05,780742.0,419787.7596,123.2554,47.4399,300.0
2021-11-30,38390.9,589285.0,428207.2613,125.7275,48.3913,350.0
2021-12-31,40421.55,485602.0,450856.8756,132.3778,50.951,350.0
2022-01-31,42426.05,424428.0,473214.816,138.9424,53.4776,350.0
2022-02-28,42256.2,504468.0,471320.3305,138.3861,53.2635,300.0
2022-03-31,43189.35,459933.0,481728.568,89.7851,44.2511,300.0
2022-04-30,45578.75,315270.0,508379.6346,94.7524,46.6992,300.0
2022-05-31,45194.05,612732.0,504088.7392,93.9527,46.305,300.0
2022-06-30,40166.5,563795.0,448012.08,83.501,41.1539,255.0
2022-07-31,48873.0,306809.0,545123.284,101.6007,50.0744,255.0
2022-08-31,51043.15,364727.0,569328.8637,106.1122,52.2979,230.0
2022-09-30,50666.15,535600.0,565123.8532,105.3285,51.9117,230.0
2022-10-31,49768.65,369685.0,555113.2513,103.4627,50.9921,230.0
2022-11-30,47416.65,455668.0,528879.3396,98.5732,48.5823,300.0
2022-12-31,42836.7,453054.0,477795.1544,89.052,43.8897,300.0
2023-01-31,40036.5,414894.0,446562.0764,83.2308,41.0207,300.0
2023-02-28,37969.65,483686.0,423508.6919,78.9341,38.903,240.0
2023-03-31,37903.3,591949.0,422768.6324,74.0082,30.8354,240.0
2023-04-30,40320.7,413582.0,449732.0074,78.7283,32.8021,240.0
2023-05-31,38775.65,919891.0,432498.7144,75.7115,31.5451,240.0
2023-06-30,37647.2,500443.0,419912.1253,73.5082,30.6271,240.0
2023-07-31,37805.05,520203.0,421672.7643,73.8164,30.7555,240.0
2023-08-31,40153.2,579354.0,447863.7335,78.4012,32.6658,260.0
2023-09-30,38978.65,646138.0,434762.9508,76.1079,31.7103,260.0
2023-10-31,37816.4,441443.0,421799.3607,73.8385,30.7647,260.0
2023-11-30,37259.4,402774.0,415586.6529,72.751,30.3116,270.0
2023-12-31,38512.75,627304.0,429566.3609,75.1982,31.3312,270.0
2024-01-31,37314.1,692270.0,416196.7698,72.8578,30.3561,270.0
2024-02-29,34309.55,507797.0,382684.3977,66.9912,27.9118,310.0
2024-03-31,34450.95,531380.0,384261.5555,67.5098,24.0625,310.0
2024-04-30,34784.05,712375.0,387976.9109,68.1626,24.2952,310.0
2024-05-31,35954.7,680203.0,401034.1935,70.4566,25.1129,370.0
2024-06-30,39099.35,505600.0,436109.2234,76.6188,27.3093,370.0
2024-07-31,42396.75,490476.0,472888.0075,83.0804,29.6124,370.0
2024-08-31,42520.55,388719.0,474268.8571,83.323,29.6988,595.0
2024-09-30,42904.2,539813.0,478548.0409,84.0748,29.9668,595.0
2024-10-31,43163.8,535271.0,481443.5866,84.5835,30.1481,595.0
2024-11-30,44644.9,756037.0,497963.5893,87.4858,31.1826,770.0
2024-12-31,47514.4,857657.0,529969.6308,93.1089,33.1868,770.0
2025-01-31,44723.55,646067.0,498840.8415,87.64,31.2375,770.0
2025-02-28,40515.95,799109.0,451909.8013,79.3948,28.2987,820.0
2025-03-31,42693.75,368892.0,476200.7081,65.3099,33.8404,820.0
2025-04-30,45615.0,462659.0,508783.9625,69.7786,36.1559,820.0
2025-05-31,46380.0,468634.0,517316.6761,70.9489,36.7622,900.0
2025-06-30,49410.0,611735.0,551112.9143,75.584,39.1639,900.0
2025-07-31,48805.0,485323.0,544364.8206,74.6585,38.6844,900.0
2025-08-31,44335.0,522099.0,494507.0038,67.8206,35.1413,750.0
2025-09-30,40685.0,433023.0,453795.3637,62.2371,32.2482,750.0
2025-10-31,41200.0,407887.0,459539.6088,63.0249,32.6564,750.0
2025-11-30,38320.0,491327.0,427416.4517,58.6193,30.3736,625.0
2025-12-31,36045.0,798104.0,402041.3883,55.1391,28.5704,625.0
2026-01-31,32995.0,481943.0,368022.0726,50.4735,26.1529,625.0
2026-02-28,32110.0,535655.0,358150.8941,49.1196,25.4514,600.0
2026-03-31,31530.0,76181.0,351681.6472,48.2324,24.9917,600.0
