Z IN Equity,price,volume,mc,pe,bm,div
2006-02-28,55.94,61166536.0,72848.3839,14.7195,1.881,0.5
2006-03-31,75.71,274405204.0,98588.6962,28.865,2.935,0.5
2006-04-30,83.94,126362806.0,109045.698,32.0051,3.2543,0.5
2006-05-31,73.5,129729788.0,95825.0503,28.0256,2.8497,0.5
2006-06-30,76.2,73215500.0,99719.3536,29.0522,2.9541,0.5
2006-07-31,83.36,96490092.0,109088.1226,31.7817,3.2316,0.5
2006-08-31,87.46,97709888.0,114532.0821,33.3457,3.3906,0.5
2006-09-30,96.93,315026682.0,129409.8448,36.9569,3.7578,0.5
2006-10-31,95.58,101042872.0,128414.7183,36.4436,3.7056,0.5
2006-11-30,118.23,199251022.0,160684.5009,45.0789,4.5837,0.0
2006-12-31,116.8,232236818.0,127234.9869,44.5315,4.528,0.5
2007-01-31,124.67,112933862.0,135817.0095,47.5352,4.8334,0.5
2007-02-28,115.73,132119170.0,102039.9471,44.1233,4.4865,0.5
2007-03-31,123.27,64620108.0,108695.1975,43.8696,4.0829,0.5
2007-04-30,144.49,82849410.0,127403.6051,51.4203,4.7856,0.5
2007-05-31,154.23,73294514.0,135988.2278,54.8851,5.1081,0.5
2007-06-30,146.19,60616558.0,128899.4105,52.024,4.8418,0.5
2007-07-31,161.43,155882282.0,142339.9814,57.4486,5.3467,0.5
2007-08-31,152.31,85469154.0,134297.3172,54.2026,5.0446,0.75
2007-09-30,168.09,76171356.0,148214.8742,59.8197,5.5674,0.75
2007-10-31,162.56,110799420.0,143337.2456,57.8511,5.3842,0.75
2007-11-30,141.57,57036998.0,124823.9353,50.3791,4.6887,0.75
2007-12-31,160.82,61644476.0,141798.0828,57.2299,5.3263,0.75
2008-01-31,139.89,78280072.0,123349.8075,49.7842,4.6334,0.75
2008-02-29,119.07,37661830.0,104988.2457,42.3734,3.9437,0.75
2008-03-31,120.99,57056888.0,106679.1569,27.3726,3.6669,0.75
2008-04-30,105.1,81523072.0,92674.9433,23.7793,3.1855,0.75
2008-05-31,112.26,51534514.0,98983.3429,25.398,3.4023,0.75
2008-06-30,98.34,62707274.0,86790.5579,22.2496,2.9806,0.75
2008-07-31,95.34,58367450.0,84153.9787,21.571,2.8897,1.0
2008-08-31,107.17,49309014.0,94591.8498,24.2465,3.2481,1.0
2008-09-30,96.62,56267072.0,85282.3972,21.8603,2.9284,1.0
2008-10-31,75.68,88570138.0,66793.6755,17.1211,2.2936,1.0
2008-11-30,53.6,74940278.0,47306.7617,12.1261,1.6244,1.0
2008-12-31,68.77,64204168.0,60695.8773,15.5581,2.0842,1.0
2009-01-31,54.26,120292974.0,47892.6712,12.2762,1.6445,1.0
2009-02-28,52.54,93101122.0,46373.6467,11.8869,1.5924,1.0
2009-03-31,52.29,102138522.0,46156.6432,8.8559,1.3353,1.0
2009-04-30,55.56,135653278.0,49042.7897,9.4097,1.4187,1.0
2009-05-31,82.76,122730370.0,73043.3762,14.0146,2.1131,1.0
2009-06-30,87.16,73631950.0,76927.7387,14.7598,2.2254,1.0
2009-07-31,91.43,108770808.0,80703.5995,15.4843,2.3347,1.0
2009-08-31,103.56,80181852.0,91401.8718,17.5369,2.6441,1.0
2009-09-30,117.4,78255540.0,103619.1685,19.881,2.9976,1.0
2009-10-31,113.86,76378346.0,100494.3182,19.2815,2.9072,1.0
2009-11-30,125.02,52762098.0,110346.2768,21.1717,3.1922,1.0
2009-12-31,126.42,43568660.0,111583.1967,21.4091,3.228,1.0
2010-01-31,128.88,55183540.0,113753.2317,21.8254,3.2907,1.0
2010-02-28,121.45,26026484.0,107199.7262,20.568,3.1012,1.0
2010-03-31,131.9,43668552.0,116422.3747,18.5648,2.9894,1.0
2010-04-30,149.53,68780862.0,147331.4943,21.0459,3.3889,2.0
2010-05-31,139.06,63581392.0,137011.9914,19.5718,3.1516,2.0
2010-06-30,149.9,58938930.0,147694.857,21.0978,3.3973,2.0
2010-07-31,145.7,54486978.0,143552.5214,20.5061,3.302,2.0
2010-08-31,141.2,54688356.0,139119.4955,19.8728,3.2,2.0
2010-09-30,147.61,96437962.0,145442.0078,20.776,3.3455,2.0
2010-10-31,138.1,157445822.0,135033.4029,19.437,3.1298,2.0
2010-11-30,143.9,71882857.0,140745.1523,20.2533,3.2613,2.0
2010-12-31,147.25,34768106.0,144021.7073,20.7248,3.3372,2.0
2011-01-31,115.15,85106560.0,112625.4642,16.2069,2.6097,2.0
2011-02-28,118.75,44281173.0,116146.5382,16.7136,2.6913,2.0
2011-03-31,123.6,35995663.0,120890.2073,18.9862,3.9019,2.0
2011-04-30,134.75,55297426.0,131795.7559,20.6989,4.2539,1.0
2011-05-31,137.1,40675995.0,134094.2348,21.0599,4.3281,1.0
2011-06-30,134.9,37342927.0,131951.475,20.722,4.2587,1.0
2011-07-31,131.65,69058413.0,128772.5106,20.2227,4.1561,2.0
2011-08-31,115.45,43411370.0,112926.5959,17.7343,3.6447,2.0
2011-09-30,117.55,25925707.0,114980.6959,18.0568,3.711,2.0
2011-10-31,121.9,28462387.0,119235.6175,18.725,3.8483,2.0
2011-11-30,124.7,28927966.0,121974.4175,19.1551,3.9367,2.0
2011-12-31,117.85,26790107.0,115274.1388,18.1029,3.7204,2.0
2012-01-31,127.9,30043962.0,125104.4748,19.6467,4.0377,2.0
2012-02-29,127.15,29837521.0,124370.8676,19.5315,4.014,2.0
2012-03-31,126.75,38699927.0,123979.6259,20.847,3.5374,2.0
2012-04-30,126.3,17890475.0,121092.6612,20.773,3.5248,2.0
2012-05-31,132.15,36686806.0,126701.4661,21.7352,3.6881,2.0
2012-06-30,146.8,49154447.0,140747.4478,24.1447,4.097,2.0
2012-07-31,168.4,59027795.0,161456.8816,27.6974,4.6998,1.5
2012-08-31,163.45,36221569.0,156710.9697,26.8832,4.5617,1.5
2012-09-30,195.35,52199231.0,187295.7352,32.1299,5.4519,1.5
2012-10-31,189.3,58193843.0,181495.1763,31.1349,5.2831,1.5
2012-11-30,195.2,42350425.0,187151.9197,32.1053,5.4477,1.5
2012-12-31,220.7,73665105.0,211600.5568,36.2993,6.1594,1.5
2013-01-31,230.1,77199615.0,220612.9955,37.8454,6.4218,1.5
2013-02-28,218.0,66093727.0,209011.8776,35.8553,6.0841,1.5
2013-03-31,210.45,55940792.0,201773.1635,27.9111,5.1326,1.5
2013-04-30,233.9,56065537.0,224007.9459,31.0212,5.7045,1.5
2013-05-31,226.1,73672960.0,216921.7807,29.9867,5.5142,1.5
2013-06-30,236.05,41601047.0,226491.4301,31.3064,5.7569,1.5
2013-07-31,247.1,61292857.0,237175.0982,32.7719,6.0264,2.0
2013-08-31,231.5,59353381.0,222217.9295,30.7029,5.6459,2.0
2013-09-30,228.5,55787493.0,219357.908,30.305,5.5728,2.0
2013-10-31,266.05,56838115.0,255461.9115,35.2851,6.4886,2.0
2013-11-30,259.2,43866273.0,248894.8541,34.3767,6.3215,2.0
2013-12-31,276.6,38236230.0,265607.1252,36.6844,6.7459,2.0
2014-01-31,266.45,46519258.0,255870.3705,35.3382,6.4983,2.0
2014-02-28,268.7,75269858.0,258064.6034,35.6366,6.5532,2.0
2014-03-31,271.35,63427672.0,260617.763,29.5267,9.5791,2.0
2014-04-30,262.6,38046777.0,252213.8366,28.5745,9.2702,2.0
2014-05-31,266.75,52537635.0,256199.6989,29.0261,9.4167,2.0
2014-06-30,293.45,76824844.0,281843.68,31.9314,10.3592,2.0
2014-07-31,290.7,52439662.0,279202.4459,31.6322,10.2622,2.0
2014-08-31,273.7,40578301.0,262874.8175,29.7824,9.662,2.0
2014-09-30,314.15,54858776.0,301724.9687,34.1839,11.09,2.0
2014-10-31,344.25,40268217.0,330634.4755,37.4592,12.1526,2.0
2014-11-30,381.95,116972902.0,366843.3926,41.5615,13.4834,2.0
2014-12-31,380.75,33661290.0,365690.8541,41.4309,13.4411,2.0
2015-01-31,376.75,40274972.0,361849.0592,40.9956,13.2999,2.0
2015-02-28,346.45,41629019.0,332747.5473,37.6986,12.2302,2.0
2015-03-31,341.75,36669895.0,328233.3536,39.4175,9.2968,2.0
2015-04-30,312.05,47504570.0,299708.0263,35.9919,8.4889,2.0
2015-05-31,323.75,110100523.0,310945.2765,37.3414,8.8072,2.0
2015-06-30,367.9,46204380.0,353349.0879,42.4337,10.0082,2.0
2015-07-31,398.8,52885874.0,383026.9537,45.9977,10.8488,2.25
2015-08-31,384.8,46970846.0,369580.6715,44.3829,10.4679,2.25
2015-09-30,392.45,37886963.0,376928.1043,45.2653,10.676,2.25
2015-10-31,408.65,61025316.0,392487.3737,47.1338,11.1167,2.25
2015-11-30,408.15,46212582.0,392007.1493,47.0761,11.1031,2.25
2015-12-31,437.25,40603985.0,419956.2074,50.4325,11.8948,2.25
2016-01-31,420.05,48238183.0,403436.4892,48.4487,11.4269,2.25
2016-02-29,372.35,41411594.0,357623.0848,42.9469,10.1292,2.25
2016-03-31,386.95,42700715.0,371645.6363,45.1517,7.7363,2.25
2016-04-30,414.9,28648536.0,398490.1783,48.4131,8.2951,2.25
2016-05-31,443.35,56956018.0,425814.9447,51.7328,8.8639,2.25
2016-06-30,456.5,36731274.0,438444.8455,53.2672,9.1269,2.25
2016-07-31,497.3,37296412.0,477631.1537,58.028,9.9426,2.25
2016-08-31,539.5,38929885.0,518162.0901,62.9522,10.7863,2.25
2016-09-30,546.75,40007400.0,525125.3434,63.7981,10.9312,2.25
2016-10-31,518.45,56185244.0,497944.6443,60.4959,10.3654,2.25
2016-11-30,455.65,62464156.0,437628.464,53.168,9.1099,2.25
2016-12-31,453.05,44978523.0,435131.2973,52.8646,9.0579,2.25
2017-01-31,489.15,44115192.0,469803.4965,57.077,9.7796,2.25
2017-02-28,509.45,35897088.0,489300.6057,59.4457,10.1855,2.25
2017-03-31,535.55,33730686.0,514368.3176,23.1539,7.6882,2.25
2017-04-30,526.85,24351198.0,506012.4136,22.7778,7.5633,2.25
2017-05-31,514.85,54959635.0,494487.0289,22.259,7.391,2.25
2017-06-30,491.35,39436347.0,471916.4837,21.243,7.0536,2.25
2017-07-31,541.75,49600628.0,520323.0997,23.422,7.7772,2.5
2017-08-31,519.5,44875065.0,498953.1155,22.46,7.4577,2.5
2017-09-30,520.1,46682589.0,499529.3847,22.4859,7.4664,2.5
2017-10-31,541.9,69169732.0,520467.167,23.4284,7.7793,2.5
2017-11-30,568.15,55563565.0,545681.7202,24.5633,8.1561,2.5
2017-12-31,581.8,32441087.0,558791.912,25.1535,8.3521,2.5
2018-01-31,593.7,88926592.0,570221.31,25.668,8.5229,2.5
2018-02-28,565.35,26418777.0,542992.4541,24.4423,8.116,2.5
2018-03-31,575.5,32933129.0,552741.0583,37.3701,7.3097,2.5
2018-04-30,588.05,26194354.0,564800.3083,38.1851,7.4692,2.5
2018-05-31,556.05,43171206.0,534065.4901,36.1071,7.0627,2.5
2018-06-30,543.95,43767276.0,522443.8869,35.3214,6.909,2.5
2018-07-31,527.15,62581483.0,506308.1074,34.2305,6.6956,2.9
2018-08-31,499.95,36711112.0,480183.5118,32.4643,6.3501,2.9
2018-09-30,438.6,68178025.0,421259.1025,28.4805,5.5709,2.9
2018-10-31,451.1,76154498.0,433264.8909,29.2922,5.7297,2.9
2018-11-30,488.6,77672464.0,469283.9319,31.7273,6.206,2.9
2018-12-31,476.45,96978757.0,457614.2639,30.9383,6.0517,2.9
2019-01-31,380.2,399231582.0,365169.3633,24.6883,4.8291,2.9
2019-02-28,466.7,239588568.0,448249.7156,30.3052,5.9278,2.9
2019-03-31,445.5,142861600.0,427887.8258,27.2978,4.7949,2.9
2019-04-30,432.6,135043370.0,415504.4115,26.5074,4.656,2.9
2019-05-31,357.45,445372566.0,343324.2069,21.9026,3.8472,2.9
2019-06-30,338.65,171981203.0,325267.1497,20.7506,3.6448,2.9
2019-07-31,361.6,251767012.0,347310.2062,22.1569,3.8918,3.5
2019-08-31,373.1,185107753.0,358355.7465,22.8615,4.0156,3.5
2019-09-30,265.5,358122396.0,255007.9086,16.2684,2.8575,3.5
2019-10-31,260.6,444770055.0,250301.548,15.9681,2.8048,3.5
2019-11-30,293.05,692721118.0,281469.612,17.9565,3.1541,3.5
2019-12-31,292.2,444010313.0,280653.2013,17.9044,3.1449,3.5
2020-01-31,269.15,356916219.0,258514.0627,16.492,2.8968,3.5
2020-02-29,239.3,331060476.0,229843.6381,14.663,2.5756,3.5
2020-03-31,123.95,355276225.0,119051.897,22.6186,1.2741,3.5
2020-04-30,159.35,405860544.0,153056.3881,29.0785,1.638,3.5
2020-05-31,183.55,504112887.0,176300.5964,33.4945,1.8868,3.5
2020-06-30,171.1,625673462.0,164342.3157,31.2226,1.7588,3.5
2020-07-31,138.75,578325930.0,133269.9959,25.3193,1.4262,3.5
2020-08-31,203.55,1155663191.0,195510.6859,37.1442,2.0923,3.5
2020-09-30,208.9,943574274.0,200649.3848,38.1204,2.1473,0.3
2020-10-31,187.9,567172069.0,180478.7909,34.2883,1.9315,0.3
2020-11-30,192.75,368045876.0,185137.2376,35.1734,1.9813,0.3
2020-12-31,223.5,472655370.0,214672.7502,40.7847,2.2974,0.3
2021-01-31,220.0,321045341.0,211310.9845,40.146,2.2614,0.3
2021-02-28,201.0,507827786.0,193061.3995,36.6788,2.0661,0.3
2021-03-31,203.2,332968563.0,195174.5128,24.3938,1.9335,0.3
2021-04-30,185.6,223281844.0,178271.718,22.2809,1.766,0.3
2021-05-31,209.35,453005840.0,201083.9664,25.1321,1.992,0.3
2021-06-30,214.75,385303372.0,206270.7513,25.7803,2.0434,0.3
2021-07-31,202.75,130966363.0,194744.5612,24.3397,1.9292,0.3
2021-08-31,171.65,218736552.0,164872.5225,20.6062,1.6333,0.3
2021-09-30,303.2,1265781815.0,291228.3648,36.3986,2.885,2.5
2021-10-31,300.95,534621912.0,289067.2044,36.1285,2.8635,2.5
2021-11-30,324.3,368282465.0,311495.2464,38.9316,3.0857,2.5
2021-12-31,320.8,583398079.0,308133.4414,38.5114,3.0524,2.5
2022-01-31,289.55,201120729.0,278117.3253,34.7599,2.7551,2.5
2022-02-28,229.25,251031724.0,220198.2277,27.521,2.1813,2.5
2022-03-31,288.35,428674714.0,276964.7064,26.0714,2.5497,2.5
2022-04-30,248.15,380624733.0,238352.8941,22.4367,2.1942,2.5
2022-05-31,252.85,217323200.0,242867.3353,22.8617,2.2358,2.5
2022-06-30,214.1,191890851.0,205647.2078,19.358,1.8931,2.5
2022-07-31,247.0,130147607.0,237248.2967,22.3327,2.184,2.5
2022-08-31,257.05,234084250.0,246901.5169,23.2414,2.2729,2.5
2022-09-30,258.15,340263136.0,247958.0883,23.3409,2.2826,3.0
2022-10-31,262.45,278415188.0,252088.3218,23.7297,2.3206,3.0
2022-11-30,264.6,133513212.0,254153.4385,23.9241,2.3397,3.0
2022-12-31,240.05,117308700.0,230572.6868,21.7043,2.1226,3.0
2023-01-31,226.8,108182013.0,217845.8045,20.5063,2.0054,3.0
2023-02-28,195.6,228449615.0,187877.5986,17.6854,1.7295,3.0
2023-03-31,212.25,181616231.0,203870.2469,81.0115,1.9014,3.0
2023-04-30,196.75,223937675.0,188982.1959,75.0954,1.7626,3.0
2023-05-31,195.05,209351615.0,187349.3129,74.4466,1.7474,3.0
2023-06-30,177.35,300716189.0,170348.1191,67.6908,1.5888,3.0
2023-07-31,242.35,405933342.0,232781.8814,92.5,2.1711,3.0
2023-08-31,262.2,441108713.0,251848.1919,100.0763,2.3489,3.0
2023-09-30,264.55,205889234.0,254105.4126,100.9733,2.37,3.0
2023-10-31,259.2,131960816.0,248966.6337,98.9313,2.322,0.0
2023-11-30,253.1,234987153.0,243107.4652,96.6031,2.2674,0.0
2023-12-31,274.7,566085729.0,263854.6847,104.8473,2.4609,0.0
2024-01-31,173.1,1144111549.0,166265.9116,66.0687,1.5507,0.0
2024-02-29,160.95,812041992.0,154595.6006,61.4313,1.4419,0.0
2024-03-31,138.55,439074283.0,133079.9656,66.9324,1.224,0.0
2024-04-30,146.95,307591360.0,141148.3288,70.9903,1.2982,0.0
2024-05-31,148.9,354276516.0,143021.3416,71.9324,1.3154,0.0
2024-06-30,151.79,465451929.0,145797.2428,73.3285,1.3409,0.0
2024-07-31,148.67,433899425.0,142800.4222,71.8213,1.3134,0.0
2024-08-31,140.78,382304590.0,135221.9239,68.0097,1.2437,0.0
2024-09-30,137.7,380367970.0,132263.5241,66.5217,1.2165,0.0
2024-10-31,122.15,354785109.0,117327.4472,59.0097,1.0791,0.0
2024-11-30,129.16,228051014.0,124060.6883,62.3961,1.141,1.0
2024-12-31,121.29,242760432.0,116501.4005,58.5942,1.0715,1.0
2025-01-31,105.59,311505910.0,101421.2456,51.0097,0.9328,1.0
2025-02-28,93.09,195741831.0,89414.7528,44.971,0.8224,1.0
2025-03-31,98.34,326037137.0,94457.4798,13.7346,0.819,1.0
2025-04-30,106.35,267391089.0,102151.2403,14.8534,0.8857,1.0
2025-05-31,130.42,266429155.0,125270.9428,18.2151,1.0862,1.0
2025-06-30,146.25,541559529.0,140475.9652,20.426,1.218,1.0
2025-07-31,118.19,389255236.0,113523.7902,16.507,0.9843,1.0
2025-08-31,116.04,189313253.0,111458.6735,16.2067,0.9664,2.43
2025-09-30,112.37,162700529.0,107933.5672,15.6941,0.9358,2.43
2025-10-31,100.58,162435069.0,96609.0433,14.0475,0.8376,2.43
2025-11-30,101.47,130314137.0,97463.9055,14.1718,0.8451,2.43
2025-12-31,89.96,141626702.0,86408.327,12.5642,0.7492,2.43
2026-01-31,84.38,167859756.0,81048.6287,11.7849,0.7027,2.43
2026-02-28,87.45,176038926.0,83997.4233,12.2137,0.7283,2.43
2026-03-31,82.84,19301162.0,79569.4252,11.5698,0.6899,2.43
