IOB IN Equity,price,volume,mc,pe,bm,div
2012-10-31,71.55,32028094.0,57025.2234,4.7259,0.4623,4.5
2012-11-30,78.35,21305239.0,62444.8113,5.175,0.5062,4.5
2012-12-31,85.65,29261755.0,68262.8984,5.7677,0.5508,4.5
2013-01-31,80.8,46304262.0,64397.457,5.4411,0.5508,4.5
2013-02-28,69.55,19926866.0,55431.2269,4.6835,0.5508,4.5
2013-03-31,65.05,21214055.0,51844.7349,9.162,0.4467,4.5
2013-04-30,63.6,37455597.0,58772.4595,8.9577,0.4367,4.5
2013-05-31,59.1,23721609.0,54614.0308,8.3239,0.4058,4.5
2013-06-30,49.75,19729291.0,45973.743,8.9964,0.3317,2.0
2013-07-31,42.0,29739820.0,38812.0042,7.5949,0.3317,2.0
2013-08-31,39.55,30226887.0,36547.9706,7.1519,0.3317,2.0
2013-09-30,44.2,30527941.0,40845.0139,8.8934,0.2979,2.0
2013-10-31,51.0,29892916.0,47128.8622,10.2616,0.3438,2.0
2013-11-30,51.55,33293505.0,47637.1146,10.3722,0.3475,2.0
2013-12-31,51.55,24449592.0,47637.1146,12.39,0.3461,2.0
2014-01-31,46.35,26609241.0,53480.8728,11.1402,0.3461,2.0
2014-02-28,45.8,15833403.0,52846.2562,11.008,0.3461,2.7
2014-03-31,50.85,35656984.0,62817.4656,8.8734,0.3885,2.7
2014-04-30,61.85,72365293.0,76406.2978,10.7929,0.4725,2.7
2014-05-31,77.3,108122862.0,95492.4304,13.489,0.5905,2.7
2014-06-30,81.6,76065812.0,100804.4285,12.4189,0.5837,1.2
2014-07-31,70.15,65004019.0,86659.6895,10.6763,0.5837,1.2
2014-08-31,60.8,43521872.0,75109.182,9.2533,0.5837,1.2
2014-09-30,56.85,53891626.0,70229.5559,18.0442,0.435,1.2
2014-10-31,58.85,35287323.0,72700.2527,18.679,0.4503,1.2
2014-11-30,57.35,41120914.0,70847.2301,18.2029,0.4389,1.2
2014-12-31,62.2,64009285.0,76838.6698,19.4883,0.4698,1.2
2015-01-31,56.9,42242592.0,70291.3233,19.4883,0.4698,1.2
2015-02-28,49.1,75480244.0,60655.5879,19.4883,0.4698,0.5
2015-03-31,42.35,52236756.0,52317.0043,19.4883,0.3345,0.5
2015-04-30,44.35,26284309.0,54787.701,19.4883,0.3503,0.5
2015-05-31,43.2,30606536.0,53367.0504,19.4883,0.3412,0.5
2015-06-30,37.05,31880857.0,45769.6578,19.4883,0.2918,0.5
2015-07-31,38.0,49300994.0,46943.2388,19.4883,0.2918,0.0
2015-08-31,34.8,71393932.0,42990.1239,19.4883,0.2918,0.0
2015-09-30,36.25,24172330.0,44781.3791,19.4883,0.2975,0.0
2015-10-31,35.0,28673060.0,43237.1936,19.4883,0.2872,0.0
2015-11-30,32.25,45732025.0,55501.1477,19.4883,0.2647,0.0
2015-12-31,31.05,20194470.0,53435.9887,19.4883,0.254,0.0
2016-01-31,25.3,31668902.0,43540.4353,19.4883,0.254,0.0
2016-02-29,24.25,36458015.0,41733.4211,19.4883,0.254,0.0
2016-03-31,30.25,26986648.0,52059.2161,19.4883,0.2698,0.0
2016-04-30,31.3,32322444.0,56567.4141,19.4883,0.2792,0.0
2016-05-31,27.0,30671147.0,48796.1719,19.4883,0.2408,0.0
2016-06-30,27.3,72096690.0,51843.0832,19.4883,0.2413,0.0
2016-07-31,27.4,69198952.0,52032.9846,19.4883,0.2413,0.0
2016-08-31,26.6,30007006.0,50513.7734,19.4883,0.2413,0.0
2016-09-30,25.45,45179838.0,48329.9073,19.4883,0.4106,0.0
2016-10-31,26.55,18004995.0,65173.0551,19.4883,0.4284,0.0
2016-11-30,25.25,27561234.0,61981.9073,19.4883,0.4074,0.0
2016-12-31,24.25,13153495.0,59527.1783,19.4883,0.3881,0.0
2017-01-31,25.85,11457980.0,63454.7448,19.4883,0.3881,0.0
2017-02-28,26.8,35470735.0,65786.7373,19.4883,0.3881,0.0
2017-03-31,26.65,24725227.0,65418.528,19.4883,0.476,0.0
2017-04-30,29.0,43917308.0,71187.1411,19.4883,0.5179,0.0
2017-05-31,26.5,129154668.0,65050.3186,19.4883,0.4733,0.0
2017-06-30,24.7,25664156.0,60631.8064,19.4883,0.4429,0.0
2017-07-31,24.95,26627987.0,61245.4886,19.4883,0.4429,0.0
2017-08-31,22.5,16740142.0,55231.4026,19.4883,0.4429,0.0
2017-09-30,22.2,25011846.0,63326.8116,19.4883,0.4838,0.0
2017-10-31,25.25,54759819.0,72027.1168,19.4883,0.5503,0.0
2017-11-30,24.0,22392577.0,68461.4156,19.4883,0.523,0.0
2017-12-31,22.1,23573698.0,63041.5535,19.4883,0.4914,0.0
2018-01-31,22.65,33662707.0,64610.461,19.4883,0.4914,0.0
2018-02-28,19.6,21545120.0,55910.1553,19.4883,0.4914,0.0
2018-03-31,17.45,23404960.0,49777.1536,19.4883,0.6429,0.0
2018-04-30,18.35,14124988.0,89745.629,19.4883,0.6761,0.0
2018-05-31,16.2,11070446.0,79230.4736,19.4883,0.5969,0.0
2018-06-30,14.05,18699206.0,68715.3181,19.4883,0.5121,0.0
2018-07-31,14.9,23312394.0,72872.4726,19.4883,0.5121,0.0
2018-08-31,15.6,18615804.0,76296.0116,19.4883,0.5121,0.0
2018-09-30,13.1,15296854.0,64069.0867,19.4883,0.5308,0.0
2018-10-31,15.0,21447067.0,73361.5496,19.4883,0.6078,0.0
2018-11-30,14.3,9700457.0,69938.0106,19.4883,0.5794,0.0
2018-12-31,14.95,11302440.0,93643.5229,19.4883,0.6058,0.0
2019-01-31,13.7,11637641.0,85813.7969,19.4883,0.6058,0.0
2019-02-28,13.3,11604006.0,85734.2046,19.4883,0.6058,0.0
2019-03-31,14.45,32243771.0,93147.3125,19.4883,0.8074,0.0
2019-04-30,14.1,18283970.0,128897.2399,19.4883,0.7879,0.0
2019-05-31,12.05,28031549.0,110156.861,19.4883,0.6733,0.0
2019-06-30,12.15,12402630.0,111071.0258,19.4883,0.6789,0.0
2019-07-31,11.2,20028810.0,102386.46,19.4883,0.6258,0.0
2019-08-31,10.45,13936084.0,95530.2239,19.4883,0.5839,0.0
2019-09-30,9.4,10585893.0,85931.4932,19.4883,0.6222,0.0
2019-10-31,10.7,12445604.0,97815.6359,19.4883,0.7082,0.0
2019-11-30,10.65,36486635.0,97358.5535,19.4883,0.7049,0.0
2019-12-31,11.3,27095969.0,142214.9999,19.4883,0.7479,0.0
2020-01-31,10.2,27102201.0,128371.0618,19.4883,0.6751,0.0
2020-02-29,8.7,33297703.0,109492.9645,19.4883,0.5758,0.0
2020-03-31,7.05,26474806.0,115880.7677,19.4883,0.7173,0.0
2020-04-30,7.7,23440498.0,126564.8101,19.4883,0.7834,0.0
2020-05-31,7.3,13783634.0,119990.0148,19.4883,0.7427,0.0
2020-06-30,12.2,274966967.0,200531.2576,19.4883,1.2413,0.0
2020-07-31,10.35,151547005.0,170122.8292,19.4883,1.0531,0.0
2020-08-31,10.6,106466055.0,174232.0762,19.4883,1.0785,0.0
2020-09-30,9.2,44744473.0,151220.2926,19.4883,0.9361,0.0
2020-10-31,9.15,21601773.0,150398.4499,19.4883,0.931,0.0
2020-11-30,10.95,104315719.0,179985.0302,19.4883,1.1141,0.0
2020-12-31,10.7,94485558.0,175875.783,19.4883,1.0557,0.0
2021-01-31,10.7,74762679.0,175875.783,19.4883,1.0557,0.0
2021-02-28,17.9,849286111.0,294222.1042,19.4883,1.7662,0.0
2021-03-31,16.0,287926790.0,262991.825,19.4883,1.4875,0.0
2021-04-30,15.7,417105142.0,258060.7283,19.4883,1.4596,0.0
2021-05-31,16.85,269582311.0,276963.2657,19.4883,1.5665,0.0
2021-06-30,28.05,1089696798.0,461057.5432,19.4883,2.6077,0.0
2021-07-31,24.45,356702507.0,462163.9798,19.4883,2.273,0.0
2021-08-31,19.6,211406278.0,370487.2803,19.4883,1.8221,0.0
2021-09-30,22.75,276434352.0,430029.8789,19.4883,2.115,0.0
2021-10-31,21.25,229213595.0,401676.2605,19.4883,1.9755,0.0
2021-11-30,20.85,155904281.0,394115.2955,19.4883,1.9383,0.0
2021-12-31,20.35,148155950.0,384664.0894,19.4883,1.7468,0.0
2022-01-31,21.4,120210916.0,404511.6223,19.4883,1.837,0.0
2022-02-28,17.65,121055114.0,333627.5763,19.4883,1.5151,0.0
2022-03-31,18.15,70671490.0,343078.7824,19.4883,1.4238,0.0
2022-04-30,18.25,57950842.0,344969.0237,19.4883,1.4316,0.0
2022-05-31,18.3,65560011.0,345914.1443,19.4883,1.4356,0.0
2022-06-30,16.45,39492286.0,310944.6816,19.4883,1.3287,0.0
2022-07-31,17.3,48885713.0,327011.732,19.4883,1.3973,0.0
2022-08-31,17.95,68104611.0,339298.3,19.4883,1.4498,0.0
2022-09-30,17.5,104707997.0,330792.2145,17.4195,1.3838,0.0
