ERIS IN Equity,price,volume,mc,pe,bm,div
2021-10-31,821.0,2759498.0,111475.9161,31.3838,7.0715,6.01
2021-11-30,719.6,1728961.0,97799.8206,27.5076,6.1981,6.01
2021-12-31,760.05,3633278.0,103297.3231,29.0539,6.5465,6.01
2022-01-31,698.5,1066921.0,94947.2426,26.7011,6.0163,6.01
2022-02-28,675.55,1180169.0,91827.6446,25.8238,5.8187,6.01
2022-03-31,688.7,1335735.0,93615.1267,23.0412,4.9057,6.01
2022-04-30,680.95,4968823.0,92561.6676,22.7819,4.8504,6.01
2022-05-31,667.8,2262046.0,90792.7277,22.3419,4.7568,6.01
2022-06-30,667.2,669441.0,90711.1529,22.3218,4.7525,6.01
2022-07-31,678.45,512479.0,92250.6647,22.6982,4.8326,6.01
2022-08-31,691.0,606838.0,93957.1219,23.1181,4.922,7.35
2022-09-30,710.95,760741.0,96682.6003,23.7855,5.0641,7.35
2022-10-31,738.55,2321415.0,100435.944,24.7089,5.2607,7.35
2022-11-30,673.5,947827.0,91589.7479,22.5326,4.7974,7.35
2022-12-31,647.25,1826966.0,88019.9916,21.6544,4.6104,7.35
2023-01-31,610.7,1097361.0,83049.5309,20.4316,4.3501,7.35
2023-02-28,634.55,484916.0,86292.9095,21.2295,4.5199,7.35
2023-03-31,572.1,3679367.0,77801.1594,20.3594,3.5429,7.35
2023-04-30,631.25,2022591.0,85845.7656,22.4644,3.9092,7.35
2023-05-31,641.7,1198947.0,87266.8955,22.8363,3.9739,7.35
2023-06-30,698.9,1103854.0,95045.7118,24.8719,4.3281,7.35
2023-07-31,791.7,7838860.0,107675.9462,28.1744,4.9028,7.35
2023-08-31,810.0,3829240.0,110164.856,28.8256,5.0161,7.35
2023-09-30,876.3,4407252.0,119197.1722,31.1851,5.4267,7.35
2023-10-31,859.5,2816845.0,116911.9817,30.5872,5.3227,0.0
2023-11-30,934.65,3545702.0,127134.1287,33.2616,5.7881,0.0
2023-12-31,910.0,2577600.0,123781.1557,32.3843,5.6354,0.0
2024-01-31,916.25,7415513.0,124635.9116,32.6068,5.6741,0.0
2024-02-29,883.05,5611681.0,120119.7727,31.4253,5.4685,0.0
2024-03-31,843.35,3559362.0,114719.4499,29.2627,4.4402,0.0
2024-04-30,895.95,2116768.0,121891.7272,31.0878,4.7172,0.0
2024-05-31,916.1,4295506.0,124633.0836,31.787,4.8233,0.0
2024-06-30,1023.45,4187055.0,139265.9669,35.5118,5.3885,0.0
2024-07-31,1132.75,5736060.0,154138.9653,39.3043,5.9639,0.0
2024-08-31,1388.2,6606516.0,188908.2855,48.1679,7.3089,0.0
2024-09-30,1332.7,7647547.0,181388.189,46.2422,7.0167,0.0
2024-10-31,1323.15,5536387.0,180088.3787,45.9108,6.9664,0.0
2024-11-30,1440.15,2551397.0,196012.7563,49.9705,7.5824,0.0
2024-12-31,1373.7,3084557.0,187000.7947,47.6648,7.2325,0.0
2025-01-31,1228.05,2195518.0,167173.5648,42.611,6.4657,0.0
2025-02-28,1182.8,6439158.0,161013.7147,41.0409,6.2275,7.35
2025-03-31,1417.35,3839639.0,192990.0172,54.8298,6.7624,7.35
2025-04-30,1432.1,3236877.0,194998.4151,55.4004,6.8327,7.35
2025-05-31,1581.8,5629786.0,215417.4836,61.1915,7.547,7.35
2025-06-30,1683.8,8569347.0,229329.0558,65.1373,8.0336,7.35
2025-07-31,1798.9,2767286.0,245022.3999,69.5899,8.5828,7.35
2025-08-31,1800.2,2493858.0,245199.4688,69.6402,8.589,7.35
2025-09-30,1585.9,3161575.0,216021.0753,61.3501,7.5665,7.35
2025-10-31,1591.7,2277514.0,216811.1139,61.5745,7.5942,7.35
2025-11-30,1595.4,1767255.0,217320.4279,61.7176,7.6118,7.35
2025-12-31,1505.6,5802846.0,205088.1511,58.2437,7.1834,7.35
2026-01-31,1375.5,1314335.0,187366.3336,53.2108,6.5627,7.35
2026-02-28,1358.3,1497477.0,185023.403,52.5455,6.4806,7.35
2026-03-31,1371.7,232128.0,186848.7027,53.0638,6.5445,7.35
