BJHI IN Equity,price,volume,mc,pe,bm,div
2011-10-31,739.5,1252105.0,82301.5453,3.4078,1.1046,35.0
2011-11-30,700.45,964102.0,77955.534,3.2279,1.0463,35.0
2011-12-31,681.65,806801.0,75863.2162,3.1412,1.0182,35.0
2012-01-31,670.7,1864020.0,74644.5523,3.0908,1.0018,35.0
2012-02-29,807.5,2329912.0,89869.5035,3.7212,1.2062,35.0
2012-03-31,815.15,1357489.0,90720.8988,5.4027,1.0452,35.0
2012-04-30,843.25,1074077.0,93848.2462,5.589,1.0812,35.0
2012-05-31,787.45,860948.0,87638.0688,5.2191,1.0097,35.0
2012-06-30,780.85,418431.0,86903.5317,5.1754,1.0012,35.0
2012-07-31,766.1,2201706.0,85261.9525,5.0776,0.9823,25.0
2012-08-31,765.75,513888.0,85222.9998,5.0753,0.9818,25.0
2012-09-30,794.55,861217.0,88428.2527,5.2662,1.0188,25.0
2012-10-31,868.85,1571040.0,96697.3599,5.7586,1.114,25.0
2012-11-30,859.3,1267929.0,95634.507,5.6953,1.1018,25.0
2012-12-31,979.0,1642289.0,108956.3392,6.4887,1.2553,25.0
2013-01-31,969.35,1287011.0,107882.3569,6.4247,1.2429,25.0
2013-02-28,955.0,1230710.0,106285.2952,6.3296,1.2245,25.0
2013-03-31,912.2,1463433.0,101521.9333,5.4688,0.9814,25.0
2013-04-30,889.5,495817.0,98995.5707,5.3327,0.9569,25.0
2013-05-31,925.6,1124013.0,103013.2662,5.5492,0.9958,25.0
2013-06-30,804.45,1050615.0,89530.0583,4.8228,0.8654,25.0
2013-07-31,818.1,413443.0,91049.2146,4.9047,0.8801,25.0
2013-08-31,804.8,661816.0,89569.0111,4.8249,0.8658,25.0
2013-09-30,776.0,1844043.0,86363.7582,4.6523,0.8348,25.0
2013-10-31,825.4,526680.0,91861.6572,4.9484,0.888,25.0
2013-11-30,860.05,416522.0,95717.9771,5.1562,0.9253,25.0
2013-12-31,888.1,207319.0,98839.7598,5.3243,0.9554,25.0
2014-01-31,926.45,1424756.0,103107.8657,5.5543,0.9967,25.0
2014-02-28,944.5,761931.0,105116.7134,5.6625,1.0161,25.0
2014-03-31,1024.8,663460.0,114053.5886,5.738,0.9505,25.0
2014-04-30,1049.6,765969.0,116813.6605,5.8768,0.9735,25.0
2014-05-31,1154.0,683437.0,128432.7022,6.4614,1.0704,25.0
2014-06-30,1271.25,246859.0,141481.8654,7.1179,1.1791,25.0
2014-07-31,1295.3,493016.0,144158.4811,7.2525,1.2014,30.0
2014-08-31,1335.2,608393.0,148599.078,7.4759,1.2384,30.0
2014-09-30,1392.55,547955.0,154981.7743,7.797,1.2916,30.0
2014-10-31,1386.55,362213.0,154314.0133,7.7634,1.2861,30.0
2014-11-30,1429.8,1252066.0,159127.4573,8.0056,1.3262,30.0
2014-12-31,1403.85,1244539.0,156239.3839,7.8603,1.3021,30.0
2015-01-31,1405.55,798636.0,156428.5898,7.8698,1.3037,30.0
2015-02-28,1399.6,913373.0,155767.0806,7.8365,1.2982,30.0
2015-03-31,1296.25,721886.0,144264.203,7.1093,1.0771,30.0
2015-04-30,1293.1,285176.0,143913.6285,7.092,1.0745,30.0
2015-05-31,1331.55,662903.0,148192.8706,7.3029,1.1065,30.0
2015-06-30,1459.55,615823.0,162438.439,8.0049,1.2128,30.0
2015-07-31,1475.45,449715.0,164207.9918,8.0921,1.2261,32.5
2015-08-31,1584.45,1092625.0,176338.9836,8.6899,1.3166,32.5
2015-09-30,1570.85,809844.0,174825.3989,8.6153,1.3053,32.5
2015-10-31,1658.85,1028435.0,184619.2271,9.0979,1.3785,32.5
2015-11-30,1707.25,407107.0,190005.8327,9.3634,1.4187,32.5
2015-12-31,1659.2,635983.0,184658.1729,9.0999,1.3787,32.5
2016-01-31,1480.45,258487.0,164764.4593,8.1195,1.2302,32.5
2016-02-29,1349.15,350918.0,150151.6293,7.3994,1.1211,32.5
2016-03-31,1468.5,638508.0,163434.5089,7.2149,1.0687,50.0
2016-04-30,1438.95,240305.0,160145.7789,7.0697,1.0472,50.0
2016-05-31,1527.7,1303896.0,170023.0773,7.5057,1.1117,50.0
2016-06-30,1665.15,880362.0,185320.3762,8.181,1.2118,50.0
2016-07-31,1807.7,864776.0,201185.2581,8.8814,1.3155,32.5
2016-08-31,1808.25,621244.0,201246.4765,8.8841,1.3159,32.5
2016-09-30,1909.6,990978.0,212526.073,9.3821,1.3897,32.5
2016-10-31,2211.65,1056219.0,246142.2616,10.8661,1.6095,32.5
2016-11-30,2135.45,1716818.0,237661.7036,10.4917,1.554,32.5
2016-12-31,1819.35,715687.0,202481.8343,8.9386,1.324,32.5
2017-01-31,1999.45,485181.0,222525.7872,9.8235,1.4551,32.5
2017-02-28,2064.7,441351.0,229787.6883,10.1441,1.5025,32.5
2017-03-31,2163.95,697597.0,240833.5684,9.7387,1.3516,32.5
2017-04-30,2114.45,421091.0,235324.5401,9.516,1.3207,32.5
2017-05-31,2060.35,658236.0,229303.5685,9.2725,1.2869,7.5
2017-06-30,2112.85,282985.0,235146.4774,9.5088,1.3197,7.5
2017-07-31,2420.9,367174.0,269430.4409,10.8951,1.5121,32.5
2017-08-31,2904.8,1344810.0,323285.367,13.0729,1.8144,32.5
2017-09-30,2796.45,1100946.0,311226.7159,12.5853,1.7467,32.5
2017-10-31,2968.95,479379.0,330424.8452,13.3616,1.8545,32.5
2017-11-30,2853.65,375756.0,317592.7134,12.8427,1.7824,32.5
2017-12-31,2867.35,5075235.0,319117.4344,12.9044,1.791,32.5
2018-01-31,2808.45,520929.0,312562.2469,12.6393,1.7542,32.5
2018-02-28,2723.55,354642.0,303113.4392,12.2572,1.7012,32.5
2018-03-31,2664.5,484792.0,296541.5574,11.1702,1.1767,32.5
2018-04-30,2705.65,329692.0,301121.2853,11.3427,1.1949,32.5
