BASF IN Equity,price,volume,mc,pe,bm,div
2025-05-31,5212.6,1860505.0,225630.7271,47.0979,6.2083,15.0
2025-06-30,5162.5,560844.0,223462.1165,46.6452,6.1486,15.0
2025-07-31,4994.0,625701.0,216168.4862,45.1228,5.9479,20.0
2025-08-31,4609.4,450124.0,199520.829,41.6477,5.4899,20.0
2025-09-30,4397.0,222305.0,190326.9591,39.7286,5.2369,20.0
2025-10-31,4412.0,253679.0,190976.2437,39.8642,5.2548,20.0
2025-11-30,4156.8,424012.0,179929.7484,37.5583,4.9508,20.0
2025-12-31,3958.2,345648.0,171333.2202,35.7639,4.7143,20.0
2026-01-31,3641.3,812007.0,157616.0009,32.9006,4.3369,20.0
2026-02-28,3452.1,578626.0,149426.3578,31.1911,4.1115,20.0
2026-03-31,3451.9,104844.0,149417.6965,31.1893,4.1113,20.0
