NACL IN Equity,price,volume,mc,pe,bm,div
2023-03-31,78.4,315721621.0,143991.9321,10.0384,1.097,5.0
2023-04-30,82.9,98807374.0,152256.7751,10.6146,1.1599,5.0
2023-05-31,83.8,200938337.0,153909.7438,10.7298,1.1725,5.0
2023-06-30,82.05,141878964.0,150695.6381,10.5058,1.148,5.0
2023-07-31,95.25,234885913.0,174939.1777,12.1959,1.3327,5.0
2023-08-31,94.15,177267636.0,172918.8827,12.0551,1.3173,5.0
2023-09-30,97.2,226153850.0,178520.6097,12.4456,1.36,4.5
2023-10-31,92.25,190840190.0,169429.2824,11.8118,1.2908,4.5
2023-11-30,92.0,159189610.0,168970.1244,11.7798,1.2873,5.5
2023-12-31,131.95,873295453.0,242343.5643,16.895,1.8462,5.5
2024-01-31,148.85,866261169.0,273382.6415,19.0589,2.0827,4.5
2024-02-29,155.95,823094591.0,286422.7272,19.968,2.182,8.0
2024-03-31,152.55,446151438.0,280178.1791,14.0859,1.9473,8.0
2024-04-30,185.25,586431565.0,340236.0385,17.1053,2.3647,8.0
2024-05-31,191.65,469211754.0,351990.482,17.6962,2.4464,8.0
2024-06-30,187.11,406351682.0,343652.1737,17.277,2.3884,8.0
2024-07-31,194.22,304635472.0,356710.6257,17.9335,2.4792,8.0
2024-08-31,182.6,384210897.0,335368.9643,16.8606,2.3309,8.0
2024-09-30,210.29,379054238.0,386225.2985,19.4174,2.6843,5.0
2024-10-31,227.32,554066004.0,417503.1378,20.9898,2.9017,5.0
2024-11-30,242.14,573409742.0,444722.0209,22.3583,3.0909,8.0
2024-12-31,211.7,331511741.0,388814.9493,19.5476,2.7023,8.0
2025-01-31,202.24,206714675.0,371440.4126,18.6741,2.5816,8.0
2025-02-28,177.6,246108709.0,326185.8054,16.3989,2.2671,12.0
2025-03-31,175.53,219620201.0,322383.9776,6.1203,1.8106,12.0
2025-04-30,156.47,322416909.0,287377.7757,5.4557,1.614,12.0
2025-05-31,180.35,293793792.0,331236.5428,6.2884,1.8603,12.0
2025-06-30,192.7,216120216.0,353918.9454,6.719,1.9877,12.0
2025-07-31,185.06,171689303.0,339887.0785,6.4526,1.9089,12.0
2025-08-31,186.18,104995637.0,341944.1061,6.4916,1.9205,12.0
2025-09-30,213.87,213408439.0,392800.4403,7.4571,2.2061,9.75
2025-10-31,234.14,262925437.0,430028.9666,8.1639,2.4152,9.75
2025-11-30,259.98,282816750.0,477487.532,9.0649,2.6817,10.5
2025-12-31,314.3,268743002.0,577253.3707,10.9589,3.242,10.5
2026-01-31,385.45,477459554.0,707929.7223,13.4397,3.9759,10.5
2026-02-28,354.6,270726608.0,651269.6317,12.364,3.6577,11.0
2026-03-31,397.5,86027470.0,730061.1353,13.8598,4.1002,11.0
