HBLENGIN IN Equity,price,volume,mc,pe,bm,div
2007-03-31,21.16,764430.0,6041.8679,15.7403,2.141,0.15
2007-04-30,25.01,12485200.0,7142.8559,18.6086,2.5312,0.15
2007-05-31,25.68,1371110.0,7332.7799,19.1034,2.5985,0.15
2007-06-30,29.45,4757450.0,8410.9198,21.9122,2.9805,0.15
2007-07-31,26.85,1532730.0,7668.3599,19.9777,2.7174,0.15
2007-08-31,26.2,1316800.0,7482.7199,19.494,2.6516,0.15
2007-09-30,33.99,8185280.0,9708.9718,25.2939,3.4405,0.15
2007-10-31,45.08,3164950.0,12874.8478,33.5417,4.5624,0.15
2007-11-30,39.73,1227860.0,11345.4598,29.5573,4.0204,0.15
2007-12-31,41.83,2273030.0,11946.6478,31.1235,4.2335,0.15
2008-01-31,33.46,1766590.0,9556.1758,24.8958,3.3864,0.15
2008-02-29,36.69,2039820.0,10478.6638,27.2991,3.7133,0.15
2008-03-31,28.4,1587960.0,8109.6118,10.3485,2.2833,0.15
2008-04-30,31.4,573000.0,8967.8398,11.4437,2.5249,0.15
2008-05-31,29.65,530000.0,8466.6118,10.8041,2.3838,0.15
2008-06-30,25.59,374720.0,7308.5039,9.3262,2.0577,0.15
2008-07-31,27.18,478890.0,7762.6079,9.9057,2.1856,0.15
2008-08-31,29.85,1534980.0,7246.1271,10.877,2.3999,0.15
2008-09-30,25.6,1155520.0,6215.4751,9.3299,2.0585,0.15
2008-10-31,18.41,12045770.0,4469.7638,6.7095,1.4804,0.15
2008-11-30,12.18,2544830.0,2958.3961,4.4408,0.9798,0.15
2008-12-31,14.5,1223990.0,3520.4549,5.2845,1.166,0.15
2009-01-31,11.68,260450.0,2835.7871,4.2568,0.9392,0.15
2009-02-28,11.16,1422590.0,2709.5363,4.0672,0.8974,0.15
2009-03-31,10.59,9805900.0,2571.146,2.8308,0.6691,0.15
2009-04-30,14.13,4106240.0,3430.6226,3.7771,0.8928,0.15
2009-05-31,22.16,27869240.0,5380.2263,5.9235,1.4002,0.15
2009-06-30,26.13,2593840.0,6342.8886,6.9834,1.6507,0.15
2009-07-31,28.48,1390690.0,6913.4451,7.6116,1.7992,0.15
2009-08-31,31.0,953550.0,7526.4898,8.2866,1.9588,0.15
2009-09-30,32.11,2134760.0,7795.9867,8.5833,2.0289,0.3
2009-10-31,32.8,1819690.0,7962.2978,8.7664,2.0722,0.3
2009-11-30,38.4,6672247.0,9323.1357,10.2646,2.4263,0.3
2009-12-31,38.3,4440110.0,9689.7849,10.2379,2.42,0.3
2010-01-31,37.3,28330000.0,9436.7879,9.9706,2.3568,0.3
2010-02-28,35.2,12471368.0,8905.4942,9.4092,2.2242,0.3
2010-03-31,33.9,12700886.0,8576.5981,8.4098,1.6861,0.3
2010-04-30,38.55,19345036.0,9753.0341,9.5634,1.9174,0.3
2010-05-31,31.6,9559168.0,7994.705,7.8392,1.5717,0.3
2010-06-30,31.9,4536387.0,8070.6041,7.9137,1.5867,0.3
2010-07-31,32.1,4688530.0,8121.2035,7.9633,1.5966,0.3
2010-08-31,25.85,27845143.0,6539.9723,6.4128,1.2858,0.3
2010-09-30,26.4,10149714.0,6679.1206,6.5492,1.3131,0.3
2010-10-31,27.05,4988815.0,6843.5687,6.7105,1.3454,0.3
2010-11-30,24.95,14198900.0,6312.275,6.1895,1.241,0.3
2010-12-31,26.6,7453136.0,6729.72,6.5989,1.3231,0.3
2011-01-31,22.1,3636253.0,5591.2336,5.4825,1.0992,0.3
2011-02-28,20.15,4863759.0,5097.8894,4.9988,1.0022,0.3
2011-03-31,19.45,5609952.0,4920.7915,29.1897,0.8672,0.3
2011-04-30,19.65,1986330.0,4971.3909,29.4898,0.8761,0.3
2011-05-31,19.85,1368196.0,5021.9903,29.79,0.885,0.3
2011-06-30,18.6,1758223.0,4705.7441,27.914,0.8293,0.3
2011-07-31,17.1,1091337.0,4326.2486,25.6629,0.7624,0.3
2011-08-31,15.1,2005170.0,3820.2546,22.6614,0.6732,0.1
2011-09-30,16.65,1131384.0,4212.4,24.9875,0.7423,0.1
2011-10-31,18.5,840455.0,4680.4444,27.7639,0.8248,0.1
2011-11-30,16.8,812425.0,4250.3495,25.2127,0.749,0.1
2011-12-31,15.05,656389.0,3807.6048,22.5863,0.671,0.1
2012-01-31,16.55,820821.0,4187.1003,24.8375,0.7379,0.1
2012-02-29,18.0,3264186.0,4553.9459,27.0136,0.8025,0.1
2012-03-31,15.4,923870.0,3896.2,21.0959,0.7399,0.1
2012-04-30,15.4,860613.0,3896.2,21.0959,0.7399,0.1
2012-05-31,14.5,670689.0,3668.5,19.863,0.6967,0.1
2012-06-30,18.0,1596870.0,4554.0,24.6575,0.8648,0.1
2012-07-31,16.85,721497.0,4263.05,23.0822,0.8096,0.1
