HCP IN Equity,price,volume,mc,pe,bm,div
2018-08-31,63.0,42556993.0,58288.734,73.0012,3.8165,0.2
2018-09-30,51.0,21439150.0,47186.118,59.0962,3.0895,0.25
2018-10-31,49.3,25275016.0,45613.2474,57.1263,2.9865,0.25
2018-11-30,48.1,16511791.0,44502.9858,55.7358,2.9139,0.25
2018-12-31,52.45,18742604.0,48527.6841,60.7764,3.1774,0.25
2019-01-31,46.35,12210827.0,42883.8543,53.708,2.8078,0.25
2019-02-28,45.7,11859902.0,42282.4626,52.9548,2.7685,0.25
2019-03-31,48.95,20139281.0,45289.4211,31.1189,2.767,0.25
2019-04-30,46.05,15423757.0,42606.2889,29.2753,2.603,0.25
2019-05-31,44.15,21381817.0,40848.3747,28.0674,2.4956,0.25
2019-06-30,39.95,12838870.0,36962.4591,25.3973,2.2582,0.25
2019-07-31,32.5,10046888.0,30069.585,20.6612,1.8371,0.52
2019-08-31,31.6,13095691.0,29236.8888,20.089,1.7862,0.52
2019-09-30,35.2,27169803.0,32567.6736,22.3776,1.9897,0.52
2019-10-31,41.4,43666305.0,38304.0252,26.3191,2.3402,0.52
2019-11-30,40.45,26488404.0,37425.0681,25.7152,2.2865,0.52
2019-12-31,39.25,19752946.0,36314.8065,24.9523,2.2187,0.52
2020-01-31,42.45,63193579.0,39275.5041,26.9866,2.3995,0.52
2020-02-29,31.35,16682616.0,29005.5843,19.9301,1.7721,0.52
2020-03-31,21.3,20563122.0,19707.1434,12.8099,2.0529,0.52
2020-04-30,26.05,13715170.0,24101.9289,12.8099,2.5107,0.52
2020-05-31,25.95,13130641.0,24009.4071,12.8099,2.5011,0.52
2020-06-30,31.7,32422388.0,29329.4106,12.8099,3.0553,0.52
2020-07-31,35.45,71254658.0,32798.9781,12.8099,3.4167,0.52
2020-08-31,36.35,36913600.0,33631.6743,12.8099,3.5035,0.0
2020-09-30,33.2,16106582.0,30717.2376,12.8099,3.1999,0.0
2020-10-31,32.95,17281250.0,30485.9321,12.8099,3.1758,0.0
2020-11-30,41.45,32884942.0,38350.2848,12.8099,3.995,0.0
2020-12-31,61.15,156634919.0,56577.0788,12.8099,5.8937,0.0
2021-01-31,60.15,87745546.0,55651.8608,12.8099,5.7974,0.0
2021-02-28,149.85,224970094.0,138643.9127,12.8099,14.4428,0.0
2021-03-31,119.6,121906694.0,110656.0691,100.5042,10.1589,0.0
2021-04-30,154.8,149978219.0,149695.3188,130.084,13.1489,0.0
2021-05-31,170.4,196224741.0,164780.8935,143.1933,14.4739,0.0
2021-06-30,144.1,148818735.0,139348.1617,121.0924,12.24,0.0
2021-07-31,153.7,99699716.0,148631.5919,129.1597,13.0554,0.0
2021-08-31,118.95,88857020.0,115027.5072,99.958,10.1037,0.0
2021-09-30,109.95,94118713.0,106324.291,92.395,9.3393,0.35
2021-10-31,126.95,253120438.0,122763.6993,106.6807,10.7833,0.35
2021-11-30,111.35,60092008.0,107678.1246,93.5714,9.4582,0.35
2021-12-31,124.7,101860218.0,120587.8953,104.7899,10.5921,0.35
2022-01-31,123.55,142391833.0,119475.8177,103.8235,10.4945,0.35
2022-02-28,117.65,187945441.0,113770.376,98.8655,9.9933,0.35
2022-03-31,113.75,153661947.0,109998.9823,29.3928,5.7554,0.35
2022-04-30,113.3,106473226.0,109563.8215,29.2765,5.7326,0.35
2022-05-31,105.1,134037673.0,101634.2245,27.1576,5.3177,0.35
2022-06-30,87.1,101961757.0,84227.7921,22.5065,4.407,0.35
2022-07-31,103.05,93152916.0,99651.8253,26.6279,5.214,0.35
2022-08-31,118.75,93520750.0,114834.1024,30.6848,6.0084,0.35
2022-09-30,106.95,77874147.0,103423.2189,27.6357,5.4113,1.16
2022-10-31,103.0,39068619.0,99603.4741,26.615,5.2115,1.16
2022-11-30,117.3,82266670.0,113431.9175,30.3101,5.935,1.16
2022-12-31,109.6,74780162.0,105985.8326,28.3204,5.5454,1.16
2023-01-31,123.3,142503846.0,119234.0617,31.8605,6.2386,1.16
2023-02-28,97.25,70147097.0,94043.0859,25.1292,4.9206,1.16
2023-03-31,98.35,63428434.0,95106.8124,32.1405,4.5677,1.16
2023-04-30,101.4,41220712.0,98056.2356,33.1373,4.7093,1.16
2023-05-31,113.25,101090377.0,109515.4703,37.0098,5.2597,1.16
2023-06-30,116.05,96769939.0,112223.1375,37.9248,5.3897,1.16
2023-07-31,141.1,182720190.0,136447.0892,46.1111,6.5531,1.16
2023-08-31,158.45,351466598.0,153224.956,51.781,7.3589,1.16
2023-09-30,162.4,188211579.0,157044.7008,53.0719,7.5423,0.92
2023-10-31,143.2,117254772.0,138477.8397,46.7974,6.6506,0.92
2023-11-30,173.05,174176919.0,167343.5067,56.5523,8.037,0.92
2023-12-31,273.65,560139883.0,264626.1231,89.4281,12.7091,0.92
2024-01-31,289.05,295976806.0,279518.293,94.4608,13.4243,0.92
2024-02-29,269.8,220475825.0,260903.0806,88.1699,12.5303,0.92
2024-03-31,278.05,242392858.0,268881.0288,91.1639,11.7671,0.92
2024-04-30,386.0,424585907.0,373271.2717,126.5574,16.3355,0.92
2024-05-31,355.9,294563621.0,344163.8487,116.6885,15.0617,0.92
2024-06-30,318.7,193700234.0,308190.5552,104.4918,13.4874,0.92
2024-07-31,321.6,156769864.0,310994.9248,105.4426,13.6101,0.92
2024-08-31,332.55,210706461.0,321583.8379,109.0328,14.0735,0.92
2024-09-30,343.9,152695842.0,332559.5605,112.7541,14.5538,0.92
2024-10-31,294.2,120759497.0,284498.4667,96.459,12.4505,0.92
2024-11-30,276.0,81892811.0,266898.6295,90.4918,11.6803,0.92
2024-12-31,247.95,98193249.0,239773.6058,81.2951,10.4932,0.92
2025-01-31,238.98,109615424.0,231099.4003,78.3541,10.1136,0.92
2025-02-28,202.32,77575528.0,195648.2997,66.3344,8.5622,0.92
2025-03-31,220.79,142237127.0,213509.2334,45.9023,8.0239,0.92
2025-04-30,213.28,109918932.0,206246.883,44.341,7.751,0.92
2025-05-31,247.51,164688112.0,239348.1152,51.4574,8.9949,0.92
2025-06-30,279.3,168184021.0,270089.8088,58.0665,10.1502,0.92
2025-07-31,243.35,131764191.0,235325.2953,50.5925,8.8437,0.92
2025-08-31,229.9,42159781.0,222318.8222,47.7963,8.355,0.92
2025-09-30,329.44,362250057.0,318576.3931,68.4906,11.9724,1.46
2025-10-31,340.25,262614348.0,329029.9228,70.738,12.3653,1.46
2025-11-30,327.0,160953165.0,316216.8545,67.9834,11.8837,1.46
2025-12-31,518.3,992767804.0,501208.5496,107.7547,18.8359,1.46
2026-01-31,685.9,1089314660.0,663281.7753,142.5988,24.9268,1.46
2026-02-28,566.3,578918032.0,547625.7025,117.7339,20.5803,1.0
2026-03-31,557.5,52948628.0,539115.8912,115.9044,20.2605,1.0
