RELIANCE IN Equity,price,volume,mc,pe,bm,div
2022-11-30,1244.17,226701846.0,18479908.42,25.4505,2.131,4.0
2022-12-31,1160.28,188574014.0,17234058.79,24.8083,1.9843,4.0
2023-01-31,1072.21,274027926.0,15925886.98,22.9252,1.9843,4.0
2023-02-28,1057.95,291049738.0,15714118.6,22.6203,1.9843,4.0
2023-03-31,1061.82,332513956.0,15771867.54,21.6456,2.0072,4.0
2023-04-30,1102.57,199640162.0,16377090.97,22.4762,2.0842,4.0
2023-05-31,1125.07,207427658.0,16711375.46,22.9349,2.1267,4.0
2023-06-30,1161.67,213792312.0,17255032.51,24.3818,2.1781,4.0
2023-07-31,1274.63,414806996.0,17248273.54,26.7525,2.1781,4.0
2023-08-31,1203.5,314257984.0,16285821.04,25.2597,2.1781,4.5
2023-09-30,1172.5,331751364.0,15866333.31,23.1994,2.1121,4.5
2023-10-31,1143.95,221038446.0,15480126.38,22.6345,2.0606,4.5
2023-11-30,1188.72,227471078.0,16086033.26,23.5205,2.1413,4.5
2023-12-31,1292.47,298979756.0,17490000.85,24.9978,2.3467,4.5
2024-01-31,1426.63,281464938.0,19305345.94,27.5923,2.3467,4.5
2024-02-29,1460.8,248914314.0,19767811.76,28.2533,2.3467,4.5
2024-03-31,1485.85,236254640.0,20106802.65,33.4322,2.534,4.5
2024-04-30,1467.0,229217796.0,19851722.9,33.0081,2.5019,4.5
2024-05-31,1430.4,249471058.0,19356446.6,32.1846,2.4394,4.5
2024-06-30,1565.4,332907870.0,21183673.59,35.7408,2.6102,4.5
2024-07-31,1505.43,240803788.0,20372069.05,34.3715,2.6102,4.5
2024-08-31,1509.63,273351754.0,20428908.71,34.4674,2.6102,5.0
2024-09-30,1476.58,312116758.0,19981835.85,34.1929,2.4383,5.0
2024-10-31,1332.05,426466989.0,18026335.84,30.8462,2.1997,5.0
2024-11-30,1292.2,292395424.0,17487054.67,29.9234,2.1339,5.0
2024-12-31,1215.45,302966788.0,16448414.02,27.5456,1.9993,5.0
2025-01-31,1265.1,300212432.0,17120316.41,28.6708,1.9993,5.0
2025-02-28,1200.1,214653488.0,16240685.89,27.1977,1.9993,5.0
2025-03-31,1275.1,288987474.0,17255644.18,24.7761,2.0464,5.0
2025-04-30,1405.0,317815624.0,19013551.94,27.3001,2.2549,5.0
2025-05-31,1420.9,251157100.0,19228864.81,27.6091,2.2804,5.0
2025-06-30,1500.6,236907854.0,20307435.1,24.9145,2.432,5.0
2025-07-31,1390.2,264004085.0,18813405.49,23.0815,2.432,5.0
2025-08-31,1357.2,202297773.0,18366820.55,22.5336,2.432,5.5
2025-09-30,1364.0,226220881.0,18458844.11,22.2114,2.104,5.5
2025-10-31,1486.4,265664620.0,20115268.25,24.2045,2.2928,5.5
2025-11-30,1567.5,212045368.0,21212784.56,25.5252,2.4179,5.5
2025-12-31,1570.4,195250275.0,21252029.91,25.5391,2.3751,5.5
2026-01-31,1395.4,295755869.0,18883776.45,22.6931,2.3751,5.5
2026-02-28,1393.9,241834636.0,18863477.13,22.6687,2.3751,5.5
2026-03-31,1389.1,86240822.0,18798518.99,22.5907,2.3751,5.5
