LPC IN Equity,price,volume,mc,pe,bm,div
2004-09-30,73.04,7597070.0,29316.9785,35.2453,6.8059,0.65
2004-10-31,62.09,9090170.0,24923.5462,29.9635,5.786,0.65
2004-11-30,63.36,2252140.0,25435.3439,30.5788,5.9048,0.65
2004-12-31,68.55,6542980.0,27514.6477,33.0786,6.3875,0.65
2005-01-31,59.7,15661400.0,23962.1693,28.8077,5.5628,0.65
2005-02-28,55.79,10649320.0,22392.6562,26.9208,5.1984,0.65
2005-03-31,54.71,9441940.0,21961.1405,24.472,4.4876,0.65
2005-04-30,56.45,5073330.0,22657.5868,25.2481,4.6299,0.65
2005-05-31,62.33,18011160.0,25019.8846,27.8805,5.1126,0.65
2005-06-30,69.9,43072480.0,28056.5511,31.2644,5.7331,0.65
2005-07-31,69.29,20467970.0,27813.6981,30.9938,5.6835,0.65
2005-08-31,76.97,38879810.0,30896.6061,34.4291,6.3134,0.65
2005-09-30,75.61,22162650.0,30352.6942,33.823,6.2023,0.65
2005-10-31,70.25,22818520.0,28199.124,31.4232,5.7622,0.65
2005-11-30,75.59,9100850.0,30340.6518,33.8095,6.1998,0.65
2005-12-31,76.54,13693300.0,30723.9993,34.2367,6.2782,0.65
2006-01-31,84.37,14308570.0,33867.0476,37.7391,6.9204,0.65
2006-02-28,93.72,18948230.0,37620.2406,41.9214,7.6873,0.65
2006-03-31,101.4,18251420.0,40701.0702,24.0045,6.5292,0.65
2006-04-30,117.86,30397170.0,46304.768,27.9025,7.5894,0.65
2006-05-31,103.35,37249900.0,41483.8217,24.4661,6.6548,0.65
2006-06-30,88.95,8365950.0,35703.503,21.0571,5.7275,0.65
2006-07-31,89.77,11117490.0,36042.0263,21.2524,5.7806,0.65
2006-08-31,100.56,8401955.0,40377.3542,23.8068,6.4754,0.65
2006-09-30,92.7,11429310.0,37222.3401,21.946,5.9693,0.65
2006-10-31,102.23,11061825.0,41048.9733,24.2022,6.583,0.65
2006-11-30,105.61,6146185.0,42414.8774,25.0024,6.8006,0.65
2006-12-31,122.74,8624935.0,49297.0472,29.0578,7.9037,0.65
2007-01-31,120.18,14231910.0,48270.8391,28.4517,7.7388,0.65
2007-02-28,119.91,21543840.0,48162.3924,28.3878,7.7215,0.65
2007-03-31,121.24,9722240.0,48697.8046,16.0413,5.577,0.65
2007-04-30,140.68,28206585.0,56514.3894,18.6134,6.4713,0.65
2007-05-31,142.26,46481885.0,57323.1706,18.8224,6.544,0.65
2007-06-30,146.42,40566405.0,59101.553,19.3728,6.7353,0.65
2007-07-31,128.81,50984275.0,52497.8043,17.0429,5.9253,1.0
2007-08-31,117.56,16892220.0,48207.0668,15.5544,5.4078,1.0
2007-09-30,117.63,15524310.0,48249.4752,15.5636,5.411,1.0
2007-10-31,117.62,26315415.0,48251.2512,15.5623,5.4105,1.0
2007-11-30,104.52,10983840.0,42880.8985,13.8291,4.8079,1.0
2007-12-31,125.96,16732880.0,51680.757,16.6658,5.7942,1.0
2008-01-31,112.47,34765650.0,46152.6264,14.8809,5.1736,1.0
2008-02-29,110.76,8160520.0,45456.4036,14.6547,5.095,1.0
2008-03-31,99.7,14887460.0,40917.3297,9.9679,3.1975,1.0
2008-04-30,112.95,8898985.0,46355.2455,11.2927,3.6224,1.0
2008-05-31,143.41,35787820.0,58856.182,14.338,4.5993,1.0
2008-06-30,133.32,52545820.0,54719.6607,13.3292,4.2757,1.0
2008-07-31,147.52,22097470.0,60547.8874,14.749,4.7311,2.0
2008-08-31,146.34,12821875.0,60185.1776,14.631,4.6933,2.0
2008-09-30,143.96,15542625.0,59235.5113,14.393,4.6169,2.0
2008-10-31,132.98,30750560.0,55047.2694,13.2953,4.2648,2.0
2008-11-30,117.17,17859430.0,48502.6964,11.7146,3.7577,2.0
2008-12-31,123.57,9675270.0,51153.9044,12.3544,3.963,2.0
2009-01-31,113.95,8465060.0,47171.3113,11.3926,3.6545,2.0
2009-02-28,129.86,13068625.0,53762.8197,12.9833,4.1647,2.0
2009-03-31,136.91,18582815.0,56694.0913,11.2516,3.979,2.0
2009-04-30,143.71,13656585.0,59509.9544,11.8105,4.1767,2.0
2009-05-31,167.23,30500200.0,69256.5517,13.7434,4.8602,2.0
2009-06-30,163.24,15333130.0,67863.6811,13.4155,4.7443,2.0
2009-07-31,190.08,22465160.0,79531.6548,15.6213,5.5243,2.5
2009-08-31,203.03,26869660.0,85670.0336,16.6856,5.9007,2.5
2009-09-30,227.0,20110215.0,97099.4786,18.6555,6.5973,2.5
2009-10-31,245.99,36602245.0,108156.2641,20.2161,7.1492,2.5
2009-11-30,275.06,22255860.0,121876.7554,22.6052,7.9941,2.5
2009-12-31,294.82,30321525.0,131011.0761,24.2291,8.5684,2.5
2010-01-31,284.53,23748380.0,126503.8914,23.3835,8.2693,2.5
2010-02-28,300.14,23684905.0,133458.2992,24.6663,8.723,2.5
2010-03-31,325.47,18813330.0,144742.696,20.5473,5.6368,2.5
2010-04-30,341.27,14927660.0,151795.866,21.5448,5.9104,2.5
2010-05-31,372.04,25870935.0,165528.7714,23.4874,6.4433,2.5
2010-06-30,393.57,16452150.0,175138.2596,24.8466,6.8162,2.5
2010-07-31,375.59,23903730.0,167313.7025,23.7115,6.5048,2.7
2010-08-31,356.4,18660251.0,158802.0751,22.5,6.1724,2.7
2010-09-30,388.1,21486303.0,172966.6286,24.5013,6.7215,2.7
2010-10-31,438.3,20967738.0,195381.4677,27.6705,7.5909,2.7
2010-11-30,511.45,43172410.0,228043.3775,32.2885,8.8577,2.7
2010-12-31,482.45,29660254.0,215125.4238,30.4577,8.3555,2.7
2011-01-31,421.9,19842077.0,188211.7814,26.6351,7.3068,2.7
2011-02-28,381.2,20887998.0,170071.7262,24.0657,6.602,2.7
2011-03-31,416.65,21173270.0,185909.731,21.5212,5.6661,2.7
2011-04-30,440.85,18948594.0,196707.8001,22.7712,5.9952,2.7
2011-05-31,469.9,25561726.0,209702.3252,24.2717,6.3903,2.7
2011-06-30,449.2,20695302.0,200476.8853,23.2025,6.1088,2.7
2011-07-31,454.75,25140782.0,202953.837,23.4892,6.1842,3.0
2011-08-31,448.75,17774747.0,200337.5271,23.1792,6.1026,3.0
2011-09-30,474.35,21270222.0,211795.7984,24.5015,6.4508,3.0
2011-10-31,470.2,17331114.0,209963.112,24.2872,6.3944,3.0
2011-11-30,474.35,12011264.0,211838.3,24.5015,6.4508,3.0
2011-12-31,447.85,22835086.0,200009.143,23.1327,6.0904,3.0
2012-01-31,475.0,17967059.0,212134.2926,24.5351,6.4596,3.0
2012-02-29,480.85,12392915.0,214758.2372,24.8373,6.5392,3.0
2012-03-31,529.5,16881304.0,236496.7765,27.2517,5.8934,3.0
2012-04-30,552.4,14343237.0,246775.091,28.4303,6.1483,3.0
2012-05-31,541.7,15315250.0,242017.915,27.8796,6.0292,3.0
2012-06-30,537.15,13479515.0,240002.5476,27.6454,5.9786,3.0
2012-07-31,600.9,17559418.0,268551.1003,30.9264,6.6881,3.2
2012-08-31,593.1,14856763.0,265084.4413,30.525,6.6013,3.2
2012-09-30,595.95,27476527.0,266400.0711,30.6716,6.633,3.2
2012-10-31,566.45,23735556.0,253316.8964,29.1534,6.3047,3.2
2012-11-30,591.0,14135358.0,264405.659,30.4169,6.5779,3.2
2012-12-31,613.85,15373755.0,274645.2159,31.5929,6.8323,3.2
2013-01-31,604.3,18635518.0,270403.337,31.1014,6.726,3.2
2013-02-28,584.95,12618237.0,261762.7329,30.1055,6.5106,3.2
2013-03-31,628.55,17218634.0,281294.6738,21.3865,5.4052,3.2
2013-04-30,702.6,15350319.0,314509.8159,23.9061,6.042,3.2
2013-05-31,737.7,34560117.0,330221.8776,25.1004,6.3438,3.2
2013-06-30,781.45,19515422.0,349888.4424,26.589,6.72,3.2
2013-07-31,871.15,25177383.0,390109.7325,29.641,7.4914,4.0
2013-08-31,796.2,33034386.0,356617.2705,27.0908,6.8469,4.0
2013-09-30,855.85,23424542.0,383440.5194,29.1204,7.3598,4.0
2013-10-31,887.9,18801059.0,397841.5763,30.211,7.6354,4.0
2013-11-30,855.85,10096832.0,383573.0707,29.1204,7.3598,4.0
2013-12-31,908.15,13140303.0,407056.5093,30.9,7.8096,4.0
2014-01-31,881.9,12986317.0,395372.0957,30.0068,7.5838,4.0
2014-02-28,995.45,13527896.0,446278.6627,33.8704,8.5603,6.0
2014-03-31,933.15,11069187.0,418401.8717,22.7653,6.0362,6.0
2014-04-30,989.6,10328455.0,443770.3072,24.1425,6.4013,6.0
2014-05-31,935.95,15091629.0,419745.7547,22.8336,6.0543,6.0
2014-06-30,1048.05,11588785.0,470085.2516,25.5684,6.7794,6.0
2014-07-31,1181.75,13772576.0,530077.266,28.8302,7.6443,6.0
2014-08-31,1285.4,10000073.0,576742.9125,31.3589,8.3147,6.0
2014-09-30,1395.65,12251089.0,626543.8629,34.0485,9.0279,6.0
2014-10-31,1369.05,12327693.0,614760.4243,33.3996,8.8558,6.0
2014-11-30,1480.45,10030927.0,664881.5516,36.1173,9.5764,6.0
2014-12-31,1427.95,9677827.0,641451.9939,34.8365,9.2368,6.0
2015-01-31,1585.3,10178877.0,712325.7102,38.6753,10.2547,6.0
2015-02-28,1746.95,20443868.0,785009.3983,42.6189,11.3003,6.0
2015-03-31,2008.4,26057877.0,902752.3866,37.5121,10.1729,6.0
2015-04-30,1772.55,32682864.0,797259.891,33.107,8.9783,3.0
2015-05-31,1833.25,64880666.0,824659.8302,34.2408,9.2858,3.0
2015-06-30,1886.05,23164727.0,848411.1411,35.2269,9.5532,3.0
2015-07-31,1696.7,34804255.0,763396.1905,31.6903,8.5941,7.5
2015-08-31,1935.55,30093894.0,871156.1856,36.1515,9.8039,7.5
2015-09-30,2034.0,23817108.0,915466.7274,37.9903,10.3026,7.5
2015-10-31,1928.9,27443994.0,868501.0584,36.0273,9.7703,7.5
2015-11-30,1786.95,16473908.0,804836.1332,33.376,9.0512,7.5
2015-12-31,1837.25,17892343.0,827674.565,34.3155,9.306,7.5
2016-01-31,1710.75,16954775.0,770750.2515,31.9527,8.6653,7.5
2016-02-29,1754.55,29477992.0,790527.6088,32.7708,8.8871,7.5
2016-03-31,1479.25,84457656.0,666524.824,29.4378,5.9706,7.5
2016-04-30,1607.25,30899915.0,724382.3954,31.9851,6.4873,7.5
2016-05-31,1474.75,34477271.0,664665.0724,29.3483,5.9525,7.5
2016-06-30,1539.7,28746487.0,694157.4214,30.6408,6.2146,7.5
2016-07-31,1739.85,22649503.0,784392.9588,34.6239,7.0225,7.5
2016-08-31,1482.2,34994787.0,668234.155,29.4965,5.9825,7.5
2016-09-30,1486.25,20697103.0,670060.0828,29.5771,5.9989,7.5
2016-10-31,1518.2,14836806.0,684464.374,30.2129,6.1279,7.5
2016-11-30,1504.85,33359448.0,678445.6959,29.9473,6.074,7.5
2016-12-31,1486.95,15296229.0,671222.1255,29.591,6.0017,7.5
2017-01-31,1470.7,13391790.0,663886.7342,29.2677,5.9361,7.5
2017-02-28,1474.1,27243519.0,665549.3121,29.3353,5.9499,7.5
2017-03-31,1445.2,18032310.0,652618.8257,25.493,4.8351,7.5
2017-04-30,1338.35,16931993.0,604446.2871,23.6082,4.4776,7.5
2017-05-31,1161.0,46821842.0,524424.9897,20.4798,3.8843,7.5
2017-06-30,1059.85,37824297.0,478759.6157,18.6955,3.5459,7.5
2017-07-31,1032.0,41396744.0,466203.7954,18.2043,3.4527,7.5
2017-08-31,979.45,53862323.0,442464.4452,17.2773,3.2769,7.5
2017-09-30,1014.0,39078081.0,458122.2788,17.8868,3.3925,7.5
2017-10-31,1028.05,29682460.0,464470.0283,18.1346,3.4395,7.5
2017-11-30,817.7,83193694.0,369567.9798,14.4241,2.7357,7.5
2017-12-31,885.1,42082874.0,400089.5748,15.613,2.9612,7.5
2018-01-31,883.75,41990072.0,399505.7467,15.5892,2.9567,7.5
2018-02-28,819.95,37227311.0,370680.2516,14.4638,2.7432,7.5
2018-03-31,735.85,25806099.0,332665.1652,132.3471,2.4502,7.5
2018-04-30,811.55,38958002.0,366904.244,145.9622,2.7023,7.5
2018-05-31,770.35,38590339.0,348292.9299,138.5522,2.5651,7.5
2018-06-30,903.8,82967432.0,408644.1898,162.554,3.0094,7.5
2018-07-31,824.4,64209006.0,372755.1311,148.2734,2.7451,5.0
2018-08-31,931.45,92343750.0,421174.7422,167.527,3.1015,5.0
2018-09-30,900.95,78937209.0,407403.8464,162.0414,2.9999,5.0
2018-10-31,885.45,49337827.0,400431.146,159.2536,2.9483,5.0
2018-11-30,886.75,36742857.0,401047.0759,159.4874,2.9527,5.0
2018-12-31,844.3,43031227.0,381965.859,151.8525,2.8113,5.0
2019-01-31,875.7,31848659.0,396211.9826,157.5,2.9159,5.0
2019-02-28,763.75,43533058.0,345560.0111,137.3651,2.5431,5.0
2019-03-31,739.6,46490849.0,334664.3383,64.2014,2.4353,5.0
2019-04-30,872.05,41228124.0,394597.1285,75.6988,2.8714,5.0
2019-05-31,745.55,47848555.0,337394.7212,64.7179,2.4549,5.0
2019-06-30,754.75,30976399.0,341586.9151,65.5165,2.4852,5.0
2019-07-31,764.8,30010493.0,346151.2386,66.3889,2.5183,5.0
2019-08-31,741.0,28718311.0,335379.2728,64.3229,2.4399,5.0
2019-09-30,715.7,26537298.0,323928.4015,62.1267,2.3566,5.0
2019-10-31,745.1,26518857.0,337332.6913,64.6788,2.4534,5.0
2019-11-30,800.65,46719010.0,362482.1088,69.5009,2.6363,5.0
2019-12-31,763.45,20835026.0,345771.6613,66.2717,2.5138,5.0
2020-01-31,718.25,28387501.0,325300.2761,62.3481,2.365,5.0
2020-02-29,640.0,44553173.0,289897.239,55.5556,2.1073,5.0
2020-03-31,589.65,58365641.0,267110.342,48.6632,2.1306,5.0
2020-04-30,835.3,116632426.0,378424.9727,48.6632,3.0183,5.0
2020-05-31,869.8,67780434.0,394071.5967,48.6632,3.1429,5.0
2020-06-30,911.8,68158939.0,413128.3939,48.6632,3.2947,5.0
2020-07-31,926.55,57632478.0,419857.5341,48.6632,3.348,5.0
2020-08-31,927.55,139168684.0,420323.0261,48.6632,3.3516,6.0
2020-09-30,1007.4,92473436.0,456507.3759,48.6632,3.6401,6.0
2020-10-31,909.25,70628520.0,412141.8031,48.6632,3.2855,6.0
2020-11-30,891.8,84930183.0,404232.1254,48.6632,3.2224,6.0
2020-12-31,976.85,76234998.0,443014.6869,48.6632,3.5297,6.0
2021-01-31,1007.6,74292616.0,456960.2278,48.6632,3.6408,6.0
2021-02-28,1018.35,56918791.0,461924.4052,48.6632,3.6797,6.0
2021-03-31,1020.45,39492348.0,462957.8856,38.0197,3.354,6.0
2021-04-30,1069.5,45587737.0,485262.542,39.8472,3.5152,6.0
2021-05-31,1219.5,89696321.0,553373.6089,45.4359,4.0082,6.0
2021-06-30,1149.1,36577748.0,521579.6879,42.813,3.7768,6.0
2021-07-31,1107.4,23389109.0,502651.9585,41.2593,3.6398,6.5
2021-08-31,957.85,56675996.0,434770.7951,35.6874,3.1483,6.5
2021-09-30,951.6,36881435.0,431933.9026,35.4545,3.1277,6.5
2021-10-31,922.9,34116127.0,418906.8923,34.3852,3.0334,6.5
2021-11-30,884.4,19853170.0,401562.5311,32.9508,2.9068,6.5
2021-12-31,950.75,36258885.0,431827.6703,35.4229,3.1249,6.5
2022-01-31,908.1,23038999.0,412456.174,33.8338,2.9847,6.5
2022-02-28,745.85,44228896.0,338902.7934,27.7887,2.4515,6.5
2022-03-31,747.05,30263142.0,339515.5592,27.9098,2.7936,6.5
2022-04-30,744.65,22249889.0,338424.8192,27.9098,2.7846,6.5
2022-05-31,618.6,35170240.0,281155.6721,27.9098,2.3133,6.5
2022-06-30,610.95,22722905.0,277752.173,27.9098,2.2847,6.5
2022-07-31,644.1,17241708.0,292833.7419,27.9098,2.4086,4.0
2022-08-31,669.1,40004149.0,304219.8951,27.9098,2.5021,4.0
2022-09-30,679.85,25455428.0,309110.5044,27.9098,2.5423,4.0
2022-10-31,699.0,28755765.0,317829.6192,27.9098,2.6139,4.0
2022-11-30,766.1,38710460.0,348371.7074,27.9098,2.8649,4.0
2022-12-31,733.7,22837892.0,333657.8522,27.9098,2.7437,4.0
2023-01-31,737.3,14430532.0,335379.7054,27.9098,2.7572,4.0
2023-02-28,659.25,24088293.0,299919.7112,27.9098,2.4653,4.0
2023-03-31,648.4,18034743.0,295009.8976,68.5412,2.3668,4.0
2023-04-30,709.5,21882721.0,322809.2572,75.0,2.5898,4.0
2023-05-31,804.5,24375432.0,366097.8231,85.0423,2.9366,4.0
2023-06-30,902.75,28020123.0,410823.4862,95.4281,3.2952,4.0
2023-07-31,985.45,19092230.0,448474.5079,104.1702,3.5971,4.0
2023-08-31,1097.85,35856476.0,499752.226,116.0518,4.0074,4.0
2023-09-30,1171.25,20936949.0,533178.7488,123.8108,4.2753,4.0
2023-10-31,1128.15,16296090.0,513579.7359,119.2548,4.118,4.0
2023-11-30,1280.9,34475500.0,583151.5874,135.4017,4.6756,4.0
2023-12-31,1322.95,24821594.0,602374.2593,139.8467,4.8291,4.0
2024-01-31,1505.35,29208516.0,685670.2909,159.1279,5.4949,4.0
2024-02-29,1621.05,35796121.0,738593.9328,171.3584,5.9172,4.0
2024-03-31,1616.8,16090563.0,736741.6585,38.4456,5.1555,4.0
2024-04-30,1645.9,21366785.0,750119.0962,39.1375,5.2483,4.0
2024-05-31,1582.55,33500088.0,721440.9901,37.6311,5.0463,4.0
2024-06-30,1621.35,25993374.0,739199.3304,38.5538,5.17,4.0
2024-07-31,1911.85,32203868.0,871834.7039,45.4615,6.0964,8.0
2024-08-31,2240.2,40984322.0,1021567.646,53.2693,7.1434,8.0
2024-09-30,2191.1,26487586.0,999455.6109,52.1017,6.9868,8.0
2024-10-31,2186.95,20997912.0,997675.4825,52.0031,6.9736,8.0
2024-11-30,2050.75,20236448.0,935547.1523,48.7644,6.5393,8.0
2024-12-31,2355.7,22797477.0,1074751.711,56.0157,7.5117,8.0
2025-01-31,2080.45,18247810.0,949173.1529,49.4706,6.634,8.0
2025-02-28,1904.65,22135514.0,869436.5443,45.2903,6.0734,8.0
2025-03-31,2027.95,13948576.0,925891.083,28.1855,5.382,8.0
2025-04-30,2095.6,28774336.0,956777.7083,29.1258,5.5615,8.0
2025-05-31,1957.7,24190972.0,893918.2004,27.2092,5.1956,8.0
2025-06-30,1938.0,21296608.0,885075.8209,26.9354,5.1433,8.0
2025-07-31,1929.1,23805857.0,881111.2704,26.8117,5.1197,12.0
2025-08-31,1894.9,21407881.0,865504.1343,26.3363,5.0289,12.0
2025-09-30,1911.3,15810909.0,873001.3131,26.5643,5.0724,12.0
2025-10-31,1963.5,17780674.0,896844.0738,27.2898,5.2109,12.0
2025-11-30,2082.2,28117502.0,951070.2112,28.9395,5.526,12.0
2025-12-31,2109.5,17842189.0,963617.0813,29.319,5.5984,12.0
2026-01-31,2152.8,17740793.0,983396.4696,29.9208,5.7133,12.0
2026-02-28,2301.9,17670075.0,1052067.786,31.9931,6.109,12.0
2026-03-31,2334.2,3697454.0,1066830.26,32.442,6.1948,12.0
