CRS IN Equity,price,volume,mc,pe,bm,div
2016-10-31,2646.7,1031635.0,34422.6476,41.2424,8.1768,9.0
2016-11-30,2072.8,267595.0,26958.5778,32.2996,6.4038,9.0
2016-12-31,2020.3,84446.0,26275.7693,31.4815,6.2416,9.0
2017-01-31,2153.45,96828.0,28007.4999,33.5563,6.6529,9.0
2017-02-28,2445.5,189707.0,31805.8664,38.1072,7.5552,9.0
2017-03-31,3016.25,233457.0,39228.9694,38.5562,7.513,9.0
2017-04-30,3111.05,151103.0,40461.9271,39.768,7.7491,9.0
2017-05-31,3098.15,190114.0,40294.1505,39.6031,7.717,9.0
2017-06-30,2894.2,79305.0,37641.6024,36.996,7.209,9.0
2017-07-31,2942.65,83253.0,38271.737,37.6154,7.3296,12.0
2017-08-31,2879.2,185623.0,37446.5142,36.8043,7.1716,12.0
2017-09-30,3269.15,338487.0,42518.1551,41.789,8.1429,12.0
2017-10-31,3253.6,186458.0,42315.9137,41.5902,8.1042,12.0
2017-11-30,3750.9,262169.0,48783.7365,47.9471,9.3429,12.0
2017-12-31,3728.4,145524.0,48491.1044,47.6595,9.2868,12.0
2018-01-31,3472.85,301485.0,45167.453,44.3928,8.6503,12.0
2018-02-28,3359.5,238224.0,43693.2337,42.9439,8.368,12.0
2018-03-31,3455.85,330066.0,44946.3497,43.563,7.4215,12.0
2018-04-30,3166.1,187743.0,41177.8977,39.9105,6.7993,12.0
2018-05-31,2806.6,274873.0,36502.286,35.3788,6.0272,12.0
2018-06-30,2779.5,207348.0,36149.8268,35.0372,5.969,12.0
2018-07-31,2694.95,175457.0,35050.1801,33.9714,5.7875,12.0
2018-08-31,2739.0,338555.0,35623.0889,34.5267,5.8821,12.0
2018-09-30,2567.15,146998.0,33388.0294,32.3604,5.513,12.0
2018-10-31,2473.9,128237.0,32175.2317,31.1849,5.3127,12.0
2018-11-30,2359.85,245026.0,30691.9118,29.7473,5.0678,12.0
2018-12-31,2373.3,66382.0,30866.8408,29.9168,5.0967,12.0
2019-01-31,2430.0,158649.0,31604.2738,30.6315,5.2185,12.0
2019-02-28,2405.5,189472.0,31285.6299,30.3227,5.1659,12.0
2019-03-31,3085.4,256785.0,40128.3236,34.8554,5.7252,12.0
2019-04-30,2799.95,213775.0,36415.7969,31.6307,5.1955,12.0
2019-05-31,3006.65,258715.0,39104.1111,33.9658,5.579,12.0
2019-06-30,2981.9,89699.0,38782.2157,33.6862,5.5331,12.0
2019-07-31,2567.45,180290.0,33391.9312,29.0042,4.7641,13.0
2019-08-31,2438.75,197537.0,31718.0752,27.5503,4.5253,13.0
2019-09-30,2660.9,164378.0,34607.3301,30.0599,4.9375,13.0
2019-10-31,2684.15,176230.0,34909.7167,30.3225,4.9806,13.0
2019-11-30,2551.05,131812.0,33178.6349,28.8189,4.7336,13.0
2019-12-31,2697.55,61216.0,35083.9954,30.4739,5.0055,13.0
2020-01-31,2709.25,110404.0,35236.1641,30.6061,5.0272,13.0
2020-02-29,2492.25,120638.0,32413.8895,28.1547,4.6245,13.0
2020-03-31,2311.45,1195999.0,30062.4275,26.544,3.9005,13.0
2020-04-30,2200.75,62810.0,28622.6772,25.2727,3.7137,13.0
2020-05-31,2323.6,176683.0,30220.4488,26.6835,3.921,13.0
2020-06-30,2210.25,102730.0,28746.233,25.3818,3.7297,13.0
2020-07-31,2228.85,76360.0,28988.1423,25.5954,3.7611,13.0
2020-08-31,2459.35,207045.0,31985.9962,28.2424,4.15,13.0
2020-09-30,2325.4,109933.0,30243.8594,26.7042,3.924,13.0
2020-10-31,2651.25,254292.0,34481.8261,30.4461,4.4738,13.0
2020-11-30,3124.5,258794.0,40636.8564,35.8808,5.2724,13.0
2020-12-31,3391.95,318079.0,44115.2777,38.9521,5.7237,13.0
2021-01-31,3419.2,295679.0,44469.6878,39.265,5.7697,13.0
2021-02-28,3859.6,437594.0,50197.4752,44.3225,6.5129,13.0
2021-03-31,3907.3,293678.0,50817.8554,50.4298,5.8295,13.0
2021-04-30,3844.35,176305.0,49999.1356,49.6173,5.7356,0.0
2021-05-31,3949.9,279240.0,51371.9057,50.9796,5.893,0.0
2021-06-30,4484.7,717597.0,58327.4476,57.882,6.6909,0.0
2021-07-31,4453.0,649613.0,57915.1569,57.4729,6.6436,13.0
2021-08-31,4441.35,523860.0,57763.6385,57.3225,6.6263,13.0
2021-09-30,5260.6,766923.0,68418.7008,67.8962,7.8485,13.0
2021-10-31,5183.05,559043.0,67410.0952,66.8953,7.7328,13.0
2021-11-30,5001.7,189185.0,65051.48,64.5547,7.4623,13.0
2021-12-31,4816.3,147691.0,62640.1909,62.1618,7.1857,13.0
2022-01-31,4879.65,364030.0,63464.1131,62.9795,7.2802,13.0
2022-02-28,4324.4,367755.0,56242.6015,55.8131,6.4518,13.0
2022-03-31,4972.45,351484.0,64671.0582,42.7995,6.3706,13.0
2022-04-30,4170.9,610411.0,54246.1999,35.9003,5.3437,13.0
2022-05-31,4200.4,600414.0,54629.8731,36.1542,5.3814,13.0
2022-06-30,4132.75,304416.0,53750.0258,35.572,5.2948,35.0
2022-07-31,4727.2,388774.0,61481.3676,40.6886,6.0564,35.0
2022-08-31,4989.1,327952.0,64887.606,42.9428,6.3919,35.0
2022-09-30,5434.85,639797.0,70684.9743,46.7796,6.963,35.0
2022-10-31,5575.35,208151.0,72512.2996,47.9889,7.143,35.0
2022-11-30,5353.1,903497.0,69621.7441,46.0759,6.8583,35.0
2022-12-31,5207.3,553103.0,67725.4877,44.821,6.6715,35.0
2023-01-31,5267.1,167137.0,68503.2389,45.3357,6.7481,35.0
2023-02-28,6513.1,876674.0,84708.5579,56.0604,8.3444,35.0
2023-03-31,6403.05,635720.0,83277.2615,39.768,7.1017,35.0
2023-04-30,6241.3,275601.0,81173.5614,38.7634,6.9223,35.0
2023-05-31,7521.25,827565.0,97820.4298,46.7129,8.3419,35.0
2023-06-30,7660.9,532415.0,99636.7001,47.5803,8.4968,50.0
2023-07-31,7571.65,620762.0,98475.9259,47.026,8.3978,50.0
2023-08-31,9507.2,620838.0,123649.4453,59.0473,10.5446,50.0
2023-09-30,8521.1,414943.0,110824.3529,52.9228,9.4509,50.0
2023-10-31,8483.3,504152.0,110332.7309,52.688,9.4089,50.0
2023-11-30,8587.05,367008.0,111682.0903,53.3324,9.524,50.0
2023-12-31,7847.3,283508.0,102060.995,48.738,8.7035,50.0
2024-01-31,8253.7,535870.0,107346.5822,51.262,9.1543,50.0
2024-02-29,7579.5,415979.0,98578.022,47.0747,8.4065,50.0
2024-03-31,6782.5,464901.0,88212.3404,36.9096,6.5547,50.0
2024-04-30,7190.9,438895.0,93523.9393,39.132,6.9494,50.0
2024-05-31,7006.7,410094.0,91128.2574,38.1296,6.7714,50.0
