SUF IN Equity,price,volume,mc,pe,bm,div
2007-05-31,100.75,1293180.0,12393.6508,7.9847,1.1926,2.125
2007-06-30,97.61,1256164.0,12007.5644,7.736,1.1554,2.125
2007-07-31,112.06,1969300.0,13785.2283,8.8813,1.3265,2.625
2007-08-31,104.45,449560.0,12849.1772,8.2782,1.2364,2.625
2007-09-30,107.2,749092.0,13186.6556,8.4956,1.2689,2.625
2007-10-31,133.87,2436156.0,16467.001,10.609,1.5845,2.625
2007-11-30,142.24,1431288.0,17497.4906,11.2729,1.6837,2.625
2007-12-31,167.79,619140.0,20640.3449,13.2977,1.9861,2.625
2008-01-31,158.13,923012.0,19451.5321,12.5318,1.8717,2.625
2008-02-29,149.85,1546232.0,18433.5418,11.876,1.7737,2.625
2008-03-31,130.24,1185264.0,16021.1963,11.4775,1.2654,2.625
2008-04-30,139.35,258280.0,17141.9578,12.2804,1.3539,2.625
2008-05-31,140.82,648604.0,17322.5018,12.4098,1.3682,3.0
2008-06-30,129.71,447980.0,15955.9227,11.4308,1.2602,3.0
2008-07-31,128.3,388380.0,15782.3227,11.3064,1.2465,3.75
2008-08-31,126.22,536718.0,15526.7835,11.1233,1.2263,3.75
2008-09-30,108.38,288018.0,13332.4796,9.5513,1.053,3.75
2008-10-31,83.84,224430.0,10313.2285,7.3884,0.8146,3.75
2008-11-30,74.56,132438.0,9171.6349,6.5705,0.7244,3.75
2008-12-31,82.21,508526.0,10113.2413,7.2451,0.7988,3.75
2009-01-31,77.29,116580.0,9507.7245,6.8113,0.7509,3.75
2009-02-28,73.05,66412.0,8985.5357,6.4372,0.7097,3.75
2009-03-31,74.51,165954.0,9166.0797,4.9314,0.6529,3.25
2009-04-30,88.29,210052.0,10860.4156,5.843,0.7736,3.25
2009-05-31,137.44,507090.0,16907.2506,9.0962,1.2043,3.25
2009-06-30,127.78,379030.0,15718.4379,8.4566,1.1196,3.25
2009-07-31,130.24,2702264.0,16021.1963,8.6195,1.1411,3.25
2009-08-31,137.87,625610.0,16960.025,9.1246,1.208,3.25
2009-09-30,143.5,2880180.0,17651.6474,9.4967,1.2573,3.25
2009-10-31,130.58,436122.0,16062.8603,8.6419,1.1441,3.25
2009-11-30,145.44,374616.0,17890.521,9.6252,1.2743,3.25
2009-12-31,154.79,4621636.0,19040.4474,10.2439,1.3562,3.25
2010-01-31,153.81,1308860.0,18921.0106,10.1797,1.3477,3.25
2010-02-28,165.17,580264.0,20318.1433,10.9313,1.4472,4.25
2010-03-31,170.37,1400736.0,20956.9913,6.881,1.1517,4.25
2010-04-30,182.02,857320.0,22390.2328,7.3516,1.2304,4.25
2010-05-31,180.68,301072.0,22226.3545,7.2978,1.2214,4.25
2010-06-30,205.34,1114306.0,25259.4936,8.2937,1.3881,5.0
2010-07-31,236.52,1106756.0,29095.359,9.5532,1.5989,5.0
2010-08-31,218.39,936924.0,26864.9463,8.8208,1.4763,5.0
2010-09-30,264.91,2469456.0,32586.8021,10.6995,1.7908,5.0
2010-10-31,309.93,1166368.0,38125.3363,12.5181,2.0951,5.0
2010-11-30,277.03,1664062.0,34078.3733,11.1893,1.8727,5.0
2010-12-31,272.59,380164.0,33531.1861,11.0096,1.8427,5.0
2011-01-31,228.37,1053668.0,28092.6455,9.2239,1.5438,5.0
2011-02-28,222.59,426028.0,27381.5799,8.9905,1.5047,5.5
2011-03-31,221.26,547222.0,27217.7015,6.3208,1.3607,5.5
2011-04-30,238.26,479450.0,29309.2342,6.8066,1.4653,5.5
2011-05-31,224.02,424654.0,27556.5687,6.3995,1.3776,5.5
2011-06-30,245.04,926410.0,30142.5142,7.0001,1.5069,7.0
2011-07-31,258.99,704362.0,31859.0709,7.3987,1.5927,7.0
2011-08-31,238.58,1006646.0,29348.1206,6.8156,1.4672,7.0
2011-09-30,239.44,317012.0,29453.6694,6.8401,1.4725,7.0
2011-10-31,229.37,556278.0,28214.8599,6.5524,1.4106,7.0
2011-11-30,234.79,408722.0,28881.4838,6.7072,1.4439,7.0
2011-12-31,227.27,438094.0,27956.5431,6.4924,1.3976,7.0
2012-01-31,257.39,319124.0,31661.8613,7.3529,1.5829,7.0
2012-02-29,281.5,890208.0,34628.338,8.0418,1.7312,7.25
2012-03-31,296.29,694758.0,36447.666,7.189,1.5208,7.25
2012-04-30,303.38,303502.0,37319.8323,7.361,1.5572,7.25
2012-05-31,301.19,369798.0,37050.4052,7.3079,1.546,7.25
2012-06-30,293.25,457114.0,36072.69,7.115,1.5052,7.75
2012-07-31,335.99,1964570.0,41330.6866,8.1521,1.7246,7.75
2012-08-31,374.31,1854542.0,46044.2737,9.0818,1.9212,7.75
2012-09-30,371.08,666428.0,45647.0769,9.0035,1.9047,7.75
2012-10-31,413.01,1371838.0,50805.0799,10.0209,2.1199,7.75
2012-11-30,451.42,1324172.0,55529.7773,10.9528,2.317,7.75
2012-12-31,464.83,1677678.0,57179.6717,11.2782,2.3859,7.75
2013-01-31,441.84,982024.0,54352.075,10.7205,2.2679,7.75
2013-02-28,435.39,1330718.0,53557.6814,10.5638,2.2347,8.5
2013-03-31,428.03,869182.0,52652.1838,8.4323,1.8191,8.5
2013-04-30,469.57,871439.0,57762.9677,9.2508,1.9956,8.5
2013-05-31,506.15,1112251.0,62262.6795,9.9715,2.1511,8.5
2013-06-30,483.03,724578.0,59418.4172,9.516,2.0528,8.5
2013-07-31,465.87,586740.0,57307.4413,9.1779,1.9799,9.0
2013-08-31,436.97,558229.0,53752.1134,8.6085,1.8571,9.0
2013-09-30,457.74,356622.0,56307.5053,9.0177,1.9453,9.0
2013-10-31,478.69,393790.0,58885.118,9.4306,2.0344,9.0
2013-11-30,515.36,686793.0,63395.9403,10.153,2.1902,9.0
2013-12-31,562.06,929684.0,69140.0169,11.0729,2.3887,9.0
2014-01-31,545.94,1271138.0,67156.7275,10.7553,2.3202,9.0
2014-02-28,546.21,1130194.0,67190.0587,10.7606,2.3213,9.0
2014-03-31,598.23,892057.0,73589.641,11.4385,2.1578,9.0
2014-04-30,650.89,946091.0,80066.996,12.4453,2.3478,4.5
2014-05-31,805.07,1660842.0,99032.4247,15.3932,2.9039,4.5
2014-06-30,841.06,673954.0,103459.9135,16.0814,3.0337,4.5
2014-07-31,858.53,751833.0,105609.7731,16.4156,3.0967,10.0
2014-08-31,844.04,535848.0,103826.5562,16.1384,3.0444,10.0
2014-09-30,1178.49,1516056.0,144968.3221,22.5333,4.2508,10.0
2014-10-31,1231.28,567753.0,151462.3357,23.5427,4.4412,10.0
2014-11-30,1174.38,600697.0,144462.7926,22.4547,4.236,10.0
2014-12-31,1170.18,585883.0,143946.1597,22.3744,4.2208,10.0
2015-01-31,1365.68,1046001.0,167994.5969,26.1124,4.926,10.0
2015-02-28,1373.4,2468758.0,168944.7367,26.2601,4.9539,9.0
2015-03-31,1370.51,496322.0,168588.9956,26.4425,4.0608,9.0
2015-04-30,1332.98,769325.0,163972.6302,25.7184,3.9496,9.0
2015-05-31,1383.02,506476.0,170127.784,26.6838,4.0978,9.0
2015-06-30,1426.51,639203.0,175477.4348,27.5229,4.2267,9.0
2015-07-31,1440.15,483570.0,177155.1031,27.786,4.2671,10.5
2015-08-31,1311.26,1011574.0,161300.5894,25.2993,3.8852,10.5
2015-09-30,1386.95,444203.0,170611.0858,26.7596,4.1095,10.5
2015-10-31,1343.73,386956.0,165294.7661,25.9258,3.9814,10.5
2015-11-30,1315.82,604442.0,161861.6569,25.3873,3.8987,10.5
2015-12-31,1244.61,1937251.0,153101.1176,24.0133,3.6877,10.5
2016-01-31,1230.2,1293374.0,151329.018,23.7353,3.645,10.5
2016-02-29,1098.02,642112.0,135068.9544,21.185,3.2534,10.5
2016-03-31,1174.7,1047030.0,144501.6789,22.3795,3.1114,16.0
2016-04-30,1155.33,1178631.0,142118.5012,22.0104,3.0601,16.0
2016-05-31,1254.9,1649283.0,154367.7016,23.9075,3.3239,16.0
2016-06-30,1376.38,996420.0,169311.1707,26.2218,3.6456,16.0
2016-07-31,1347.39,731538.0,165744.7437,25.6695,3.5688,2.0
2016-08-31,1313.93,907622.0,161628.3388,25.032,3.4802,2.0
2016-09-30,1200.89,986222.0,147723.6909,22.8785,3.1808,2.0
2016-10-31,1264.66,792271.0,155567.6164,24.0933,3.3497,2.0
2016-11-30,1153.93,718466.0,141946.2902,21.9837,3.0564,2.0
2016-12-31,1038.95,1314782.0,127802.7759,19.7933,2.7519,2.0
2017-01-31,1242.17,611956.0,152801.1442,23.6649,3.2901,2.0
2017-02-28,1300.56,960546.0,159983.9947,24.7773,3.4448,2.0
2017-03-31,1458.44,1338815.0,179404.9562,23.7067,3.3693,6.0
2017-04-30,1445.75,753621.0,177843.9401,23.5005,3.34,6.0
2017-05-31,1424.25,679337.0,175199.6752,23.1511,3.2904,6.0
2017-06-30,1452.39,772158.0,178660.5604,23.6084,3.3554,6.0
2017-07-31,1514.84,1069299.0,186343.3922,24.6236,3.4996,11.5
2017-08-31,1445.88,797742.0,177860.6126,23.5027,3.3403,11.5
2017-09-30,1523.11,778234.0,187359.9925,24.7579,3.5187,11.5
2017-10-31,1585.2,659937.0,194998.3828,25.7673,3.6622,11.5
2017-11-30,1651.99,873513.0,203214.5096,26.853,3.8165,11.5
2017-12-31,1696.52,895191.0,208691.9298,27.5768,3.9194,11.5
2018-01-31,1700.0,1298417.0,209119.6853,27.6333,3.9274,11.5
2018-02-28,1757.15,1455398.0,195226.1476,28.5623,4.0594,11.5
2018-03-31,1677.2,695704.0,186343.394,25.3048,3.2986,11.5
2018-04-30,1770.6,1200739.0,196720.4945,26.7139,3.4822,6.5
2018-05-31,1859.0,631210.0,206542.0757,28.0477,3.6561,11.5
2018-06-30,1599.8,1348525.0,177743.9552,24.137,3.1463,11.5
2018-07-31,1497.9,1345248.0,166422.4719,22.5996,2.9459,12.0
2018-08-31,1591.9,658312.0,176866.2347,24.0178,3.1308,12.0
2018-09-30,1514.45,932275.0,168261.2408,22.8493,2.9785,12.0
2018-10-31,1497.55,566809.0,166383.5855,22.5943,2.9452,12.0
2018-11-30,1461.15,1131585.0,162339.405,22.0451,2.8736,12.0
2018-12-31,1438.7,972199.0,159845.1234,21.7064,2.8295,12.0
2019-01-31,1404.15,737423.0,156006.485,21.1851,2.7615,12.0
2019-02-28,1637.0,1437401.0,181877.0188,24.6982,3.2195,12.0
2019-03-31,1558.7,706295.0,173177.5866,14.7891,2.7667,12.0
2019-04-30,1444.0,608223.0,160433.9738,13.7008,2.5631,12.0
2019-05-31,1702.6,1273391.0,189165.432,16.1544,3.0222,12.0
2019-06-30,1671.95,885248.0,185760.0987,15.8636,2.9677,12.0
2019-07-31,1517.45,1197559.0,168594.5524,14.3977,2.6935,17.5
2019-08-31,1515.35,389468.0,168361.2343,14.3778,2.6898,17.5
2019-09-30,1631.5,416037.0,181265.9476,15.4798,2.8959,17.5
2019-10-31,1611.25,300860.0,179016.0944,15.2877,2.86,17.5
2019-11-30,1630.45,773047.0,181149.2885,15.4699,2.8941,17.5
2019-12-31,1630.8,955024.0,181188.1749,15.4732,2.8947,17.5
2020-01-31,1641.85,895579.0,182415.8725,15.578,2.9143,17.5
2020-02-29,1578.85,945393.0,175416.3294,14.9803,2.8025,22.5
2020-03-31,1203.25,2321751.0,133685.7195,17.0966,2.0022,22.5
2020-04-30,1261.95,1171023.0,140207.5161,17.9306,2.0999,22.5
2020-05-31,1267.15,2783737.0,140785.2562,18.0045,2.1086,22.5
2020-06-30,1452.05,931708.0,161328.3599,20.6317,2.4162,22.5
2020-07-31,1277.75,860905.0,141962.9571,18.1551,2.1262,13.0
2020-08-31,1611.1,1555321.0,178999.4288,22.8916,2.6809,13.0
2020-09-30,1300.6,1918515.0,144501.6803,18.4798,2.1642,13.0
2020-10-31,1447.65,1304826.0,160839.4986,20.5692,2.4089,13.0
2020-11-30,1746.8,2101542.0,194076.2174,24.8197,2.9067,13.0
2020-12-31,1804.25,2206009.0,200459.134,25.636,3.0023,13.0
2021-01-31,1700.3,900783.0,188909.8881,24.159,2.8293,13.0
2021-02-28,2647.05,2917626.0,294097.4647,37.6111,4.4048,15.0
2021-03-31,2570.45,1108202.0,285586.9092,24.512,3.6944,15.0
2021-04-30,2481.1,742202.0,275659.7796,23.66,3.566,15.0
2021-05-31,2499.6,499734.0,277715.201,23.8364,3.5926,15.0
2021-06-30,2674.65,1507032.0,297163.9311,25.5057,3.8442,15.0
2021-07-31,2608.05,437914.0,289764.4221,24.8706,3.7484,15.0
2021-08-31,2602.9,662175.0,289192.2372,24.8215,3.741,18.0
2021-09-30,2450.15,1974046.0,272221.1226,23.3649,3.5215,18.0
2021-10-31,2390.05,1087440.0,265543.7806,22.7917,3.4351,18.0
2021-11-30,2262.0,740944.0,251316.9313,21.5706,3.2511,18.0
2021-12-31,2287.5,1113071.0,254150.0798,21.8138,3.2877,18.0
2022-01-31,2257.2,545519.0,250783.6328,21.5249,3.2442,18.0
2022-02-28,1897.9,640832.0,210864.0159,18.0986,2.7278,16.0
2022-03-31,1940.2,4437126.0,215563.7092,18.2213,2.451,16.0
2022-04-30,2011.75,486316.0,223513.1904,18.8932,2.5414,16.0
2022-05-31,1626.45,3509812.0,180704.8731,15.2747,2.0547,16.0
2022-06-30,1761.65,1467973.0,195726.115,16.5444,2.2255,16.0
2022-07-31,2047.3,575415.0,227462.9326,19.2271,2.5863,20.0
2022-08-31,2098.2,809957.0,233118.1191,19.7051,2.6506,20.0
2022-09-30,2262.0,1095533.0,251316.9313,21.2434,2.8576,20.0
2022-10-31,2351.4,858652.0,261249.6164,22.083,2.9705,20.0
2022-11-30,2225.8,935350.0,247294.9716,20.9035,2.8118,20.0
2022-12-31,2305.1,764182.0,256105.5077,21.6482,2.912,20.0
2023-01-31,2268.65,366571.0,252055.772,21.3059,2.866,20.0
2023-02-28,2286.9,490263.0,254083.4174,21.4773,2.889,22.0
2023-03-31,2299.5,545334.0,255483.3261,19.0846,2.5755,22.0
2023-04-30,2355.35,751425.0,261688.4767,19.5481,2.638,22.0
2023-05-31,2544.7,1315913.0,282725.9925,21.1196,2.8501,22.0
2023-06-30,2610.0,1874508.0,289981.0746,21.6615,2.9233,22.0
2023-07-31,2647.7,850408.0,294169.6901,21.9744,2.9655,27.0
2023-08-31,2596.05,1181948.0,288431.1758,21.5458,2.9076,27.0
2023-09-30,3070.95,2718706.0,341194.3989,25.4872,3.4395,27.0
2023-10-31,3172.7,2002396.0,352499.2166,26.3316,3.5535,27.0
2023-11-30,3408.1,1179704.0,378653.0653,28.2853,3.8171,27.0
2023-12-31,3508.3,1458392.0,389785.672,29.1169,3.9294,27.0
2024-01-31,3567.65,801628.0,396379.6861,29.6095,3.9958,27.0
2024-02-29,4169.55,4935548.0,463253.0995,34.6049,4.67,29.0
2024-03-31,4138.7,8846779.0,459825.5454,31.7604,4.1507,29.0
2024-04-30,4745.95,3688822.0,527293.3644,36.4205,4.7597,29.0
2024-05-31,4287.55,15339000.0,476363.3549,32.9027,4.3,29.0
2024-06-30,4691.9,2509067.0,521288.2007,36.0057,4.7055,29.0
2024-07-31,4325.15,1788541.0,480540.8601,33.1912,4.3377,30.0
2024-08-31,5050.6,3103819.0,561141.1553,38.7583,5.0653,30.0
2024-09-30,5271.15,2309223.0,585645.1116,40.4508,5.2865,30.0
2024-10-31,4804.25,1441948.0,533770.7194,36.8679,4.8182,30.0
2024-11-30,3968.4,1480252.0,440904.558,30.4535,3.9799,30.0
2024-12-31,4143.7,3011877.0,460381.0647,31.7988,4.1557,30.0
2025-01-31,4617.0,7850397.0,512966.5216,35.4309,4.6304,30.0
2025-02-28,4537.75,2244565.0,504161.5407,34.8227,4.5509,30.0
2025-03-31,4574.45,2160845.0,508239.0524,27.042,3.8512,30.0
2025-04-30,5256.6,1706003.0,584028.5505,31.0746,4.4255,30.0
2025-05-31,5136.5,1721065.0,570684.9769,30.3646,4.3244,30.0
2025-06-30,5173.5,1999746.0,574795.8197,30.5834,4.3556,30.0
2025-07-31,4675.0,1324174.0,519410.5455,27.6365,3.9359,35.0
2025-08-31,4493.7,2444465.0,499267.4157,26.5647,3.7832,35.0
2025-09-30,4411.5,1843540.0,490134.6784,26.0788,3.714,35.0
2025-10-31,4594.5,902749.0,510466.6848,27.1606,3.8681,35.0
2025-11-30,4728.6,1189889.0,525365.7124,27.9533,3.981,35.0
2025-12-31,5282.8,1821255.0,586939.4716,31.2295,4.4476,35.0
2026-01-31,5278.0,1530025.0,586406.1731,31.2011,4.4435,35.0
2026-02-28,5509.5,1631193.0,612126.7167,32.5696,4.6384,37.0
2026-03-31,5587.5,365440.0,620792.8178,33.0307,4.7041,37.0
