ICICIGI IN Equity,price,volume,mc,pe,bm,div
2023-04-30,1079.15,13011004.0,530005.209,30.6403,5.0997,9.5
2023-05-31,1182.1,20477986.0,580587.1182,33.5633,5.5862,9.5
2023-06-30,1344.45,15808725.0,660395.3902,37.294,6.1215,10.0
2023-07-31,1385.5,13915089.0,680559.1975,38.4327,6.3084,10.0
2023-08-31,1313.7,12535717.0,645529.851,36.4411,5.9815,10.0
2023-09-30,1309.55,11719231.0,643494.3438,36.6103,5.7903,10.0
2023-10-31,1373.8,9519893.0,675077.0813,38.4065,6.0744,10.5
2023-11-30,1480.0,12778861.0,727593.3716,41.3755,6.544,10.5
2023-12-31,1420.1,8576033.0,699093.2199,38.0011,6.1173,10.5
2024-01-31,1497.1,18917204.0,737016.403,40.0615,6.449,10.5
2024-02-29,1711.75,26828270.0,843177.8393,45.8055,7.3736,10.5
2024-03-31,1684.5,15355598.0,829928.3794,43.1702,6.939,10.5
2024-04-30,1710.65,17566809.0,842847.6848,43.8403,7.0467,10.5
2024-05-31,1580.75,17261649.0,779331.2767,40.5113,6.5116,10.5
2024-06-30,1789.55,27072912.0,882645.4355,41.7631,7.1703,11.0
2024-07-31,2007.8,20414912.0,990736.5861,46.8565,8.0448,11.0
2024-08-31,2141.75,18449001.0,1058314.084,49.9825,8.5815,11.0
2024-09-30,2174.4,18877771.0,1075658.77,48.1595,8.1538,11.0
2024-10-31,1917.35,15047069.0,948690.6894,42.4662,7.1899,11.5
2024-11-30,1861.85,10176803.0,921751.3076,41.237,6.9818,11.5
2024-12-31,1787.75,13346593.0,885355.4094,35.0539,6.4509,11.5
2025-01-31,1858.5,16538921.0,920431.7985,36.4412,6.7062,11.5
2025-02-28,1690.95,12435136.0,837718.0814,33.1559,6.1016,11.5
2025-03-31,1792.85,16265885.0,888684.0133,35.3341,6.2137,11.5
2025-04-30,1876.5,14352593.0,930405.1191,36.9827,6.5036,11.5
2025-05-31,1875.4,15218968.0,930630.1471,36.961,6.4998,11.5
2025-06-30,2040.2,19469135.0,1012935.897,37.7605,6.8238,12.5
2025-07-31,1927.0,14582000.0,957494.9959,35.6654,6.4452,12.5
2025-08-31,1839.6,8717965.0,914591.4577,34.0478,6.1528,12.5
2025-09-30,1889.8,14917093.0,940110.5268,33.4656,5.9653,12.5
2025-10-31,1993.7,17747065.0,992293.4884,35.3055,6.2933,13.5
2025-11-30,1970.5,14749367.0,981206.5596,34.8946,6.2201,13.5
2025-12-31,1962.1,10218181.0,977213.7511,35.6163,5.9841,13.5
2026-01-31,1814.1,16890471.0,903616.2425,32.9298,5.5327,13.5
2026-02-28,1901.5,11803544.0,947413.1851,34.5162,5.7993,13.5
2026-03-31,1876.6,1741286.0,935006.8682,34.0643,5.7234,13.5
