TRCL IN Equity,price,volume,mc,pe,bm,div
2012-02-29,141.0,12242797.0,33553.6282,15.9258,1.9345,1.25
2012-03-31,153.75,8378854.0,36587.7962,9.5113,1.7844,3.25
2012-04-30,148.35,2470790.0,35302.7614,9.1773,1.7218,3.25
2012-05-31,136.8,2545820.0,32554.2148,8.4628,1.5877,3.25
2012-06-30,159.8,4708079.0,38027.5111,9.8856,1.8547,3.25
2012-07-31,165.3,3383196.0,39336.3428,10.2258,1.9185,3.75
2012-08-31,179.9,9675693.0,42810.6962,11.129,2.0879,2.5
2012-09-30,192.65,8151934.0,45844.8061,11.9178,2.2359,2.5
2012-10-31,203.85,4176089.0,48510.0634,12.6106,2.3659,2.5
2012-11-30,202.9,5447634.0,48283.9925,12.5519,2.3549,3.5
2012-12-31,245.9,4304926.0,58516.677,15.212,2.8539,3.5
2013-01-31,240.95,13135559.0,57338.7284,14.9057,2.7965,3.5
2013-02-28,243.1,7749384.0,57850.3626,15.0387,2.8214,4.5
2013-03-31,254.0,7913778.0,60444.2292,14.9744,2.5496,2.5
2013-04-30,248.55,3130140.0,59147.2959,14.6531,2.4949,2.5
2013-05-31,222.45,8815767.0,52936.2944,13.1144,2.2329,2.5
2013-06-30,227.95,4795591.0,54245.1226,13.4387,2.2881,2.5
2013-07-31,159.6,6114937.0,37979.9148,9.4091,1.602,3.0
2013-08-31,152.2,3072594.0,36218.9413,8.9729,1.5277,3.0
2013-09-30,178.35,2217107.0,42441.8409,10.5145,1.7902,3.0
2013-10-31,178.65,7290337.0,42513.2317,10.5322,1.7932,3.0
2013-11-30,169.05,1878621.0,40228.7255,9.9662,1.6969,2.0
2013-12-31,191.55,3438664.0,45583.0368,11.2927,1.9227,2.0
2014-01-31,161.95,1786246.0,38539.1429,9.5477,1.6256,2.0
2014-02-28,177.75,1806472.0,42299.0592,10.4791,1.7842,1.0
2014-03-31,215.3,4880384.0,51234.8099,44.7892,2.0836,1.0
2014-04-30,216.6,9601459.0,51544.1701,45.0596,2.0962,1.0
2014-05-31,265.1,6487538.0,63085.6855,55.1491,2.5656,1.0
2014-06-30,290.45,11138771.0,69118.2096,60.4227,2.8109,1.0
2014-07-31,284.35,8060123.0,67666.5963,59.1537,2.7519,1.0
2014-08-31,334.1,2966987.0,79505.5735,69.5033,3.2333,1.0
2014-09-30,322.05,7656807.0,76638.0423,66.9965,3.1167,1.0
2014-10-31,344.75,1713960.0,82039.9475,71.7188,3.3364,1.0
2014-11-30,339.75,4697414.0,80850.1005,70.6787,3.288,1.0
2014-12-31,344.95,4535255.0,82087.5414,71.7604,3.3383,1.0
2015-01-31,363.6,4075423.0,86527.8509,75.6402,3.5188,1.0
2015-02-28,334.9,3255339.0,79697.8295,69.6697,3.2411,1.0
2015-03-31,305.15,4954009.0,72618.1895,29.5442,2.7669,1.0
2015-04-30,306.35,2611610.0,72934.8222,29.6604,2.7778,1.0
2015-05-31,323.05,2294826.0,76910.7045,31.2773,2.9292,1.0
2015-06-30,336.6,4873186.0,80136.6449,32.5892,3.0521,1.0
2015-07-31,361.9,3664624.0,86159.9875,35.0387,3.2815,1.5
2015-08-31,324.95,7183611.0,77363.0504,31.4613,2.9465,1.5
2015-09-30,327.1,2186628.0,77874.9155,31.6694,2.966,1.5
2015-10-31,361.85,4295701.0,86148.0836,35.0339,3.2811,1.5
2015-11-30,380.25,3023127.0,90528.6964,36.8153,3.4479,1.5
2015-12-31,389.1,3967027.0,92635.676,37.6722,3.5281,1.5
2016-01-31,389.0,5272732.0,92611.8683,37.6625,3.5272,1.5
2016-02-29,359.9,4230246.0,85683.8339,34.8451,3.2634,1.5
2016-03-31,399.85,4460934.0,95195.0014,17.4596,3.0383,6.0
2016-04-30,450.15,6755232.0,107170.2635,19.656,3.4205,6.0
2016-05-31,491.7,8076199.0,117062.3538,21.4703,3.7363,6.0
2016-06-30,553.65,6623797.0,131811.2105,24.1753,4.207,6.0
2016-07-31,549.8,4476799.0,130894.6149,24.0072,4.1777,6.0
2016-08-31,577.6,3294493.0,137513.1494,25.2211,4.389,6.0
2016-09-30,595.4,4088617.0,141750.9161,25.9984,4.5242,6.0
2016-10-31,634.55,3359447.0,151071.6222,27.7079,4.8217,6.0
2016-11-30,610.2,6174675.0,145274.4525,26.6446,4.6367,6.0
2016-12-31,548.0,5926255.0,130466.0767,23.9286,4.1641,6.0
2017-01-31,702.75,5562506.0,167308.4587,30.6859,5.34,6.0
2017-02-28,665.65,4590732.0,158475.8101,29.0659,5.0581,6.0
2017-03-31,672.65,5557060.0,160142.3476,24.166,4.2193,6.0
2017-04-30,687.3,4819044.0,163630.1724,24.6924,4.3112,6.0
2017-05-31,724.15,4717644.0,172403.3018,26.0163,4.5424,0.0
2017-06-30,694.95,5874242.0,165451.4598,24.9672,4.3592,0.0
2017-07-31,678.7,4792606.0,161582.7121,24.3834,4.2573,3.0
2017-08-31,690.8,5122944.0,164463.4412,24.8181,4.3332,3.0
2017-09-30,692.4,7339504.0,164844.364,24.8756,4.3432,3.0
2017-10-31,720.85,4796493.0,171617.6485,25.8977,4.5217,3.0
2017-11-30,700.05,5590396.0,166665.6512,25.1504,4.3912,3.0
2017-12-31,785.6,10710328.0,187033.1199,28.2239,4.9278,3.0
2018-01-31,758.25,4491442.0,180521.72,27.2414,4.7563,3.0
2018-02-28,752.6,5650167.0,179176.5846,27.0384,4.7208,3.0
2018-03-31,723.75,7229993.0,170498.6945,32.3559,4.1457,3.0
2018-04-30,823.7,8010918.0,194044.5937,36.8243,4.7182,3.0
2018-05-31,773.55,6300709.0,182230.4182,34.5823,4.431,3.0
2018-06-30,702.4,6163292.0,165469.1303,31.4014,4.0234,3.0
2018-07-31,718.0,10827376.0,169144.128,32.0989,4.1128,3.0
2018-08-31,689.35,9129526.0,162394.8533,30.818,3.9487,3.0
2018-09-30,643.15,5269416.0,151511.2061,28.7526,3.684,3.0
2018-10-31,599.65,6810825.0,141263.6161,26.8079,3.4349,3.0
2018-11-30,603.2,4817676.0,142099.9137,26.9666,3.4552,3.0
2018-12-31,639.9,5582474.0,150745.5815,28.6073,3.6654,3.0
2019-01-31,600.7,8468715.0,141510.9717,26.8548,3.4409,3.0
2019-02-28,670.9,7475914.0,158048.4617,29.9932,3.843,3.0
2019-03-31,735.9,9503270.0,173360.9524,31.9483,3.821,3.0
2019-04-30,774.4,6728635.0,182430.6584,33.6197,4.021,3.0
2019-05-31,816.1,7041229.0,192254.2102,35.4301,4.2375,3.0
2019-06-30,783.95,5485136.0,184680.4167,34.0343,4.0705,3.0
2019-07-31,736.4,5589274.0,173478.7408,31.97,3.8236,3.0
2019-08-31,728.1,6971522.0,171523.4535,31.6097,3.7805,3.0
2019-09-30,751.9,6330263.0,177130.1809,32.6429,3.9041,3.0
2019-10-31,784.8,7570541.0,184880.6569,34.0712,4.075,3.0
2019-11-30,800.7,6848869.0,188626.3277,34.7615,4.1575,3.0
2019-12-31,754.65,4268521.0,177778.017,32.7623,3.9184,3.0
2020-01-31,781.35,18676318.0,184067.9171,33.9215,4.057,3.0
2020-02-29,770.1,7051830.0,181417.6783,33.4331,3.9986,3.0
2020-03-31,512.85,15368260.0,120815.5516,19.3766,2.4157,2.5
2020-04-30,552.7,15482330.0,130203.2863,20.8822,2.6034,2.5
2020-05-31,603.6,18856425.0,142194.1444,22.8053,2.8431,2.5
