MGFL IN Equity,price,volume,mc,pe,bm,div
2012-04-30,30.05,73328260.0,25275.1478,27.7626,6.4465,0.5
2012-05-31,20.4,177561145.0,17158.503,18.8471,4.3763,0.5
2012-06-30,31.4,206228635.0,26410.637,29.0098,6.7361,0.5
2012-07-31,33.55,95197731.0,28220.6857,30.9962,7.1973,2.1
2012-08-31,34.3,76948099.0,28851.5505,31.6891,7.3582,1.5
2012-09-30,39.75,55010049.0,33435.8348,36.7242,8.5274,1.5
2012-10-31,36.85,49984484.0,30997.7436,34.045,7.9053,1.5
2012-11-30,36.55,91375991.0,30745.3875,33.7678,7.8409,1.5
2012-12-31,33.8,39675619.0,28432.1231,31.2271,7.251,1.5
2013-01-31,43.55,177440891.0,36633.697,40.235,9.3426,1.5
2013-02-28,34.7,53368217.0,29189.8861,32.0586,7.444,1.0
2013-03-31,21.6,115573398.0,18170.0732,19.9558,4.6338,2.5
2013-04-30,17.35,102134349.0,14594.9431,16.0293,3.722,2.5
2013-05-31,17.5,74821252.0,14721.1241,16.1679,3.7542,2.5
2013-06-30,10.6,45948915.0,8916.7958,9.7931,2.274,2.5
2013-07-31,12.75,68211513.0,10725.3912,11.7795,2.7352,1.5
2013-08-31,18.6,57140328.0,15646.4531,17.1842,3.9902,1.8
2013-09-30,14.5,38468868.0,12197.5037,13.3963,3.1106,1.8
2013-10-31,16.0,31819849.0,13459.3145,14.7821,3.4324,1.8
2013-11-30,16.35,63461191.0,13753.737,15.1054,3.5075,1.8
2013-12-31,15.65,44167166.0,13164.8919,14.4587,3.3573,1.8
2014-01-31,19.75,126860513.0,16613.8413,18.2466,4.2369,1.8
2014-02-28,22.65,68160630.0,19053.342,20.9259,4.859,1.8
2014-03-31,21.5,33785655.0,18085.9538,7.9926,0.7258,1.8
2014-04-30,22.25,35826654.0,18716.8592,8.2714,0.7512,1.8
2014-05-31,20.8,84625792.0,17497.1088,7.7323,0.7022,1.35
2014-06-30,23.55,113106106.0,19810.4285,8.7546,0.795,1.35
2014-07-31,22.35,94353876.0,18800.9799,8.3086,0.7545,1.8
2014-08-31,25.95,152253787.0,21829.3256,9.6468,0.8761,1.8
2014-09-30,29.55,149199957.0,24857.6714,10.9851,0.9976,1.8
2014-10-31,31.5,65258213.0,26498.0253,11.71,1.0634,1.8
2014-11-30,36.75,75791234.0,30914.3629,13.6617,1.2407,1.8
2014-12-31,34.1,44583737.0,28685.1639,12.6766,1.1512,1.8
2015-01-31,31.9,49903776.0,26834.5082,11.8587,1.0769,1.8
2015-02-28,34.85,57140976.0,29316.0629,12.9554,1.1765,1.8
2015-03-31,32.45,28520859.0,27297.1721,10.0464,1.0368,1.8
2015-04-30,34.7,17143500.0,29189.8882,10.743,1.1087,1.8
2015-05-31,31.65,26775222.0,26624.2064,9.7988,1.0113,2.25
2015-06-30,28.2,21255275.0,23722.0417,8.7307,0.901,2.25
2015-07-31,27.15,26289496.0,22838.7742,8.4056,0.8675,1.8
2015-08-31,23.2,38105058.0,19516.006,7.1827,0.7413,1.35
2015-09-30,24.05,126465208.0,20231.032,7.4458,0.7684,1.8
2015-10-31,24.2,32697810.0,20357.2131,7.4923,0.7732,1.8
2015-11-30,26.6,95768779.0,22376.1103,8.2353,0.8499,1.8
2015-12-31,29.45,106777752.0,24773.5507,9.1176,0.941,1.8
2016-01-31,28.6,72493637.0,24058.5246,8.8545,0.9138,1.8
2016-02-29,30.15,76005793.0,25362.3957,9.3344,0.9633,1.8
2016-03-31,35.0,59920936.0,29442.2504,8.3333,1.0675,2.25
2016-04-30,40.05,60965331.0,33690.3465,9.5357,1.2215,2.25
2016-05-31,53.65,134434498.0,45130.7638,12.7738,1.6363,1.8
2016-06-30,68.95,168677160.0,58009.8099,16.4167,2.103,1.8
2016-07-31,82.0,155229731.0,68989.1865,19.5238,2.501,1.8
2016-08-31,85.3,218155943.0,71765.5806,20.3095,2.6017,2.3
2016-09-30,91.5,133396202.0,76981.8362,21.7857,2.7908,1.85
2016-10-31,102.7,78303833.0,86404.7495,24.4524,3.1324,1.85
2016-11-30,77.0,164555931.0,64782.5288,18.3333,2.3485,1.9
2016-12-31,67.3,93104522.0,56640.4958,16.0238,2.0527,1.9
2017-01-31,78.95,79372180.0,66445.277,18.7976,2.408,1.9
2017-02-28,97.15,132116005.0,81790.5459,23.131,2.9631,2.0
2017-03-31,98.15,135771548.0,82632.4455,10.9298,2.458,2.0
2017-04-30,93.45,71979222.0,78680.1887,10.4065,2.3403,2.0
2017-05-31,89.2,79777594.0,75101.903,9.9332,2.2338,2.0
2017-06-30,97.95,106247581.0,82468.9618,10.9076,2.453,2.0
2017-07-31,106.75,143558001.0,89878.1182,11.8875,2.6734,2.0
2017-08-31,99.3,240443348.0,83605.5938,11.0579,2.4868,2.0
2017-09-30,96.65,201815298.0,81374.4274,10.7628,2.4204,2.0
2017-10-31,100.8,114346229.0,84868.5182,11.2249,2.5244,2.0
2017-11-30,105.35,172641929.0,88700.5128,11.7316,2.6383,2.0
2017-12-31,123.4,200633734.0,103897.8953,13.7416,3.0903,2.0
2018-01-31,110.95,142102917.0,93415.7394,12.3552,2.7785,2.0
2018-02-28,107.95,117877214.0,90889.8486,12.0212,2.7034,2.0
2018-03-31,109.05,63262722.0,91817.0501,13.5803,2.395,2.0
2018-04-30,122.25,64012578.0,102999.9969,15.2242,2.6849,2.0
2018-05-31,107.7,107973485.0,90741.1016,13.4122,2.3654,2.0
2018-06-30,98.5,55543056.0,82989.9399,12.2665,2.1633,2.0
2018-07-31,105.4,91131479.0,88803.4484,13.1258,2.3149,2.0
2018-08-31,100.1,67853247.0,84338.1699,12.4658,2.1985,2.05
2018-09-30,72.4,94929848.0,60999.8352,9.0162,1.5901,2.05
2018-10-31,79.9,84838845.0,67340.5076,9.9502,1.7548,2.05
2018-11-30,86.3,64323200.0,72734.4907,10.7472,1.8954,2.1
2018-12-31,93.0,60004766.0,78381.3167,11.5816,2.0425,2.1
2019-01-31,92.2,58016273.0,77707.0688,11.4819,2.025,2.1
2019-02-28,113.05,98157797.0,95279.6543,14.0785,2.4829,2.15
2019-03-31,125.3,75517140.0,105604.0751,11.447,2.334,2.15
2019-04-30,117.95,64287901.0,99451.412,10.7755,2.1971,2.15
2019-05-31,134.8,95985699.0,113658.7566,12.3149,2.5109,2.2
2019-06-30,138.2,142168749.0,116525.5205,12.6255,2.5743,2.2
2019-07-31,113.55,105853065.0,95752.396,10.3735,2.1151,2.2
2019-08-31,118.85,128265295.0,100221.6844,10.8577,2.2138,2.2
2019-09-30,141.2,90289246.0,119068.5893,12.8996,2.6301,2.2
2019-10-31,169.35,102236281.0,143095.0834,15.4712,3.1545,2.2
2019-11-30,154.4,69137537.0,130462.8336,14.1055,2.876,2.2
2019-12-31,177.4,79676186.0,149899.1495,16.2067,3.3044,2.2
2020-01-31,188.05,84980989.0,158898.1684,17.1796,3.5028,2.2
2020-02-29,162.75,230266865.0,137520.2175,14.8683,3.0316,2.2
2020-03-31,94.75,233607267.0,80063.0986,5.4549,1.3933,2.2
2020-04-30,134.15,234924121.0,113380.4138,7.7232,1.9727,2.2
2020-05-31,125.2,238973520.0,105816.085,7.2079,1.8411,2.2
2020-06-30,151.35,274122315.0,127917.4478,8.7134,2.2257,2.2
2020-07-31,158.5,259078652.0,133960.4591,9.125,2.3308,2.2
2020-08-31,148.0,229693390.0,125086.1069,8.5205,2.1764,1.65
2020-09-30,157.15,192412595.0,132819.4709,9.0473,2.311,1.65
2020-10-31,155.4,118436165.0,131491.3153,8.9466,2.2852,1.65
2020-11-30,179.85,176164403.0,152179.6207,10.3542,2.6448,1.7
2020-12-31,165.5,118551436.0,140042.7451,9.528,2.4338,1.7
2021-01-31,156.1,110290889.0,132088.6557,8.9869,2.2955,1.7
2021-02-28,176.1,131101496.0,149012.2503,10.1383,2.5896,1.8
2021-03-31,149.2,111096168.0,126277.6176,7.3137,1.7281,1.8
2021-04-30,149.05,91780985.0,126150.6629,7.3064,1.7263,1.8
2021-05-31,162.9,134643022.0,137872.8144,7.9853,1.8867,1.25
2021-06-30,168.75,138186653.0,142824.048,8.2721,1.9545,2.0
2021-07-31,207.35,199971433.0,175493.7266,10.1642,2.4016,2.0
2021-08-31,160.4,202764038.0,135756.9025,7.8627,1.8578,2.75
2021-09-30,169.15,113590538.0,143167.6684,8.2917,1.9591,2.75
2021-10-31,207.8,137077215.0,175880.8247,10.1863,2.4068,2.75
2021-11-30,163.45,128547918.0,138343.2185,8.0123,1.8931,2.9
2021-12-31,164.6,66738138.0,139316.5724,8.0686,1.9064,2.9
2022-01-31,157.7,84208138.0,133476.4488,7.7304,1.8265,2.9
2022-02-28,113.95,205959586.0,96446.6794,5.5858,1.3198,3.0
2022-03-31,113.55,137969537.0,96108.1215,7.2325,1.1485,3.0
2022-04-30,115.1,113994814.0,97420.0333,7.3312,1.1641,3.0
2022-05-31,95.55,159114858.0,80873.0164,6.086,0.9664,3.0
2022-06-30,85.0,91262210.0,71943.552,5.414,0.8597,3.0
2022-07-31,98.35,110714978.0,83242.9216,6.2643,0.9947,3.0
2022-08-31,105.8,169936498.0,89548.5623,6.7389,1.0701,3.0
2022-09-30,97.45,134002593.0,82481.1663,6.207,0.9856,3.0
2022-10-31,105.3,85856681.0,89125.365,6.707,1.065,3.0
2022-11-30,115.15,201677754.0,97462.353,7.3344,1.1647,3.0
2022-12-31,116.15,190853641.0,98308.7478,7.3981,1.1748,3.0
2023-01-31,115.0,160621306.0,97335.3938,7.3248,1.1631,3.0
2023-02-28,102.7,102445368.0,86924.7387,6.5414,1.0387,3.0
2023-03-31,123.7,161749927.0,104699.028,6.9987,1.0855,3.0
2023-04-30,129.7,90867240.0,109777.3964,7.3382,1.1382,3.0
2023-05-31,110.25,539528473.0,93315.0189,6.2377,0.9675,3.0
2023-06-30,132.35,368504317.0,112020.3424,7.4881,1.1614,3.0
2023-07-31,139.1,164829790.0,117733.5068,7.87,1.2207,3.0
2023-08-31,154.6,516117630.0,130852.6251,8.747,1.3567,3.05
2023-09-30,149.85,216937722.0,126838.2441,8.4782,1.315,3.05
2023-10-31,137.45,145148115.0,116342.4535,7.7766,1.2062,3.05
2023-11-30,164.4,293909356.0,139153.8694,9.3014,1.4427,3.15
2023-12-31,172.0,215393223.0,145586.7734,9.7314,1.5094,3.15
2024-01-31,184.75,220205900.0,156378.8162,10.4528,1.6213,3.15
2024-02-29,176.2,182791607.0,149141.7992,9.969,1.5463,3.3
2024-03-31,173.15,168759014.0,146560.1733,6.6961,1.2691,3.3
