EID IN Equity,price,volume,mc,pe,bm,div
2007-09-30,77.9,9425962.0,13904.9943,4.0698,1.4931,2.95
2007-10-31,74.0,3371626.0,13208.8521,3.8661,1.4183,0.7
2007-11-30,79.15,2194708.0,14128.1168,4.1351,1.517,0.7
2007-12-31,86.15,3520022.0,15377.6028,4.5008,1.6512,0.7
2008-01-31,92.18,7326264.0,16453.0533,4.8156,1.7667,0.7
2008-02-29,90.9,764068.0,16225.4683,4.749,1.7422,0.7
2008-03-31,86.73,10301946.0,15480.2391,14.781,1.4445,0.7
2008-04-30,111.93,7942310.0,19978.3888,19.076,1.8642,0.7
2008-05-31,100.4,1155988.0,17921.1993,17.1117,1.6722,0.7
2008-06-30,90.4,674466.0,16136.2193,15.4074,1.5057,0.7
2008-07-31,109.68,4562188.0,19576.7683,18.6925,1.8267,0.25
2008-08-31,113.65,2367772.0,20286.2978,19.37,1.8929,0.25
2008-09-30,98.78,1284894.0,17631.1401,16.8348,1.6452,0.25
2008-10-31,82.38,8875948.0,14703.7728,14.0396,1.372,2.0
2008-11-30,67.05,521112.0,11968.291,11.4277,1.1168,2.0
2008-12-31,75.8,1539716.0,13530.1485,12.919,1.2625,2.0
2009-01-31,72.55,1201710.0,12950.03,12.3651,1.2084,2.0
2009-02-28,70.03,8174036.0,12499.3225,11.9347,1.1663,2.0
2009-03-31,70.63,4877840.0,12163.5743,1.3168,0.7833,10.0
2009-04-30,85.03,3941976.0,14643.6517,1.5853,0.943,10.0
2009-05-31,131.95,4614532.0,22725.4318,2.4601,1.4634,10.0
2009-06-30,132.98,5950598.0,22906.8855,2.4793,1.4748,10.0
2009-07-31,147.55,4191624.0,25417.6421,2.751,1.6365,8.0
2009-08-31,163.85,14705618.0,28250.5917,3.0549,1.8172,8.0
2009-09-30,155.38,4880198.0,26801.4099,2.8969,1.7232,8.0
2009-10-31,154.53,3965106.0,26657.1376,2.881,1.7138,8.0
2009-11-30,167.88,3088610.0,28973.8812,3.13,1.8619,8.0
2009-12-31,184.65,4276754.0,31871.9943,3.4427,2.0479,8.0
2010-01-31,187.05,6068602.0,32294.8549,3.4875,2.0745,8.0
2010-02-28,169.5,3656422.0,29265.1232,3.1602,1.8799,6.0
2010-03-31,170.85,4698296.0,29507.2987,7.4869,1.6153,6.0
2010-04-30,186.05,4008324.0,32133.997,8.1529,1.759,6.0
2010-05-31,178.08,2161540.0,30756.5789,7.8035,1.6836,6.0
2010-06-30,206.8,3121450.0,35734.2139,9.0622,1.9552,6.0
2010-07-31,192.6,2637436.0,33281.2806,8.44,1.821,5.0
2010-08-31,195.9,6606212.0,33851.5206,8.5846,1.8522,5.0
2010-09-30,214.1,5304780.0,37022.299,9.3821,2.0242,5.0
2010-10-31,248.4,8669170.0,42963.7622,10.8852,2.3485,5.0
2010-11-30,243.7,7766552.0,42182.6196,10.6792,2.3041,5.0
2010-12-31,277.1,4914658.0,47963.8764,12.1429,2.6199,5.0
2011-01-31,222.1,4168453.0,38443.7999,9.7327,2.0999,5.0
2011-02-28,196.6,1566343.0,34029.9463,8.6152,1.8588,5.0
2011-03-31,213.7,1466925.0,37012.4546,11.8328,1.6512,4.0
2011-04-30,236.65,1841559.0,40987.3532,13.1035,1.8285,4.0
2011-05-31,211.7,1625082.0,36677.9133,11.722,1.6357,4.0
2011-06-30,251.5,2120559.0,43574.739,13.9258,1.9433,4.0
2011-07-31,269.85,4192258.0,46754.0489,14.9419,2.085,4.0
2011-08-31,248.0,4327605.0,42995.9594,13.732,1.9162,4.0
2011-09-30,225.85,1014720.0,39178.2894,12.5055,1.7451,2.0
2011-10-31,222.55,1023087.0,38615.2503,12.3228,1.7196,2.0
2011-11-30,196.85,2298284.0,34178.0032,10.8998,1.521,2.0
2011-12-31,188.75,1208961.0,32772.1162,10.4513,1.4584,2.0
2012-01-31,207.35,2160151.0,36001.5804,11.4812,1.6021,2.0
2012-02-29,194.25,1420154.0,33731.046,10.7558,1.5009,2.0
2012-03-31,189.45,6017342.0,32900.3618,10.5075,1.3574,6.0
2012-04-30,180.35,2205095.0,31320.033,10.0028,1.2922,6.0
2012-05-31,182.15,845256.0,31640.4217,10.1026,1.3051,4.0
2012-06-30,176.55,726887.0,30667.672,9.792,1.2649,4.0
2012-07-31,211.0,4019907.0,36652.4508,11.7027,1.5118,4.0
2012-08-31,214.9,1853641.0,37339.9505,11.919,1.5397,4.0
2012-09-30,227.8,1672653.0,39593.2362,12.6345,1.6321,4.0
2012-10-31,232.8,2189887.0,40468.2745,12.9118,1.668,4.0
2012-11-30,231.4,1193644.0,40224.9086,12.8342,1.6579,4.0
2012-12-31,206.65,1025795.0,35922.5469,11.4615,1.4806,4.0
2013-01-31,179.1,4322264.0,31137.1264,9.9334,1.2832,4.0
2013-02-28,144.4,1735964.0,25115.2464,8.0089,1.0346,6.0
2013-03-31,149.0,3296632.0,25915.3165,12.5105,1.0765,6.0
2013-04-30,153.4,2235220.0,26962.6435,12.8799,1.1083,6.0
2013-05-31,141.05,4447354.0,24792.697,11.843,1.0191,6.0
2013-06-30,133.3,3037796.0,23430.4568,11.1923,0.9631,6.0
2013-07-31,121.6,1187003.0,21374.3617,10.2099,0.8785,6.0
2013-08-31,114.45,829650.0,20117.5633,9.6096,0.8269,6.0
2013-09-30,129.9,1065847.0,22834.6008,10.9068,0.9385,6.0
2013-10-31,144.55,1964869.0,25409.8656,12.1369,1.0443,6.0
2013-11-30,136.9,2223866.0,24065.1028,11.4945,0.9891,6.0
2013-12-31,140.85,1370883.0,24759.4575,11.8262,1.0176,6.0
2014-01-31,127.4,2184157.0,22395.1358,10.6969,0.9204,6.0
2014-02-28,126.35,1042092.0,22210.5605,10.6087,0.9129,6.0
2014-03-31,134.05,5048005.0,23564.1127,30.1914,0.9752,0.0
2014-04-30,151.75,5004224.0,26675.5248,34.1779,1.1039,0.0
2014-05-31,198.3,8886080.0,34858.3629,44.6622,1.4425,0.0
2014-06-30,210.0,7179021.0,36915.0591,47.2973,1.5277,0.0
2014-07-31,194.1,3256202.0,34120.0617,43.7162,1.412,0.0
2014-08-31,209.0,4228049.0,36740.6731,47.0721,1.5204,0.0
2014-09-30,230.1,8083493.0,40455.004,51.8243,1.6739,0.0
2014-10-31,219.6,3815436.0,38608.9477,49.4595,1.5975,0.0
2014-11-30,215.15,4216902.0,37826.5715,48.4572,1.5651,0.0
2014-12-31,201.75,3460472.0,35470.6521,45.4392,1.4676,0.0
2015-01-31,192.9,1937539.0,33914.6904,43.4459,1.4033,0.0
2015-02-28,176.05,1991184.0,30952.2312,39.6509,1.2807,0.0
2015-03-31,175.15,4583557.0,30793.9763,26.378,1.3828,2.0
2015-04-30,163.45,4996405.0,28736.9422,24.616,1.2904,2.0
2015-05-31,162.1,903259.0,28499.5921,24.4127,1.2797,2.0
2015-06-30,140.95,3510708.0,24781.1074,21.2274,1.1128,2.0
2015-07-31,148.2,6225279.0,26055.7653,22.3193,1.17,1.0
2015-08-31,133.45,3869923.0,23462.4958,20.0979,1.0535,1.0
2015-09-30,131.3,1713895.0,23084.4938,19.7741,1.0366,1.0
2015-10-31,173.75,16460077.0,30547.8355,26.1672,1.3717,1.0
2015-11-30,185.7,12895726.0,32648.8233,27.9669,1.466,1.0
2015-12-31,198.45,7619461.0,34890.463,29.887,1.5667,1.0
2016-01-31,183.8,9484762.0,32314.775,27.6807,1.451,1.0
2016-02-29,168.8,5714153.0,29677.5518,25.4217,1.3326,1.0
2016-03-31,217.7,12472787.0,38274.8995,111.641,1.6033,1.0
2016-04-30,229.15,8099904.0,40287.9798,117.5128,1.6876,0.0
2016-05-31,234.55,9915852.0,41237.3802,120.2821,1.7273,0.0
2016-06-30,253.6,12261794.0,44595.666,130.0513,1.8676,0.0
2016-07-31,259.7,7339322.0,45668.3536,133.1795,1.9126,0.0
2016-08-31,253.4,6043712.0,44560.4959,129.9487,1.8662,0.0
2016-09-30,246.5,6123560.0,43347.1281,126.4103,1.8153,0.0
2016-10-31,269.95,6970026.0,47470.8204,138.4359,1.988,0.0
2016-11-30,247.8,6577255.0,43575.7336,127.0769,1.8249,0.0
2016-12-31,255.2,3634503.0,44882.2525,130.8718,1.8794,0.0
2017-01-31,282.05,7926163.0,49604.386,144.641,2.0772,0.0
2017-02-28,288.35,6944104.0,50712.3727,147.8718,2.1236,0.0
2017-03-31,283.15,6207321.0,49797.844,9.6179,1.8106,4.0
2017-04-30,300.9,16677454.0,52919.5524,10.2208,1.9241,4.0
2017-05-31,334.75,10616192.0,58872.7822,11.3706,2.1406,4.0
2017-06-30,309.45,5790579.0,54758.0595,10.5112,1.9788,4.0
2017-07-31,336.85,5150218.0,59606.5676,11.4419,2.154,4.0
2017-08-31,323.75,4884081.0,57288.4853,10.9969,2.0702,4.0
2017-09-30,343.1,7298833.0,60723.8678,11.6542,2.194,4.0
2017-10-31,371.85,5771099.0,65812.2129,12.6308,2.3778,4.0
2017-11-30,369.1,4742897.0,65328.8482,12.5374,2.3602,4.0
2017-12-31,371.1,2700239.0,65682.8382,12.6053,2.373,4.0
2018-01-31,328.45,4003540.0,58134.0022,11.1566,2.1003,4.0
2018-02-28,316.55,2543226.0,56027.7612,10.7524,2.0242,4.0
2018-03-31,273.7,3465868.0,48443.5263,18.9281,1.6311,4.0
2018-04-30,274.4,2924778.0,48567.4228,18.9765,1.6353,4.0
2018-05-31,236.8,4368519.0,41912.4115,16.3762,1.4112,0.0
2018-06-30,240.85,4643517.0,42629.2412,16.6563,1.4354,0.0
2018-07-31,227.55,6838351.0,40275.2079,15.7365,1.3561,3.0
2018-08-31,216.3,3068250.0,38284.0144,14.9585,1.2891,3.0
2018-09-30,198.95,12452000.0,35213.1515,13.7586,1.1857,3.0
2018-10-31,223.5,5861259.0,39558.3783,15.4564,1.332,3.0
2018-11-30,209.3,3133098.0,37045.0495,14.4744,1.2473,3.0
2018-12-31,206.65,1830706.0,36576.0128,14.2911,1.2315,3.0
2019-01-31,202.4,8448177.0,35823.7842,13.9972,1.2062,3.0
2019-02-28,185.15,3724249.0,32770.6207,12.8043,1.1034,5.0
2019-03-31,204.65,6233668.0,36222.0229,23.6044,1.158,5.0
2019-04-30,193.65,1442070.0,34275.0781,22.3356,1.0958,6.0
2019-05-31,186.7,3315690.0,33044.963,21.534,1.0565,6.0
2019-06-30,183.25,2594923.0,32434.3303,21.1361,1.0369,6.0
2019-07-31,143.2,3079974.0,25345.6813,16.5167,0.8103,3.0
2019-08-31,154.05,2143716.0,27266.0768,17.7682,0.8717,3.0
2019-09-30,164.75,5307370.0,29159.9231,19.0023,0.9323,3.0
2019-10-31,170.85,2898226.0,30239.5925,19.7059,0.9668,3.0
2019-11-30,177.7,8935146.0,31452.0081,20.496,1.0055,3.0
2019-12-31,201.55,10333097.0,35673.3384,23.2468,1.1405,3.0
2020-01-31,230.2,9876950.0,40744.2446,26.5513,1.3026,3.0
2020-02-29,188.4,5411263.0,33345.8544,21.7301,1.0661,1.0
2020-03-31,139.05,5226580.0,24611.1521,5.2611,0.6993,1.0
2020-04-30,145.35,5308935.0,25726.2205,5.4994,0.731,1.0
2020-05-31,195.75,12338823.0,34646.7675,7.4064,0.9844,1.0
2020-06-30,276.75,25430656.0,48983.361,10.4711,1.3918,0.0
2020-07-31,290.5,17658714.0,51417.042,10.9913,1.4609,0.0
2020-08-31,286.65,13292650.0,50735.6113,10.8456,1.4416,0.0
2020-09-30,282.95,12707268.0,50080.7299,10.7056,1.423,0.0
2020-10-31,275.7,5505785.0,48797.5168,10.4313,1.3865,0.0
2020-11-30,346.8,10010760.0,61381.8601,13.1215,1.7441,0.0
2020-12-31,343.65,11258223.0,60852.4069,13.0023,1.7282,0.0
2021-01-31,340.55,7616455.0,60303.4692,12.885,1.7126,0.0
2021-02-28,317.8,5710459.0,56274.9743,12.0242,1.5982,0.0
2021-03-31,318.35,6763963.0,56380.5468,12.5979,1.2302,0.0
2021-04-30,346.55,10757910.0,61374.8343,13.7139,1.3392,0.0
2021-05-31,418.05,30006827.0,74037.6554,16.5433,1.6155,0.0
2021-06-30,426.45,27445172.0,75525.3155,16.8757,1.6479,0.0
2021-07-31,437.0,14856131.0,77393.7449,17.2932,1.6887,0.0
2021-08-31,403.75,7443958.0,71505.0904,15.9774,1.5602,0.0
2021-09-30,420.7,7201381.0,74586.8975,16.6482,1.6257,0.0
2021-10-31,456.95,10707327.0,81013.7457,18.0827,1.7658,0.0
2021-11-30,466.45,9399377.0,82698.0232,18.4586,1.8025,5.5
2021-12-31,451.35,3581188.0,80063.4081,17.8611,1.7442,5.5
2022-01-31,484.9,10450030.0,86014.726,19.1888,1.8738,5.5
2022-02-28,413.95,7739608.0,73429.152,16.3811,1.5996,5.5
2022-03-31,452.45,12704365.0,80258.5332,8.8421,1.507,11.0
2022-04-30,530.95,12307830.0,94183.3754,10.3762,1.7685,11.0
2022-05-31,555.65,12491333.0,98564.8226,10.8589,1.8507,11.0
2022-06-30,530.6,14826504.0,94149.7515,10.3694,1.7673,11.0
2022-07-31,559.85,10749142.0,99339.8764,10.941,1.8647,11.0
2022-08-31,529.85,8222631.0,94016.6714,10.3547,1.7648,11.0
2022-09-30,597.75,11530997.0,106088.942,11.6816,1.9909,11.0
2022-10-31,619.4,8653444.0,109931.3938,12.1047,2.0631,11.0
2022-11-30,602.4,6018543.0,106914.2261,11.7725,2.0064,11.0
2022-12-31,568.55,5495181.0,100912.9447,11.111,1.8937,11.0
2023-01-31,543.85,5245172.0,96542.9419,10.6283,1.8114,11.0
2023-02-28,502.35,2929721.0,89175.9618,9.8173,1.6732,11.0
2023-03-31,468.7,4625828.0,83202.4949,8.7788,1.3674,5.5
2023-04-30,502.6,3707774.0,89220.3412,9.4137,1.4663,9.5
2023-05-31,471.25,3950840.0,83655.1648,8.8266,1.3748,9.5
2023-06-30,462.4,6085221.0,82084.1341,8.6608,1.349,9.5
2023-07-31,495.6,9504143.0,87977.7181,9.2826,1.4459,9.5
2023-08-31,477.85,8420384.0,84826.7809,8.9502,1.3941,9.5
2023-09-30,521.95,25524584.0,92655.3066,9.7762,1.5227,9.5
2023-10-31,461.55,7783389.0,81933.2441,8.6449,1.3465,9.5
2023-11-30,535.1,33468518.0,94989.6629,10.0225,1.5611,8.0
2023-12-31,556.9,20008619.0,98859.5464,10.4308,1.6247,8.0
2024-01-31,624.75,13553008.0,110904.115,11.7016,1.8226,8.0
2024-02-29,629.5,27564846.0,111747.3235,11.7906,1.8365,8.0
2024-03-31,545.7,4685119.0,96871.3494,10.7676,1.3725,8.0
2024-04-30,618.5,5850395.0,109794.63,12.204,1.5556,8.0
2024-05-31,668.05,14921649.0,118590.6267,13.1817,1.6802,8.0
2024-06-30,763.75,30057866.0,135579.0601,15.07,1.9209,4.0
2024-07-31,820.9,16199366.0,145724.1905,16.1977,2.0646,4.0
2024-08-31,829.4,14523863.0,147233.09,16.3654,2.086,4.0
2024-09-30,857.75,9583669.0,152308.2323,16.9248,2.1573,4.0
2024-10-31,806.55,7818588.0,143216.7937,15.9146,2.0285,4.0
2024-11-30,857.65,9259929.0,152290.4756,16.9228,2.157,4.0
2024-12-31,893.65,17312639.0,158700.232,17.6332,2.2476,4.0
2025-01-31,819.9,4591286.0,145603.223,16.178,2.0621,0.0
2025-02-28,664.1,6561248.0,117987.6977,13.1038,1.6702,0.0
2025-03-31,785.6,5832853.0,139662.6278,15.8803,1.7599,0.0
2025-04-30,817.35,4264591.0,145307.0886,16.5221,1.831,0.0
2025-05-31,950.15,6557549.0,168916.046,19.2066,2.1286,0.0
2025-06-30,1110.0,8332020.0,197333.9063,22.4378,2.4867,0.0
2025-07-31,1233.5,6856654.0,219311.4696,24.9343,2.7633,0.0
2025-08-31,1125.8,6109790.0,200162.8314,22.7572,2.522,0.0
2025-09-30,1025.5,4239061.0,182396.8698,20.7297,2.2974,0.0
2025-10-31,1072.4,3290858.0,190738.5696,21.6778,2.4024,0.0
2025-11-30,1030.9,3871160.0,183357.3214,20.8389,2.3094,0.0
2025-12-31,1034.7,3984429.0,184044.9003,20.9157,2.318,0.0
2026-01-31,920.0,4883112.0,163642.8996,18.5971,2.061,0.0
2026-02-28,865.2,5103998.0,153895.4747,17.4894,1.9382,0.0
2026-03-31,836.65,1288616.0,148817.213,16.9123,1.8743,0.0
