DFPC IN Equity,price,volume,mc,pe,bm,div
2007-04-30,82.03,952726.0,7462.1348,8.1106,1.1512,2.9088
2007-05-31,84.07,2669543.0,7647.3651,8.3119,1.1798,2.9088
2007-06-30,87.8,4367515.0,7986.9539,8.681,1.2322,2.9088
2007-07-31,101.91,9674948.0,9270.3353,10.0759,1.4301,2.9088
2007-08-31,102.25,13179987.0,9301.207,10.1094,1.4349,2.9088
2007-09-30,115.87,12717310.0,10540.4977,11.4564,1.6261,2.9088
2007-10-31,129.39,10705913.0,11770.9575,12.7938,1.8159,2.9088
2007-11-30,139.28,14700891.0,12670.6485,13.7716,1.9547,2.9088
2007-12-31,164.25,9611721.0,14941.9273,16.2403,2.3051,2.9088
2008-01-31,114.66,5385164.0,10430.2415,11.3366,1.6091,2.9088
2008-02-29,127.16,18564978.0,11568.086,12.5733,1.7846,2.9088
2008-03-31,96.33,18363212.0,8763.1669,5.6338,1.2189,2.9088
2008-04-30,106.08,16706116.0,9649.6272,6.2037,1.3422,2.9088
2008-05-31,102.58,12705328.0,9332.0892,5.9996,1.2981,2.9088
2008-06-30,85.03,14677729.0,7735.5787,4.9732,1.076,2.9088
2008-07-31,100.89,7016335.0,9177.7304,5.9003,1.2766,3.3936
2008-08-31,89.11,7844619.0,8106.0397,5.2113,1.1275,3.3936
2008-09-30,71.12,3776623.0,6469.8369,4.1594,0.8999,3.3936
2008-10-31,53.33,5351319.0,4851.2751,3.1189,0.6748,3.3936
2008-11-30,48.38,1705522.0,4401.4296,2.8297,0.6122,3.3936
2008-12-31,57.21,3002716.0,5204.0951,3.3457,0.7239,3.3936
2009-01-31,52.89,1854525.0,4811.5828,3.0934,0.6693,3.3936
2009-02-28,51.68,2146227.0,4701.3266,3.0225,0.6539,3.3936
2009-03-31,54.69,1367783.0,4974.7621,3.6317,0.614,3.3936
2009-04-30,66.13,4096933.0,6015.5811,4.3915,0.7424,3.3936
2009-05-31,93.37,12852861.0,8494.1417,6.2009,1.0483,3.3936
2009-06-30,87.22,17071258.0,7934.0399,5.792,0.9792,3.3936
2009-07-31,80.48,8025991.0,7321.0152,5.3445,0.9035,3.8784
2009-08-31,82.08,4907092.0,7466.5534,5.4507,0.9215,3.8784
2009-09-30,91.09,7358522.0,8286.8599,6.0496,1.0228,3.8784
2009-10-31,85.08,3284820.0,7739.9889,5.6504,0.9553,3.8784
2009-11-30,88.57,3988545.0,8057.5269,5.8822,0.9944,3.8784
2009-12-31,102.78,7353654.0,9349.7302,6.8255,1.1539,3.8784
2010-01-31,102.05,13225023.0,9283.566,6.7772,1.1458,3.8784
2010-02-28,99.0,8152607.0,9005.7206,6.5744,1.1115,3.8784
2010-03-31,110.63,3943568.0,10064.1794,6.0886,1.0892,3.8784
2010-04-30,112.28,5188140.0,10214.1277,6.1793,1.1055,3.8784
2010-05-31,113.3,3191391.0,10306.7429,6.2353,1.1155,3.8784
2010-06-30,135.31,9265027.0,12308.9942,7.4466,1.3322,3.8784
2010-07-31,142.19,7803559.0,12935.249,7.8255,1.4,4.3632
2010-08-31,153.1,8871962.0,13927.5541,8.4258,1.5074,4.3632
2010-09-30,168.86,7446950.0,15360.8838,9.293,1.6625,4.3632
2010-10-31,172.88,10234684.0,15726.9341,9.5144,1.7021,4.3632
2010-11-30,169.73,12415710.0,15440.2682,9.341,1.6711,4.3632
2010-12-31,156.45,5508100.0,14231.861,8.6099,1.5403,4.3632
2011-01-31,154.8,7029660.0,14081.9127,8.5192,1.5241,4.3632
2011-02-28,145.15,3090523.0,13204.2739,7.9883,1.4291,4.3632
2011-03-31,153.88,2888052.0,13998.1181,7.4647,1.3212,4.3632
2011-04-30,164.93,4614935.0,15003.6539,8.0009,1.4162,4.3632
2011-05-31,171.72,2527574.0,15621.0883,8.3302,1.4744,4.3632
2011-06-30,161.34,2733211.0,14677.2958,7.8269,1.3853,4.3632
2011-07-31,157.76,2051560.0,14350.9377,7.6529,1.3545,4.8481
2011-08-31,159.79,2420611.0,14536.168,7.7516,1.372,4.8481
2011-09-30,160.57,1533340.0,14606.7319,7.7893,1.3787,4.8481
2011-10-31,163.77,1047051.0,14897.8081,7.9445,1.4062,4.8481
2011-11-30,143.65,683545.0,13067.5563,6.9685,1.2334,4.8481
2011-12-31,117.08,813315.0,10650.742,5.6797,1.0053,4.8481
2012-01-31,133.85,2325040.0,12176.6868,6.4934,1.1493,4.8481
2012-02-29,151.11,2752297.0,13746.7341,7.3307,1.2975,4.8481
2012-03-31,147.19,1532405.0,13389.5042,6.325,1.1034,4.8481
2012-04-30,133.13,799528.0,12110.5331,5.7208,0.998,4.8481
2012-05-31,128.33,1947954.0,11673.9189,5.5146,0.962,4.8481
2012-06-30,128.96,1299555.0,11731.2521,5.5417,0.9668,4.8481
2012-07-31,124.64,2290314.0,11338.7402,5.3563,0.9344,5.3329
2012-08-31,121.59,897465.0,11060.8948,5.225,0.9115,5.3329
2012-09-30,127.21,906496.0,11572.4832,5.4667,0.9537,5.3329
2012-10-31,127.16,1808426.0,11568.073,5.4646,0.9533,5.3329
2012-11-30,121.83,726178.0,11082.946,5.2354,0.9133,5.3329
2012-12-31,119.94,1327369.0,10910.9465,5.1542,0.8992,5.3329
2013-01-31,108.98,1958584.0,9914.2311,4.6833,0.817,5.3329
2013-02-28,100.84,1637543.0,9173.3099,4.3333,0.756,5.3329
2013-03-31,97.2,1368306.0,8842.5415,6.8383,0.6903,5.3329
2013-04-30,103.75,1912690.0,9437.9246,7.2988,0.7368,5.3329
2013-05-31,88.86,896124.0,8083.9793,6.2517,0.6311,5.3329
2013-06-30,90.37,1608890.0,8220.7005,6.3574,0.6418,5.3329
2013-07-31,82.08,1793461.0,7466.5482,5.7742,0.5829,5.3329
2013-08-31,82.66,1101011.0,7519.4712,5.8151,0.587,5.3329
2013-09-30,105.3,2238206.0,9579.0566,7.4079,0.7478,5.3329
2013-10-31,102.29,1426717.0,9305.6213,7.1965,0.7265,5.3329
2013-11-30,101.42,830426.0,9226.2368,7.1351,0.7203,5.3329
2013-12-31,100.74,1610471.0,9164.4933,7.0873,0.7154,5.3329
2014-01-31,105.49,2752787.0,9596.6976,7.4216,0.7492,5.3329
2014-02-28,114.12,2000786.0,10381.7215,8.0286,0.8105,5.3329
2014-03-31,116.35,1065214.0,10584.5929,4.4004,0.7284,5.3329
2014-04-30,128.33,2682314.0,11673.9239,4.8533,0.8033,5.3329
2014-05-31,148.93,9986031.0,13548.2789,5.6326,0.9323,5.3329
2014-06-30,143.41,5431959.0,13045.5107,5.4235,0.8977,5.3329
2014-07-31,158.82,11527205.0,14447.9693,6.0066,0.9942,6.3025
2014-08-31,148.54,3204413.0,13512.9969,5.6179,0.9299,6.3025
2014-09-30,154.75,7581623.0,14077.5086,5.8526,0.9687,6.3025
2014-10-31,151.6,1465245.0,13790.8425,5.7334,0.949,6.3025
2014-11-30,127.65,3012737.0,11612.1805,4.8276,0.7991,6.3025
2014-12-31,138.99,4004969.0,12644.1783,5.2567,0.8701,6.3025
2015-01-31,137.78,3619293.0,12533.9221,5.2109,0.8625,6.3025
2015-02-28,133.13,7755136.0,12110.5468,5.0348,0.8334,6.3025
2015-03-31,132.93,2423090.0,12092.8974,17.7821,0.8215,6.3025
2015-04-30,128.62,2883154.0,11700.3854,17.2049,0.7948,6.3025
2015-05-31,124.35,1107967.0,11312.2837,16.6342,0.7685,6.3025
2015-06-30,130.65,1876113.0,11885.6158,17.4773,0.8074,6.3025
2015-07-31,137.05,3305222.0,12467.7684,18.3333,0.8469,3.8784
2015-08-31,119.94,2546716.0,10910.9512,16.0441,0.7412,3.8784
2015-09-30,124.01,889961.0,11281.4119,16.5888,0.7664,3.8784
2015-10-31,140.74,1307233.0,12802.9472,18.8262,0.8697,3.8784
2015-11-30,141.42,1294054.0,12864.6906,18.917,0.8739,3.8784
2015-12-31,155.28,2724206.0,14126.0213,20.7717,0.9596,3.8784
2016-01-31,144.33,2515763.0,13129.3054,19.3061,0.8919,3.8784
2016-02-29,138.85,1323433.0,12630.9475,18.5733,0.858,3.8784
2016-03-31,143.16,2179144.0,13023.4595,11.201,0.848,4.8481
2016-04-30,146.85,757816.0,13358.6383,11.4893,0.8698,4.8481
2016-05-31,146.31,3902972.0,13310.1256,11.4475,0.8667,4.8481
2016-06-30,162.65,5621623.0,14796.3788,12.7258,0.9635,4.8481
2016-07-31,159.36,2565118.0,14496.482,12.4679,0.9439,4.8481
2016-08-31,209.73,9869588.0,19078.7287,16.4089,1.2423,4.8481
2016-09-30,202.16,5818869.0,18390.7302,15.8172,1.1975,4.8481
2016-10-31,214.82,2163255.0,19541.8046,16.8072,1.2725,4.8481
2016-11-30,189.9,2248692.0,17274.9377,14.8575,1.1249,4.8481
2016-12-31,202.07,2118590.0,18381.9097,15.8096,1.1969,4.8481
2017-01-31,242.16,9151873.0,22029.184,18.9465,1.4344,4.8481
2017-02-28,245.94,3664185.0,22373.1832,19.2423,1.4568,4.8481
2017-03-31,252.44,28534747.0,22964.1563,14.8818,1.139,4.8481
2017-04-30,259.18,6331402.0,23577.1807,15.2791,1.1694,4.8481
2017-05-31,245.31,5437326.0,22315.85,14.4617,1.1068,0.0
2017-06-30,260.78,3793074.0,23722.7188,15.3734,1.1766,0.0
2017-07-31,348.43,16625591.0,31696.4455,20.5408,1.5721,0.0
2017-08-31,365.3,10421799.0,33231.2114,21.5354,1.6482,0.0
2017-09-30,358.32,5515399.0,32596.1359,21.1238,1.6167,5.8177
2017-10-31,459.74,8412696.0,41822.3727,27.1028,2.0743,5.8177
2017-11-30,389.93,5601664.0,35471.6182,22.9872,1.7594,5.8177
2017-12-31,413.68,7171082.0,37632.6394,24.3877,1.8665,5.8177
2018-01-31,386.44,5139291.0,35154.0804,22.7815,1.7436,5.8177
2018-02-28,329.81,5079637.0,30002.9114,19.4433,1.4881,5.8177
2018-03-31,279.73,5415897.0,25447.1261,15.6434,1.2436,5.8177
2018-04-30,342.61,7255211.0,31167.2166,19.1598,1.5232,5.8177
2018-05-31,314.2,3564866.0,28582.8118,17.571,1.3969,5.8177
2018-06-30,259.61,4728356.0,23616.8735,14.5183,1.1542,5.8177
2018-07-31,268.0,3110900.0,24379.8462,14.9873,1.1915,5.8177
2018-08-31,244.83,2675213.0,22271.7481,13.6914,1.0885,5.8177
2018-09-30,186.21,2680867.0,16939.7593,10.4136,0.8279,5.8177
2018-10-31,190.96,2575104.0,17371.9635,10.6793,0.849,5.8177
2018-11-30,155.28,11472072.0,14126.0216,8.6839,0.6904,5.8177
2018-12-31,144.13,8615164.0,13111.6648,8.0603,0.6408,5.8177
2019-01-31,113.49,16998216.0,10324.3886,6.3468,0.5046,5.8177
2019-02-28,122.7,7115830.0,11162.3355,6.862,0.5455,5.8177
2019-03-31,127.5,5085356.0,11598.95,16.417,0.5529,5.8177
2019-04-30,131.24,12804011.0,11938.539,16.8976,0.5691,5.8177
2019-05-31,135.31,6115715.0,12308.9998,17.422,0.5867,5.8177
2019-06-30,104.43,4593193.0,9499.6724,13.4457,0.4528,5.8177
2019-07-31,83.68,7892964.0,7612.0866,10.774,0.3629,5.8177
2019-08-31,76.5,3668617.0,6959.37,9.8502,0.3317,2.9088
2019-09-30,94.73,8592384.0,8617.6229,12.1973,0.4108,2.9088
2019-10-31,103.21,6347488.0,9389.4162,13.2896,0.4476,2.9088
2019-11-30,91.63,7754758.0,8335.3671,11.7978,0.3973,2.9088
2019-12-31,94.25,6289806.0,8573.5205,12.1348,0.4087,2.9088
2020-01-31,107.92,18666231.0,9937.3565,13.8951,0.468,2.9088
2020-02-29,83.19,11463143.0,7660.6037,10.7116,0.3607,2.9088
2020-03-31,72.87,10542272.0,6709.7245,7.645,0.3077,2.9088
2020-04-30,101.23,28884100.0,9321.294,10.6205,0.4274,2.9088
2020-05-31,99.58,25711645.0,9169.5104,10.4476,0.4205,2.9088
2020-06-30,114.95,40203010.0,10584.6686,12.06,0.4854,2.9088
2020-07-31,154.75,53410935.0,14249.7942,16.236,0.6534,2.9088
2020-08-31,162.89,53837004.0,14999.7834,17.0905,0.6878,2.9088
2020-09-30,152.45,19391928.0,13839.0859,15.9947,0.6437,2.9088
2020-10-31,147.35,8034919.0,15129.4686,15.4596,0.6222,2.9088
2020-11-30,144.65,13507222.0,14852.2405,15.1764,0.6108,2.9088
2020-12-31,157.35,16830362.0,16156.2395,16.5088,0.6644,2.9088
2021-01-31,155.7,10648328.0,15986.8223,16.3357,0.6574,2.9088
2021-02-28,184.75,24013530.0,18969.5916,19.3836,0.7801,2.9088
2021-03-31,226.6,40290929.0,23266.6277,5.4643,0.8609,2.9088
2021-04-30,260.85,16606203.0,26783.3179,6.2902,0.991,2.9088
2021-05-31,295.65,15842925.0,30356.4805,7.1294,1.1232,2.9088
2021-06-30,393.95,31398454.0,40449.638,9.4998,1.4967,2.9088
2021-07-31,430.95,4601035.0,46608.9314,10.392,1.6373,2.9088
2021-08-31,409.65,6265758.0,44305.2529,9.8784,1.5563,7.5
2021-09-30,407.35,4574584.0,44056.4989,9.8229,1.5476,7.5
2021-10-31,403.3,11918444.0,48635.1359,9.7253,1.5322,7.5
2021-11-30,372.5,7158489.0,44920.8731,8.9826,1.4152,7.5
2021-12-31,372.5,7003757.0,44920.8731,8.9826,1.4152,7.5
2022-01-31,569.75,20190367.0,68707.8321,13.7391,2.1646,7.5
2022-02-28,566.0,19183675.0,68255.6086,13.6487,2.1504,7.5
2022-03-31,561.35,14066006.0,67694.8514,9.2881,1.7428,7.5
2022-04-30,674.8,14480984.0,81376.1213,11.1652,2.095,7.5
2022-05-31,647.7,10161809.0,78108.0524,10.7168,2.0109,7.5
2022-06-30,594.55,9409967.0,71698.5372,9.8374,1.8459,7.5
2022-07-31,710.75,7423757.0,85711.4378,11.76,2.2067,7.5
2022-08-31,916.6,18525076.0,110535.4961,15.166,2.8458,9.0
2022-09-30,878.85,13451440.0,110944.1125,14.5414,2.7286,9.0
2022-10-31,965.95,16027518.0,121939.4271,15.9826,2.999,9.0
2022-11-30,804.4,17786049.0,101545.7064,13.3096,2.4974,9.0
2022-12-31,715.45,22234591.0,90316.8519,11.8378,2.2212,9.0
2023-01-31,647.3,7414746.0,81713.7441,10.7102,2.0097,9.0
2023-02-28,617.75,7419282.0,77983.4164,10.2213,1.9179,9.0
2023-03-31,548.7,8498230.0,69266.6946,5.6162,1.367,9.0
2023-04-30,599.45,8956086.0,75673.2642,6.1356,1.4935,9.0
2023-05-31,534.2,9683026.0,67436.2461,5.4678,1.3309,9.0
2023-06-30,562.7,26867096.0,71034.0241,5.7595,1.4019,9.0
2023-07-31,544.1,21346259.0,68686.0006,5.5691,1.3556,9.0
2023-08-31,606.85,12723846.0,76607.4241,6.2114,1.5119,10.0
2023-09-30,646.8,22674465.0,81650.6252,6.6203,1.6114,10.0
2023-10-31,642.45,17402987.0,81101.4907,6.5757,1.6006,10.0
2023-11-30,627.5,10909623.0,79214.2352,6.4227,1.5633,10.0
2023-12-31,679.4,20077714.0,85765.9783,6.9539,1.6926,10.0
2024-01-31,618.15,12956337.0,78033.9115,6.327,1.54,10.0
2024-02-29,505.75,31150075.0,63844.78,5.1766,1.26,10.0
2024-03-31,504.1,12078809.0,63636.4876,14.0535,1.1483,10.0
2024-04-30,605.1,21580693.0,76386.5079,16.8693,1.3784,10.0
2024-05-31,566.7,14457123.0,71538.9754,15.7987,1.2909,10.0
2024-06-30,677.2,59703999.0,85488.2551,18.8793,1.5426,10.0
2024-07-31,930.0,58939254.0,117401.1773,25.927,2.1184,10.0
2024-08-31,1046.1,42919091.0,132057.3887,29.1636,2.3829,10.0
2024-09-30,1066.75,23802302.0,134664.1998,29.7393,2.4299,8.5
2024-10-31,1251.45,36615452.0,157980.3261,34.8885,2.8507,8.5
2024-11-30,1374.95,20534093.0,173570.6975,38.3315,3.132,8.5
2024-12-31,1196.45,21395020.0,151037.2457,33.3552,2.7254,8.5
2025-01-31,1135.85,29582222.0,143387.2335,31.6657,2.5873,8.5
2025-02-28,953.15,14502922.0,120323.5829,26.5723,2.1712,8.5
2025-03-31,1116.2,9752568.0,140906.6603,15.094,2.2593,8.5
2025-04-30,1279.9,7695366.0,161571.7922,17.3076,2.5907,8.5
2025-05-31,1483.7,11822421.0,187299.061,20.0636,3.0032,8.5
2025-06-30,1707.4,14026954.0,215538.4624,23.0886,3.456,8.5
2025-07-31,1598.8,12089090.0,201829.0346,21.62,3.2362,8.5
2025-08-31,1387.8,4050704.0,175192.8535,18.7667,2.8091,8.5
2025-09-30,1501.9,6859425.0,189596.5894,20.3097,3.0401,10.0
2025-10-31,1491.6,6033741.0,188296.3398,20.1704,3.0192,10.0
2025-11-30,1368.7,5455329.0,172781.7111,18.5085,2.7704,10.0
2025-12-31,1287.1,8052087.0,162480.7046,17.405,2.6053,10.0
2026-01-31,1055.8,7339539.0,133281.8956,14.2772,2.1371,10.0
2026-02-28,996.0,6338773.0,125732.8737,13.4686,2.016,10.0
2026-03-31,949.0,730521.0,119799.6959,12.833,1.9209,10.0
