NBCC IN Equity,price,volume,mc,pe,bm,div
2019-03-31,44.2,440831528.0,119340.0,31.875,7.9116,0.5567
2019-04-30,38.63,271974584.0,104310.0,27.8606,6.9152,0.5567
2019-05-31,41.27,263125959.0,111420.0,29.7596,7.3866,0.3733
2019-06-30,39.73,224311308.0,107280.0,28.6538,7.1121,0.3733
2019-07-31,28.5,371213300.0,76950.0,20.5529,5.1014,0.3733
2019-08-31,23.57,694093158.0,63630.0,16.9952,4.2183,0.3733
2019-09-30,23.27,563510309.0,62820.0,16.7788,4.1646,0.8067
2019-10-31,25.0,554868516.0,67500.0,18.0288,4.4749,0.8067
2019-11-30,25.83,599678901.0,69750.0,18.6298,4.6241,0.4333
2019-12-31,23.23,435617076.0,62730.0,16.7548,4.1587,0.4333
2020-01-31,22.47,680700441.0,60660.0,16.2019,4.0214,0.4333
2020-02-29,17.6,347700120.0,47520.0,12.6923,3.1503,0.4333
2020-03-31,10.87,376180859.0,29340.0,37.907,2.0232,0.4333
2020-04-30,13.2,188096435.0,35640.0,46.0465,2.4576,0.4333
2020-05-31,11.53,239790675.0,31140.0,40.2326,2.1473,0.4333
2020-06-30,15.5,566864703.0,41850.0,54.0698,2.8858,0.4333
2020-07-31,15.4,523298898.0,41580.0,53.7209,2.8672,0.4333
2020-08-31,17.83,489160707.0,48150.0,62.2093,3.3202,0.4333
2020-09-30,15.73,200019824.0,42480.0,54.8837,2.9292,0.4333
2020-10-31,15.2,115722596.0,41040.0,53.0233,2.8299,0.4333
2020-11-30,17.33,256922298.0,46800.0,60.4651,3.2271,0.09
2020-12-31,19.43,625111322.0,52470.0,67.7907,3.6181,0.09
2021-01-31,20.8,504845529.0,56160.0,72.5581,3.8726,0.09
2021-02-28,28.57,805336137.0,77130.0,99.6512,5.3186,0.09
2021-03-31,31.2,773207954.0,84240.0,38.0488,5.1454,0.09
2021-04-30,27.07,288968408.0,73080.0,33.0081,4.4637,0.09
2021-05-31,31.73,478063878.0,85680.0,38.6992,5.2334,0.09
2021-06-30,35.97,1015620486.0,97110.0,43.8618,5.9315,0.09
2021-07-31,34.3,296690237.0,92610.0,41.8293,5.6566,0.09
2021-08-31,29.57,198498114.0,79830.0,36.0569,4.876,0.09
2021-09-30,32.47,272665431.0,87660.0,39.5935,5.3543,0.3133
2021-10-31,29.77,201409163.0,80370.0,36.3008,4.909,0.3133
2021-11-30,26.87,137416062.0,72540.0,32.7642,4.4308,0.3133
2021-12-31,30.67,187469216.0,82800.0,37.3984,5.0574,0.3133
2022-01-31,31.1,424963182.0,83970.0,37.9268,5.1289,0.3133
2022-02-28,25.9,211966922.0,69930.0,31.5854,4.2713,0.3133
2022-03-31,24.2,216894447.0,65340.0,29.04,3.6963,0.3133
2022-04-30,25.27,154150389.0,68220.0,30.32,3.8592,0.3133
2022-05-31,22.37,123053816.0,60390.0,26.84,3.4163,0.3133
2022-06-30,18.93,129904845.0,51120.0,22.72,2.8919,0.3133
2022-07-31,21.97,232658877.0,59310.0,26.36,3.3552,0.3133
2022-08-31,23.03,118798455.0,62190.0,27.64,3.5181,0.3133
2022-09-30,20.5,128046495.0,55350.0,24.6,3.1311,0.3333
2022-10-31,21.63,81116300.0,58410.0,25.96,3.3043,0.3333
2022-11-30,28.37,536321127.0,76590.0,34.04,4.3327,0.3333
2022-12-31,25.87,303679703.0,69840.0,31.04,3.9508,0.3333
2023-01-31,24.4,181312568.0,65880.0,29.28,3.7268,0.3333
2023-02-28,22.2,112755135.0,59940.0,26.64,3.3908,0.3333
2023-03-31,23.63,269517543.0,63810.0,23.9527,3.2816,0.3333
2023-04-30,26.2,210234054.0,70740.0,26.5541,3.638,0.3333
2023-05-31,28.23,395323311.0,76230.0,28.6149,3.9203,0.3333
2023-06-30,26.4,261607512.0,71280.0,26.7568,3.6657,0.3333
2023-07-31,30.77,394172793.0,83070.0,31.1824,4.272,0.3333
2023-08-31,34.3,711129278.0,92610.0,34.7635,4.7627,0.3333
2023-09-30,39.0,1101780936.0,105300.0,39.527,5.4153,0.36
2023-10-31,43.73,1661247198.0,118080.0,44.3243,6.0725,0.36
2023-11-30,50.73,694034301.0,136980.0,51.4189,7.0445,0.36
2023-12-31,54.37,902577785.0,146790.0,55.1014,7.549,0.36
2024-01-31,86.3,2440498200.0,233010.0,87.4662,11.983,0.36
2024-02-29,90.17,1523978013.0,243450.0,91.3851,12.5199,0.36
2024-03-31,79.27,348343221.0,214020.0,79.7987,9.6162,0.36
2024-04-30,93.17,570393804.0,251550.0,93.7919,11.3025,0.36
2024-05-31,94.93,566447012.0,256320.0,95.5705,11.5168,0.36
2024-06-30,104.64,1075826244.0,282528.0,105.3423,12.6943,0.36
2024-07-31,120.81,1379960232.0,326178.0,121.6174,14.6556,0.36
2024-08-31,124.25,1499913993.0,335466.0,125.0805,15.0729,0.36
2024-09-30,119.53,436843635.0,322740.0,120.3356,14.5011,0.42
2024-10-31,97.19,255197175.0,262413.0,97.8423,11.7906,0.42
2024-11-30,99.22,156669105.0,267894.0,99.8859,12.0368,0.42
2024-12-31,92.95,168683626.0,250965.0,93.5738,11.2762,0.42
2025-01-31,99.83,322136918.0,269541.0,100.5,12.1108,0.42
2025-02-28,72.86,267697147.0,196722.0,73.349,8.839,0.95
2025-03-31,81.89,245156428.0,221103.0,40.945,8.9188,0.95
2025-04-30,95.19,371839765.0,257013.0,47.595,10.3674,0.95
2025-05-31,123.36,431877507.0,333072.0,61.68,13.4354,0.95
2025-06-30,122.72,311569181.0,331344.0,61.36,13.3657,0.95
2025-07-31,108.18,179422549.0,292086.0,54.09,11.7821,0.95
2025-08-31,98.26,128326906.0,265302.0,49.13,10.7017,1.3
2025-09-30,107.08,227821249.0,289116.0,53.54,11.6623,0.88
2025-10-31,117.41,194819927.0,317007.0,58.705,12.7874,0.88
2025-11-30,116.69,289941199.0,315063.0,58.345,12.709,1.09
2025-12-31,121.77,293454096.0,328779.0,60.885,13.2623,1.09
2026-01-31,98.86,257711539.0,266922.0,49.43,10.7671,1.09
2026-02-28,92.67,229469403.0,250209.0,46.335,10.0929,0.68
2026-03-31,86.93,41709672.0,234711.0008,43.465,9.4678,0.68
