MOTHERSO IN Equity,price,volume,mc,pe,bm,div
2008-01-31,4.5,65929780.0,32111.2028,20.9354,7.1429,0.0585
2008-02-29,5.39,5245297.0,38419.7125,25.0483,8.5461,0.0585
2008-03-31,5.51,8154007.0,39272.6941,18.7018,6.2451,0.0585
2008-04-30,4.7,29040267.0,33503.8961,15.9515,5.3267,0.0585
2008-05-31,4.2,12962998.0,29931.3321,14.2506,4.7587,0.0585
2008-06-30,3.91,1852919.0,27887.3279,13.2774,4.4337,0.0585
2008-07-31,3.68,35634773.0,26234.3505,12.4904,4.1709,0.0585
2008-08-31,4.1,54259846.0,29255.922,13.929,4.6513,0.079
2008-09-30,4.19,201177261.0,29860.2363,14.2168,4.7474,0.079
2008-10-31,3.02,117892866.0,21506.4797,10.2395,3.4193,0.079
2008-11-30,2.49,5312240.0,17773.9502,8.4624,2.8258,0.079
2008-12-31,3.03,21010372.0,21613.1234,10.2902,3.4362,0.079
2009-01-31,2.91,6545110.0,20777.7478,9.8925,3.3034,0.079
2009-02-28,2.88,13666290.0,20564.4604,9.7909,3.2695,0.079
2009-03-31,3.38,594643950.0,24065.9286,11.6262,2.6182,0.079
2009-04-30,3.71,198140133.0,26483.1858,12.794,2.8812,0.079
2009-05-31,3.89,170049655.0,27709.5884,13.3865,3.0146,0.079
2009-06-30,3.76,43609908.0,26820.8908,12.9572,2.9179,0.079
2009-07-31,3.87,51693350.0,27585.1707,13.3264,3.0011,0.079
2009-08-31,4.27,129937205.0,30464.5506,14.7174,3.3143,0.079
2009-09-30,5.66,267488245.0,40382.4148,19.5087,4.3933,0.079
2009-10-31,5.59,108151985.0,39831.4224,19.2425,4.3334,0.079
2009-11-30,6.32,115139724.0,45074.7377,21.7756,4.9038,0.079
2009-12-31,6.58,48889445.0,46923.2285,22.6686,5.1049,0.079
2010-01-31,7.1,83674312.0,50937.1561,24.4632,5.5091,0.079
2010-02-28,6.36,93530677.0,46216.3653,21.9044,4.9328,0.079
2010-03-31,6.18,152329778.0,45944.446,16.2931,3.395,0.079
2010-04-30,7.05,248757359.0,52994.5525,18.6,3.8757,0.079
2010-05-31,7.0,257892851.0,53467.099,18.4554,3.8456,0.079
2010-06-30,7.25,137860740.0,56020.3818,19.1258,3.9853,0.079
2010-07-31,8.38,175046694.0,65153.0448,22.1031,4.6057,0.079
2010-08-31,8.89,175216067.0,69066.4896,23.4308,4.8823,0.1024
2010-09-30,9.06,79511153.0,70422.6339,23.8908,4.9782,0.1024
2010-10-31,9.14,127131164.0,71023.4134,24.0946,5.0206,0.1024
2010-11-30,9.41,64356097.0,73115.7562,24.8044,5.1685,0.1024
2010-12-31,9.08,56145672.0,70558.4484,23.9368,4.9878,0.1024
2011-01-31,8.97,49654571.0,69686.6389,23.6411,4.9261,0.1024
2011-02-28,9.86,160144049.0,76661.1148,26.0072,5.4192,0.1024
2011-03-31,10.71,78733504.0,83228.7464,18.1153,4.4074,0.1024
2011-04-30,11.48,62111552.0,89215.1716,19.4183,4.7244,0.1024
2011-05-31,11.37,73233489.0,88343.3621,19.2285,4.6783,0.1024
2011-06-30,11.24,111422388.0,87355.3113,19.0134,4.626,0.1024
2011-07-31,11.42,196585927.0,88769.58,19.3213,4.7008,0.1024
2011-08-31,9.33,102202064.0,72534.5499,15.7876,3.8411,0.161
2011-09-30,8.81,83913054.0,68467.0115,14.9021,3.6257,0.161
2011-10-31,9.33,38114045.0,72477.3883,15.775,3.838,0.161
2011-11-30,7.59,88474487.0,58954.4754,12.8317,3.1219,0.161
2011-12-31,6.79,69920406.0,52793.6068,11.4907,2.7957,0.161
2012-01-31,8.14,66325508.0,63294.2068,13.7762,3.3517,0.161
2012-02-29,9.52,245855091.0,73969.1709,16.0997,3.917,0.161
2012-03-31,9.29,64901224.0,72208.1626,24.0501,3.2866,0.161
2012-04-30,8.92,69187659.0,69340.7603,23.0951,3.1561,0.161
2012-05-31,8.21,46686965.0,63799.6993,21.2496,2.9039,0.161
2012-06-30,8.15,63733400.0,64057.2312,21.0947,2.8827,0.161
2012-07-31,8.0,53264522.0,62861.9142,20.7011,2.8289,0.161
2012-08-31,9.1,196114646.0,71523.6871,23.5533,3.2187,0.1317
2012-09-30,11.15,163363518.0,87631.2133,28.8576,3.9436,0.1317
2012-10-31,11.64,115576930.0,91530.7215,30.1417,4.119,0.1317
2012-11-30,13.03,142635753.0,102465.0274,33.7425,4.6111,0.1317
2012-12-31,14.83,173959721.0,116544.4158,38.3789,5.2447,0.1317
2013-01-31,14.77,120212738.0,116103.5164,38.2337,5.2249,0.1317
2013-02-28,14.72,161620029.0,115750.7968,38.1176,5.209,0.1317
2013-03-31,14.52,160712982.0,114134.1656,21.7598,4.2478,0.1317
2013-04-30,14.57,100258755.0,114516.2784,21.8327,4.262,0.1317
2013-05-31,16.05,142953244.0,126185.4167,24.0574,4.6963,0.1317
2013-06-30,14.83,54539155.0,116546.7754,22.2194,4.3375,0.1317
2013-07-31,15.37,102129187.0,120838.2834,23.0375,4.4972,0.1317
2013-08-31,14.53,125250914.0,114195.2641,21.7711,4.25,0.1756
2013-09-30,17.2,95148829.0,135182.5019,25.7722,5.031,0.1756
2013-10-31,20.18,83231707.0,158638.8264,30.2441,5.904,0.1756
2013-11-30,21.17,150679448.0,166428.2073,31.7291,6.1939,0.1756
2013-12-31,20.47,109504347.0,160931.561,30.6812,5.9893,0.1756
2014-01-31,22.89,162637903.0,179978.8033,34.3125,6.6982,0.1756
2014-02-28,26.0,182353890.0,204361.037,38.9609,7.6056,0.1756
2014-03-31,28.66,227165102.0,225348.2762,25.0201,6.4871,0.1756
2014-04-30,28.46,208496050.0,223761.006,24.8438,6.4414,0.1756
2014-05-31,33.6,377676903.0,264148.2142,29.328,7.604,0.1756
2014-06-30,36.37,178667664.0,285929.0885,31.7463,8.231,0.1756
2014-07-31,40.94,309302079.0,321819.0311,35.7311,9.2641,0.1756
2014-08-31,41.72,260494876.0,327991.7485,36.4164,9.4418,0.3292
2014-09-30,44.38,508459655.0,348890.806,38.7368,10.0435,0.3292
2014-10-31,47.16,295885814.0,370759.862,41.1649,10.673,0.3292
2014-11-30,48.02,524132904.0,377505.7603,41.9139,10.8672,0.3292
2014-12-31,51.32,296367197.0,403431.1734,44.7924,11.6135,0.3292
2015-01-31,50.6,199950652.0,397787.5461,44.1657,11.451,0.3292
2015-02-28,50.71,216163118.0,398669.4732,44.2637,11.4764,0.3292
2015-03-31,57.76,229758960.0,454091.547,44.8496,11.6383,0.3292
2015-04-30,56.55,274515923.0,444567.9258,43.9089,11.3943,0.3292
2015-05-31,54.62,270761231.0,429400.6773,42.4109,11.0055,0.3292
2015-06-30,58.18,258725016.0,457398.3599,45.1762,11.7231,0.3292
2015-07-31,58.46,205500412.0,463055.2928,45.3917,11.779,0.3951
2015-08-31,51.07,429416367.0,401447.1042,39.65,10.2891,0.3951
2015-09-30,38.76,647223519.0,304689.7544,30.0935,7.8092,0.3951
2015-10-31,41.38,540745981.0,325324.2678,32.1315,8.338,0.3951
2015-11-30,48.68,491216395.0,382664.4061,37.7949,9.8077,0.3951
2015-12-31,49.32,317405021.0,387756.8982,38.2978,9.9382,0.3951
2016-01-31,44.78,271234838.0,352043.3172,34.7705,9.0229,0.3951
2016-02-29,38.11,477071259.0,299597.2623,29.5905,7.6787,0.3951
2016-03-31,44.83,251900842.0,352440.1348,23.2302,6.8281,0.8889
2016-04-30,42.46,185118980.0,333794.4839,22.0009,6.4668,0.8889
2016-05-31,47.91,385750836.0,376651.394,24.8257,7.2971,0.8889
2016-06-30,48.81,434899753.0,383728.0752,25.2921,7.4342,0.8889
2016-07-31,55.76,336179256.0,438357.4082,28.8928,8.4926,0.4938
2016-08-31,54.27,414103550.0,426651.1226,28.1212,8.2658,0.4938
2016-09-30,53.5,281554319.0,446278.4517,27.7246,8.1492,0.4938
2016-10-31,55.82,215398936.0,465575.0828,28.9233,8.5015,0.4938
2016-11-30,52.13,296681965.0,434770.6425,27.0096,7.939,0.4938
2016-12-31,54.93,232929143.0,458139.0613,28.4613,8.3657,0.4938
2017-01-31,55.84,337654049.0,465717.4069,28.9321,8.5041,0.4938
2017-02-28,58.92,252708984.0,491469.7481,30.5319,8.9743,0.4938
2017-03-31,62.57,221242666.0,521923.4703,41.7916,5.3744,0.4938
2017-04-30,67.51,137979693.0,563113.1822,45.0898,5.7986,0.4938
2017-05-31,75.81,256054264.0,632300.671,50.6298,6.511,0.0
2017-06-30,77.73,235523852.0,648372.9543,51.9164,6.6765,0.0
2017-07-31,82.02,171052128.0,684179.5898,54.7819,7.045,0.0
2017-08-31,77.76,240450998.0,648602.2512,51.9333,6.6786,0.5926
2017-09-30,84.9,201338548.0,708178.5047,56.7035,7.2921,0.5926
2017-10-31,92.17,140471763.0,768807.3422,61.558,7.9164,0.5926
2017-11-30,92.17,197694253.0,768807.3423,61.558,7.9164,0.5926
2017-12-31,95.72,443412816.0,798384.9522,63.9263,8.221,0.5926
2018-01-31,92.32,162240955.0,770070.4431,61.6592,7.9294,0.5926
2018-02-28,83.29,361257719.0,694685.3348,55.6247,7.1534,0.5926
2018-03-31,78.48,230222486.0,654583.045,52.3446,5.6415,0.5926
2018-04-30,89.02,203082491.0,742471.2654,59.3727,6.399,0.5926
2018-05-31,78.28,217783563.0,652898.9593,52.21,5.627,0.5926
2018-06-30,71.85,234682566.0,599323.9843,47.9258,5.1653,0.5926
2018-07-31,81.29,227339983.0,678054.9889,54.2216,5.8438,0.5926
2018-08-31,76.75,264151118.0,640163.0615,51.1915,5.5173,0.6667
2018-09-30,64.81,327833268.0,540591.4969,43.2291,4.6591,0.6667
2018-10-31,61.8,385811012.0,515488.0951,41.2217,4.4427,0.6667
2018-11-30,58.94,417756022.0,491647.7574,39.3153,4.2373,0.6667
2018-12-31,63.16,356911940.0,526855.6733,42.1307,4.5407,0.6667
2019-01-31,53.23,236122607.0,443967.0822,35.5024,3.8263,0.6667
2019-02-28,61.56,485680869.0,513435.6157,41.0576,4.4251,0.6667
2019-03-31,56.67,367106846.0,472701.7938,24.9536,3.6732,0.6667
2019-04-30,55.46,233602920.0,462597.2798,24.4202,3.5946,0.6667
2019-05-31,43.67,634106889.0,364236.1517,19.2278,2.8303,0.6667
2019-06-30,46.17,522732310.0,385076.7118,20.3279,2.9923,0.6667
2019-07-31,40.41,276980085.0,337080.2704,17.7942,2.6193,0.6667
2019-08-31,37.1,538560182.0,309450.7401,16.3357,2.4046,0.6667
2019-09-30,39.73,494306721.0,331396.4813,17.4942,2.5751,0.6667
2019-10-31,46.55,515831780.0,388234.3724,20.4946,3.0168,0.6667
2019-11-30,49.04,609602609.0,409074.9324,21.5948,3.1787,0.6667
2019-12-31,55.48,369970731.0,462755.1628,24.4285,3.5959,0.6667
2020-01-31,50.62,389995126.0,422179.224,22.2865,3.2806,0.6667
2020-02-29,39.24,575136835.0,327291.5225,17.2775,2.5432,0.6667
2020-03-31,23.11,995664150.0,192775.1804,20.2341,1.4583,1.3333
2020-04-30,33.14,1395293362.0,276453.1867,29.0172,2.0913,1.3333
2020-05-31,36.08,1066662767.0,300925.0564,31.5858,2.2764,1.3333
2020-06-30,35.83,1125780086.0,298872.577,31.3704,2.2609,1.3333
2020-07-31,35.93,852162975.0,299661.9922,31.4532,2.2669,1.3333
2020-08-31,41.53,1111901544.0,346395.3692,36.3585,2.6204,0.6667
2020-09-30,43.48,618195346.0,362657.3214,38.0654,2.7434,0.6667
2020-10-31,39.98,648218412.0,333468.8156,34.9996,2.5225,0.6667
2020-11-30,56.05,879542039.0,467519.4901,49.069,3.5365,0.6667
2020-12-31,62.54,647508922.0,521676.5942,54.7531,3.9461,0.6667
2021-01-31,54.87,557043523.0,457730.1594,48.0416,3.4624,0.6667
2021-02-28,81.01,1654392731.0,675779.6075,70.9272,5.1118,0.6667
2021-03-31,76.26,812150618.0,636148.6071,75.9261,4.3141,0.6667
2021-04-30,81.28,536855470.0,677990.1015,80.92,4.5979,0.6667
2021-05-31,90.93,720390465.0,758515.2416,90.5308,5.144,0.0
2021-06-30,91.65,977286517.0,764515.154,91.247,5.1847,0.0
2021-07-31,88.72,410620448.0,739997.7647,88.326,5.0187,0.0
2021-08-31,82.76,466324646.0,690264.61,82.3899,4.6814,0.0
2021-09-30,85.54,326566607.0,713473.4155,85.1601,4.8388,0.6667
2021-10-31,84.59,457379278.0,705579.264,84.2178,4.7853,0.6667
2021-11-30,79.44,393213868.0,662635.0796,79.092,4.494,0.6667
2021-12-31,84.54,332265220.0,705105.6149,84.1613,4.782,0.6667
2022-01-31,79.78,531661379.0,566800.08,79.4248,4.5129,0.6667
2022-02-28,66.87,360838168.0,475070.0392,66.5708,3.7826,0.6667
2022-03-31,61.98,742139100.0,629943.1495,143.7629,3.0599,0.6667
2022-04-30,61.16,385101794.0,621586.0693,141.8557,3.0193,0.6667
2022-05-31,58.09,457056756.0,590416.419,134.7423,2.8679,0.6667
2022-06-30,52.51,270987008.0,533756.1229,121.8041,2.5925,0.6667
2022-07-31,56.58,271047175.0,575092.2933,131.2371,2.7933,0.6667
2022-08-31,54.62,462801751.0,555214.7906,126.701,2.6967,0.2889
2022-09-30,48.44,484603094.0,492419.9526,112.3711,2.3917,0.2889
2022-10-31,43.0,748495094.0,437079.1781,99.7423,2.1229,0.2889
2022-11-30,49.83,431268104.0,506537.4971,115.5928,2.4603,0.2889
2022-12-31,49.43,558445641.0,502471.6443,114.6649,2.4406,0.2889
2023-01-31,50.33,593574605.0,511619.8131,116.7526,2.485,0.2889
2023-02-28,53.1,433446663.0,539741.9618,123.1701,2.6216,0.2889
2023-03-31,44.73,1131687978.0,454697.8737,30.362,2.0252,0.2889
2023-04-30,48.93,231258998.0,497389.3283,33.2127,2.2154,0.2889
2023-05-31,52.7,444631932.0,535676.109,35.7692,2.3859,0.2889
2023-06-30,57.13,435582140.0,580739.3111,38.7783,2.5866,0.2889
2023-07-31,65.53,486868746.0,666122.2203,44.4796,2.9669,0.2889
2023-08-31,63.87,338094816.0,649181.1669,43.3484,2.8915,0.4333
2023-09-30,64.0,301547639.0,650536.4511,43.4389,2.8975,0.4333
2023-10-31,61.3,231240815.0,623091.9446,41.6063,2.7753,0.4333
2023-11-30,61.37,338291483.0,623769.5867,41.6516,2.7783,0.4333
2023-12-31,67.97,524135753.0,690856.1583,46.1312,3.0771,0.4333
2024-01-31,75.5,856849160.0,767429.7197,51.2443,3.4182,0.4333
2024-02-29,79.47,459305840.0,807749.4268,53.9367,3.5978,0.4333
2024-03-31,78.07,1235569673.0,793518.942,29.202,3.0339,0.4333
2024-04-30,87.47,571596227.0,889066.4832,32.7182,3.3992,0.4333
2024-05-31,100.83,789900272.0,1024933.732,37.7182,3.9187,0.4333
2024-06-30,126.87,1045392348.0,1289620.75,47.4589,4.9307,0.4333
2024-07-31,131.05,705147182.0,1332041.148,49.02,5.0929,0.4333
2024-08-31,130.19,698732747.0,1323299.564,48.6983,5.0595,0.5333
2024-09-30,140.93,804206828.0,1487402.414,52.7157,5.4769,0.5333
2024-10-31,120.63,452708801.0,1273177.35,45.1247,4.6882,0.5333
2024-11-30,108.31,538477463.0,1143080.367,40.5137,4.2091,0.5333
2024-12-31,104.08,571429952.0,1098471.666,38.9327,4.0449,0.5333
2025-01-31,94.17,355426331.0,993915.6258,35.2269,3.6599,0.5333
2025-02-28,79.06,731015001.0,834407.8583,29.5736,3.0725,0.5333
2025-03-31,87.31,469247214.0,921444.0773,23.9507,2.6418,0.3333
2025-04-30,88.85,624468509.0,937697.4051,24.3732,2.6884,0.3333
2025-05-31,102.08,606694325.0,1077363.448,28.0034,3.0888,0.3333
2025-06-30,103.22,389441615.0,1089395.132,28.3162,3.1233,1.1
2025-07-31,97.17,338423503.0,1025539.692,26.6565,2.9403,1.1
2025-08-31,92.75,298288156.0,978890.6703,25.444,2.8065,0.5667
2025-09-30,105.65,611351879.0,1115038.268,28.9828,3.1969,0.5667
2025-10-31,105.39,272296383.0,1112294.208,28.9115,3.189,0.5667
2025-11-30,116.31,494365405.0,1227544.732,31.9071,3.5194,0.5667
2025-12-31,119.94,317314537.0,1265856.032,32.903,3.6293,0.5667
2026-01-31,112.9,300313629.0,1191555.328,30.9717,3.4162,0.5667
2026-02-28,133.34,440415287.0,1407280.668,36.579,4.0347,0.5667
2026-03-31,126.74,66782825.0,1337623.736,34.7684,3.835,0.2333
