ABREL IN Equity,price,volume,mc,pe,bm,div
2015-07-31,307.51,31446116.0,71502.5681,185.2496,1.5123,5.5
2015-08-31,239.1,25736319.0,55595.0613,144.0362,1.1758,5.5
2015-09-30,225.98,28992492.0,52544.5151,136.1329,1.1113,5.5
2015-10-31,241.96,23748014.0,56259.989,145.7589,1.1899,5.5
2015-11-30,254.97,20224676.0,59285.1562,153.5966,1.2539,5.5
2015-12-31,260.52,22719984.0,60574.4053,156.9368,1.2812,5.5
2016-01-31,228.84,21162521.0,58545.29,137.8556,1.1254,5.5
2016-02-29,183.02,24849700.0,46822.8285,110.2529,0.9001,5.5
2016-03-31,231.26,24292555.0,59165.201,140.8144,1.0928,5.5
2016-04-30,278.74,25293102.0,71312.1061,140.8144,1.3172,5.5
2016-05-31,271.76,18840894.0,69524.9752,140.8144,1.2842,5.5
2016-06-30,287.67,23228820.0,73596.2827,140.8144,1.3593,5.5
2016-07-31,304.76,16159210.0,77969.1685,140.8144,1.4401,5.5
2016-08-31,316.29,25344222.0,80917.9344,140.8144,1.4946,5.5
2016-09-30,411.73,48135853.0,105334.6098,140.8144,1.9456,5.5
2016-10-31,412.01,22493220.0,105407.212,140.8144,1.9469,5.5
2016-11-30,352.44,51110181.0,90166.3366,140.8144,1.6654,5.5
2016-12-31,348.27,28368628.0,89099.6429,140.8144,1.6457,5.5
2017-01-31,367.79,31162561.0,94092.4397,140.8144,1.7379,5.5
2017-02-28,416.36,24207721.0,106518.584,140.8144,1.9674,5.5
2017-03-31,459.8,25210908.0,117632.304,41.4541,2.0693,5.5
2017-04-30,492.72,14681623.0,126054.1652,44.422,2.2175,5.5
2017-05-31,463.12,20664979.0,118481.1912,41.7532,2.0842,5.5
2017-06-30,480.25,12920518.0,122865.2466,43.2982,2.1614,5.5
2017-07-31,518.76,10538341.0,132716.8054,46.7699,2.3347,5.5
2017-08-31,541.31,20326321.0,138485.8872,48.8029,2.4362,5.5
2017-09-30,533.71,14787169.0,136542.3824,48.118,2.402,5.5
2017-10-31,593.59,11281354.0,151861.4448,53.5165,2.6714,5.5
2017-11-30,572.77,11574313.0,146533.5613,51.639,2.5777,5.5
2017-12-31,627.56,17334986.0,160551.369,56.5789,2.8243,5.5
2018-01-31,606.1,12885772.0,155061.5264,54.6443,2.7277,5.5
2018-02-28,532.75,14624824.0,136296.6535,48.0315,2.3976,5.5
2018-03-31,498.85,10386302.0,127623.484,19.9301,2.0277,5.5
2018-04-30,551.22,11143936.0,141021.3808,22.0224,2.2406,5.5
2018-05-31,413.52,27553391.0,105792.5633,16.5209,1.6809,5.5
2018-06-30,388.0,17937747.0,99263.9508,15.5014,1.5771,5.5
2018-07-31,399.94,19351360.0,102318.8277,15.9785,1.6257,6.5
2018-08-31,427.05,17905609.0,109255.1294,17.0617,1.7359,6.5
2018-09-30,358.68,13188657.0,91763.5859,14.3301,1.458,6.5
2018-10-31,359.21,18129242.0,91897.6207,14.3511,1.4601,6.5
2018-11-30,402.1,10833941.0,102871.7213,16.0648,1.6345,6.5
2018-12-31,402.95,12084581.0,103089.5279,16.0988,1.6379,6.5
2019-01-31,346.48,12389710.0,88641.6916,13.8426,1.4084,6.5
2019-02-28,350.17,12763499.0,89585.5201,13.99,1.4234,6.5
2019-03-31,407.38,11986901.0,104223.239,9.1097,1.3814,6.5
2019-04-30,400.44,9811956.0,102447.2777,8.9545,1.3578,6.5
2019-05-31,448.21,14879641.0,114666.7851,10.0225,1.5198,6.5
2019-06-30,414.28,9501547.0,105988.0308,9.2639,1.4047,6.5
2019-07-31,389.18,13918207.0,99565.5292,8.7026,1.3196,7.5
2019-08-31,371.78,12130797.0,95114.4563,8.3135,1.2606,7.5
2019-09-30,395.79,10328806.0,101257.7187,8.8505,1.3421,7.5
2019-10-31,422.4,33014635.0,47180.2552,9.4454,1.4323,7.5
2019-11-30,462.95,30824496.0,51709.5151,10.3522,1.5698,7.5
2019-12-31,477.35,25921485.0,53317.9328,10.6742,1.6186,7.5
2020-01-31,644.2,45995506.0,71954.3571,14.4052,2.1843,7.5
2020-02-29,506.75,30589331.0,56601.7858,11.3316,1.7183,7.5
2020-03-31,296.1,38366887.0,33073.0908,8.6377,0.9505,7.5
2020-04-30,292.05,35725197.0,32620.7233,8.5195,0.9375,7.5
2020-05-31,285.6,30213558.0,31900.2862,8.3314,0.9168,7.5
2020-06-30,294.5,47261644.0,32894.3778,8.591,0.9454,7.5
2020-07-31,307.95,46348520.0,34396.6847,8.9834,0.9886,7.5
2020-08-31,333.4,62541427.0,37239.3397,9.7258,1.0703,3.0
2020-09-30,331.55,29930303.0,37032.7027,9.6718,1.0643,3.0
2020-10-31,305.7,13107940.0,34145.3691,8.9177,0.9813,3.0
2020-11-30,351.85,21411838.0,39300.1247,10.264,1.1295,3.0
2020-12-31,410.9,40496535.0,45895.7545,11.9866,1.319,3.0
2021-01-31,418.9,23188059.0,46789.3199,12.22,1.3447,3.0
2021-02-28,481.4,20410626.0,53770.2999,14.0432,1.5454,3.0
2021-03-31,465.05,13112123.0,51944.0755,13.4014,1.4823,3.0
2021-04-30,481.6,13414946.0,53792.639,13.4014,1.535,3.0
2021-05-31,503.05,13640415.0,56188.5113,13.4014,1.6034,3.0
2021-06-30,615.2,26390612.0,68715.1817,13.4014,1.9608,3.0
2021-07-31,795.75,33822966.0,88881.8374,13.4014,2.5363,1.0
2021-08-31,777.5,16656858.0,86843.3912,13.4014,2.4782,1.0
2021-09-30,936.8,18557926.0,104636.513,13.4014,2.9859,1.0
2021-10-31,781.55,10004598.0,87295.7587,13.4014,2.4911,1.0
2021-11-30,766.3,7527657.0,85592.3996,13.4014,2.4425,1.0
2021-12-31,917.55,15161516.0,102486.3712,13.4014,2.9245,1.0
2022-01-31,866.05,13024714.0,96734.0437,13.4014,2.7604,1.0
2022-02-28,764.65,5041336.0,85408.1017,13.4014,2.4372,1.0
2022-03-31,854.6,9581427.0,95455.1281,60.0562,2.5668,1.0
2022-04-30,835.8,9235586.0,93355.2493,58.7351,2.5103,1.0
2022-05-31,797.85,5185911.0,89116.3983,56.0682,2.3964,1.0
2022-06-30,805.7,5674824.0,89993.2094,56.6198,2.4199,1.0
2022-07-31,839.55,4251128.0,93774.1081,58.9986,2.5216,4.0
2022-08-31,862.95,4855663.0,96387.7871,60.643,2.5919,4.0
2022-09-30,810.7,5708225.0,90551.6878,56.9712,2.435,4.0
2022-10-31,856.2,3373932.0,95633.8412,60.1687,2.5716,4.0
2022-11-30,808.45,2384385.0,90300.3725,56.8131,2.4282,4.0
2022-12-31,716.55,2919260.0,80035.5395,50.3549,2.1522,4.0
2023-01-31,702.35,2046263.0,78449.4608,49.357,2.1095,4.0
2023-02-28,608.0,2752335.0,67910.9734,42.7266,1.8261,4.0
2023-03-31,634.0,4191028.0,70815.0611,11.7666,1.8219,4.0
2023-04-30,680.35,3427346.0,75992.1559,12.6269,1.9551,4.0
2023-05-31,798.7,7463267.0,89211.3396,14.8234,2.2952,4.0
2023-06-30,861.5,6200441.0,96225.8283,15.9889,2.4757,4.0
2023-07-31,1076.2,14449705.0,120206.8908,19.9736,3.0927,5.0
2023-08-31,1028.5,4104463.0,114879.0069,19.0883,2.9556,5.0
2023-09-30,1117.05,8998891.0,124769.6593,20.7317,3.2101,5.0
2023-10-31,1082.8,10202897.0,120944.0823,20.0961,3.1116,5.0
2023-11-30,1263.75,3596435.0,141155.4156,23.4544,3.6316,5.0
2023-12-31,1222.55,3345113.0,136553.5536,22.6898,3.5132,5.0
2024-01-31,1425.95,13206175.0,159272.4549,26.4647,4.0977,5.0
2024-02-29,1411.05,5330685.0,157608.1893,26.1882,4.0549,5.0
2024-03-31,1629.9,7735406.0,182052.7888,152.2214,4.5758,5.0
2024-04-30,1997.15,10709498.0,223073.0273,186.52,5.6068,5.0
2024-05-31,2019.05,12328591.0,225519.1627,188.5653,5.6683,5.0
2024-06-30,2315.45,9470988.0,258625.7623,216.2471,6.5005,5.0
2024-07-31,2335.5,9665859.0,260865.2606,218.1196,6.5567,5.0
2024-08-31,2389.25,10028734.0,266868.9034,223.1395,6.7076,5.0
2024-09-30,2850.05,15784231.0,318338.2728,266.175,8.0013,5.0
2024-10-31,2742.8,7707233.0,306358.9111,256.1586,7.7002,5.0
2024-11-30,2752.8,3801342.0,307475.8679,257.0925,7.7283,5.0
2024-12-31,2508.65,3276484.0,280205.3676,234.2906,7.0428,5.0
2025-01-31,2153.35,6247858.0,240519.8925,201.108,6.0454,5.0
2025-02-28,1863.1,3860644.0,208100.2214,174.0007,5.2305,5.0
2025-03-31,1959.9,6699720.0,218912.3632,175.5183,5.7012,5.0
2025-04-30,1917.7,4411406.0,214198.8055,175.5183,5.5785,5.0
2025-05-31,2178.2,2772353.0,243295.5302,175.5183,6.3363,5.0
2025-06-30,2435.8,6934473.0,272068.3373,175.5183,7.0856,5.0
2025-07-31,1884.7,3817216.0,210512.8481,175.5183,5.4825,2.0
2025-08-31,1750.2,2124014.0,195489.7791,175.5183,5.0912,2.0
2025-09-30,1689.4,2135300.0,188698.6818,175.5183,4.9144,2.0
2025-10-31,1876.7,7451636.0,209619.2827,175.5183,5.4592,2.0
2025-11-30,1773.6,2579774.0,198103.458,175.5183,5.1593,2.0
2025-12-31,1674.8,4583517.0,187067.9249,175.5183,4.8719,2.0
2026-01-31,1266.4,3901708.0,141451.4092,175.5183,3.6839,2.0
2026-02-28,1290.2,5815481.0,144109.7663,175.5183,3.7531,2.0
2026-03-31,1235.6,463132.0,138011.1795,175.5183,3.5943,2.0
