WPRO IN Equity,price,volume,mc,pe,bm,div
2005-09-30,37.27,249886761.0,524702.5526,25.2099,0.0406,0.2813
2005-10-31,36.58,298117078.0,515026.3849,24.745,0.0398,0.2813
2005-11-30,42.47,259182787.0,597874.1564,28.7255,0.0462,0.2813
2005-12-31,46.49,321705077.0,654518.5833,30.351,8.2614,0.2813
2006-01-31,53.15,276546111.0,751267.5871,34.6971,9.4444,0.2813
2006-02-28,52.22,276180280.0,740964.7031,34.0912,9.2795,0.2813
2006-03-31,56.16,277602902.0,797064.5203,38.5411,9.0073,0.2813
2006-04-30,54.04,279927435.0,765130.7674,37.0847,8.6669,0.2813
2006-05-31,45.12,303123380.0,642521.6655,30.9665,7.237,0.2813
2006-06-30,51.51,324564357.0,734568.0057,32.8062,7.5049,0.5625
2006-07-31,49.25,399665731.0,702868.6768,31.3651,7.1752,0.5625
2006-08-31,52.04,249792672.0,742889.9609,33.1449,7.5824,0.5625
2006-09-30,52.67,181168862.0,752185.4163,30.1421,7.6656,0.5625
2006-10-31,54.01,256834769.0,771972.797,30.9116,7.8613,0.5625
2006-11-30,60.19,220649278.0,860312.9871,34.449,8.7609,0.5625
2006-12-31,60.79,189092168.0,871405.8682,31.2227,7.9861,0.5625
2007-01-31,61.53,193052355.0,883371.5782,31.6015,8.083,0.5625
2007-02-28,56.43,182742498.0,810512.7283,28.9811,7.4128,0.5625
2007-03-31,56.13,255780521.0,807024.7743,22.8494,6.9505,1.125
2007-04-30,57.35,282528386.0,833964.1907,23.3477,7.1021,1.125
2007-05-31,54.55,248652005.0,793258.1009,22.2081,6.7554,1.125
2007-06-30,52.02,239582939.0,756418.3601,20.3773,6.1966,0.675
2007-07-31,49.9,239446104.0,725689.9297,19.5479,5.9444,0.675
2007-08-31,48.4,266510653.0,703820.0722,18.9584,5.7652,0.675
2007-09-30,46.18,297620403.0,671611.048,17.6899,5.1875,0.675
2007-10-31,50.89,347811734.0,740092.1297,19.4926,5.7161,0.3375
2007-11-30,46.22,154419966.0,672571.4927,17.7053,5.192,0.3375
2007-12-31,52.74,184640631.0,767678.3302,20.138,5.6308,0.3375
2008-01-31,42.42,201934648.0,617490.6235,16.1958,4.5285,0.3375
2008-02-29,43.85,139545273.0,638507.1091,16.7437,4.6817,0.3375
2008-03-31,43.36,181551493.0,631442.8366,17.3579,4.8158,0.3375
2008-04-30,49.04,262681231.0,714308.125,19.6336,5.4471,0.3375
2008-05-31,51.1,306153887.0,744352.3617,20.4571,5.6756,0.3375
2008-06-30,44.14,184185520.0,643077.0954,17.2837,4.347,0.675
2008-07-31,41.68,302489585.0,607340.9653,16.3192,4.1044,0.675
2008-08-31,43.39,167556969.0,632368.1622,16.9871,4.2724,0.675
2008-09-30,34.1,292665816.0,497195.5296,13.5745,3.2792,0.675
2008-10-31,27.36,426480005.0,398887.7821,10.8887,2.6304,0.45
2008-11-30,24.35,356508640.0,355112.2028,9.6906,2.341,0.45
2008-12-31,23.42,342214338.0,341633.3808,9.0065,2.1552,0.45
2009-01-31,23.23,550999279.0,338925.6312,8.9351,2.1381,0.45
2009-02-28,20.82,220879918.0,303755.177,8.0071,1.9161,0.45
2009-03-31,24.67,276143728.0,359976.9482,9.1567,2.3573,0.45
2009-04-30,33.2,402549864.0,484368.3579,12.32,3.1716,0.45
2009-05-31,38.35,412497882.0,560046.6443,14.234,3.6644,0.45
2009-06-30,37.92,364430328.0,553880.4193,13.1015,3.0737,0.45
2009-07-31,49.18,363351804.0,718410.6771,16.9909,3.9862,0.45
2009-08-31,55.18,272978351.0,806165.6765,19.0638,4.4725,0.45
2009-09-30,60.41,242296308.0,882750.2611,18.6279,4.7173,0.45
2009-10-31,60.79,304046349.0,888512.1145,18.7455,4.7471,0.45
2009-11-30,63.12,226632220.0,922913.4104,19.4617,4.9285,0.45
2009-12-31,68.23,264575880.0,997948.9746,19.6135,4.8598,0.45
2010-01-31,65.01,353472498.0,950975.2231,18.6891,4.6307,0.45
2010-02-28,67.98,160755165.0,994542.5427,19.5414,4.8419,0.45
2010-03-31,70.93,191406284.0,1037895.974,19.4567,5.0741,0.45
2010-04-30,67.38,226645464.0,985993.7298,18.481,4.8197,0.45
2010-05-31,67.19,198992897.0,983646.6943,18.4301,4.8064,0.45
2010-06-30,64.3,177935051.0,941799.2377,16.7449,4.0083,0.675
2010-07-31,68.95,172253936.0,1009892.915,17.9556,4.2981,0.675
2010-08-31,66.93,142360524.0,980611.2297,17.4308,4.1725,0.675
2010-09-30,75.16,179043139.0,1101813.837,19.2517,4.5779,0.675
2010-10-31,70.19,237109727.0,1029326.609,17.9795,4.2754,0.675
2010-11-30,70.17,136154094.0,1029276.137,17.9731,4.2739,0.675
2010-12-31,82.15,230158513.0,1205315.457,20.6719,4.6813,0.675
2011-01-31,73.26,212916448.0,1074960.922,18.4353,4.1748,0.75
2011-02-28,73.28,175661812.0,1075361.308,18.4396,4.1757,0.75
2011-03-31,80.3,153387450.0,1178555.47,19.6913,4.3858,0.75
2011-04-30,75.3,155697310.0,1105220.454,18.4652,4.1127,0.75
2011-05-31,74.65,102810657.0,1095928.239,18.3053,4.0771,0.75
2011-06-30,69.84,117041864.0,1025361.338,17.0851,3.6034,1.125
2011-07-31,65.1,149415189.0,956052.1783,15.9272,3.3592,1.125
2011-08-31,56.06,188005537.0,823651.056,13.7159,2.8928,1.125
2011-09-30,56.99,213884192.0,837463.166,13.9111,2.9076,1.125
2011-10-31,61.31,147979403.0,900958.3438,14.9642,3.1278,1.125
2011-11-30,63.08,211986331.0,927098.8467,15.3969,3.2182,1.125
2011-12-31,66.67,236623872.0,980049.2785,15.8891,3.1891,1.125
2012-01-31,69.22,175342852.0,1017480.083,16.4948,3.3107,1.125
2012-02-29,72.3,144863132.0,1062885.82,17.2301,3.4583,1.125
2012-03-31,73.6,158439672.0,1082049.136,17.4842,3.3826,1.125
2012-04-30,67.74,187719660.0,995919.1597,16.0918,3.1132,1.125
2012-05-31,68.56,138938952.0,1008248.657,16.2884,3.1513,1.125
2012-06-30,66.88,122485825.0,983613.2149,15.2239,2.8884,1.125
2012-07-31,56.87,252297217.0,836751.3881,12.9455,2.4561,1.125
2012-08-31,60.64,127705408.0,892588.9431,13.8039,2.619,1.125
2012-09-30,63.72,144177484.0,938097.2827,13.7771,2.697,1.125
2012-10-31,58.64,206180583.0,863359.6263,12.678,2.4818,1.125
2012-11-30,65.76,186602023.0,968319.4639,14.2182,2.7834,1.125
2012-12-31,65.97,132559855.0,971449.797,13.9578,2.6275,1.125
2013-01-31,68.82,267547458.0,1013500.955,14.5611,2.741,1.125
2013-02-28,69.63,156183438.0,1025517.667,14.7327,2.7733,1.125
2013-03-31,73.1,171213360.0,1076646.126,15.0454,3.3835,1.125
2013-04-30,65.32,326148484.0,857963.3426,13.4424,3.023,1.125
2013-05-31,61.43,206219511.0,807053.4653,12.6436,2.8434,1.125
2013-06-30,65.44,179314537.0,859876.9529,13.6129,2.854,1.3125
2013-07-31,82.13,249264327.0,1079433.784,17.0844,3.5818,1.3125
2013-08-31,90.68,327420947.0,1191965.851,18.863,3.9547,1.3125
2013-09-30,88.7,341270016.0,1166070.675,17.4487,3.7989,1.3125
2013-10-31,89.57,407039872.0,1177625.55,17.6203,3.8362,1.3125
2013-11-30,88.28,219609673.0,1160680.619,17.3657,3.7808,1.3125
2013-12-31,104.85,205463255.0,1378714.972,19.5088,4.1824,1.3125
2014-01-31,107.82,232301179.0,1417882.085,20.0617,4.3009,1.5
2014-02-28,111.98,159210862.0,1472681.436,20.8362,4.4669,1.5
2014-03-31,101.85,208618513.0,1339703.47,17.3199,3.9002,1.5
2014-04-30,97.94,255335984.0,1288469.242,16.6551,3.7505,1.5
2014-05-31,94.91,290606498.0,1248876.718,16.1401,3.6345,1.5
2014-06-30,102.45,222745896.0,1348097.53,16.267,3.6703,1.5
2014-07-31,102.08,261074031.0,1343245.728,16.2075,3.6569,1.5
2014-08-31,105.98,162454455.0,1394800.053,16.8282,3.797,1.5
2014-09-30,111.9,185298375.0,1472722.748,17.5574,3.9193,1.5
2014-10-31,105.69,241811860.0,1391245.18,16.5836,3.702,1.5
2014-11-30,109.84,217686324.0,1446045.298,17.2338,3.8471,1.5
2014-12-31,104.1,171725605.0,1370619.909,16.0487,3.4139,1.5
2015-01-31,113.73,260968676.0,1497445.635,17.533,3.7296,1.875
2015-02-28,123.6,196219322.0,1627534.544,19.0549,4.0534,1.875
2015-03-31,117.91,198154356.0,1552644.468,18.0802,3.8057,1.875
2015-04-30,100.99,252103782.0,1329835.353,15.4854,3.2595,1.875
2015-05-31,105.32,199084068.0,1386937.956,16.1496,3.3993,1.875
2015-06-30,102.51,207913617.0,1349949.119,15.4735,3.1438,1.875
2015-07-31,106.85,156938190.0,1407230.106,16.1287,3.2769,2.25
2015-08-31,107.21,160144888.0,1412144.418,16.1839,3.2881,2.25
2015-09-30,112.1,168253371.0,1476587.037,16.6214,3.4085,2.25
2015-10-31,107.41,158451283.0,1414909.851,15.9263,3.266,2.25
2015-11-30,107.49,137445150.0,1416153.455,15.9388,3.2686,2.25
2015-12-31,104.98,142761831.0,1383159.682,15.3861,3.0295,2.25
2016-01-31,105.53,139676957.0,1390388.881,15.4658,3.0452,2.25
2016-02-29,97.55,126740630.0,1285328.177,14.2965,2.815,2.25
2016-03-31,105.8,193677520.0,1394068.891,15.5655,2.997,2.25
2016-04-30,103.94,199085337.0,1369639.962,15.2924,2.9444,2.25
2016-05-31,102.27,146434491.0,1347650.613,15.0469,2.8971,2.25
2016-06-30,104.62,187804529.0,1378534.53,15.6376,2.8173,2.25
2016-07-31,102.2,234697339.0,1346662.327,15.2761,2.7522,1.125
2016-08-31,92.18,235187013.0,1214726.233,13.7794,2.4825,1.125
2016-09-30,89.8,237372911.0,1164196.955,13.6453,2.4088,1.125
2016-10-31,87.08,173682213.0,1128829.869,13.2308,2.3356,1.125
2016-11-30,87.23,202841400.0,1130895.988,13.255,2.3399,1.125
2016-12-31,88.96,114001097.0,1153327.949,13.6611,2.2796,1.125
2017-01-31,85.88,136071966.0,1113340.079,13.1874,2.2005,1.125
2017-02-28,91.65,120124013.0,1188215.757,14.0743,2.3485,0.5625
2017-03-31,96.69,261853337.0,1253611.303,14.7469,2.4094,0.5625
2017-04-30,92.67,230249180.0,1202079.953,14.1335,2.3092,0.5625
2017-05-31,100.41,183190349.0,1302785.606,15.3131,2.5019,0.5625
2017-06-30,96.88,183435149.0,1257169.575,14.679,2.325,0.5625
2017-07-31,108.17,223316992.0,1403714.46,16.3892,2.5959,0.5625
2017-08-31,112.16,176187380.0,1455559.343,16.9943,2.6917,0.5625
2017-09-30,105.09,209307502.0,1363889.993,15.7003,2.4249,0.375
2017-10-31,110.27,106295405.0,1431050.321,16.4734,2.5443,0.375
2017-11-30,109.46,116620784.0,1420586.993,16.3529,2.5257,0.375
2017-12-31,117.84,127550019.0,1421543.964,17.9418,3.0214,0.375
2018-01-31,114.26,206917271.0,1378343.503,17.3965,2.9296,0.75
2018-02-28,109.8,201601352.0,1324512.562,16.7171,2.8152,0.375
2018-03-31,105.43,202379640.0,1271842.177,16.6954,2.6336,0.375
2018-04-30,104.53,167489731.0,1261049.8,16.5529,2.6111,0.375
2018-05-31,98.21,154181857.0,1184821.319,15.5523,2.4533,0.375
2018-06-30,98.06,158211982.0,1183021.533,15.1506,2.3677,0.375
2018-07-31,103.65,254327848.0,1250438.387,16.0139,2.5026,0.375
2018-08-31,112.97,163090533.0,1362869.229,17.4537,2.7276,0.375
2018-09-30,121.5,406600768.0,1465791.303,19.1376,2.8134,0.375
2018-10-31,124.2,248349981.0,1498385.402,19.5629,2.8759,0.375
2018-11-30,121.74,192579531.0,1468752.478,19.176,2.8191,0.375
2018-12-31,124.07,223170480.0,1496935.779,17.9128,2.7364,0.375
2019-01-31,138.45,392827147.0,1670663.292,19.9892,3.0535,0.375
2019-02-28,138.34,205213698.0,1669375.032,19.9729,3.0511,0.375
2019-03-31,127.4,434118990.0,1537446.737,17.0065,2.7062,0.375
2019-04-30,149.28,469620984.0,1801619.974,19.9266,3.1709,0.375
2019-05-31,143.2,321795976.0,1728491.805,19.1156,3.0418,0.375
2019-06-30,140.25,265282050.0,1692918.361,18.1907,2.8436,0.375
2019-07-31,132.65,207009212.0,1601180.895,17.2049,2.6895,0.375
2019-08-31,127.2,194815452.0,1535395.476,16.4981,2.579,0.375
2019-09-30,119.9,195495326.0,1369805.38,14.4654,2.9621,0.375
2019-10-31,129.65,178115980.0,1481356.751,15.6417,3.2029,0.375
2019-11-30,118.85,100138946.0,1357964.65,14.3387,2.9361,0.375
2019-12-31,122.9,116292454.0,1404260.923,14.7098,2.6022,0.375
2020-01-31,118.4,173752726.0,1352843.721,14.1712,2.5069,0.5
2020-02-29,110.73,121676666.0,1265174.048,13.2525,2.3444,0.5
2020-03-31,98.35,253743648.0,1123817.399,11.7996,2.016,0.5
2020-04-30,95.48,276911986.0,1090971.628,11.4547,1.957,0.5
2020-05-31,106.4,315365236.0,1215823.08,12.7654,2.181,0.5
2020-06-30,109.83,413780082.0,1255176.501,12.997,2.1392,0.5
2020-07-31,140.48,966616892.0,1605479.097,16.6243,2.7362,0.5
2020-08-31,135.65,408044260.0,1550338.122,16.0533,2.6422,0.5
2020-09-30,156.78,901437432.0,1791778.533,18.5204,2.9253,0.5
2020-10-31,170.35,1216926132.0,1947113.942,20.124,3.1787,0.5
2020-11-30,175.25,311202872.0,2003226.068,20.7029,3.2701,0.5
2020-12-31,193.13,504695544.0,2207549.411,21.6629,4.1877,0.5
2021-01-31,208.95,981304732.0,2388439.868,23.438,4.5309,0.5
2021-02-28,205.15,473709428.0,2247935.933,23.0118,4.4485,0.5
2021-03-31,207.08,544102854.0,2269176.222,21.6492,4.1027,0.5
2021-04-30,246.38,893058518.0,2699846.928,25.758,4.8813,0.5
2021-05-31,269.52,418717954.0,2953573.92,28.1783,5.34,0.5
2021-06-30,272.83,281972916.0,2989738.482,26.1703,5.0702,0.5
2021-07-31,293.58,439400950.0,3217126.306,28.1607,5.4559,0.5
2021-08-31,320.48,279724298.0,3511946.496,30.741,5.9558,0.5
2021-09-30,317.05,271267620.0,3474686.324,28.9808,5.5905,0.5
2021-10-31,323.38,419838288.0,3544719.816,29.559,5.702,0.5
2021-11-30,318.63,207482600.0,3492652.033,29.1248,5.6182,0.5
2021-12-31,357.68,398317390.0,3920704.013,32.3688,5.9962,0.5
2022-01-31,286.3,482744950.0,3138599.514,25.9095,4.7996,0.5
2022-02-28,277.9,340417614.0,3046513.464,25.1493,4.6588,0.5
2022-03-31,295.95,349087390.0,3244388.844,26.4832,4.9302,0.5
2022-04-30,254.4,262968488.0,2788891.779,22.7651,4.238,3.0
2022-05-31,239.03,386806550.0,2620780.023,21.3893,3.9819,3.0
2022-06-30,208.03,353984142.0,2280881.767,19.6993,3.3207,3.0
2022-07-31,211.85,341604080.0,2322820.826,20.0616,3.3817,3.0
2022-08-31,206.78,271487938.0,2268168.437,19.581,3.3007,3.0
2022-09-30,197.13,332247574.0,2162674.792,19.1198,3.0139,3.0
2022-10-31,193.28,332634904.0,2120477.317,18.7464,2.9551,3.0
2022-11-30,203.45,261057600.0,2232345.162,19.7333,3.1106,3.0
2022-12-31,196.38,233882270.0,2154926.037,18.9186,2.8547,3.0
2023-01-31,199.43,220266636.0,2188470.538,19.2124,2.899,3.0
2023-02-28,193.53,144928528.0,2123822.904,18.644,2.8133,3.0
2023-03-31,182.63,153447156.0,2004461.955,17.6194,2.566,3.0
2023-04-30,192.5,156672744.0,2112910.888,18.5721,2.7047,0.5
2023-05-31,201.83,175473114.0,2215471.138,19.4718,2.8358,0.5
2023-06-30,194.58,269414576.0,2135982.862,18.2957,3.1927,0.5
2023-07-31,202.53,287023504.0,2114345.01,19.0433,3.3231,0.5
2023-08-31,204.2,191396978.0,2132328.28,19.2008,3.3506,0.5
2023-09-30,203.03,260189932.0,2120297.448,18.9124,3.0339,0.5
2023-10-31,190.9,183835198.0,1993758.848,17.783,2.8527,0.5
2023-11-30,206.53,180891750.0,2157060.155,19.2385,3.0862,0.5
2023-12-31,235.65,434459140.0,2462182.253,22.3789,3.3716,0.5
2024-01-31,239.08,510809394.0,2498047.989,22.7042,3.4206,0.5
2024-02-29,259.3,377257252.0,2709674.694,24.6249,3.71,0.5
2024-03-31,240.05,233204192.0,2508588.872,22.9957,3.3453,0.5
2024-04-30,231.2,292509716.0,2416235.83,22.1479,3.222,0.5
2024-05-31,219.1,260133154.0,2291148.005,20.9888,3.0534,0.5
2024-06-30,257.43,467037868.0,2692750.041,24.0609,3.4518,0.5
2024-07-31,261.0,505981576.0,2730341.178,24.395,3.4998,0.5
2024-08-31,269.2,307444434.0,2816322.829,25.1614,3.6097,0.5
2024-09-30,270.73,327395554.0,2832483.432,24.0891,3.4613,0.5
2024-10-31,275.9,420176884.0,2886808.613,24.5495,3.5275,0.5
2024-11-30,288.93,264961704.0,3023365.75,25.7085,3.694,0.5
2024-12-31,301.85,246368128.0,3160138.488,25.4329,3.7011,0.5
2025-01-31,311.9,349748585.0,3265616.992,26.2796,3.8243,6.0
2025-02-28,277.65,226931991.0,2907416.293,23.3939,3.4043,6.0
2025-03-31,262.25,237160004.0,2746244.149,20.8721,3.3156,6.0
2025-04-30,241.5,350466656.0,2529095.094,19.2207,3.0532,6.0
2025-05-31,249.67,215271406.0,2616647.186,19.8709,3.1565,6.0
2025-06-30,265.98,192533474.0,2787922.646,20.6673,3.2087,6.0
2025-07-31,248.3,226911791.0,2602873.692,19.2935,2.9955,11.0
2025-08-31,249.41,169532379.0,2614625.757,19.3798,3.0088,11.0
2025-09-30,239.37,188859920.0,2509500.599,18.5558,2.9156,11.0
2025-10-31,240.67,221565676.0,2523154.31,18.6566,2.9314,11.0
2025-11-30,249.53,159823878.0,2616178.269,19.3434,3.0394,11.0
2025-12-31,263.28,170742347.0,2760968.276,20.7798,3.0788,11.0
2026-01-31,236.9,256516901.0,2484417.324,18.6977,2.7703,11.0
2026-02-28,200.96,418057370.0,2107641.984,15.8611,2.35,11.0
2026-03-31,195.7,44163645.0,2052501.123,15.4459,2.2885,11.0
