RPWR IN Equity,price,volume,mc,pe,bm,div
2012-10-31,92.45,119283493.0,259333.9642,29.9191,1.476,0.0
2012-11-30,97.2,87580694.0,272658.3161,31.4563,1.5519,0.0
2012-12-31,93.35,222633947.0,261858.5783,30.2104,1.4904,0.0
2013-01-31,92.25,147913859.0,258772.9389,29.8544,1.4728,0.0
2013-02-28,71.9,140577277.0,201688.6104,23.2686,1.1479,0.0
2013-03-31,61.5,111563170.0,172515.2926,17.036,0.9284,0.0
2013-04-30,71.35,203244722.0,200145.7907,19.7645,1.0771,0.0
2013-05-31,68.85,282914959.0,193132.9739,19.072,1.0394,0.0
2013-06-30,64.6,148752907.0,181211.1696,17.8947,0.9752,0.0
2013-07-31,73.0,362991720.0,204774.2319,20.2216,1.1021,0.0
2013-08-31,67.7,210664395.0,189907.0617,18.7535,1.022,0.0
2013-09-30,67.45,273997208.0,189205.7801,18.6842,1.0183,0.0
2013-10-31,73.15,186114119.0,205195.0009,20.2632,1.1043,0.0
2013-11-30,71.9,154642565.0,201688.5928,19.9169,1.0855,0.0
2013-12-31,73.2,131824388.0,205335.2572,20.277,1.1051,0.0
2014-01-31,62.1,216162937.0,174198.3535,17.2022,0.9375,0.0
2014-02-28,61.9,76841980.0,173637.3282,17.1468,0.9345,0.0
2014-03-31,70.65,182330464.0,198182.1847,19.3033,1.0149,0.0
2014-04-30,68.45,116374300.0,192010.9065,18.7022,0.9833,0.0
2014-05-31,94.65,307545470.0,265505.2199,25.8607,1.3596,0.0
2014-06-30,108.35,300666539.0,303935.4525,29.6038,1.5564,0.0
2014-07-31,92.5,215675991.0,259474.198,25.2732,1.3288,0.0
2014-08-31,74.55,115435687.0,209122.178,20.3689,1.0709,0.0
2014-09-30,70.3,148590422.0,197200.3905,19.2077,1.0099,0.0
2014-10-31,76.35,80943236.0,214171.4056,20.8607,1.0968,0.0
2014-11-30,67.7,204968174.0,189907.0617,18.4973,0.9725,0.0
2014-12-31,61.75,146685348.0,173216.5592,16.8716,0.887,0.0
2015-01-31,65.1,114154201.0,182613.7329,17.7869,0.9352,0.0
2015-02-28,62.45,140304652.0,175180.1172,17.0628,0.8971,0.0
2015-03-31,56.5,96530219.0,158489.6453,15.3533,0.7682,0.0
2015-04-30,56.65,92290968.0,158910.4142,15.394,0.7702,0.0
2015-05-31,52.85,100663120.0,148250.9337,14.3614,0.7185,0.0
2015-06-30,44.85,162496939.0,125809.9219,12.1875,0.6098,0.0
2015-07-31,42.65,118135638.0,119638.6437,11.5897,0.5799,0.0
2015-08-31,37.5,132706700.0,105192.2424,10.1902,0.5098,0.0
2015-09-30,43.0,112363857.0,120620.438,11.6848,0.5846,0.0
2015-10-31,50.45,130121564.0,141518.6302,13.7092,0.6859,0.0
2015-11-30,52.55,148723152.0,147409.3957,14.2799,0.7145,1.0
2015-12-31,56.8,182509158.0,159331.1832,15.4348,0.7723,1.0
2016-01-31,50.7,254277274.0,142219.9118,13.7772,0.6893,1.0
2016-02-29,44.5,140527073.0,124828.1277,12.0924,0.605,1.0
2016-03-31,49.4,103701799.0,138573.2474,15.4859,0.6851,1.0
2016-04-30,50.95,93726517.0,142921.1934,15.9718,0.7066,1.0
2016-05-31,52.0,88050132.0,145866.5762,16.3009,0.7212,1.0
2016-06-30,51.35,80449392.0,144043.244,16.0972,0.7121,1.0
2016-07-31,54.35,85532930.0,152458.6234,17.0376,0.7537,1.0
2016-08-31,53.25,79418815.0,149372.9843,16.6928,0.7385,1.0
2016-09-30,47.65,73163022.0,133664.276,14.9373,0.6608,1.0
2016-10-31,47.05,53233186.0,131981.2002,14.7492,0.6525,1.0
2016-11-30,41.7,73794610.0,116973.7736,13.0721,0.5783,1.0
2016-12-31,41.2,57918248.0,115571.2104,12.9154,0.5714,1.0
2017-01-31,44.8,54206659.0,125669.6656,14.0439,0.6213,0.0
2017-02-28,47.5,69821429.0,133243.5071,14.8903,0.6587,0.0
2017-03-31,48.1,432393960.0,134926.583,12.2081,0.6315,0.0
2017-04-30,48.9,90273218.0,137170.6841,12.4112,0.642,0.0
2017-05-31,41.3,101837192.0,115851.723,10.4822,0.5422,0.0
2017-06-30,42.55,64427064.0,119358.1311,10.7995,0.5586,0.0
2017-07-31,45.35,69200607.0,127212.4852,11.5102,0.5954,0.0
2017-08-31,40.45,70455161.0,113467.3655,10.2665,0.531,0.0
2017-09-30,41.1,115971933.0,115290.6977,10.4315,0.5396,0.0
2017-10-31,40.8,63099272.0,114449.1598,10.3553,0.5356,0.0
2017-11-30,38.0,97225557.0,106594.8094,9.6447,0.4989,0.0
2017-12-31,50.25,195209190.0,140957.6097,12.7538,0.6597,0.0
2018-01-31,45.75,920135767.0,128334.5402,11.6117,0.6006,0.0
2018-02-28,44.7,229201467.0,125389.153,11.3452,0.5868,0.0
2018-03-31,36.1,133416757.0,101265.0654,12.1182,0.4769,0.0
2018-04-30,37.0,194543573.0,103789.6792,12.4203,0.4888,0.0
2018-05-31,36.4,256861714.0,102106.6034,12.2189,0.4808,0.0
2018-06-30,32.0,129285692.0,89764.0469,10.7419,0.4227,0.0
2018-07-31,33.5,161216965.0,93971.7366,11.2454,0.4425,0.0
2018-08-31,37.75,214241233.0,105893.5241,12.672,0.4987,0.0
2018-09-30,26.1,223677714.0,73213.8008,8.7613,0.3448,0.0
2018-10-31,30.2,227772879.0,84714.8193,10.1376,0.3989,0.0
2018-11-30,29.15,164464543.0,81769.4365,9.7852,0.3851,0.0
2018-12-31,28.65,248060919.0,80366.8733,9.6173,0.3785,0.0
2019-01-31,26.5,201341767.0,74335.8513,8.8956,0.3501,0.0
2019-02-28,10.75,1932418806.0,30155.1095,3.6086,0.142,0.0
2019-03-31,11.35,1596041024.0,31838.1854,3.575,0.1832,0.0
2019-04-30,6.05,1079421859.0,16971.0151,3.575,0.0977,0.0
2019-05-31,7.45,2190933545.0,20898.1922,3.575,0.1203,0.0
2019-06-30,4.15,1804816914.0,11641.2748,3.575,0.067,0.0
2019-07-31,3.55,464526967.0,9958.199,3.575,0.0573,0.0
2019-08-31,3.25,339263257.0,9116.661,3.575,0.0525,0.0
2019-09-30,2.2,430046834.0,6171.2782,3.575,0.0355,0.0
2019-10-31,3.35,657557815.0,9397.1737,3.575,0.0541,0.0
2019-11-30,3.65,458720216.0,10238.7116,3.575,0.0589,0.0
2019-12-31,3.5,310590038.0,9817.9426,3.575,0.0565,0.0
2020-01-31,1.75,855870520.0,4908.9713,3.575,0.0282,0.0
2020-02-29,1.75,432876637.0,4908.9713,3.575,0.0282,0.0
2020-03-31,1.25,365236281.0,3506.4081,3.575,0.0295,0.0
2020-04-30,2.3,224028507.0,6451.7909,3.575,0.0544,0.0
2020-05-31,1.9,269052564.0,5329.7403,3.575,0.0449,0.0
2020-06-30,4.25,405532980.0,11921.7875,3.575,0.1004,0.0
2020-07-31,3.3,1342056479.0,9256.9173,3.575,0.078,0.0
2020-08-31,3.4,721781193.0,9537.43,3.575,0.0804,0.0
2020-09-30,2.75,407542395.0,7714.0978,3.575,0.065,0.0
2020-10-31,3.5,823042316.0,9817.943,3.575,0.0827,0.0
2020-11-30,3.1,275641009.0,8695.8923,3.575,0.0733,0.0
2020-12-31,3.4,378650311.0,9537.4303,3.575,0.0804,0.0
2021-01-31,3.3,312639868.0,9256.9177,3.575,0.078,0.0
2021-02-28,4.25,733619443.0,11921.7879,3.575,0.1004,0.0
2021-03-31,4.35,1438912035.0,12202.3005,6.0501,0.0996,0.0
2021-04-30,4.85,851406750.0,13604.8638,6.7455,0.1111,0.0
2021-05-31,8.65,2425382529.0,24264.3448,12.0306,0.1981,0.0
2021-06-30,15.0,1600094116.0,42076.8984,20.8623,0.3436,0.0
2021-07-31,12.05,592036502.0,33801.7739,16.7594,0.276,0.0
2021-08-31,11.4,358246485.0,38761.4417,15.8554,0.2611,0.0
2021-09-30,13.65,521860051.0,46411.7263,18.9847,0.3127,0.0
2021-10-31,14.1,549366787.0,47941.7832,19.6106,0.323,0.0
2021-11-30,12.9,368861072.0,43861.6314,17.9416,0.2955,0.0
2021-12-31,13.6,344498737.0,46241.7199,18.9152,0.3115,0.0
2022-01-31,14.8,826999249.0,50321.8717,20.5841,0.339,0.0
2022-02-28,13.05,1181805382.0,44371.6504,18.1502,0.2989,0.0
2022-03-31,13.5,584351095.0,45901.7073,18.8456,0.3902,0.0
2022-04-30,14.25,689799599.0,48451.8021,18.8456,0.4119,0.0
2022-05-31,12.6,396635974.0,42841.5935,18.8456,0.3642,0.0
2022-06-30,11.5,410820542.0,39101.4544,18.8456,0.3324,0.0
2022-07-31,12.4,271393046.0,42161.5682,18.8456,0.3584,0.0
2022-08-31,16.8,1128661334.0,57122.1246,18.8456,0.4856,0.0
2022-09-30,16.4,1863266895.0,55762.074,18.8456,0.474,0.0
2022-10-31,16.1,158326572.0,54742.0361,18.8456,0.4653,0.0
2022-11-30,16.05,176605610.0,54572.0298,18.8456,0.4639,0.0
2022-12-31,14.35,528373802.0,48791.8148,18.8456,0.4148,0.0
2023-01-31,12.75,244899588.0,46265.4401,18.8456,0.3685,0.0
2023-02-28,9.8,427278909.0,36605.0185,18.8456,0.2833,0.0
2023-03-31,9.95,957566658.0,37165.2994,18.8456,0.2918,0.0
2023-04-30,12.2,1082877473.0,45569.5128,18.8456,0.3577,0.0
2023-05-31,12.95,2275975636.0,48370.9173,18.8456,0.3797,0.0
2023-06-30,14.05,3335797408.0,52479.6438,18.8456,0.412,0.0
2023-07-31,16.45,3332196861.0,61444.1381,18.8456,0.4824,0.0
2023-08-31,19.15,4336292983.0,71529.1942,18.8456,0.5615,0.0
2023-09-30,19.25,2809266918.0,73365.2721,18.8456,0.5645,0.0
2023-10-31,17.1,1366363646.0,65171.2287,18.8456,0.5014,0.0
2023-11-30,21.15,3567061262.0,80606.5197,18.8456,0.6202,0.0
2023-12-31,23.3,3317209437.0,88800.5631,18.8456,0.6832,0.0
2024-01-31,29.8,3903672667.0,113573.2524,18.8456,0.8738,0.0
2024-02-29,24.2,346535283.0,92230.6278,18.8456,0.7096,0.0
2024-03-31,28.25,313773631.0,107665.9188,18.8456,0.9086,0.0
2024-04-30,27.3,591371577.0,109663.3074,18.8456,0.878,0.0
2024-05-31,24.55,439939104.0,98616.6372,18.8456,0.7896,0.0
2024-06-30,28.93,1195815439.0,116210.97,18.8456,0.9304,0.0
2024-07-31,32.84,720751839.0,131917.3265,18.8456,1.0562,0.0
2024-08-31,30.56,2072614568.0,122758.6327,18.8456,0.9829,0.0
2024-09-30,48.66,1460196159.0,195465.8072,18.8456,1.565,0.0
2024-10-31,42.73,817136124.0,171645.1694,18.8456,1.3743,0.0
2024-11-30,38.7,376897646.0,155456.7764,18.8456,1.2447,0.0
2024-12-31,42.6,341892350.0,171122.9632,18.8456,1.3701,0.0
2025-01-31,40.09,551073089.0,161040.366,18.8456,1.2894,0.0
2025-02-28,33.26,544537121.0,133604.4543,18.8456,1.0697,0.0
2025-03-31,42.98,777011641.0,172649.4121,5.858,1.0568,0.0
2025-04-30,39.99,959799665.0,160638.6689,5.4505,0.9833,0.0
2025-05-31,58.1,2767466757.0,233386.0131,7.9188,1.4286,0.0
2025-06-30,70.29,3581844741.0,290703.3412,9.5802,1.7283,0.0
2025-07-31,52.73,368239586.0,218079.203,7.1869,1.2965,0.0
2025-08-31,43.92,336023832.0,181643.0608,5.9861,1.0799,0.0
2025-09-30,44.36,365916450.0,183462.8001,6.0461,1.0907,0.0
2025-10-31,46.42,724162491.0,191982.4882,6.3268,1.1414,0.0
2025-11-30,39.95,1174611755.0,165224.0501,5.445,0.9823,0.0
2025-12-31,34.85,1392257312.0,144131.6182,4.7499,0.8569,0.0
2026-01-31,28.25,870065021.0,116835.5298,3.8503,0.6946,0.0
2026-02-28,23.97,1016337480.0,99134.4301,3.267,0.5894,0.0
2026-03-31,22.5,221117986.0,93054.8467,3.0666,0.5532,0.0
