CRIN IN Equity,price,volume,mc,pe,bm,div
2009-09-30,104.43,5151362.0,29244.7426,5.2226,2.4108,5.0
2009-10-31,108.25,3106218.0,30322.081,5.4139,2.4991,5.0
2009-11-30,110.28,2675818.0,30889.307,5.5151,2.5458,5.0
2009-12-31,118.88,3293376.0,33318.5714,5.9452,2.7444,5.0
2010-01-31,140.3,5293492.0,39344.4693,7.0168,3.239,5.0
2010-02-28,138.23,6023916.0,38770.9229,6.913,3.1911,5.0
2010-03-31,157.68,3584372.0,44235.1515,9.4416,2.946,5.0
2010-04-30,182.35,5277866.0,51185.4636,10.9192,3.407,5.0
2010-05-31,201.23,5891160.0,56483.6573,12.0494,3.7597,5.0
2010-06-30,233.85,4676884.0,65659.0967,14.003,4.3693,5.0
2010-07-31,271.75,5301224.0,76350.0069,16.2725,5.0774,5.0
2010-08-31,264.83,4495142.0,74437.4358,15.8578,4.948,5.0
2010-09-30,307.38,5760582.0,86474.0579,18.4057,5.743,5.0
2010-10-31,320.52,6231080.0,90223.0434,19.1931,5.9887,5.0
2010-11-30,269.25,9000910.0,75836.7423,16.1228,5.0307,5.0
2010-12-31,316.45,4830654.0,89131.0184,18.9491,5.9126,5.0
2011-01-31,232.6,3521481.0,65513.9039,13.9281,4.3459,6.0
2011-02-28,254.95,5312204.0,71843.1796,15.2665,4.7635,6.0
2011-03-31,288.35,3595886.0,81266.891,11.693,4.1532,6.0
2011-04-30,328.35,6707710.0,92540.2589,13.3151,4.7293,6.0
2011-05-31,316.1,3497871.0,89109.6974,12.8183,4.5529,6.0
2011-06-30,351.3,5276018.0,99032.7008,14.2457,5.0599,6.0
2011-07-31,327.4,4341930.0,92326.7001,13.2766,4.7156,7.0
2011-08-31,309.25,3276572.0,87229.0644,12.5406,4.4542,7.0
2011-09-30,304.95,4502380.0,86028.0999,12.3662,4.3923,7.0
2011-10-31,332.9,2962768.0,93944.445,13.4996,4.7949,7.0
2011-11-30,284.65,2216959.0,80368.5404,11.543,4.0999,7.0
2011-12-31,276.95,3039501.0,78208.2188,11.2307,3.989,7.0
2012-01-31,265.35,5289182.0,74932.4819,10.7603,3.8219,7.0
2012-02-29,277.15,5354768.0,78275.9461,11.2388,3.9919,7.0
2012-03-31,283.65,3327087.0,80150.8354,12.5287,3.3391,7.0
2012-04-30,256.35,2555413.0,72436.6884,11.3229,3.0178,7.0
2012-05-31,258.55,1409274.0,73058.3413,11.4201,3.0437,7.0
2012-06-30,258.25,1931572.0,73003.5582,11.4068,3.0401,7.0
2012-07-31,247.7,2535538.0,70053.9413,10.9408,2.9159,7.0
2012-08-31,299.0,3588445.0,84562.4887,13.2067,3.5198,7.0
2012-09-30,288.0,1470114.0,81467.6836,12.7208,3.3904,7.0
2012-10-31,283.0,1853756.0,80053.3141,12.5,3.3315,7.0
2012-11-30,274.5,5143349.0,77669.5522,12.1246,3.2314,7.0
2012-12-31,263.1,1942679.0,74443.9314,11.621,3.0972,7.0
2013-01-31,223.8,3763652.0,63333.5901,9.8852,2.6346,7.0
2013-02-28,201.4,3144844.0,56994.5712,8.8958,2.3709,7.0
2013-03-31,184.95,3145135.0,52351.5402,12.112,2.3833,7.0
