DRRD IN Equity,price,volume,mc,pe,bm,div
2010-06-30,290.25,63693760.0,245101.0359,229.2654,5.7098,1.25
2010-07-31,270.92,69911455.0,228777.8558,213.9968,5.3296,2.25
2010-08-31,272.89,49350145.0,230674.0488,215.5529,5.3683,2.25
2010-09-30,288.34,48027400.0,243816.5466,227.7567,5.6722,2.25
2010-10-31,331.92,46604655.0,280667.2389,262.1801,6.5296,2.25
2010-11-30,357.34,39892190.0,302207.9607,282.2591,7.0296,2.25
2010-12-31,332.57,49107660.0,281259.5987,262.6935,6.5423,2.25
2011-01-31,324.85,42870885.0,274730.6752,256.5956,6.3905,2.25
2011-02-28,309.2,28849780.0,261513.6281,244.2338,6.0826,2.25
2011-03-31,327.81,34151520.0,277284.6487,27.7523,6.8805,2.25
2011-04-30,332.78,19626630.0,281488.6119,28.173,6.9848,2.25
2011-05-31,323.17,30913035.0,273359.8014,27.3595,6.7831,2.25
2011-06-30,306.38,47972665.0,259370.7304,25.938,6.4307,2.25
2011-07-31,317.21,49765775.0,268672.2727,26.8549,6.658,2.25
2011-08-31,299.2,43736800.0,253418.0537,25.3302,6.28,2.25
2011-09-30,296.63,33199790.0,251241.301,25.1126,6.226,2.25
2011-10-31,334.14,28821985.0,283096.4283,28.2882,7.0133,2.25
2011-11-30,315.5,38266020.0,267303.904,26.7101,6.6221,2.25
2011-12-31,315.59,40171045.0,267407.7619,26.7177,6.624,2.25
2012-01-31,337.95,33999625.0,286365.1317,28.6107,7.0933,2.25
2012-02-29,328.54,50164415.0,278391.4685,27.8141,6.8958,2.25
2012-03-31,352.95,31015540.0,299104.3097,22.9905,5.9978,2.25
2012-04-30,352.59,27671715.0,298799.2203,22.967,5.9917,2.25
2012-05-31,337.12,29204190.0,285689.3183,21.9594,5.7288,2.25
2012-06-30,329.63,40741235.0,279639.4698,21.4715,5.6015,2.75
2012-07-31,322.99,45165135.0,274114.81,21.039,5.4887,2.75
2012-08-31,335.52,24332805.0,284748.7681,21.8551,5.7016,2.75
2012-09-30,329.13,48173910.0,279368.6738,21.4389,5.593,2.75
2012-10-31,351.3,35979370.0,298186.7806,22.883,5.9698,2.75
2012-11-30,363.88,35718025.0,308864.8042,23.7024,6.1836,2.75
2012-12-31,365.95,31790215.0,310621.8399,23.8373,6.2187,2.75
2013-01-31,383.18,53680555.0,325246.8278,24.9596,6.5115,2.75
2013-02-28,351.09,44471630.0,298012.9129,22.8693,5.9662,2.75
2013-03-31,353.3,23690200.0,299888.8202,17.8759,4.105,2.75
2013-04-30,405.64,39536750.0,344316.1542,20.5242,4.7132,2.75
2013-05-31,418.4,51898645.0,355147.1338,21.1698,4.8614,2.75
2013-06-30,443.77,33330435.0,377027.3477,22.4535,5.1562,2.75
2013-07-31,456.24,48004505.0,387795.8094,23.0844,5.3011,3.0
2013-08-31,458.58,36331555.0,389784.7568,23.2028,5.3283,3.0
2013-09-30,476.23,29363450.0,404861.2787,24.0958,5.5334,3.0
2013-10-31,491.28,36571070.0,417655.8581,24.8573,5.7082,3.0
2013-11-30,496.96,24682590.0,422484.6748,25.1447,5.7742,3.0
2013-12-31,506.92,23486450.0,430952.0615,25.6487,5.89,3.0
2014-01-31,521.91,31384475.0,443695.6221,26.4071,6.0641,3.0
2014-02-28,579.1,35425090.0,492341.4782,29.3007,6.7286,3.0
2014-03-31,512.78,46536325.0,435957.2628,20.2648,4.8033,3.0
2014-04-30,541.23,39339105.0,460144.9938,21.3891,5.0698,3.0
2014-05-31,492.13,81576620.0,418400.9659,19.4487,4.6098,3.0
2014-06-30,524.81,49724695.0,446631.4507,20.7402,4.916,3.0
2014-07-31,561.74,40221760.0,478217.5074,22.1997,5.2619,3.6
2014-08-31,589.58,33096895.0,501918.0979,23.2999,5.5227,3.6
2014-09-30,645.92,36679040.0,549980.6572,25.5264,6.0504,3.6
2014-10-31,633.66,31833320.0,539541.6408,25.0419,5.9356,3.6
2014-11-30,721.25,28354450.0,614121.7699,28.5034,6.756,3.6
2014-12-31,649.24,40130295.0,552807.5012,25.6576,6.0815,3.6
2015-01-31,646.65,45878695.0,550647.1526,25.5552,6.0573,3.6
2015-02-28,669.81,32866740.0,570370.0135,26.4705,6.2742,3.6
2015-03-31,697.75,33427085.0,594165.7567,26.7912,5.3406,3.6
2015-04-30,662.05,35539035.0,563765.5883,25.4204,5.0673,3.6
2015-05-31,707.05,38092230.0,602085.1283,27.1483,5.4118,3.6
2015-06-30,711.89,28434940.0,606608.4582,27.3341,5.4488,3.6
2015-07-31,815.22,41628725.0,694917.2287,31.3016,6.2397,4.0
2015-08-31,860.53,42841550.0,733540.7462,33.0414,6.5865,4.0
2015-09-30,832.47,45004480.0,709748.9722,31.964,6.3717,4.0
2015-10-31,855.98,56582480.0,729793.1327,32.8667,6.5517,4.0
2015-11-30,621.56,135663730.0,529930.8885,23.8658,4.7574,4.0
2015-12-31,621.72,64903160.0,530126.8413,23.8719,4.7586,4.0
2016-01-31,621.08,44189035.0,529581.0849,23.8473,4.7537,4.0
2016-02-29,607.25,59311690.0,517788.5727,23.3163,4.6479,4.0
2016-03-31,607.04,46593495.0,517609.4997,25.8667,4.0349,4.0
2016-04-30,617.74,28198220.0,526744.7458,26.3227,4.1061,4.0
2016-05-31,636.62,47339110.0,542843.6883,27.1272,4.2316,4.0
2016-06-30,676.34,47446825.0,576715.7038,28.8197,4.4956,4.0
2016-07-31,587.07,72034485.0,500595.1281,25.0158,3.9022,4.0
2016-08-31,617.97,36449000.0,526943.5853,26.3325,4.1076,4.0
2016-09-30,621.48,23027295.0,514888.7056,26.482,4.1309,4.0
2016-10-31,664.96,33655345.0,550911.3952,28.3348,4.4199,4.0
2016-11-30,639.38,36725745.0,529718.6409,27.2448,4.2499,4.0
2016-12-31,612.08,21671610.0,506983.2394,26.0815,4.0684,4.0
2017-01-31,603.76,29248105.0,500091.8499,25.7269,4.0131,4.0
2017-02-28,569.99,56655390.0,472137.6765,24.288,3.7887,4.0
2017-03-31,526.47,64570265.0,436115.7397,36.439,3.5172,4.0
2017-04-30,519.83,30856225.0,430616.0671,35.9794,3.4729,4.0
2017-05-31,504.77,49596495.0,418140.705,34.937,3.3722,4.0
2017-06-30,538.02,36171780.0,445809.7377,37.2384,3.5944,4.0
2017-07-31,476.64,49635210.0,395029.1822,32.99,3.1843,4.0
2017-08-31,404.18,101947080.0,334975.862,27.9748,2.7002,4.0
2017-09-30,465.75,143188030.0,386088.1373,32.2363,3.1116,4.0
2017-10-31,485.63,61701195.0,402567.8629,33.6123,3.2444,4.0
2017-11-30,456.81,71157835.0,378746.5134,31.6175,3.0518,4.0
2017-12-31,482.84,53256800.0,400328.2908,33.4192,3.2257,4.0
2018-01-31,445.07,77906535.0,369026.6772,30.805,2.9734,4.0
2018-02-28,447.45,73649050.0,371011.2149,30.9697,2.9893,4.0
2018-03-31,416.11,45527150.0,345061.2564,35.186,2.7296,4.0
2018-04-30,421.97,55106550.0,349960.9651,35.6815,2.768,4.0
2018-05-31,387.32,66886825.0,321231.141,32.7516,2.5407,4.0
2018-06-30,447.01,170912440.0,370832.7931,37.7989,2.9323,4.0
2018-07-31,425.56,128266090.0,353092.6792,35.9851,2.7916,4.0
2018-08-31,498.4,87120555.0,413528.9766,42.1444,3.2694,4.0
2018-09-30,506.13,113310710.0,420021.225,42.7981,3.3201,4.0
2018-10-31,508.49,100108455.0,422020.3348,42.9976,3.3356,4.0
2018-11-30,544.44,100400720.0,451860.2374,46.0375,3.5714,4.0
2018-12-31,523.3,94088750.0,434354.2647,44.25,3.4328,4.0
2019-01-31,544.16,71624705.0,451668.8092,46.0139,3.5696,4.0
2019-02-28,526.33,166587465.0,436869.3846,44.5062,3.4526,4.0
2019-03-31,556.05,77520905.0,461537.859,24.5432,3.2889,4.0
2019-04-30,586.75,60184800.0,487036.1237,25.8982,3.4705,4.0
2019-05-31,535.67,88231375.0,444638.4036,23.6436,3.1684,4.0
2019-06-30,510.09,68224595.0,423405.461,22.5146,3.0171,4.0
2019-07-31,514.92,75798145.0,427537.955,22.7278,3.0457,4.0
2019-08-31,511.5,62379230.0,424698.8413,22.5768,3.0254,4.0
2019-09-30,540.45,63741495.0,448736.0484,23.8546,3.1967,4.0
2019-10-31,556.64,50030805.0,462267.4242,24.5692,3.2924,4.0
2019-11-30,582.77,74166345.0,483967.3519,25.7225,3.447,4.0
2019-12-31,574.91,51042605.0,477489.2037,25.3756,3.4005,4.0
2020-01-31,622.9,94696590.0,517347.1065,27.4938,3.6843,4.0
2020-02-29,585.42,78226385.0,486224.5999,25.8395,3.4627,4.0
2020-03-31,624.15,113484405.0,518549.4373,26.5302,3.3358,4.0
2020-04-30,787.26,152179555.0,654062.6933,33.4634,4.2076,4.0
2020-05-31,814.25,124980980.0,676487.4496,34.6106,4.3519,4.0
2020-06-30,788.99,106839060.0,655684.1826,33.5369,4.2168,4.0
2020-07-31,904.21,150213655.0,751500.3873,38.4345,4.8327,5.0
2020-08-31,852.94,116993520.0,708985.9855,36.2552,4.5586,5.0
2020-09-30,1037.56,459547200.0,862447.1339,44.1027,5.5454,5.0
2020-10-31,977.73,232789390.0,812785.2086,41.5596,5.2256,5.0
2020-11-30,965.79,157260640.0,802936.2544,41.052,5.1618,5.0
2020-12-31,1041.02,142541980.0,865549.1042,44.2498,5.5638,5.0
2021-01-31,920.54,90091985.0,765376.8154,39.1286,4.9199,5.0
2021-02-28,885.31,161251410.0,736085.6611,37.6311,4.7316,5.0
2021-03-31,903.2,99874200.0,750974.3062,39.1097,4.2797,5.0
2021-04-30,1032.62,160257025.0,858582.8138,44.7138,4.8929,5.0
2021-05-31,1061.83,109694280.0,882869.777,45.9786,5.0313,5.0
2021-06-30,1084.61,69851955.0,902129.861,46.965,5.1393,5.0
2021-07-31,942.24,93819455.0,783712.916,40.8002,4.4647,5.0
2021-08-31,940.81,68261265.0,782523.5062,40.7383,4.4579,5.0
2021-09-30,976.14,52328240.0,811909.4136,42.2681,4.6253,5.0
2021-10-31,931.84,51314275.0,775062.6631,40.3499,4.4154,5.0
2021-11-30,935.17,39858675.0,778018.0995,40.4941,4.4312,5.0
2021-12-31,981.4,39655935.0,816485.1367,42.4959,4.6502,5.0
2022-01-31,860.56,46726165.0,715951.1405,37.2634,4.0776,5.0
2022-02-28,812.68,40091060.0,676116.9155,35.1901,3.8508,5.0
2022-03-31,859.09,91452165.0,714728.1599,30.3287,3.7409,5.0
2022-04-30,826.39,34796160.0,687663.2868,29.1743,3.5985,5.0
2022-05-31,873.93,59269490.0,727222.7111,30.8526,3.8056,5.0
2022-06-30,878.76,46121765.0,731308.5449,31.0231,3.8266,5.0
2022-07-31,818.07,57766875.0,680802.018,28.8805,3.5623,6.0
2022-08-31,849.01,43230950.0,706581.9672,29.9728,3.697,6.0
2022-09-30,867.14,46020145.0,721746.918,30.6129,3.776,6.0
2022-10-31,886.74,38733690.0,738199.5135,31.3048,3.8613,6.0
2022-11-30,897.43,53605130.0,747110.982,31.6822,3.9079,6.0
2022-12-31,847.51,53510715.0,705653.094,29.9199,3.6905,6.0
2023-01-31,864.83,28726715.0,720074.0584,30.5313,3.7659,6.0
2023-02-28,863.32,31331465.0,718822.5963,30.478,3.7594,6.0
2023-03-31,924.55,37611320.0,769817.6633,17.0311,3.3327,6.0
2023-04-30,985.97,30967890.0,820958.4355,18.1625,3.5541,6.0
2023-05-31,900.21,52450215.0,749551.1965,16.5827,3.2449,6.0
2023-06-30,1031.92,44955485.0,859304.2508,19.009,3.7197,6.0
2023-07-31,1128.09,49458675.0,939449.1037,20.7805,4.0664,8.0
2023-08-31,1121.57,71795850.0,935161.4714,20.6604,4.0429,8.0
2023-09-30,1117.4,39340245.0,931781.1324,20.5836,4.0278,8.0
2023-10-31,1073.51,40505755.0,895181.997,19.7751,3.8696,8.0
2023-11-30,1157.63,42907810.0,965400.0166,21.3247,4.1728,8.0
2023-12-31,1159.58,54808970.0,967098.9329,21.3606,4.1799,8.0
2024-01-31,1224.23,47624315.0,1021017.547,22.5515,4.4129,8.0
2024-02-29,1284.85,43473025.0,1071575.108,23.6682,4.6314,8.0
2024-03-31,1231.58,31585235.0,1027202.119,18.401,3.6553,8.0
2024-04-30,1240.86,36704805.0,1034942.125,18.5397,3.6828,8.0
2024-05-31,1158.37,58516180.0,966141.1512,17.3072,3.438,8.0
2024-06-30,1280.47,62352355.0,1068052.147,19.1315,3.8004,8.0
2024-07-31,1350.1,46288410.0,1126131.189,20.1718,4.007,8.0
2024-08-31,1406.27,36392550.0,1173192.581,21.0111,4.1737,8.0
2024-09-30,1350.32,47793075.0,1126686.389,20.1751,4.0077,8.0
2024-10-31,1274.2,36209341.0,1063173.023,19.0378,3.7818,8.0
2024-11-30,1202.3,35329008.0,1003180.761,17.9635,3.5684,8.0
2024-12-31,1388.5,57605072.0,1158597.669,20.7456,4.121,8.0
2025-01-31,1217.35,50199512.0,1015786.008,18.1884,3.613,8.0
2025-02-28,1116.5,51893610.0,931613.2662,16.6816,3.3137,8.0
2025-03-31,1144.2,38130230.0,954783.8286,16.8537,2.836,8.0
2025-04-30,1183.9,57550309.0,987911.7066,17.4385,2.9344,8.0
2025-05-31,1251.2,41422835.0,1044070.553,18.4298,3.1012,8.0
2025-06-30,1283.3,36337225.0,1071018.792,18.9026,3.1807,8.0
2025-07-31,1270.3,35197411.0,1060169.229,18.7112,3.1485,8.0
2025-08-31,1260.1,30870436.0,1051661.737,18.5609,3.1232,8.0
2025-09-30,1223.7,33094677.0,1021316.858,18.0247,3.033,8.0
2025-10-31,1197.6,54728513.0,999533.439,17.6403,2.9683,8.0
2025-11-30,1258.8,31490597.0,1050621.154,18.5418,3.12,8.0
2025-12-31,1271.4,31809554.0,1061149.033,18.7274,3.1512,8.0
2026-01-31,1218.1,43802895.0,1016663.235,17.9423,3.0191,8.0
2026-02-28,1286.3,29384042.0,1073601.317,18.9468,3.1882,8.0
2026-03-31,1313.1,4182656.0,1095969.729,19.3416,3.2546,8.0
