ELCN IN Equity,price,volume,mc,pe,bm,div
2014-10-31,26.7,8557326.0,5817.1737,42.381,1.0933,0.5
2014-11-30,25.9,24228586.0,5642.8763,41.1111,1.0605,0.5
2014-12-31,26.35,17471700.0,5740.9186,41.8254,1.0789,0.5
2015-01-31,25.65,19827736.0,5588.4084,40.7143,1.0503,0.5
2015-02-28,26.2,30069508.0,5708.2462,41.5873,1.0728,0.5
2015-03-31,33.33,91322996.0,7260.5735,44.4333,1.3557,0.5
2015-04-30,34.15,81890138.0,7440.3177,45.5333,1.3892,0.5
2015-05-31,33.25,28852814.0,7244.2331,44.3333,1.3526,0.5
2015-06-30,39.73,56162744.0,8654.9522,52.9667,1.616,0.5
2015-07-31,43.73,78074944.0,9526.4389,58.3,1.7788,0.5
2015-08-31,34.75,41731366.0,7571.0407,46.3333,1.4136,0.55
2015-09-30,35.88,16591268.0,7816.1463,47.8333,1.4594,0.55
2015-10-31,38.5,31612040.0,8388.0594,51.3333,1.5662,0.55
2015-11-30,43.48,24879898.0,9471.971,57.9667,1.7686,0.55
2015-12-31,42.1,19028050.0,9172.3975,56.1333,1.7126,0.55
2016-01-31,32.65,10593480.0,7113.5101,43.5333,1.3282,0.55
2016-02-29,21.48,16697780.0,4678.7942,28.6333,0.8736,0.55
2016-03-31,27.3,18366904.0,5947.8967,15.9571,0.8445,0.55
2016-04-30,31.18,15603092.0,6792.1494,18.2221,0.9644,0.55
2016-05-31,29.0,9159144.0,6318.2785,16.9508,0.8971,0.55
2016-06-30,32.35,12177576.0,7048.1486,18.9089,1.0008,0.55
2016-07-31,29.75,20603840.0,6481.6823,17.3892,0.9203,0.55
2016-08-31,28.65,12094242.0,6242.0234,16.7462,0.8863,0.55
2016-09-30,28.98,16818958.0,6312.8317,16.9362,0.8963,0.55
2016-10-31,33.42,22767848.0,7282.3607,19.5373,1.034,0.55
2016-11-30,26.15,11811228.0,5697.3443,15.285,0.809,0.55
2016-12-31,28.45,14827628.0,6384.1781,16.6293,0.8801,0.55
2017-01-31,28.08,9160056.0,6300.0281,16.4101,0.8685,0.55
2017-02-28,26.83,10314438.0,6019.5282,15.6795,0.8298,0.55
2017-03-31,26.38,9068682.0,5918.5482,54.9479,0.8338,0.55
2017-04-30,30.33,20090372.0,6804.928,63.1771,0.9586,0.55
2017-05-31,32.0,13808538.0,7180.7979,66.6667,1.0116,0.55
2017-06-30,28.53,7740836.0,6401.0081,59.4271,0.9017,0.55
2017-07-31,31.63,14488484.0,7096.6479,65.8854,0.9997,0.25
2017-08-31,24.33,11351450.0,5458.5284,50.6771,0.769,0.25
2017-09-30,28.8,17884530.0,6462.7181,60.0,0.9104,0.25
2017-10-31,37.35,43631228.0,8381.3375,77.8125,1.1807,0.25
2017-11-30,40.03,64419758.0,8981.607,83.3854,1.2653,0.25
2017-12-31,51.45,89824852.0,11545.3762,107.1875,1.6265,0.25
2018-01-31,45.0,49019608.0,10097.9967,93.75,1.4226,0.25
2018-02-28,44.25,24739002.0,9929.6969,92.1875,1.3988,0.25
2018-03-31,38.8,15171750.0,8706.7173,115.8209,1.2282,0.25
2018-04-30,41.88,19090176.0,9396.7471,125.0,1.3256,0.25
2018-05-31,34.4,12253648.0,7719.3576,102.6866,1.089,0.25
2018-06-30,28.8,8795206.0,6462.718,85.9701,0.9117,0.25
2018-07-31,31.83,8157110.0,7141.5278,95.0,1.0074,0.25
2018-08-31,32.13,13622506.0,7208.8478,95.8955,1.0169,0.25
2018-09-30,26.8,4432950.0,6013.9181,80.0,0.8484,0.1
2018-10-31,27.18,6877738.0,6098.0681,81.1194,0.8602,0.1
2018-11-30,28.83,7073062.0,6468.328,86.0448,0.9125,0.1
2018-12-31,35.05,6792634.0,7865.2175,104.6269,1.1095,0.1
2019-01-31,32.9,5664614.0,7382.7577,98.209,1.0415,0.1
2019-02-28,28.75,3496918.0,6451.498,85.8209,0.9101,0.1
2019-03-31,31.5,5949958.0,7068.5978,10.08,0.9203,0.1
2019-04-30,29.05,8059496.0,6518.818,9.296,0.8487,0.1
2019-05-31,26.58,6292910.0,5963.4281,8.504,0.7764,0.1
2019-06-30,23.15,2365566.0,5194.8584,7.408,0.6764,0.1
2019-07-31,15.53,4402858.0,3483.8089,4.968,0.4536,0.1
2019-08-31,14.95,5069794.0,3354.779,4.784,0.4368,0.1
2019-09-30,16.95,4389376.0,3803.5788,5.424,0.4952,0.1
2019-10-31,16.88,1737596.0,3786.7488,5.4,0.493,0.1
2019-11-30,17.2,2979046.0,3859.6788,5.504,0.5025,0.1
2019-12-31,18.35,3453632.0,4117.7387,5.872,0.5361,0.1
2020-01-31,20.02,7287224.0,4493.6086,6.408,0.5851,0.1
2020-02-29,14.3,2477080.0,3208.919,4.576,0.4178,0.1
2020-03-31,9.48,4286894.0,2126.1893,2.3717,0.2489,0.1
2020-04-30,10.9,3758886.0,2445.9592,2.7284,0.2863,0.1
2020-05-31,9.68,3976194.0,2171.0693,2.4218,0.2542,0.1
2020-06-30,13.05,9618062.0,2928.4191,3.2666,0.3428,0.1
2020-07-31,12.33,10833536.0,2765.7291,3.0851,0.3238,0.1
2020-08-31,14.95,18164380.0,3354.779,3.7422,0.3927,0.1
2020-09-30,12.75,9604412.0,2861.0991,3.1915,0.3349,0.1
2020-10-31,11.3,4943810.0,2535.7192,2.8285,0.2969,0.0
2020-11-30,17.93,18909650.0,4022.3687,4.4869,0.4709,0.0
2020-12-31,21.3,36381198.0,4779.7184,5.3317,0.5596,0.0
2021-01-31,22.9,41472442.0,5138.7583,5.7322,0.6016,0.0
2021-02-28,28.5,35988850.0,6395.3979,7.1339,0.7487,0.0
2021-03-31,31.75,36849220.0,7124.6977,12.3541,0.7751,0.0
2021-04-30,45.93,36384014.0,10305.5666,17.8696,1.1211,0.0
2021-05-31,58.75,66356146.0,13183.4957,22.8599,1.4342,0.0
2021-06-30,68.4,101555356.0,15348.9549,26.6148,1.6697,0.0
2021-07-31,68.95,88687306.0,15472.3752,26.8288,1.6832,0.2
2021-08-31,82.25,88823018.0,18456.8942,32.0039,2.0078,0.2
2021-09-30,83.8,40341098.0,18804.7141,32.607,2.0457,0.2
2021-10-31,85.8,22205960.0,19253.514,33.3852,2.0945,0.2
2021-11-30,103.48,56430448.0,23219.7828,40.2626,2.526,0.2
2021-12-31,92.15,34300362.0,20678.4535,35.856,2.2495,0.2
2022-01-31,89.1,35894876.0,19994.0338,34.6693,2.175,0.2
2022-02-28,74.2,22343760.0,16650.4748,28.8716,1.8113,0.2
2022-03-31,71.9,18709004.0,16134.355,11.4856,1.5363,0.2
2022-04-30,94.1,35870384.0,21116.0334,15.0319,2.0106,0.2
2022-05-31,98.3,34991364.0,22058.5131,15.7029,2.1003,0.2
2022-06-30,130.57,102574234.0,29301.0209,20.8586,2.7899,0.7
2022-07-31,181.1,86042784.0,40638.8273,28.9297,3.8695,0.7
2022-08-31,187.68,22514146.0,42114.2569,29.98,4.01,0.7
2022-09-30,170.95,22733272.0,38361.168,27.3083,3.6526,0.7
2022-10-31,188.55,9169440.0,42310.6068,30.1198,4.0287,0.7
2022-11-30,229.45,25722018.0,51488.5639,36.6534,4.9026,0.7
2022-12-31,182.3,12085894.0,40908.1072,29.1214,3.8951,0.7
2023-01-31,193.3,12394076.0,43376.5065,30.8786,4.1302,0.7
2023-02-28,197.18,16140012.0,44246.0562,31.4976,4.213,0.7
2023-03-31,191.08,10982988.0,42877.2166,18.0515,3.3521,0.7
2023-04-30,217.08,21785514.0,48711.6148,20.5078,3.8082,0.7
2023-05-31,264.4,29877460.0,59331.3415,24.9787,4.6385,0.7
2023-06-30,292.18,13285396.0,65564.0495,27.6027,5.1258,1.0
2023-07-31,378.8,33321460.0,85002.6935,35.7865,6.6455,1.0
2023-08-31,441.5,18184396.0,99072.5691,41.71,7.7454,1.0
2023-09-30,386.68,25920798.0,86769.8429,36.5305,6.7836,1.0
2023-10-31,422.0,19422872.0,94696.7705,39.8677,7.4033,1.5
2023-11-30,471.45,26043828.0,105793.347,44.5394,8.2709,1.5
2023-12-31,463.48,12739924.0,104003.7576,43.786,8.1309,1.5
2024-01-31,550.3,26576390.0,123487.2815,51.9887,9.6542,1.5
2024-02-29,501.08,9164584.0,112441.1949,47.3382,8.7906,1.5
2024-03-31,474.38,12908960.0,106449.7168,29.9369,6.6364,1.5
2024-04-30,567.17,17194700.0,127274.0303,35.7934,7.9346,1.5
2024-05-31,554.55,13913310.0,124440.9812,34.9966,7.758,1.5
2024-06-30,661.05,31311956.0,148339.5737,41.7176,9.2479,2.0
2024-07-31,630.1,29076741.0,141394.3959,39.7644,8.8149,2.0
2024-08-31,621.45,7806203.0,139453.3365,39.2186,8.6939,2.0
2024-09-30,700.05,14027609.0,157091.171,44.1789,9.7935,2.0
2024-10-31,574.7,22413781.0,128962.6398,36.2682,8.0399,1.5
2024-11-30,584.75,7937411.0,131217.8591,36.9025,8.1805,1.5
2024-12-31,634.5,11510756.0,142381.7556,40.0421,8.8765,1.5
2025-01-31,532.4,11696218.0,119470.5227,33.5988,7.4481,1.5
2025-02-28,414.2,11002046.0,92946.451,26.1394,5.7946,1.5
2025-03-31,449.15,18316704.0,100789.2286,24.2784,5.0428,1.5
2025-04-30,544.85,22029043.0,122264.3019,29.4514,6.1172,1.5
2025-05-31,664.0,22172914.0,149001.5535,35.8919,7.455,1.5
2025-06-30,654.7,13813370.0,146914.6342,35.3892,7.3505,2.0
2025-07-31,570.25,18756641.0,127964.0601,30.8243,6.4024,2.0
2025-08-31,552.3,5461865.0,123936.0813,29.8541,6.2009,2.0
2025-09-30,567.9,13223070.0,127436.7202,30.6973,6.376,2.0
2025-10-31,561.45,12839506.0,125989.3407,30.3486,6.3036,2.0
2025-11-30,504.45,6253680.0,113198.5447,27.2676,5.6636,2.0
2025-12-31,481.45,5247695.0,108037.3463,26.0243,5.4054,2.0
2026-01-31,408.1,47636997.0,91577.6114,22.0595,4.5819,2.0
2026-02-28,415.85,10088183.0,93316.7109,22.4784,4.6689,2.0
2026-03-31,402.95,932045.0,90421.9545,21.7811,4.5241,2.0
