SUEL IN Equity,price,volume,mc,pe,bm,div
2013-02-28,14.69,1680911466.0,28437.8496,45.6646,0.5489,0.0
2013-03-31,12.49,640807660.0,24172.1722,45.6646,2.6796,0.0
2013-04-30,13.36,272017441.0,25860.6695,45.6646,2.8668,0.0
2013-05-31,10.79,172870667.0,24576.4503,45.6646,2.3151,0.0
2013-06-30,8.4,172627139.0,19138.2571,45.6646,1.8028,0.0
2013-07-31,6.38,142280966.0,14536.7089,45.6646,1.3694,0.0
2013-08-31,5.46,148431782.0,12864.7222,45.6646,1.1723,0.0
2013-09-30,6.01,173078244.0,14162.0051,45.6646,1.2905,0.0
2013-10-31,8.81,268354420.0,20756.5266,45.6646,1.8915,0.0
2013-11-30,9.04,222242198.0,21988.5234,45.6646,1.9407,0.0
2013-12-31,9.46,184739547.0,24895.6256,45.6646,2.0294,0.0
2014-01-31,9.82,275910091.0,25862.446,45.6646,2.1082,0.0
2014-02-28,9.27,113684043.0,25130.2746,45.6646,1.99,0.0
2014-03-31,10.19,152084501.0,27618.4206,45.6646,1.9407,0.0
2014-04-30,11.98,536379087.0,32470.3052,45.6646,1.9407,0.0
2014-05-31,20.2,806979919.0,58698.7822,45.6646,1.9407,0.0
2014-06-30,26.03,761786159.0,76915.308,45.6646,1.9407,0.0
2014-07-31,19.93,125652740.0,58873.4457,45.6646,1.9407,0.0
2014-08-31,19.79,181931663.0,60010.1787,45.6646,1.9407,0.0
2014-09-30,11.84,188681277.0,39410.5362,45.6646,1.9407,0.0
2014-10-31,12.35,684077527.0,41253.7802,45.6646,1.9407,0.0
2014-11-30,12.9,426927884.0,43561.0954,45.6646,1.9407,0.0
2014-12-31,13.5,554368307.0,47261.3577,45.6646,1.9407,0.0
2015-01-31,14.88,1396805366.0,52928.39,45.6646,1.9407,0.0
2015-02-28,25.02,2352702986.0,96435.4082,45.6646,1.9407,0.0
2015-03-31,25.11,1544752610.0,101406.0143,45.6646,1.9407,0.0
2015-04-30,21.85,1452065309.0,90748.5633,45.6646,1.9407,0.0
2015-05-31,23.14,782942170.0,121556.482,45.6646,1.9407,0.0
2015-06-30,20.38,896476126.0,107085.4723,45.6646,1.9407,0.0
2015-07-31,20.11,719970998.0,105684.0961,45.6646,1.9407,0.0
2015-08-31,20.29,1361725305.0,107694.0554,45.6646,1.9407,0.0
2015-09-30,19.14,605651392.0,102338.9468,45.6646,1.9407,0.0
2015-10-31,22.59,974164577.0,122350.3942,45.6646,1.9407,0.0
2015-11-30,19.93,762340469.0,107926.9738,45.6646,1.9407,0.0
2015-12-31,19.14,732282631.0,104031.7876,45.6646,1.9407,0.0
2016-01-31,18.64,959024344.0,101524.7704,45.6646,1.9407,0.0
2016-02-29,12.4,1588089912.0,67776.7961,45.6646,1.9407,0.0
2016-03-31,13.04,937755887.0,71291.1485,11.6393,1.9407,0.0
2016-04-30,13.73,627924502.0,75056.5261,12.2541,1.9407,0.0
2016-05-31,14.6,748490814.0,79826.0043,13.0328,1.9407,0.0
2016-06-30,15.98,945817679.0,87356.7595,14.2623,1.9407,0.0
2016-07-31,16.02,566320629.0,87607.7846,14.3033,1.9407,0.0
2016-08-31,14.51,342598730.0,79323.954,12.9508,1.9407,0.0
2016-09-30,13.64,626688435.0,74554.4758,12.1721,1.9407,0.0
2016-10-31,14.14,397754613.0,77315.7526,12.623,1.9407,0.0
2016-11-30,13.59,565112277.0,74303.4506,12.1311,1.9407,0.0
2016-12-31,12.67,284851227.0,69336.7052,11.3115,1.9407,0.0
2017-01-31,15.7,779845319.0,85917.2216,14.0164,1.9407,0.0
2017-02-28,16.62,909119944.0,90941.6206,14.8361,1.9407,0.0
2017-03-31,17.54,1453901341.0,95966.0195,11.1696,1.9407,0.0
2017-04-30,18.92,1128385605.0,103502.6179,12.0468,1.9407,0.0
2017-05-31,17.72,1710027202.0,98969.288,11.2865,1.9407,0.0
2017-06-30,17.22,896861043.0,97351.6205,10.9649,1.9407,0.0
2017-07-31,17.4,1344703590.0,100260.647,11.0819,1.9407,0.0
2017-08-31,14.97,1419458798.0,86712.3229,9.5322,1.9407,0.0
2017-09-30,14.32,964420170.0,82988.4809,9.1228,1.9407,0.0
2017-10-31,15.56,886145880.0,90170.1763,9.9123,1.9407,0.0
2017-11-30,12.81,1208741263.0,74210.8504,8.1579,1.9407,0.0
2017-12-31,14.28,818820100.0,82722.4891,9.0936,1.9407,0.0
2018-01-31,13.41,1216703098.0,77668.7036,8.538,1.9407,0.0
2018-02-28,11.75,803105915.0,68093.1087,7.4854,1.9407,0.0
2018-03-31,9.82,841045783.0,56921.5831,6.6082,1.9407,0.0
2018-04-30,10.01,569534422.0,57985.5379,6.6082,1.9407,0.0
2018-05-31,8.03,738871438.0,46548.0236,6.6082,1.9407,0.0
2018-06-30,6.89,653448969.0,39898.3059,6.6082,1.9407,0.0
2018-07-31,7.16,874013818.0,41494.2381,6.6082,1.9407,0.0
2018-08-31,6.57,594415651.0,38036.385,6.6082,1.9407,0.0
2018-09-30,5.0,917845534.0,28992.769,6.6082,1.9407,0.0
2018-10-31,5.74,822824765.0,33248.5883,6.6082,1.9407,0.0
2018-11-30,4.73,676517924.0,27396.8367,6.6082,1.9407,0.0
2018-12-31,4.96,524557603.0,28726.7803,6.6082,1.9407,0.0
2019-01-31,4.32,470099065.0,25002.9384,6.6082,1.9407,0.0
2019-02-28,5.28,1594686345.0,30588.7012,6.6082,1.9407,0.0
2019-03-31,5.65,2585526742.0,32716.6108,6.6082,1.9407,0.0
2019-04-30,6.29,1509561134.0,36440.4527,6.6082,1.9407,0.0
2019-05-31,5.0,1246794833.0,28992.769,6.6082,1.9407,0.0
2019-06-30,4.82,1479990758.0,27928.8141,6.6082,1.9407,0.0
2019-07-31,3.86,385963373.0,22343.0513,6.6082,1.9407,0.0
2019-08-31,3.4,307979434.0,19683.1642,6.6082,1.9407,0.0
2019-09-30,2.07,524373345.0,11969.4918,6.6082,1.9407,0.0
2019-10-31,2.43,284930293.0,14097.4014,6.6082,1.9407,0.0
2019-11-30,2.11,388435556.0,12235.4805,6.6082,1.9407,0.0
2019-12-31,1.7,341883790.0,9841.5821,6.6082,1.9407,0.0
2020-01-31,2.2,788657376.0,12767.4579,6.6082,1.9407,0.0
2020-02-29,2.48,478762561.0,14363.3901,6.6082,1.9407,0.0
2020-03-31,1.79,389908859.0,10373.5595,6.6082,1.9407,0.0
2020-04-30,2.39,295885985.0,13831.4127,6.6082,1.9407,0.0
2020-05-31,2.57,272283189.0,14895.3675,6.6082,1.9407,0.0
2020-06-30,4.64,783642869.0,26864.8593,6.6082,1.9407,0.0
2020-07-31,3.95,819762646.0,33168.1811,6.6082,1.9407,0.0
2020-08-31,3.44,511131167.0,30845.7114,6.6082,1.9407,0.0
2020-09-30,2.66,446463147.0,23854.0169,6.6082,1.9407,0.0
2020-10-31,3.35,335376842.0,30310.0049,6.6082,1.9407,0.0
2020-11-30,3.17,380492973.0,28649.1827,6.6082,1.9407,0.0
2020-12-31,5.88,763039639.0,53350.34,6.6082,1.9407,0.0
2021-01-31,5.78,718240045.0,52697.4033,6.6082,1.9407,0.0
2021-02-28,5.33,947798792.0,49005.8494,6.6082,1.9407,0.0
2021-03-31,4.59,768791732.0,42540.0625,35.7143,1.9407,0.0
2021-04-30,4.41,415307265.0,40838.46,34.2857,1.9407,0.0
2021-05-31,5.23,982767361.0,50277.4957,40.7143,1.9407,0.0
2021-06-30,7.35,3203977111.0,70754.0875,57.1429,1.9407,0.0
2021-07-31,5.78,1850293987.0,55804.8184,45.0,1.9407,0.0
2021-08-31,5.56,1278464262.0,53746.4665,43.2143,1.9407,0.0
2021-09-30,5.92,908165168.0,57299.9519,46.0714,1.9407,0.0
2021-10-31,6.2,1285436557.0,59965.066,48.2143,1.9407,0.0
2021-11-30,6.29,772283127.0,60977.1997,48.9286,1.9407,0.0
2021-12-31,9.37,2359439516.0,90798.166,72.8571,1.9407,0.0
2022-01-31,10.97,4184750136.0,106376.2827,85.3571,1.9407,0.0
2022-02-28,8.63,2102718077.0,85594.3259,67.1429,1.9407,0.0
2022-03-31,8.4,979437729.0,84339.6129,66.7857,1.9407,0.0
2022-04-30,9.18,1435833071.0,92174.4404,66.7857,1.9407,0.0
2022-05-31,7.85,1132627933.0,78809.1465,66.7857,1.9407,0.0
2022-06-30,6.29,1536505306.0,67053.7774,66.7857,1.9407,0.0
2022-07-31,6.06,1379699037.0,64606.5592,66.7857,1.9407,0.0
2022-08-31,7.53,2480289586.0,80268.7554,66.7857,1.9407,0.0
2022-09-30,7.99,4812233517.0,87635.8576,66.7857,1.9407,0.0
2022-10-31,7.95,4071822672.0,80081.0423,66.7857,1.9407,0.0
2022-11-30,9.25,2260838105.0,99553.1984,66.7857,1.9407,0.0
2022-12-31,10.6,7172567478.0,113906.1517,66.7857,1.9407,0.0
2023-01-31,9.8,2382406626.0,105264.8248,66.7857,1.9407,0.0
2023-02-28,8.2,1723666836.0,87879.3141,66.7857,1.9407,0.0
2023-03-31,7.9,1603682783.0,79577.388,2.9924,8.965,0.0
2023-04-30,8.3,1124830941.0,99451.7719,3.1439,9.4189,0.0
2023-05-31,11.75,4362226269.0,143100.5041,4.4508,13.334,0.0
2023-06-30,15.3,7889325484.0,189809.5984,5.7955,17.3625,0.0
2023-07-31,18.95,5873093896.0,235391.5527,7.178,21.5046,0.0
2023-08-31,24.55,4699252335.0,333151.4815,9.2992,27.8595,0.0
2023-09-30,25.8,3267245656.0,350199.5722,9.7727,29.278,0.0
2023-10-31,30.6,3351910895.0,415402.2341,11.5909,34.725,0.0
2023-11-30,40.75,2913718215.0,553191.9159,15.4356,46.2433,0.0
2023-12-31,38.2,1097354189.0,518629.6929,14.4697,43.3496,0.0
2024-01-31,45.95,1778356129.0,623913.0799,17.4053,52.1443,0.0
2024-02-29,45.25,1725011526.0,615469.7934,17.1402,51.3499,0.0
2024-03-31,40.4,967963698.0,549502.3128,80.8,14.0283,0.0
2024-04-30,41.6,728912202.0,565920.6141,83.2,14.445,0.0
2024-05-31,47.65,897308416.0,648223.9726,95.3,16.5458,0.0
2024-06-30,52.86,1543861188.0,720211.3902,105.72,18.3549,0.0
2024-07-31,69.38,1841535688.0,945294.4807,138.76,24.0912,0.0
2024-08-31,75.84,2478394650.0,1034447.652,151.68,26.3343,0.0
2024-09-30,80.05,1556906523.0,1092265.726,160.1,27.7962,0.0
2024-10-31,66.95,1521082937.0,913615.2624,133.9,23.2474,0.0
2024-11-30,62.98,1726907249.0,859439.7196,125.96,21.8689,0.0
2024-12-31,62.22,1255034702.0,849136.8111,124.44,21.605,0.0
2025-01-31,58.17,1397660707.0,793879.6711,116.34,20.1987,0.0
2025-02-28,49.71,1225121502.0,678453.4766,99.42,17.2611,0.0
2025-03-31,56.66,1403784846.0,773320.9355,37.2763,12.6658,0.0
2025-04-30,56.4,1467898869.0,769777.9232,37.1053,12.6076,0.0
2025-05-31,71.48,2439611184.0,975622.3592,47.0263,15.9786,0.0
2025-06-30,67.72,2426821445.0,927439.1526,44.5526,15.1381,0.0
2025-07-31,61.6,1134762026.0,844035.8438,40.5263,13.77,0.0
2025-08-31,56.43,1809568199.0,773445.3739,37.125,12.6143,0.0
2025-09-30,55.05,1203436933.0,754653.8683,36.2171,12.3059,0.0
2025-10-31,59.3,1600826850.0,812989.0725,39.0132,13.2559,0.0
2025-11-30,54.01,1489997425.0,740568.4247,35.5329,12.0734,0.0
2025-12-31,52.67,1195844735.0,722225.8342,34.6513,11.7738,0.0
2026-01-31,47.67,1359376714.0,653690.8986,31.3618,10.6561,0.0
2026-02-28,42.67,1330103751.0,585200.1103,28.0724,9.5384,0.0
2026-03-31,40.2,310558783.0,551325.1671,26.4474,8.9863,0.0
