GRASIM IN Equity,price,volume,mc,pe,bm,div
2005-03-31,150.56,15315595.0,111330.8159,7.8713,1.7111,2.7889
2005-04-30,144.12,9873283.0,106568.466,7.5346,1.6379,2.7889
2005-05-31,139.88,18021646.0,103433.2905,7.3129,1.5897,2.7889
2005-06-30,130.91,16502410.0,96801.15,6.844,1.4877,3.1873
2005-07-31,145.82,18009367.0,107824.7196,7.6234,1.6572,3.1873
2005-08-31,161.24,23770200.0,119228.7284,8.4297,1.8324,3.1873
2005-09-30,163.84,21559531.0,121150.9829,8.5655,1.8619,3.1873
2005-10-31,139.08,32239001.0,102843.8048,7.2711,1.5806,3.1873
2005-11-30,169.55,31978159.0,125377.1267,8.8642,1.9269,3.1873
2005-12-31,172.5,28964866.0,127554.37,9.0182,1.9604,3.1873
2006-01-31,180.29,27691042.0,133316.0432,9.4255,2.0489,3.1873
2006-02-28,216.04,37776324.0,159750.0684,11.2944,2.4552,3.1873
2006-03-31,255.69,49998353.0,189072.2148,11.3088,2.4509,3.1873
2006-04-30,312.05,36190108.0,215322.9499,13.8012,2.991,3.1873
2006-05-31,219.84,51075946.0,162560.2099,9.7231,2.1072,3.1873
2006-06-30,239.87,36553984.0,177370.0798,10.6089,2.2992,3.1873
2006-07-31,257.91,38906269.0,190708.5885,11.4067,2.4721,3.1873
2006-08-31,279.14,26150195.0,206412.4994,12.3459,2.6757,3.9842
2006-09-30,313.0,29519979.0,231448.5864,13.8434,3.0002,3.9842
2006-10-31,340.65,29705308.0,251896.4048,15.0664,3.2653,3.9842
2006-11-30,345.02,21352290.0,255123.319,15.2594,3.3071,3.9842
2006-12-31,347.3,13433472.0,256814.6988,15.3606,3.329,3.9842
2007-01-31,345.0,17036525.0,255114.1517,15.2589,3.307,3.9842
2007-02-28,274.28,23659587.0,202818.8904,12.131,2.6291,3.9842
2007-03-31,259.47,39956643.0,191863.8834,6.07,1.7983,5.4782
2007-04-30,303.44,15323908.0,224380.5443,7.0987,2.1031,5.4782
2007-05-31,309.98,14762168.0,229211.9962,7.2516,2.1483,5.4782
2007-06-30,326.8,12261350.0,241652.1305,7.6451,2.2649,5.4782
2007-07-31,366.6,22690816.0,271084.0032,8.5763,2.5408,5.4782
2007-08-31,365.35,11822392.0,270158.0979,8.547,2.5321,5.4782
2007-09-30,435.28,15927874.0,321872.0103,10.183,3.0168,5.4782
2007-10-31,459.79,15871797.0,339995.9609,10.7564,3.1867,5.4782
2007-11-30,471.46,11642951.0,348622.4846,11.0293,3.2675,5.4782
2007-12-31,454.03,12614579.0,335733.1197,10.6215,3.1467,5.4782
2008-01-31,365.91,15108520.0,270575.8216,8.5602,2.536,5.4782
2008-02-29,357.22,8397052.0,264144.8903,8.3567,2.4758,5.4782
2008-03-31,319.27,11691699.0,236088.0615,5.0823,1.6069,5.4782
2008-04-30,298.14,12510994.0,220462.239,4.7459,1.5005,5.4782
2008-05-31,275.45,15607877.0,203681.7477,4.3847,1.3863,0.0
2008-06-30,229.35,14525064.0,169597.2736,3.6509,1.1543,0.0
2008-07-31,224.05,13071553.0,165673.6121,3.5665,1.1276,5.9762
2008-08-31,240.28,9615553.0,177673.7708,3.8248,1.2093,5.9762
2008-09-30,209.25,12453586.0,154727.7238,3.3308,1.0531,5.9762
2008-10-31,127.17,17945690.0,94039.1986,2.0244,0.64,5.9762
2008-11-30,109.87,13299893.0,81241.502,1.7489,0.5529,5.9762
2008-12-31,151.23,31576026.0,111828.5333,2.4074,0.7611,5.9762
2009-01-31,148.25,30544777.0,109624.3722,2.3599,0.7461,5.9762
2009-02-28,170.23,34110161.0,125878.2553,2.7098,0.8567,5.9762
2009-03-31,196.15,31646872.0,145042.8094,4.1286,0.7811,5.9762
2009-04-30,220.85,28472617.0,163308.9534,4.6486,0.8795,5.9762
2009-05-31,260.74,20552528.0,192805.2122,5.4882,1.0383,5.9762
2009-06-30,286.56,26911690.0,211896.4267,6.0316,1.1412,5.9762
2009-07-31,340.18,30787524.0,251551.0537,7.1604,1.3547,5.9762
2009-08-31,332.55,20096823.0,245908.4642,6.9997,1.3243,5.9762
2009-09-30,343.86,19175550.0,254273.7894,7.2379,1.3694,5.9762
2009-10-31,270.77,37755085.0,200230.8683,5.6994,1.0783,5.9762
2009-11-30,295.17,23077653.0,218281.0993,6.2128,1.1754,5.9762
2009-12-31,306.85,16000663.0,226917.5379,6.4587,1.222,5.9762
2010-01-31,322.24,23734202.0,238299.8466,6.7826,1.2833,5.9762
2010-02-28,334.29,18884563.0,247215.921,7.0364,1.3313,5.9762
2010-03-31,348.97,19283021.0,258071.9245,5.821,1.2826,5.9762
2010-04-30,338.35,14261119.0,250222.8792,5.6439,1.2435,5.9762
2010-05-31,302.95,29532790.0,167139.2053,5.0534,1.1134,5.9762
2010-06-30,303.73,14794506.0,167565.5341,5.0663,1.1163,5.9762
2010-07-31,304.79,15881636.0,168152.3148,5.084,1.1202,5.9762
2010-08-31,335.88,21547990.0,185306.3109,5.6027,1.2345,5.9762
2010-09-30,368.98,14384759.0,203568.2058,6.1547,1.3561,5.9762
2010-10-31,372.34,9248293.0,205420.237,6.2107,1.3684,5.9762
2010-11-30,378.13,9056765.0,208633.9065,6.3073,1.3897,5.9762
2010-12-31,389.32,5088992.0,214813.8701,6.494,1.4309,5.9762
2011-01-31,379.11,8320424.0,209183.0993,6.3237,1.3933,5.9762
2011-02-28,374.77,5973992.0,206789.8039,6.2513,1.3774,5.9762
2011-03-31,408.3,17456789.0,225294.7681,8.2473,1.2899,5.9762
2011-04-30,407.56,10197231.0,224886.7142,8.2323,1.2875,5.9762
2011-05-31,382.68,7812984.0,211161.2544,7.7298,1.2089,5.9762
2011-06-30,348.3,6797895.0,192191.7686,7.0353,1.1003,5.9762
2011-07-31,364.94,8733766.0,201377.1473,7.3715,1.1529,5.9762
2011-08-31,363.12,7484800.0,200378.0529,7.3347,1.1471,5.9762
2011-09-30,389.17,9887304.0,214754.0644,7.8609,1.2294,3.9842
2011-10-31,412.21,7590343.0,227470.1581,8.3263,1.3022,3.9842
2011-11-30,389.07,5939536.0,214704.1922,7.8589,1.2291,3.9842
2011-12-31,413.59,8132319.0,228236.5386,8.3542,1.3066,3.9842
2012-01-31,434.15,8065223.0,239585.4295,8.7694,1.3715,3.9842
2012-02-29,460.59,10380181.0,254176.3586,9.3035,1.4551,3.9842
2012-03-31,436.57,8325564.0,240925.9772,7.5924,1.1777,3.9842
2012-04-30,426.17,5999854.0,235184.9384,7.4115,1.1496,3.9842
2012-05-31,383.22,6621516.0,211482.5717,6.6646,1.0338,3.9842
2012-06-30,438.88,8622490.0,242227.5709,7.6324,1.1839,3.9842
2012-07-31,476.99,8583094.0,263263.9321,8.2953,1.2867,3.9842
2012-08-31,496.86,10836096.0,274233.4299,8.6408,1.3403,4.4822
2012-09-30,550.78,8067061.0,304051.6142,9.5785,1.4858,4.4822
2012-10-31,550.57,9870211.0,303936.9383,9.5749,1.4852,4.4822
2012-11-30,558.45,6196940.0,308303.2543,9.7119,1.5065,4.4822
2012-12-31,526.72,8212582.0,290808.5892,9.1601,1.4209,4.4822
2013-01-31,499.53,8380954.0,275806.3348,8.6873,1.3475,4.4822
2013-02-28,491.22,9015270.0,271224.8092,8.5428,1.3251,4.4822
2013-03-31,467.53,9236547.0,258194.8244,7.9624,1.096,4.4822
2013-04-30,487.08,7338425.0,268992.3178,8.2954,1.1418,4.4822
2013-05-31,474.3,6740422.0,261948.4347,8.0778,1.1118,4.4822
2013-06-30,458.65,6759227.0,253339.7609,7.8113,1.0752,4.4822
2013-07-31,439.86,6033759.0,242967.7927,7.4912,1.0311,4.4822
2013-08-31,375.59,12187628.0,207469.9735,6.3967,0.8805,4.4822
2013-09-30,439.73,8759021.0,242926.7437,7.4891,1.0308,4.4822
2013-10-31,467.82,9741717.0,258442.1794,7.9674,1.0966,4.4822
2013-11-30,441.94,8662895.0,244147.7867,7.5267,1.036,4.4822
2013-12-31,451.12,5956704.0,249256.4673,7.6831,1.0575,4.4822
2014-01-31,426.28,8966899.0,235529.2736,7.26,0.9993,4.4822
2014-02-28,422.24,5391380.0,233308.958,7.1912,0.9898,4.4822
2014-03-31,479.95,8135165.0,265200.895,10.679,1.0237,4.4822
2014-04-30,434.75,6620813.0,240223.9584,9.6732,0.9273,4.4822
2014-05-31,528.34,11858665.0,291945.7307,11.7557,1.127,4.4822
2014-06-30,570.1,17240297.0,315037.6873,12.6848,1.216,4.4822
2014-07-31,534.24,10060595.0,295224.4295,11.887,1.1395,4.4822
2014-08-31,564.59,8985242.0,312026.1272,12.5622,1.2043,4.1834
2014-09-30,589.69,9917182.0,325905.6605,13.1207,1.2578,4.1834
2014-10-31,582.98,8446217.0,322200.5825,12.9715,1.2435,4.1834
2014-11-30,590.9,5868695.0,326581.6476,13.1477,1.2604,4.1834
2014-12-31,562.54,6943381.0,310912.8917,12.5167,1.1999,4.1834
2015-01-31,645.47,9992987.0,356758.497,14.3618,1.3768,4.1834
2015-02-28,623.76,9756948.0,344761.8738,13.8789,1.3305,4.1834
2015-03-31,601.98,8934983.0,332720.7851,15.9179,1.1997,4.1834
2015-04-30,596.49,6267595.0,329686.0504,15.7727,1.1888,4.1834
2015-05-31,605.02,7329133.0,334403.7404,15.9983,1.2058,4.1834
2015-06-30,572.08,6395054.0,316198.529,15.1274,1.1401,4.1834
2015-07-31,617.58,5978490.0,341347.8205,16.3305,1.2308,4.1834
2015-08-31,572.76,9108339.0,316578.6866,15.1454,1.1415,4.1834
2015-09-30,584.61,6067809.0,323173.1183,15.4587,1.1651,3.5857
2015-10-31,616.88,4648317.0,341013.6167,16.3121,1.2294,3.5857
2015-11-30,621.81,4307934.0,343737.4514,16.4424,1.2392,3.5857
2015-12-31,624.0,4804556.0,344953.078,16.5002,1.2436,3.5857
2016-01-31,563.97,7130070.0,311770.0923,14.9129,1.124,3.5857
2016-02-29,553.0,6959726.0,310575.4843,14.6229,1.1021,3.5857
2016-03-31,638.84,9941137.0,358836.4274,60.6446,1.0915,3.5857
2016-04-30,679.15,7229429.0,381482.2048,64.4718,1.1604,3.5857
2016-05-31,724.06,7162659.0,406704.3405,68.7344,1.2371,3.5857
2016-06-30,775.36,9414230.0,435526.8756,73.6044,1.3248,3.5857
2016-07-31,813.39,12279266.0,456889.4687,77.2147,1.3898,3.5857
2016-08-31,776.04,36028106.0,435952.9706,73.6691,1.326,3.5857
2016-09-30,803.76,16201664.0,451524.8693,76.3005,1.3733,4.4822
2016-10-31,806.41,11768967.0,453013.9279,76.5521,1.3778,4.4822
2016-11-30,723.15,21098251.0,406242.1653,68.6485,1.2356,4.4822
2016-12-31,716.88,15270781.0,402729.1619,68.0529,1.2249,4.4822
2017-01-31,756.6,23526977.0,425042.0613,71.8233,1.2927,4.4822
2017-02-28,822.78,61163149.0,462226.8588,78.1061,1.4058,4.4822
2017-03-31,871.64,31427824.0,489712.1149,12.8976,1.3017,4.4822
2017-04-30,959.76,20257159.0,539249.2285,14.2015,1.4333,4.4822
2017-05-31,959.76,36511921.0,539249.1993,14.2015,1.4333,4.4822
2017-06-30,1032.09,26764005.0,579896.7191,15.2718,1.5413,4.4822
2017-07-31,1066.01,47350734.0,703511.2395,15.7738,1.5919,4.4822
2017-08-31,1190.47,22980296.0,785645.0675,17.6153,1.7778,4.4822
2017-09-30,1129.46,33493092.0,745383.3871,16.7126,1.6867,5.4782
2017-10-31,1222.24,12080346.0,806614.008,18.0855,1.8252,5.4782
2017-11-30,1165.27,19467508.0,769014.5143,17.2424,1.7402,5.4782
2017-12-31,1161.13,15898894.0,766286.5801,17.1813,1.734,5.4782
2018-01-31,1155.46,19157560.0,762539.7789,17.0973,1.7255,5.4782
2018-02-28,1148.14,15605139.0,757708.3773,16.9889,1.7146,5.4782
